dates,satname,nzd0349-0000,nzd0349-0001,nzd0349-0002,nzd0349-0003,nzd0349-0004,nzd0349-0005,nzd0349-0006,nzd0349-0007,nzd0349-0008,nzd0349-0009,nzd0349-0010,nzd0349-0011,nzd0349-0012,nzd0349-0013,nzd0349-0014,nzd0349-0015,nzd0349-0016,nzd0349-0017,nzd0349-0018,nzd0349-0019
1999-09-29 21:54:04.102000,L7,368.95,355.82,361.45,364.22,364.79,335.97,346.32,361.86,360.69,361.47,356.66,355.03,353.88,353.05,360.28,370.01,370.35,383.74,,
2000-07-13 21:52:31.712000,L7,386.77,381.34,373.83,380.36,381.64,356.14,358.51,372.94,375.09,380.44,378.22,374.84,370.91,368.58,374.55,379.75,382.10,378.12,,
2000-07-29 21:52:14.316000,L7,393.52,383.48,378.98,388.01,383.02,361.11,364.75,382.26,381.89,381.00,,,,,,,,,,
2000-08-14 21:52:08.182000,L7,384.24,381.45,379.56,389.93,383.96,365.67,369.17,382.84,380.51,385.48,,,,,,,,,,
2000-12-04 21:51:22.024000,L7,356.14,348.33,349.71,358.16,352.45,321.66,318.29,338.02,345.88,342.00,342.70,341.80,342.27,336.04,339.59,350.91,356.99,365.35,369.48,368.30
2001-01-21 21:51:34.318000,L7,392.44,384.45,386.92,393.45,386.75,369.90,374.49,378.22,384.55,384.74,,,,,,,,,,
2001-04-27 21:51:07.792000,L7,378.12,379.98,,,,,,,,,,,,,,,,,,
2001-05-13 21:50:57.045000,L7,356.48,351.74,358.15,363.01,367.32,337.19,329.74,349.53,370.21,351.03,348.77,353.73,361.58,344.62,348.27,376.01,379.53,370.51,368.56,364.03
2001-06-14 21:50:38.006000,L7,377.08,373.40,369.82,378.48,386.65,353.82,355.38,370.55,372.16,386.21,,,,,,,,,,
2001-09-18 21:49:29.215000,L7,381.56,377.04,372.86,383.55,378.92,359.42,360.57,371.29,381.97,384.38,377.52,376.00,374.47,368.72,385.31,375.73,377.94,379.92,,
2002-07-19 21:49:21.346000,L7,382.73,374.21,376.90,384.07,372.88,362.05,,366.62,373.92,375.08,381.79,381.38,372.83,375.56,379.31,,,,,
2002-08-20 21:49:10.402000,L7,,379.05,377.97,390.70,379.14,367.32,363.53,378.19,,,,,,,,,,,,
2002-10-23 21:48:51.087000,L7,,,,,,,,,,,,,,,328.77,342.67,316.95,351.94,361.94,370.31
2002-12-26 21:49:23.939000,L7,355.81,348.03,350.61,355.81,342.92,319.32,317.46,333.50,335.74,323.25,335.48,339.39,343.54,335.77,332.21,354.31,341.95,331.80,345.82,372.92
2003-01-27 21:49:33.029000,L7,362.21,353.31,356.51,365.10,370.09,350.76,343.29,356.24,361.00,368.74,368.33,369.13,368.08,352.36,374.82,376.28,371.21,369.47,371.86,379.57
2003-03-16 21:49:46.061000,L7,386.13,375.69,373.43,381.78,381.44,373.44,368.06,371.79,377.91,382.67,376.43,379.05,384.44,378.98,,,,,,
2003-05-03 21:49:49.056000,L7,,330.39,331.00,342.98,325.09,,,,,,,,,,,339.00,346.75,353.58,343.21,361.22
2003-10-18 21:39:00.182000,L5,378.86,372.38,369.15,375.74,362.73,328.49,321.27,342.79,349.70,348.21,343.35,262.13,343.97,340.45,355.08,369.89,375.34,372.27,382.01,389.53
2003-11-19 21:39:26.321000,L5,373.67,364.59,366.40,373.40,371.46,343.21,343.62,364.08,376.98,377.68,371.33,371.33,368.73,364.25,369.63,365.00,,,,
