dates,satname,nzd0350-0000,nzd0350-0001,nzd0350-0004,nzd0350-0005,nzd0350-0006,nzd0350-0007,nzd0350-0008,nzd0350-0009,nzd0350-0010,nzd0350-0011,nzd0350-0012,nzd0350-0014,nzd0350-0015,nzd0350-0016,nzd0350-0017,nzd0350-0002,nzd0350-0003,nzd0350-0013
1999-09-29 21:54:04.102000,L7,278.80,358.78,244.43,291.95,337.88,229.69,212.94,237.96,235.96,303.35,294.19,206.95,250.77,308.60,319.91,,,
2000-01-26 22:00:02.226000,L7,,,,367.64,366.34,,,,,,,191.29,176.25,168.82,248.29,,,
2000-02-27 21:59:52.393000,L7,410.12,381.37,377.35,377.73,374.21,348.38,331.22,338.12,330.47,320.91,312.57,378.97,377.42,379.54,371.78,381.85,342.53,379.99
2000-03-30 21:59:45.397000,L7,,,174.65,343.15,364.57,,,,,,,186.09,179.34,253.59,292.91,,,
2000-04-15 21:59:31.785000,L7,,,,,,,,,,,,,,,227.89,,,
2000-05-01 21:59:30.586000,L7,,,168.58,321.43,305.64,,,,,,,,,261.99,290.60,,,
2000-05-17 21:59:19.400000,L7,382.72,,177.36,321.15,365.69,,,,,,,,,182.17,262.28,,,
2000-07-13 21:52:31.712000,L7,352.00,317.26,247.60,304.54,317.60,290.26,297.72,308.39,312.63,265.96,282.43,313.73,339.93,355.42,379.94,276.83,,
2000-11-25 21:57:34.931000,L7,356.64,390.10,164.14,303.10,164.19,401.45,399.74,403.06,397.96,184.03,301.90,192.68,239.09,293.06,352.42,387.34,,182.98
2000-12-04 21:51:22.024000,L7,354.84,347.47,334.21,280.39,341.72,325.50,316.22,254.49,272.09,311.08,303.84,203.24,269.10,369.73,375.99,352.38,169.40,255.12
2000-12-20 21:51:28.881000,L7,305.02,349.01,343.30,342.87,340.07,314.27,219.32,237.85,267.04,311.30,198.84,201.06,258.59,308.31,368.78,343.10,342.73,292.64
2001-01-05 21:51:28.457000,L7,,317.58,249.74,283.25,321.47,323.25,214.50,,250.30,191.28,199.24,198.61,249.88,223.96,365.74,343.10,349.90,292.83
2001-02-06 21:51:26.449000,L7,316.00,250.37,343.16,328.74,335.72,324.06,292.16,251.84,152.21,306.93,300.36,192.75,245.25,306.57,329.68,,,
2001-04-11 21:51:09.983000,L7,,,,,262.14,,,,,,,,,368.16,354.48,,,
2001-05-20 21:57:04.892000,L7,175.29,320.52,248.48,297.50,365.58,342.72,,423.26,185.03,305.21,403.82,,206.27,377.79,326.53,333.33,364.79,
2001-08-24 21:56:00.447000,L7,389.42,,379.20,367.12,373.59,339.75,321.89,335.00,330.92,295.31,296.01,190.46,217.29,288.77,295.14,,,236.44
2001-09-18 21:49:29.215000,L7,350.32,319.70,,255.48,333.58,,,,,,,187.23,201.16,303.74,308.95,,,
2001-10-04 21:49:17.977000,L7,427.79,409.04,361.97,354.88,355.65,339.35,214.11,,,,,339.75,344.69,388.47,403.41,362.22,349.62,
2001-12-30 21:55:49.115000,L7,393.13,399.12,169.37,161.47,369.84,343.23,322.96,254.56,238.42,278.81,206.27,190.27,251.81,343.13,308.13,388.91,,246.34
2002-09-12 21:55:07.575000,L7,407.47,410.92,387.80,405.94,393.41,392.91,324.32,374.16,365.38,315.93,309.46,195.07,266.24,347.00,321.08,437.22,258.18,265.85
2002-10-30 21:55:01.471000,L7,421.22,400.57,385.40,403.69,390.68,391.61,338.62,380.62,344.45,353.11,341.95,331.40,321.50,357.35,357.66,395.57,272.81,334.83
2002-12-26 21:49:23.939000,L7,311.08,,293.03,334.25,274.49,235.06,219.17,,237.93,310.00,299.09,227.29,354.08,354.28,356.12,,161.24,
2003-01-02 21:55:34.113000,L7,399.28,403.80,385.14,404.97,410.98,401.14,401.90,345.77,337.37,406.26,396.97,372.41,370.73,371.17,346.16,344.35,422.13,377.74
2003-01-27 21:49:33.029000,L7,,,290.07,290.56,336.08,285.34,306.67,315.42,239.15,285.48,295.13,190.68,249.51,306.30,361.80,,,
2003-02-19 21:55:54.479000,L7,282.20,190.34,402.25,413.53,401.47,402.44,233.98,389.01,376.22,319.04,267.71,197.48,259.72,283.41,300.11,189.58,258.20,295.45
2003-03-07 21:55:58.558000,L7,,,374.03,318.48,178.10,246.13,215.72,,262.03,278.12,305.46,193.60,260.04,285.36,255.47,,269.96,213.37
2003-10-18 21:39:00.182000,L5,,,,,,,,,,,,,,271.44,304.22,,,
2003-12-21 21:39:43.071000,L5,,,,,,,,,,,,,,259.06,316.76,,,
2004-02-23 21:40:02.028000,L5,,,,,,,,,,,,,,,244.48,,,
2004-04-02 21:46:30.745000,L5,,,,,,,,,,,,,,,256.99,,,
2004-05-20 21:47:56.357000,L5,,,,,,,,,,,,,,268.84,264.89,,,
2004-08-24 21:50:29.935000,L5,,,,189.63,366.55,307.16,229.48,151.94,231.55,310.31,292.98,194.85,260.98,327.42,321.96,,,255.73
2004-10-20 21:45:40.625000,L5,,,,,344.91,302.87,300.34,287.28,306.00,298.97,290.27,204.84,296.01,332.46,345.56,,,252.01
2004-12-07 21:46:35.869000,L5,,,,,,,,,,,,,,291.04,280.13,,,
2005-01-15 21:53:21.356000,L5,,,,164.57,364.19,295.58,223.66,,186.39,310.29,252.67,186.22,272.31,316.39,324.93,,,261.45
2005-02-09 21:47:31.401000,L5,,,,,332.01,307.42,291.47,,152.05,264.07,213.56,178.26,249.88,313.35,347.93,,,227.99
2005-03-13 21:47:59.531000,L5,,,,,,,,,,,,168.43,193.37,280.87,325.78,,,
2005-04-05 21:54:19.058000,L5,,,,,,,,,,,,,,299.39,277.91,,,
2005-09-28 21:55:20.450000,L5,,,,,,,,,,,,,,199.83,263.52,,,
