dates,nzd0351-0000,nzd0351-0001,nzd0351-0002,nzd0351-0003,nzd0351-0004,nzd0351-0005,nzd0351-0006,nzd0351-0007,nzd0351-0008,nzd0351-0009,nzd0351-0010,nzd0351-0011,nzd0351-0012,nzd0351-0013,nzd0351-0014,nzd0351-0015,nzd0351-0016,nzd0351-0017,nzd0351-0018,nzd0351-0019,nzd0351-0020,nzd0351-0021,nzd0351-0022,nzd0351-0023,nzd0351-0024,nzd0351-0025,nzd0351-0026,nzd0351-0027,nzd0351-0028,nzd0351-0029,nzd0351-0030,nzd0351-0031,nzd0351-0032,nzd0351-0033,nzd0351-0034,nzd0351-0035,nzd0351-0036,nzd0351-0037,nzd0351-0038,nzd0351-0039,nzd0351-0040,nzd0351-0041,nzd0351-0042,nzd0351-0043,nzd0351-0044,nzd0351-0045,nzd0351-0046,nzd0351-0047,nzd0351-0048,nzd0351-0049,nzd0351-0050,nzd0351-0051,nzd0351-0052,nzd0351-0053,nzd0351-0054,nzd0351-0055,nzd0351-0056,nzd0351-0057,nzd0351-0058,nzd0351-0059,nzd0351-0060,nzd0351-0061,nzd0351-0062,nzd0351-0063,nzd0351-0064,nzd0351-0065,nzd0351-0066,nzd0351-0067,nzd0351-0068,nzd0351-0069,nzd0351-0070,nzd0351-0071,nzd0351-0072,nzd0351-0073,nzd0351-0074,nzd0351-0075,nzd0351-0076,nzd0351-0077,nzd0351-0078,nzd0351-0079,nzd0351-0080,nzd0351-0081,nzd0351-0082,nzd0351-0083,nzd0351-0084,nzd0351-0085,nzd0351-0086,nzd0351-0087,nzd0351-0088,nzd0351-0089,nzd0351-0090,nzd0351-0091,nzd0351-0092,nzd0351-0093,nzd0351-0094,nzd0351-0095,nzd0351-0096,nzd0351-0097,nzd0351-0098,nzd0351-0099,nzd0351-0100,nzd0351-0101,nzd0351-0102,nzd0351-0103,nzd0351-0104,nzd0351-0105,nzd0351-0106,nzd0351-0107,nzd0351-0108,nzd0351-0109,nzd0351-0110,nzd0351-0111,nzd0351-0112,nzd0351-0113,nzd0351-0114,nzd0351-0115,nzd0351-0116,nzd0351-0117,nzd0351-0118,nzd0351-0119,nzd0351-0120,nzd0351-0121,nzd0351-0122,nzd0351-0123,nzd0351-0124,nzd0351-0125,nzd0351-0126,nzd0351-0127,nzd0351-0128,nzd0351-0129,nzd0351-0130,nzd0351-0131,nzd0351-0132,nzd0351-0133,nzd0351-0134,nzd0351-0135,nzd0351-0136,nzd0351-0137,nzd0351-0138,nzd0351-0139,nzd0351-0140,nzd0351-0141,nzd0351-0142,nzd0351-0143,nzd0351-0144,nzd0351-0145,nzd0351-0146,nzd0351-0147,nzd0351-0148,nzd0351-0149,nzd0351-0150,nzd0351-0151,nzd0351-0152,nzd0351-0153,nzd0351-0154,nzd0351-0155,nzd0351-0156,nzd0351-0157,nzd0351-0158,nzd0351-0159,nzd0351-0160,nzd0351-0161,nzd0351-0162,nzd0351-0163,nzd0351-0164,nzd0351-0165,nzd0351-0166,nzd0351-0167,nzd0351-0168,nzd0351-0169,nzd0351-0170,nzd0351-0171,nzd0351-0172,satname
1999-08-17 22:12:26+00:00,,,,,226.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-08-26 22:06:20+00:00,,,,,226.56,,,,,,,,,,,202.65,,,233.76,,,,,204.29,202.41,197.93,205.75,,202.31,196.15,,,,,228.6,,223.61,221.42,210.41,213.81,216.48,,,,,,,194.97,195.91,249.61,259.05,,,,,,,246.91,,,195.04,,,,,,207.97,,255.55,,,,188.29,,,,,,274.38,,,,,,,,169.95,,,,,,,,,,,157.01,171.63,,183.92,,183.67,167.01,,178.36,177.14,,,248.23,248.84,,199.47,,246.04,,,,182.5,,,246.98,195.41,190.69,190.49,172.93,191.76,219.94,221.93,,,,,,,,,,,,,,,,,,289.79,,,187.06,,,,,,,,,,,,,,,,,180.47,192.31,188.98,,,,,L7
1999-09-18 22:12:27+00:00,,,,250.69,222.78,216.7,226.25,228.44,,,,,,262.49,,202.65,,,233.76,,,,,204.29,202.41,197.93,205.75,,202.31,196.15,,,,,228.6,,223.61,221.42,210.41,213.81,216.48,,,,,,,194.97,195.91,249.61,259.05,,,,,,,245.8,,,195.04,,316.76,,303.27,,207.97,,255.55,,,,188.29,,,,,,274.38,206.92,211.28,196.97,,,,,185.67,,,274.35,,,,,,,,157.01,190.29500000000002,212.68,183.92,,183.67,167.01,,178.36,195.685,,,248.23,236.62,,199.47,,246.04,,,,182.5,,,246.98,195.41,190.69,190.49,172.93,191.76,219.94,221.93,,,,,,,326.11,,,,,,,,,,,289.79,,,187.06,,,319.15,,,,,,,,,,,,,,180.47,192.31,181.925,,,204.57,212.69,L7
1999-10-13 22:06:24+00:00,,,,250.69,222.78,216.7,226.25,228.44,,,,304.88,286.62,279.15999999999997,,206.0,194.16,192.03,216.015,,,,,198.765,192.85500000000002,194.845,197.825,,196.18,187.155,190.86,190.08,192.65,188.78,210.125,178.5,210.75,207.37,201.88,203.87,204.58999999999997,236.09,,,,,,194.97,195.91,249.61,259.05,,,,,,,246.9433333333333,,,195.04,,316.76,,312.0,,207.97,,242.385,,,,188.29,,,,,,283.55,220.99,224.54000000000002,196.97,248.61,246.39,,,185.67,,,286.37,,,,,,,,157.01,190.29500000000002,212.68,183.92,,183.67,167.01,,178.36,195.685,,,248.23,236.62,,199.47,,246.04,,,,182.5,,,246.98,195.41,190.69,190.49,180.7,191.76,219.94,221.93,,,216.92,,,,307.53,,,,211.7,,,,,,,274.115,255.7,,187.06,,,313.4,,,,,,,,,,,,,191.24,195.95999999999998,189.61,195.76333333333332,,,204.57,212.69,L7
1999-11-21 22:12:24+00:00,,,,250.69,222.78,216.7,211.84,210.49,,,275.37,304.88,286.62,279.15999999999997,,211.01666666666665,186.34,209.66500000000002,216.57333333333335,,,,,199.82333333333335,192.28,196.10333333333332,194.86,,203.16,195.44333333333336,198.745,202.58,201.65,206.57,215.65,193.345,210.75,207.37,201.88,203.87,212.47333333333333,236.29500000000002,,,245.71,225.85,257.0,210.575,212.66,241.03,254.275,,229.35,219.07,213.94,223.35,222.84,238.1325,217.12,234.94,210.595,222.11,301.98,,312.0,191.94,215.81,176.2,242.385,180.9,184.35,180.19,187.805,198.44,203.17,186.44,167.59,176.88,283.55,212.54666666666665,218.92666666666665,206.07,240.29000000000002,240.45499999999998,,,185.67,,,286.37,171.57,186.83,178.13,191.6,,,,169.32999999999998,183.54,215.55,178.175,,190.57999999999998,183.555,,188.79000000000002,196.20666666666668,,,232.035,224.57666666666668,217.2,201.61,,230.57,225.31,,269.23,198.42000000000002,,,238.32,200.945,176.005,181.26,178.36,193.45,205.115,210.65,,232.21,205.45499999999998,,197.18,,307.53,212.47,210.03,207.27,201.445,,,,,,,274.115,248.18,,186.835,,,313.4,,,,,,,,,,,,,191.24,195.95999999999998,189.61,195.76333333333332,,,204.57,212.69,L7
2000-01-17 22:06:11+00:00,,,,250.69,222.78,216.7,211.84,210.49,,,275.37,304.88,286.62,279.15999999999997,,211.01666666666665,186.34,209.66500000000002,216.57333333333335,,,,,199.82333333333335,192.28,196.10333333333332,194.86,,203.16,195.44333333333336,198.745,202.58,201.65,206.57,215.65,209.98333333333335,210.75,226.74,215.15333333333334,212.53666666666666,217.195,234.04999999999998,,,227.57,223.825,237.4,217.49666666666667,216.37,233.18999999999997,240.25,,215.11,211.39,214.23000000000002,215.5,213.315,229.21599999999998,205.805,217.825,208.98333333333335,215.09500000000003,301.98,,312.0,195.245,212.87,190.14,228.00333333333333,188.76,188.93,186.14,188.75,193.7,202.02499999999998,190.345,186.2,188.805,283.55,204.6725,210.995,198.29,224.21,240.45499999999998,,,183.57666666666668,,,286.37,174.12,180.8,177.675,208.375,251.99,279.84,271.36,169.32999999999998,183.54,215.55,178.175,270.25,191.85999999999999,186.47333333333333,,186.41,196.20666666666668,260.27,279.22,232.035,224.57666666666668,222.14499999999998,218.76,258.29,244.99333333333334,225.31,,269.23,198.42000000000002,,,238.32,200.945,176.005,181.26,178.36,193.45,205.115,210.65,,232.21,205.45499999999998,,197.18,,307.53,212.47,194.685,192.46,194.45666666666668,,,,,,237.83,274.115,248.18,,185.76666666666665,257.51,252.52,313.4,,,,,,,,,,,,,200.38,197.62333333333333,200.56000000000003,202.3525,,,199.655,212.81,L7
2000-02-18 22:06:05+00:00,,307.89,281.41,263.36,219.0,230.43,222.3166666666667,224.47333333333333,,,266.095,288.015,302.69,293.39000000000004,,211.01666666666665,186.34,231.91666666666666,227.1375,,244.31,252.44,257.69,212.665,209.245,196.10333333333332,209.85,277.25,222.325,214.055,229.57000000000002,202.58,228.46333333333334,206.57,228.725,222.31,210.75,239.235,228.27749999999997,212.53666666666666,217.195,234.04999999999998,267.94,269.34,227.57,223.825,247.70666666666668,231.03,232.2825,233.18999999999997,240.25,288.03,215.11,237.74,228.85666666666668,230.57333333333335,226.89333333333335,233.51999999999998,205.805,232.0533333333333,222.84,215.09500000000003,294.41,266.43,290.5,211.75333333333333,221.8125,211.9,232.6375,211.51,209.48000000000002,186.14,188.75,212.42999999999998,202.02499999999998,190.345,186.2,188.805,266.7866666666667,212.68200000000002,219.096,213.5925,232.145,245.01333333333332,259.41,242.5,183.57666666666668,239.57,220.21,273.70666666666665,174.12,199.66666666666666,177.675,208.375,240.505,259.98,255.075,189.5666666666667,191.8,228.01333333333332,178.175,276.425,191.85999999999999,186.47333333333333,,186.41,196.20666666666668,267.115,268.37,234.17,224.57666666666668,222.14499999999998,218.76,274.45500000000004,244.5425,239.055,,263.22,198.42000000000002,,263.27,244.70666666666668,200.945,176.005,181.26,178.36,193.45,205.115,210.65,252.24,239.875,205.45499999999998,241.9,208.345,,307.53,223.59,194.685,192.46,194.45666666666668,,250.39,259.89,270.2,,249.73000000000002,268.65333333333336,255.82000000000002,244.69,203.0675,260.895,256.885,298.7366666666667,,,212.17,199.69,,,207.9,226.92,,192.83,,196.01,199.45000000000002,197.0675,200.56000000000003,211.406,,,209.67666666666665,227.42,L7
2000-02-25 22:12:13+00:00,333.8,303.22,284.345,261.50666666666666,228.93,232.89,221.6425,224.75,224.1,,266.095,288.015,302.69,293.39000000000004,,224.52333333333334,186.34,233.85,224.6225,,241.97,243.555,247.505,220.13750000000002,217.22500000000002,208.09,216.7375,257.665,237.40500000000003,233.2975,240.585,202.58,232.28,219.93666666666664,232.075,225.01399999999998,214.40499999999997,244.99,243.20749999999998,211.9,217.4333333333333,234.04999999999998,257.775,258.15,233.65666666666667,234.18999999999997,247.975,246.83499999999998,243.7075,224.97999999999996,230.85,288.79499999999996,215.11,244.2125,234.96750000000003,232.99,233.5325,233.3233333333333,205.805,231.67499999999998,238.98000000000002,215.09500000000003,284.87,254.615,274.0325,217.73000000000002,223.83249999999998,215.45499999999998,226.35000000000002,218.52249999999998,212.95,186.14,188.98000000000002,215.39499999999998,204.84333333333333,203.65,197.02666666666667,194.34666666666666,249.11666666666667,215.05999999999997,218.735,216.78000000000003,230.2,242.21,241.3,223.23000000000002,194.36666666666665,222.785,213.03500000000003,258.435,186.01,203.4725,190.9466666666667,210.45000000000002,235.37,243.50666666666666,245.82333333333335,210.99,200.16250000000002,225.425,172.43,256.6366666666667,202.49666666666667,202.38666666666666,,202.87,210.78,257.2733333333333,253.18666666666664,232.59333333333333,220.71666666666667,223.0,226.03666666666666,274.45500000000004,237.1225,232.37333333333333,,251.51,224.585,,255.605,249.16,206.48,161.32,172.03,181.07500000000002,195.14,190.29,199.37,246.89,238.05666666666664,214.88666666666666,232.785,208.345,,307.53,223.59,194.685,192.46,194.45666666666668,,250.39,259.89,270.2,,249.73000000000002,258.08500000000004,255.82000000000002,244.69,208.40333333333334,260.895,256.885,298.7366666666667,,,212.17,199.69,,,207.9,226.92,,192.83,,196.01,199.45000000000002,202.6,204.68500000000003,218.41799999999998,,,209.67666666666665,227.42,L7
2000-03-21 22:06:01+00:00,333.8,281.2233333333333,268.4066666666667,256.18666666666667,254.005,244.27666666666667,217.01500000000001,220.945,218.495,,270.9633333333333,288.015,315.53,315.04,350.94,260.88,186.34,233.85,224.6225,,252.43666666666664,243.555,247.505,220.13750000000002,217.22500000000002,217.14249999999998,223.79000000000002,252.87,245.87000000000003,251.208,259.206,202.58,232.28,219.93666666666664,232.075,225.01399999999998,214.40499999999997,244.99,243.20749999999998,211.9,217.4333333333333,234.04999999999998,257.775,242.0533333333333,233.65666666666667,234.18999999999997,247.975,246.83499999999998,243.7075,224.97999999999996,230.85,288.79499999999996,215.25333333333333,241.31,234.24,228.908,231.56599999999997,231.19000000000003,205.805,231.67499999999998,254.62000000000003,215.09500000000003,274.24,254.58333333333334,262.025,227.71599999999998,223.83249999999998,215.45499999999998,232.0,225.18,212.95,186.14,188.98000000000002,215.39499999999998,204.84333333333333,203.65,215.88,194.34666666666666,249.11666666666667,212.50333333333333,215.62166666666667,217.602,229.71833333333333,240.68,248.53,221.39666666666668,190.85499999999996,222.785,219.54666666666665,250.7875,200.12,211.97600000000003,190.9466666666667,210.45000000000002,235.37,243.50666666666666,245.82333333333335,210.99,197.23000000000002,218.95499999999998,170.465,239.02,203.62,204.48250000000002,163.88,208.0025,208.85999999999999,257.2733333333333,237.6975,232.59333333333333,218.875,223.0,226.03666666666666,274.3766666666667,237.1225,238.6775,267.13,254.58,236.27666666666667,,264.17,259.78,206.48,161.32,172.03,181.07500000000002,201.67,197.255,192.64499999999998,240.0666666666667,237.95749999999998,214.88666666666666,232.785,208.345,,288.95,223.59,194.685,192.46,194.45666666666668,,258.445,276.39,279.65999999999997,,249.73000000000002,258.08500000000004,255.82000000000002,244.69,208.40333333333334,260.895,256.885,288.53000000000003,231.83,223.67,229.3,209.54,,,209.45,215.625,220.58,211.45,235.71,212.16,202.3475,202.6,204.68500000000003,229.30499999999998,,,215.70666666666668,232.67,L7
2000-05-24 22:05:22+00:00,317.845,275.35,268.4066666666667,256.18666666666667,254.005,244.27666666666667,218.1125,221.9075,210.82333333333335,187.07,245.72333333333333,265.33,329.98499999999996,327.99,355.66499999999996,306.55999999999995,,258.03499999999997,234.9433333333333,,252.43666666666664,243.555,247.505,242.685,247.235,239.09499999999997,246.70666666666668,252.87,274.06,288.3175,298.58500000000004,,262.90999999999997,246.67,254.975,238.13,221.71499999999997,262.2133333333333,259.82666666666665,229.87,231.36,229.56,257.775,242.0533333333333,227.63,238.35999999999996,268.075,253.72,248.47333333333336,217.51,212.2,288.79499999999996,208.20499999999998,246.87,231.234,230.29749999999999,233.74749999999997,231.5525,194.49,230.58666666666667,261.7375,205.94,267.76,254.58333333333334,242.45666666666662,236.65999999999997,223.89333333333332,228.53999999999996,232.695,236.25000000000003,222.48333333333332,192.09,190.64,221.04666666666662,205.68,212.25500000000002,231.97666666666666,203.07999999999998,227.315,211.07500000000002,212.0575,218.21,224.43249999999998,240.83000000000004,248.53,221.39666666666668,190.85499999999996,222.785,232.525,245.5325,209.63666666666668,218.26250000000002,197.35500000000002,219.875,235.37,243.50666666666666,245.82333333333335,225.66000000000003,210.83000000000004,208.0925,179.29500000000002,227.648,199.22750000000002,200.355,174.14,204.9975,202.43666666666664,257.2733333333333,226.76999999999998,240.97,237.26,215.16333333333333,221.04333333333332,274.3766666666667,233.1,245.5475,277.14,257.9125,260.4166666666667,,264.17,269.82,178.9,179.84,178.9,175.2,198.195,193.5,183.475,227.1075,239.8733333333333,233.75,232.785,202.44,,,234.71,175.63,181.675,177.29500000000002,,258.445,276.39,279.65999999999997,,249.73000000000002,257.73,271.1,244.69,219.29999999999998,260.895,256.885,269.41,231.83,223.67,229.3,209.54,,,209.45,215.625,220.58,211.45,235.71,212.16,206.04999999999998,198.175,222.46,231.26,,,215.70666666666668,232.67,L7
