dates,nzd0353-0000,nzd0353-0001,nzd0353-0002,nzd0353-0003,nzd0353-0004,nzd0353-0005,nzd0353-0006,nzd0353-0007,nzd0353-0008,nzd0353-0009,nzd0353-0010,nzd0353-0011,nzd0353-0012,nzd0353-0013,nzd0353-0014,nzd0353-0015,nzd0353-0016,nzd0353-0017,nzd0353-0018,nzd0353-0019,nzd0353-0020,nzd0353-0021,nzd0353-0022,nzd0353-0023,nzd0353-0024,nzd0353-0025,nzd0353-0026,nzd0353-0027,nzd0353-0028,nzd0353-0029,nzd0353-0030,nzd0353-0031,nzd0353-0032,nzd0353-0033,nzd0353-0034,nzd0353-0035,nzd0353-0036,nzd0353-0037,nzd0353-0038,nzd0353-0039,nzd0353-0040,nzd0353-0041,nzd0353-0042,nzd0353-0043,nzd0353-0044,nzd0353-0045,nzd0353-0046,nzd0353-0047,nzd0353-0058,nzd0353-0059,nzd0353-0060,nzd0353-0061,nzd0353-0062,nzd0353-0063,nzd0353-0064,nzd0353-0065,nzd0353-0066,nzd0353-0067,nzd0353-0068,nzd0353-0069,nzd0353-0070,nzd0353-0071,nzd0353-0072,nzd0353-0088,nzd0353-0089,nzd0353-0090,nzd0353-0091,nzd0353-0092,nzd0353-0093,nzd0353-0094,nzd0353-0095,nzd0353-0096,nzd0353-0097,nzd0353-0098,nzd0353-0099,nzd0353-0100,nzd0353-0101,nzd0353-0102,nzd0353-0103,nzd0353-0104,nzd0353-0105,nzd0353-0106,nzd0353-0107,nzd0353-0108,nzd0353-0109,nzd0353-0138,nzd0353-0139,nzd0353-0140,nzd0353-0141,nzd0353-0142,nzd0353-0143,nzd0353-0144,nzd0353-0145,nzd0353-0146,nzd0353-0147,nzd0353-0148,nzd0353-0149,nzd0353-0150,nzd0353-0151,nzd0353-0152,nzd0353-0153,nzd0353-0154,nzd0353-0155,nzd0353-0156,nzd0353-0157,nzd0353-0158,nzd0353-0054,nzd0353-0055,nzd0353-0056,nzd0353-0057,nzd0353-0073,nzd0353-0074,nzd0353-0075,nzd0353-0076,nzd0353-0077,nzd0353-0078,nzd0353-0079,nzd0353-0080,nzd0353-0081,nzd0353-0082,nzd0353-0083,nzd0353-0084,nzd0353-0085,nzd0353-0086,nzd0353-0087,nzd0353-0110,nzd0353-0111,nzd0353-0112,nzd0353-0113,nzd0353-0114,nzd0353-0118,nzd0353-0119,nzd0353-0120,nzd0353-0121,nzd0353-0122,nzd0353-0123,nzd0353-0125,nzd0353-0126,nzd0353-0127,nzd0353-0128,nzd0353-0129,nzd0353-0130,nzd0353-0131,nzd0353-0132,nzd0353-0133,nzd0353-0134,nzd0353-0135,nzd0353-0136,nzd0353-0137,nzd0353-0051,nzd0353-0052,nzd0353-0053,nzd0353-0115,nzd0353-0116,nzd0353-0124,nzd0353-0162,nzd0353-0159,nzd0353-0160,nzd0353-0117,nzd0353-0161,nzd0353-0048,nzd0353-0049,nzd0353-0050
1999-08-28 21:53:59+00:00,,,,,,,,,,,,,,,,,322.77,318.35,290.33,,,,254.62,328.67,,212.94,221.36,307.06,269.12,,,261.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-29 21:54:04+00:00,,,,,,,,,,,,,,,,,322.77,318.35,290.33,,,,254.62,328.67,,212.94,221.36,307.06,269.12,,,261.16,,,,,,,,,,,,,,,233.96,211.01,263.77,285.17,,,,,293.1,,,,,,,295.07,,,,,,,246.34,,240.43,246.78,241.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-09 22:00:09+00:00,,,,,,,,,,,,,,,,,322.77,318.35,290.33,,,,254.62,328.67,,212.94,221.36,307.06,269.12,,,261.16,,,,,,,,,201.32,,,,,,233.96,211.01,263.77,285.17,,,,,293.1,,,,,,,295.07,,,,,,,246.34,,240.43,246.78,241.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.47,352.73,,,,,,,,,,,,,,,,,,,,,,338.36,,,,,317.23,,,,
2000-01-19 21:53:49+00:00,,,,,,,,,,,,218.94,,,,,322.77,318.35,290.33,,,,254.62,328.67,,251.06,225.60000000000002,302.405,269.12,182.26,302.38,266.525,,212.9,198.64,,,,,,201.32,,,,,,233.96,211.01,263.77,285.17,,,,,293.1,,,,,,,295.07,,,,,,,246.34,,240.43,246.78,241.31,,,253.58,,,,,,,,,,,,,,,,,267.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.95,,,,266.47,352.73,323.05,,,,,,,,,,,,,,,,,,,,,338.36,,,,,317.23,,,,
2000-01-26 22:00:02+00:00,,,,,,,,,,,,218.94,,,,,322.77,318.35,290.33,,,,254.62,328.67,,251.06,225.60000000000002,302.405,269.12,182.26,302.38,266.525,,212.9,198.64,,,,,,201.32,,,,,,233.96,211.01,263.77,285.17,,,,,293.1,,,,,,,295.07,,,,,,,246.34,,249.655,246.78,241.31,,,253.58,,,,,,,,,,,232.37,198.87,196.93,278.88,253.39,242.07,260.085,266.62,273.49,262.95,282.51,274.45,233.15,214.31,225.59,218.04,215.13,237.76,241.1,269.46,,,,,,,,,,,,,,,,,,,,,265.95,,,,266.47,352.73,323.05,,,,,,,,,,,,,,,,,,,,,338.36,,,269.57,,317.23,,,,
2000-02-11 21:59:57+00:00,,,,,,,,,,,,218.94,,,,,322.77,318.35,290.33,,,,254.62,328.67,,251.06,225.60000000000002,302.405,269.12,182.26,302.38,266.525,,212.9,198.64,,,,,,201.32,,,,,,233.96,211.01,263.77,285.17,,,,,293.1,,,,,,,295.07,,,,,,258.27,256.035,,253.10333333333332,246.78,241.31,,,253.58,,,,,,,,,,,234.65,203.815,197.95,284.83,267.185,257.26,266.13666666666666,267.935,278.4,265.485,285.06,275.89,232.94,215.54500000000002,228.735,224.20499999999998,223.475,245.96499999999997,251.51,269.33,,,,,,,,,,,,,,,,,,,,,265.95,,,,266.47,352.73,323.05,,,,,,,,,,,,,,,,,,,,,338.36,,320.22,271.81,296.64,317.23,330.35,,,
2000-02-27 21:59:52+00:00,,,,,,,,,,,,218.94,,,,,,,,,,,,,,289.18,229.84,297.75,,182.26,302.38,271.89,,212.9,198.64,,,,,,201.32,,,,,,233.96,211.01,263.77,285.17,,,,,293.1,,,,,,,295.07,,,,,,258.27,256.035,,253.10333333333332,246.78,241.31,,,253.58,,,,,,,,,,,232.87,203.815,197.95,284.83,267.185,257.26,266.13666666666666,267.935,278.4,265.485,285.06,275.89,230.72333333333333,212.92333333333332,228.00333333333333,224.20499999999998,223.475,245.96499999999997,255.49333333333334,269.72666666666663,,,,,,,,,,,,,,,,,,,,,265.95,,,,266.47,352.73,323.05,,,,,,,,,,,,,,,,,,,,,338.36,,315.67,271.56333333333333,292.91499999999996,317.23,326.115,,,
2000-03-30 21:59:45+00:00,,,,,,,,,,,,218.94,,,,,,,,,,,,,,289.18,229.84,297.75,,182.26,302.38,271.89,,212.9,198.64,,,,,,201.32,,,,,,,,,,,,,,,,,,,,,,,,,,,258.27,265.73,,259.43999999999994,,,,,253.58,,,,,,,,,,,232.87,203.815,197.95,286.14,267.185,257.26,267.8325,268.37333333333333,276.67333333333335,265.55333333333334,284.3666666666667,275.89,228.59,212.92333333333332,226.555,223.47,221.99333333333334,245.26666666666665,255.49333333333334,269.72666666666663,,,,,,,,,,,,,,,,,,,,,265.95,,,,266.47,352.73,323.05,,,,,,,,,,,,,,,,,,,,,338.36,,315.54333333333335,271.56333333333333,292.91499999999996,317.23,325.3566666666666,,,
2000-04-15 21:59:31+00:00,,,,,,,,,,,,218.94,,,,,,,,,,,,,,289.18,229.84,297.75,,182.26,302.38,271.89,,212.9,198.64,,,,,,201.32,,,,,,,,,,,,,,,,,,,,,,,,,,,258.27,265.73,,259.43999999999994,252.77,,,,253.58,,,,,,,,,,,232.87,203.815,197.95,286.14,267.185,257.26,266.764,269.95,277.0825,267.055,286.58000000000004,275.89,228.154,213.66750000000002,227.17799999999997,214.8825,222.11,245.89249999999998,255.99,269.725,,,,,,,,,,,,,,,,,,,,,265.95,,,,266.47,352.73,323.05,,,,,,,,,,,,,,,,,,,,,338.36,,312.285,271.105,294.34666666666664,317.23,329.1225,,,
2000-05-01 21:59:30+00:00,,,,,,,,,,,,218.94,,,,,,,,,,,,,,289.18,229.84,297.75,,182.26,302.38,271.89,,212.9,198.64,,,,,,201.32,,,,,,,,,,,,,,,,,,,,,,,,,,,258.91999999999996,265.73,,260.66333333333336,252.77,,,,253.58,,,,,,,,,,,232.87,203.815,197.95,286.14,267.185,257.26,266.764,270.672,278.45,266.462,287.11199999999997,275.89,227.70666666666668,212.61999999999998,226.66333333333333,220.34,223.83200000000002,248.18400000000003,256.86400000000003,269.642,,,,,,,,,,,,,,,,,,,,,265.95,,,,266.47,352.73,323.05,,,,,,,,,,,,264.46,,,,,,,,,338.36,,310.236,270.512,293.335,317.23,326.948,,,
