dates,satname,nzd0354-0000,nzd0354-0001,nzd0354-0003,nzd0354-0004,nzd0354-0005,nzd0354-0006,nzd0354-0007,nzd0354-0008,nzd0354-0009,nzd0354-0010,nzd0354-0011,nzd0354-0013,nzd0354-0014,nzd0354-0015,nzd0354-0025,nzd0354-0026,nzd0354-0027,nzd0354-0028,nzd0354-0029,nzd0354-0030,nzd0354-0031,nzd0354-0032,nzd0354-0033,nzd0354-0034,nzd0354-0035,nzd0354-0036,nzd0354-0037,nzd0354-0038,nzd0354-0039,nzd0354-0040,nzd0354-0041,nzd0354-0042,nzd0354-0043,nzd0354-0044,nzd0354-0045,nzd0354-0046,nzd0354-0047,nzd0354-0048,nzd0354-0049,nzd0354-0050,nzd0354-0051,nzd0354-0052,nzd0354-0053,nzd0354-0054,nzd0354-0055,nzd0354-0056,nzd0354-0057,nzd0354-0058,nzd0354-0002,nzd0354-0012,nzd0354-0016,nzd0354-0017,nzd0354-0018,nzd0354-0019,nzd0354-0020,nzd0354-0021,nzd0354-0022,nzd0354-0023,nzd0354-0024,nzd0354-0059,nzd0354-0060,nzd0354-0061,nzd0354-0062,nzd0354-0063,nzd0354-0064,nzd0354-0065
1999-09-20 22:00:08.403000,L7,,,,,,,,,,,,,,,,,,,413.67,403.74,402.00,396.83,387.49,382.71,373.21,385.84,373.73,370.00,361.52,354.59,305.87,321.91,318.76,401.76,400.74,394.59,375.56,378.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-22 22:00:04.598000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.71,399.93,389.82,383.82,387.55,384.03,375.72,366.50,355.29,359.00,351.33,357.25,345.73,339.25,336.46,335.03,320.48,319.87,,,,,,,,,,,,310.28,308.44,298.17,309.03,290.16,288.97,
1999-12-09 22:00:09.551000,L7,,,,,,,,,,,,,,,,,,,416.71,407.74,404.84,405.20,398.31,398.67,386.40,389.22,382.43,377.70,371.15,365.39,356.64,376.80,347.41,358.16,361.53,334.97,330.46,323.99,328.60,347.00,326.84,332.08,305.30,318.48,320.22,304.58,,,,,,,,,,,,,,,,,,,,
1999-12-25 22:00:04.067000,L7,,,,,,,,,,,,,,,,,,415.19,410.95,408.26,402.86,405.52,392.46,396.82,376.29,377.87,370.71,374.61,365.14,356.77,348.89,369.10,353.56,358.40,351.89,361.87,363.72,344.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-26 22:00:02.226000,L7,,,,,,,,,,,,,,,,,,,,407.89,393.90,420.39,414.06,421.10,407.62,397.93,395.98,418.54,408.54,396.44,388.56,358.25,386.69,383.97,360.45,367.07,359.39,360.03,346.76,328.95,332.00,331.19,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-11 21:59:57.866000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.28,388.63,383.52,380.59,373.64,367.94,360.49,369.66,372.00,363.67,356.70,355.39,348.76,338.77,324.58,322.05,,,,,,,,,,,,315.79,308.79,307.95,294.64,296.08,280.68,
2000-02-27 21:59:52.393000,L7,268.18,300.43,373.16,358.28,347.43,374.94,361.52,346.97,338.14,323.23,314.47,381.25,390.79,299.03,407.02,401.20,392.93,390.82,390.86,380.72,388.51,416.37,417.29,412.90,410.06,390.62,388.14,385.01,351.59,373.74,366.95,367.11,358.37,324.59,349.16,347.29,336.93,342.73,326.04,326.95,316.13,315.82,313.93,306.59,306.17,303.59,289.20,285.85,,,,,,,,,,,,,,,,,,
2000-03-14 21:59:47.162000,L7,,,,,,,,,,,,,,,,391.91,402.09,389.52,377.84,382.70,382.43,387.95,363.93,380.40,351.65,350.08,344.33,359.91,346.88,320.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-30 21:59:45.397000,L7,,,,,,,,,,,,,,,,,,,410.14,405.25,403.23,407.64,398.38,404.79,371.64,386.16,379.71,377.16,372.82,354.56,356.20,354.29,345.38,340.88,333.27,335.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-15 21:59:31.785000,L7,,,,,,,,,,,,,,,,,,,,,416.37,416.69,412.19,413.75,404.78,395.82,395.42,406.88,412.75,382.59,385.01,363.78,359.74,353.99,351.47,349.96,338.15,333.53,335.78,333.14,319.86,320.05,319.10,305.38,298.57,302.75,290.11,289.24,,,,,,,,,,,,,,,,,,
