dates,satname,nzd0355-0001,nzd0355-0002,nzd0355-0003,nzd0355-0004,nzd0355-0010,nzd0355-0011,nzd0355-0012,nzd0355-0013,nzd0355-0014,nzd0355-0015,nzd0355-0016,nzd0355-0017,nzd0355-0005,nzd0355-0006,nzd0355-0007,nzd0355-0008,nzd0355-0009,nzd0355-0018,nzd0355-0019,nzd0355-0020,nzd0355-0021,nzd0355-0022,nzd0355-0023,nzd0355-0024,nzd0355-0025,nzd0355-0026,nzd0355-0027,nzd0355-0028,nzd0355-0029,nzd0355-0030,nzd0355-0031,nzd0355-0032,nzd0355-0033,nzd0355-0034,nzd0355-0035,nzd0355-0036,nzd0355-0037,nzd0355-0038,nzd0355-0039,nzd0355-0040,nzd0355-0041,nzd0355-0042,nzd0355-0043,nzd0355-0044,nzd0355-0045,nzd0355-0046,nzd0355-0047,nzd0355-0048,nzd0355-0049,nzd0355-0050,nzd0355-0051,nzd0355-0052,nzd0355-0053,nzd0355-0102,nzd0355-0055,nzd0355-0056,nzd0355-0054,nzd0355-0057,nzd0355-0058,nzd0355-0059,nzd0355-0060,nzd0355-0092,nzd0355-0093,nzd0355-0094,nzd0355-0095,nzd0355-0096,nzd0355-0097,nzd0355-0061,nzd0355-0062,nzd0355-0063,nzd0355-0064,nzd0355-0065,nzd0355-0098,nzd0355-0099,nzd0355-0100,nzd0355-0101
1999-09-04 22:00:09.953000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.88,378.45,367.69,382.03,356.31,360.07,338.04,339.90,347.23,349.23,,337.45,340.36,341.63,309.95,305.13,293.32,284.66,,,,,,,,,,,,,,,
1999-09-20 22:00:08.403000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.39,373.00,369.69,368.27,364.47,354.69,346.95,355.09,349.49,299.43,338.12,319.98,343.38,318.53,306.29,299.41,302.66,,,,,,,296.21,292.48,,,,,,,
1999-10-22 22:00:04.598000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.74,359.29,360.12,353.67,344.96,343.81,343.70,344.83,,332.71,317.63,345.58,318.69,314.45,298.28,300.64,,,,,,,286.31,,,,,,,,
1999-12-09 22:00:09.551000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.35,383.68,376.55,367.86,364.00,350.03,351.07,358.19,348.17,348.56,345.03,,328.15,318.26,351.21,312.64,309.43,299.60,299.63,,,,,,,314.29,,,,,,,,
2000-02-11 21:59:57.866000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.47,373.10,363.46,357.63,353.07,348.54,342.44,330.95,333.70,324.66,330.47,,326.11,316.31,328.79,304.45,297.41,,,,,,,,,,,,,,,,,
2000-02-27 21:59:52.393000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.88,375.59,362.15,374.18,365.88,349.92,350.48,353.18,343.45,326.01,333.03,,323.70,315.91,337.78,303.76,293.81,,,,,,,,,,,,,,,,,
2000-03-14 21:59:47.162000,L7,274.41,346.86,356.59,358.61,323.89,359.61,322.93,329.54,305.43,317.79,330.78,325.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-30 21:59:45.397000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.95,361.48,360.71,361.92,345.88,347.50,347.60,349.27,366.46,,347.79,315.14,339.27,299.17,296.10,,,,,,,,,,,,,,,,,
2000-04-15 21:59:31.785000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.23,383.78,367.12,376.81,368.29,357.90,363.63,350.43,348.87,351.59,,332.86,318.67,342.78,309.62,303.97,312.28,321.06,,,,,,,317.55,298.85,290.53,327.13,302.86,,,,
2000-05-01 21:59:30.586000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.90,382.10,375.36,364.77,380.55,367.79,350.51,350.49,346.89,347.65,343.79,,353.01,316.49,349.05,321.67,313.79,308.31,300.77,,,,,,,290.68,299.81,302.83,298.60,,,,,
2000-05-17 21:59:19.400000,L7,,,,,,,,,,,,,,,,,,,,,377.08,362.05,362.38,356.67,379.92,371.78,364.69,353.90,366.33,347.13,338.73,331.23,326.88,328.57,324.98,315.78,323.73,322.36,320.64,328.75,319.61,310.62,296.71,297.89,298.80,288.29,282.60,275.79,277.71,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-18 21:59:03.789000,L7,,,,,,,,,,,408.95,399.67,,,,,,402.26,383.60,390.02,379.45,365.41,360.65,354.78,370.02,361.76,356.07,345.12,340.13,333.08,327.06,326.41,329.51,320.87,314.94,319.07,320.45,322.32,312.91,318.45,306.24,298.07,290.09,291.87,288.29,279.91,273.13,273.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-05 21:58:20.584000,L7,,,,,,,,,,,,,,,,,,,,,,366.15,362.58,352.34,359.51,369.68,351.29,352.61,351.03,349.47,334.60,330.37,340.19,330.85,326.41,321.26,328.35,327.86,318.99,325.47,306.57,301.28,293.79,311.34,298.08,283.71,280.03,291.30,272.72,280.91,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-24 21:57:29.684000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.82,398.16,388.88,386.55,376.01,375.87,365.80,372.76,,367.35,362.75,361.80,354.42,348.12,340.33,339.11,337.41,324.17,311.52,312.56,303.35,324.85,324.99,323.72,320.00,,288.64,,306.82,,,,,,,,,,,,,,,,,,,
2000-11-25 21:57:34.931000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.73,385.36,376.71,373.15,360.83,361.97,352.37,348.00,339.33,343.86,333.46,334.70,,319.24,305.79,331.10,294.46,291.14,,,,,,,,,,,,,,,,,
2000-12-11 21:57:36.803000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.98,364.14,357.96,365.42,356.61,348.90,329.59,327.82,324.23,319.00,314.48,295.23,292.68,297.23,284.08,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-13 21:57:39.607000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384.67,375.63,374.61,360.00,344.53,353.71,347.71,345.33,343.08,338.34,342.06,329.60,,320.17,309.19,330.35,296.64,286.47,,,,,,,,,,,,,,,,,
2001-04-02 21:57:18.479000,L7,,,,,,,,,,,,,,,,,,,,,,357.56,362.84,347.96,363.25,399.91,386.99,378.77,403.52,395.92,357.46,374.78,356.92,375.68,362.01,368.04,346.49,354.36,356.20,339.83,320.53,325.39,301.69,311.94,296.15,299.82,284.24,277.57,283.86,282.19,278.28,,,,,,,,,,,,,,,,,,,,,,,,,
2001-05-20 21:57:04.892000,L7,,,,,,,,,,,,,,,,,,,,,397.80,360.31,321.61,367.05,359.51,411.43,386.15,391.89,402.69,352.38,354.94,338.29,332.66,356.96,313.66,347.36,363.30,359.37,350.61,342.65,329.26,326.62,307.26,318.99,310.11,311.06,289.86,276.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-05 21:56:52.440000,L7,,,404.81,391.98,,,,,,,,,359.65,428.53,330.42,,,,376.85,392.31,394.77,395.92,356.48,330.49,385.51,381.40,381.01,362.65,406.26,416.55,395.90,358.72,343.61,345.60,337.60,323.28,352.36,,,319.63,334.02,304.28,287.60,315.80,331.42,305.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-07-07 21:56:36.067000,L7,,,,,,,,,,,411.62,392.28,,,,,,376.31,365.58,345.18,326.91,332.32,302.73,318.63,310.00,339.32,331.35,307.78,322.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-08 21:56:12.984000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.01,379.71,369.47,370.11,362.91,375.22,369.87,374.86,353.13,331.53,305.62,311.19,329.39,299.14,306.30,296.73,,,,,,,,,,,,,,,,,,,,,,,
2001-08-24 21:56:00.447000,L7,,,,,422.94,410.62,396.05,399.90,394.90,367.96,382.17,362.30,,,,,401.29,366.11,352.34,357.13,341.00,339.87,337.89,327.70,339.64,340.99,328.96,327.35,328.49,307.30,298.56,303.24,283.29,292.83,286.72,276.13,286.01,297.16,278.50,306.40,285.45,261.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-25 21:55:40.572000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.20,389.03,382.85,378.90,368.26,364.46,356.37,356.05,351.44,344.15,349.70,353.59,,324.75,315.11,339.57,300.68,297.19,,,,,,,,,,,,,,,,,
2001-12-30 21:55:49.115000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.68,380.79,373.35,362.71,354.89,351.20,344.45,337.35,348.01,357.52,347.65,,327.88,315.09,349.71,302.69,288.06,,,,,,,,,,,,,,,,,
2002-01-15 21:55:59.365000,L7,,,,,,,,,,,,,,,,,,,,,387.66,359.92,363.89,364.82,373.99,380.44,366.68,357.44,337.50,365.91,332.92,346.62,339.40,325.33,324.80,318.35,317.30,320.92,342.76,318.67,315.33,297.39,294.99,298.88,298.60,306.87,273.68,271.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-04 21:56:09.860000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.29,375.00,358.73,367.33,368.31,355.45,362.28,340.45,341.57,336.32,333.55,,321.70,303.12,329.74,297.73,291.92,,,,,,,,,,,,,,,,,
2002-05-07 21:56:03.729000,L7,,,,,,,,,,,,,,,,,,414.03,400.53,382.18,370.24,366.04,367.32,355.64,371.44,356.60,353.14,335.72,336.66,333.82,319.83,319.15,315.23,318.69,319.97,313.05,306.94,309.66,303.17,302.96,290.31,284.95,266.53,266.24,272.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-08-27 21:55:12.096000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.45,375.14,368.03,362.37,360.55,348.32,363.23,363.73,,368.24,338.11,360.02,312.69,302.10,295.85,288.72,,,,,,,278.84,,,,,,,,
2002-09-12 21:55:07.575000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.56,377.52,361.59,358.60,347.43,344.65,339.25,345.79,362.17,356.21,,358.95,313.49,374.02,314.88,300.37,,,,,,,,,,,,,,,,,
2002-10-14 21:54:55.882000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.40,348.09,348.34,340.34,345.59,328.26,356.13,350.28,367.22,324.44,294.43,289.57,325.75,296.86,311.67,323.96,309.51,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-30 21:55:01.471000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,415.09,415.48,407.05,401.96,396.96,393.65,387.33,381.45,369.83,363.02,357.70,351.94,353.68,344.16,347.47,332.69,328.18,316.07,311.42,307.48,307.41,290.92,282.57,287.12,283.75,276.86,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-02 21:55:34.113000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.13,391.93,370.97,363.78,363.31,351.20,360.25,356.26,346.74,341.49,344.87,329.14,322.79,319.58,317.60,306.34,298.88,295.11,288.40,292.41,290.92,292.71,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-18 21:55:42.118000,L7,,,,373.84,,,,,,,,,366.73,346.58,373.37,423.20,388.13,,359.59,366.60,344.78,311.92,313.33,315.91,358.86,363.16,346.15,345.43,344.53,307.89,294.91,311.32,342.65,298.31,323.82,317.36,308.54,326.24,341.71,331.66,298.15,313.13,328.38,316.77,321.03,308.34,291.56,297.95,298.28,299.40,298.22,299.49,293.73,340.83,,,,,,,,,,,,,,,,,,,,,,
2003-02-19 21:55:54.479000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.02,395.23,384.77,384.16,370.45,359.29,356.03,344.27,343.54,339.45,342.28,337.22,325.52,324.50,307.36,311.86,311.52,297.65,285.77,280.96,281.29,277.68,279.53,,,,,,,,,,,,,,,,,,,,,,,,,
2003-03-07 21:55:58.558000,L7,,,,,,,,,,,,,,,,,,,,,392.30,361.07,362.36,349.86,401.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.90,400.39,,,,,,,,,,,,,,,,,,,,
2003-03-23 21:55:52.571000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.84,349.73,344.23,339.71,335.07,312.66,321.93,320.18,318.88,348.28,337.80,320.44,298.98,298.29,297.07,289.62,277.66,272.90,276.34,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-08 21:55:59.443000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.46,344.49,333.90,343.52,323.37,329.55,328.99,322.85,327.32,339.36,317.52,307.71,306.39,293.55,284.69,300.64,288.65,288.29,286.97,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-24 21:55:58.309000,L7,,,365.61,383.60,334.29,302.59,,,,,,,370.29,356.55,342.78,361.69,342.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-21 21:43:45.776000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,396.53,389.14,369.28,374.55,375.26,364.70,343.39,357.07,339.61,329.77,336.91,321.75,329.74,328.34,334.84,321.99,323.95,304.33,311.90,301.79,297.62,282.80,277.31,285.14,278.29,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-28 21:45:57.554000,L5,,,416.90,397.98,407.35,400.59,356.16,386.31,369.55,378.19,380.60,365.80,413.45,384.89,389.74,377.78,425.11,391.11,361.81,368.73,327.58,328.99,326.46,319.48,326.77,315.97,311.81,325.59,326.19,312.23,312.77,304.98,305.11,303.11,286.51,281.38,285.59,293.54,293.76,294.30,273.45,276.52,269.16,273.18,270.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-04-02 21:46:30.745000,L5,,,,,,,,,386.50,409.33,395.74,370.52,,,,,,405.75,378.63,394.04,349.55,344.37,343.61,336.75,354.73,354.30,337.03,325.51,325.58,315.35,305.69,292.51,320.31,311.10,304.93,295.66,299.74,310.60,305.10,306.40,288.00,272.39,262.87,271.26,274.19,267.03,269.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-04-18 21:47:01.335000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.36,381.14,371.13,365.00,338.62,325.87,311.87,321.99,347.69,268.63,252.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-05-20 21:47:56.357000,L5,,,386.35,389.64,,,,,391.28,377.65,378.35,337.84,395.49,390.10,380.49,,,399.91,374.75,353.60,322.67,338.14,331.26,324.76,319.84,354.33,326.32,337.80,312.96,312.57,308.98,303.64,283.75,297.88,298.19,293.26,283.98,301.12,297.46,301.24,291.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-06-05 21:48:24.950000,L5,,,,,,,,,406.52,415.32,416.40,385.13,,,,,,413.13,380.12,387.56,333.28,329.18,326.91,323.73,367.83,362.93,369.10,327.95,337.88,317.29,315.15,307.18,268.29,322.61,298.43,292.32,302.30,316.12,306.27,314.09,293.39,272.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-07-23 21:49:45.084000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,402.91,408.55,389.40,376.08,363.99,371.58,357.44,357.41,353.84,340.51,331.38,340.00,342.38,337.73,344.94,326.15,315.63,303.29,310.39,305.07,295.20,282.38,283.07,281.62,281.69,281.63,,,,,,,,,,,,,,,,,,,,,,,,,
