dates,nzd0357-0000,nzd0357-0001,nzd0357-0002,nzd0357-0003,nzd0357-0004,nzd0357-0005,nzd0357-0006,nzd0357-0007,nzd0357-0008,nzd0357-0009,nzd0357-0010,nzd0357-0011,nzd0357-0012,nzd0357-0013,nzd0357-0027,nzd0357-0028,nzd0357-0029,nzd0357-0030,nzd0357-0031,nzd0357-0044,nzd0357-0045,nzd0357-0046,nzd0357-0014,nzd0357-0015,nzd0357-0016,nzd0357-0017,nzd0357-0018,nzd0357-0019,nzd0357-0020,nzd0357-0021,nzd0357-0022,nzd0357-0023,nzd0357-0024,nzd0357-0025,nzd0357-0026,nzd0357-0032,nzd0357-0033,nzd0357-0034,nzd0357-0035,nzd0357-0037,nzd0357-0038,nzd0357-0039,nzd0357-0040,nzd0357-0041,nzd0357-0042,nzd0357-0043,nzd0357-0036,nzd0357-0047,nzd0357-0048,nzd0357-0049,nzd0357-0050,nzd0357-0051,nzd0357-0052,nzd0357-0053,nzd0357-0054,nzd0357-0055,nzd0357-0056,nzd0357-0057,nzd0357-0058,nzd0357-0059,nzd0357-0060,nzd0357-0061,nzd0357-0062,nzd0357-0063,nzd0357-0113,nzd0357-0114,nzd0357-0115,nzd0357-0117,nzd0357-0118,nzd0357-0119,nzd0357-0120,nzd0357-0121,nzd0357-0122,nzd0357-0123,nzd0357-0124,nzd0357-0104,nzd0357-0105,nzd0357-0106,nzd0357-0107,nzd0357-0108,nzd0357-0109,nzd0357-0110,nzd0357-0111,nzd0357-0112,nzd0357-0064,nzd0357-0116,nzd0357-0067,nzd0357-0068,nzd0357-0069,nzd0357-0070,nzd0357-0071,nzd0357-0072,nzd0357-0073,nzd0357-0098,nzd0357-0099,nzd0357-0100,nzd0357-0101,nzd0357-0066,nzd0357-0065,nzd0357-0074,nzd0357-0078,nzd0357-0079,nzd0357-0080,nzd0357-0081,nzd0357-0082,nzd0357-0083,nzd0357-0084,nzd0357-0085,nzd0357-0086,nzd0357-0087,nzd0357-0088,nzd0357-0089,nzd0357-0102,nzd0357-0103
1999-10-22 22:00:04+00:00,,,224.42,,,,,219.36,281.35,,,,260.56,282.97,,226.85,235.21,260.47,,235.95,236.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-09 22:00:09+00:00,,,209.39499999999998,,,,,219.36,281.35,,,,260.56,282.97,287.24,243.35000000000002,250.39999999999998,278.415,310.48,221.365,237.515,,,,,342.8,323.68,318.35,335.35,332.88,330.14,342.47,,285.03,298.43,298.36,298.49,297.26,266.24,266.27,259.47,237.29,218.64,219.38,214.88,223.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-27 21:59:52+00:00,,,209.66,,,,,219.36,281.35,,,,260.56,282.97,287.55,252.17,257.23333333333335,282.53333333333336,309.27,221.83333333333334,242.35666666666665,,,,346.11,327.145,320.08000000000004,322.795,321.84000000000003,320.56,329.1,334.07000000000005,,289.28,297.905,298.46500000000003,298.69,292.21500000000003,260.8,265.655,257.745,233.225,217.185,213.27499999999998,214.87,225.735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-30 21:59:45+00:00,,,207.785,,,,,219.36,281.35,,,,260.56,282.97,277.49666666666667,252.17,259.925,282.53333333333336,308.15333333333336,216.8475,236.7425,,,,346.11,324.57,316.19666666666666,322.795,321.84000000000003,320.56,329.1,334.07000000000005,,281.45666666666665,294.12666666666667,297.0233333333333,296.8566666666666,287.06,256.2166666666667,263.23333333333335,256.4066666666667,229.54333333333332,213.54,207.34,211.14333333333335,225.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-01 21:59:30+00:00,,,209.16500000000002,,,,,314.86,,,,305.78,,,277.5325,263.1666666666667,264.44,294.41,308.15333333333336,208.07000000000002,227.68,,,,346.11,324.57,321.9175,322.795,321.84000000000003,320.56,329.1,334.07000000000005,,281.45666666666665,294.12666666666667,297.0233333333333,295.0,282.96000000000004,259.885,263.62,254.9175,231.88,208.4425,205.4675,211.7375,220.78500000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-25 21:57:34+00:00,,,,,,208.48,,,,,,,,,,,329.78,,,,,,,,,,,,,,,,,,,,,,,320.65,,,,,,,,,,275.26,,236.85,224.27,203.67,185.61,176.0,172.09,187.14,181.46,178.12,175.17,179.68,171.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-11 21:57:36+00:00,,,191.73,,,208.48,,,,,,,,,292.48,291.94,318.635,333.29,315.09,238.59,230.06,,,,,,325.15,329.99,,,330.28,345.36,321.49,322.56,315.25,308.41,321.17,298.81,276.13,305.485,274.59,,,212.22,221.92,249.0,283.41,,,262.515,,222.95,224.27,203.67,185.61,176.0,172.09,187.14,181.46,178.12,175.17,179.68,171.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-13 21:57:39+00:00,,,196.745,,,208.48,,,,169.17,,324.23,,,278.4,278.44,302.53,333.29,304.33,223.45499999999998,235.61,,,,,306.97,313.12,329.99,,,286.90999999999997,345.36,312.725,310.21500000000003,304.445,305.78,294.89,291.325,270.305,305.485,274.59,,,203.25,203.505,239.34,283.41,,,262.515,,222.95,224.27,203.67,185.61,176.0,172.09,187.14,181.46,178.12,175.17,179.68,171.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-25 21:55:40+00:00,,,199.1,,,,210.65,223.94,290.47,270.99,287.64,293.12,318.54,318.64,258.27,237.74,,,304.89,,,,,,,343.96,313.51,304.51,297.11,316.41,282.09,,295.56,283.27,269.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-09-12 21:55:07+00:00,,,,,,223.73,,,,,,,,,,,,351.63,,,,,,,,,,,,,,,,,,,,,,324.25,,,,,,,322.48,,,285.86,,,218.53,203.57,186.21,168.31,167.76,176.21,191.13,187.48,188.77,183.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
