dates,satname,nzd0358-0000,nzd0358-0001,nzd0358-0002,nzd0358-0003,nzd0358-0004,nzd0358-0005,nzd0358-0006,nzd0358-0007,nzd0358-0008,nzd0358-0009,nzd0358-0010,nzd0358-0011,nzd0358-0012,nzd0358-0013,nzd0358-0014,nzd0358-0015,nzd0358-0016,nzd0358-0017,nzd0358-0018,nzd0358-0019,nzd0358-0020,nzd0358-0021,nzd0358-0022,nzd0358-0023,nzd0358-0024,nzd0358-0025,nzd0358-0026,nzd0358-0027,nzd0358-0028,nzd0358-0029,nzd0358-0030,nzd0358-0031,nzd0358-0033,nzd0358-0034,nzd0358-0035,nzd0358-0036,nzd0358-0037,nzd0358-0038,nzd0358-0039,nzd0358-0040,nzd0358-0041,nzd0358-0042,nzd0358-0043,nzd0358-0044,nzd0358-0045,nzd0358-0046,nzd0358-0047,nzd0358-0048,nzd0358-0049,nzd0358-0050,nzd0358-0051,nzd0358-0052,nzd0358-0053,nzd0358-0054,nzd0358-0055,nzd0358-0056,nzd0358-0057,nzd0358-0058,nzd0358-0059,nzd0358-0060,nzd0358-0061,nzd0358-0062,nzd0358-0063,nzd0358-0064,nzd0358-0065,nzd0358-0066,nzd0358-0067,nzd0358-0068,nzd0358-0069,nzd0358-0070,nzd0358-0071,nzd0358-0072,nzd0358-0032
1999-09-29 21:54:04.102000,L7,355.29,318.03,324.67,517.81,351.95,449.95,450.82,444.78,471.53,496.57,484.23,496.60,523.27,465.27,466.76,483.29,489.26,487.80,501.22,499.18,508.07,520.50,514.04,507.03,514.16,485.65,489.61,480.17,476.30,484.27,479.58,519.73,469.85,491.56,494.95,519.42,525.88,503.81,485.06,484.41,467.27,475.35,477.32,435.77,441.92,449.74,453.80,449.64,448.15,510.78,492.39,502.79,494.85,420.84,463.49,448.13,481.09,484.89,480.08,473.65,459.77,449.57,362.76,463.98,467.65,432.40,455.43,388.74,390.30,380.28,373.17,375.57,
2000-01-19 21:53:49.771000,L7,386.55,389.91,412.25,512.10,489.50,478.24,477.92,479.07,504.24,497.93,499.74,489.25,492.92,497.24,501.62,506.39,504.36,494.71,524.58,518.13,506.28,495.94,485.55,496.03,487.66,472.50,458.29,463.83,467.41,463.00,473.87,481.76,438.00,410.46,372.84,336.77,327.87,342.07,479.59,489.21,480.79,486.66,510.78,346.53,519.16,512.53,504.36,530.52,493.40,484.76,462.15,485.72,378.59,394.22,387.76,377.50,388.65,390.48,410.89,462.78,496.25,496.29,347.76,352.74,375.92,373.01,378.25,377.98,392.27,441.95,426.90,419.51,435.82
2000-05-26 21:53:00.524000,L7,232.31,330.24,247.72,295.34,321.60,301.42,314.42,329.92,347.56,347.89,345.37,349.07,350.17,355.56,354.78,357.64,349.12,354.76,480.71,484.77,452.81,479.94,476.17,459.37,460.67,161.05,265.96,281.02,299.16,311.02,325.51,503.15,434.21,415.51,398.84,372.73,330.65,333.94,352.33,340.63,311.04,329.30,346.22,347.88,334.02,353.28,351.61,359.27,359.67,374.50,398.57,397.83,394.49,410.65,447.79,425.99,411.44,403.68,468.61,465.12,465.43,458.48,459.55,465.10,470.05,459.34,452.05,453.52,451.19,456.26,430.81,424.63,442.59
2000-07-13 21:52:31.712000,L7,,,239.45,323.50,325.04,307.23,307.84,332.41,345.91,345.46,339.36,344.12,348.76,347.43,351.79,351.74,344.82,341.60,354.38,338.19,323.92,311.38,305.00,290.87,229.01,459.70,245.44,286.49,475.61,490.69,485.59,511.91,439.58,403.84,372.07,333.64,326.28,347.24,360.73,336.60,333.99,337.30,342.43,342.46,278.56,343.50,357.93,354.21,359.56,376.69,387.98,388.80,390.96,408.98,403.77,436.93,434.96,396.32,385.49,387.23,375.82,366.60,343.13,363.54,355.34,358.91,422.49,409.44,397.09,384.74,369.54,502.87,439.68
2000-07-29 21:52:14.316000,L7,,,241.78,284.30,315.79,509.75,496.82,487.14,476.50,502.89,468.49,518.63,520.74,503.01,509.91,495.43,494.41,488.52,478.46,471.58,486.64,477.52,476.40,466.09,484.62,524.63,513.27,513.78,523.30,521.25,503.62,482.95,436.01,405.44,364.60,334.28,326.79,335.91,347.58,324.52,315.12,331.48,336.81,333.15,285.68,320.10,338.09,340.55,342.95,350.65,370.79,532.20,505.83,511.28,506.57,490.36,491.29,474.74,355.33,505.22,507.27,514.62,494.62,455.86,500.70,511.15,496.65,482.04,477.01,463.84,445.37,440.92,438.97
2000-08-14 21:52:08.182000,L7,,,190.13,248.75,298.58,276.32,279.08,302.88,325.04,332.37,321.63,320.44,330.38,327.58,335.93,327.93,326.59,321.64,285.60,249.73,217.11,182.45,255.26,242.42,163.35,,145.92,225.28,257.37,278.03,290.51,334.46,378.26,369.92,304.74,242.35,287.61,306.90,316.25,297.47,275.33,274.88,297.32,298.78,263.20,276.11,308.51,308.26,312.21,319.11,311.27,292.55,292.33,309.85,331.57,331.82,344.72,277.59,158.35,348.54,344.87,308.48,,,243.53,334.29,343.10,220.48,352.98,355.77,344.53,345.22,379.41
2000-12-04 21:51:22.024000,L7,355.35,363.48,337.25,296.88,331.42,310.05,304.19,482.03,482.84,483.78,489.87,498.74,518.36,508.50,529.76,531.96,526.11,509.60,503.80,496.46,495.55,487.99,431.45,475.16,429.41,476.60,466.40,281.70,413.73,459.73,455.64,451.27,447.65,414.32,375.45,342.39,329.50,333.40,347.44,326.28,309.23,313.57,328.43,330.97,432.25,474.79,475.17,475.54,466.58,480.11,492.71,450.96,371.12,382.15,375.21,367.46,381.94,403.09,372.69,385.42,372.21,416.06,464.08,468.21,467.89,463.45,448.96,445.33,445.23,440.82,425.01,418.03,437.38
2000-12-20 21:51:28.881000,L7,393.18,403.23,386.41,342.93,338.09,325.55,332.76,364.88,356.98,355.25,357.96,351.34,361.03,358.83,375.30,355.98,346.88,353.53,363.15,352.52,312.66,305.05,297.65,294.10,291.31,278.41,250.46,279.73,298.76,311.51,321.11,363.36,448.97,416.80,381.10,345.03,336.48,345.06,354.32,337.96,323.33,316.15,337.99,352.44,309.00,349.16,352.22,354.45,353.62,363.71,374.74,380.25,377.83,387.48,377.07,376.53,394.88,408.22,415.04,398.13,388.75,368.65,343.05,357.54,377.85,376.22,383.95,389.22,395.10,391.78,376.15,382.15,430.55
2001-01-05 21:51:28.457000,L7,383.89,378.78,348.22,356.52,336.10,329.85,335.34,339.30,353.23,363.42,346.30,354.82,358.70,361.57,365.04,383.91,373.31,346.04,349.49,348.09,312.81,293.64,290.62,286.78,242.44,153.12,237.20,278.46,296.33,317.20,320.86,365.06,457.23,415.52,381.99,359.63,333.77,346.12,348.65,326.97,309.99,325.23,333.85,341.54,327.64,339.37,342.13,347.01,358.97,361.69,374.24,387.25,371.90,395.29,376.24,366.21,385.99,405.78,368.27,386.87,369.03,367.25,344.12,361.10,379.07,368.07,384.95,401.35,396.00,390.37,376.29,379.95,486.54
2001-04-11 21:51:09.983000,L7,,,247.62,273.80,304.98,296.71,300.74,326.41,337.90,339.79,332.99,336.94,346.40,344.91,352.29,345.98,336.87,338.41,335.70,323.75,301.05,286.46,275.26,237.20,427.48,448.47,458.06,453.66,165.35,256.06,263.76,351.65,401.04,383.71,344.21,322.79,316.00,327.54,338.95,305.10,291.47,303.46,322.93,334.12,310.20,335.08,323.47,319.88,291.34,331.60,175.61,185.80,232.49,298.84,352.40,331.67,363.72,210.37,,,,,,,,,,,267.79,320.62,350.58,308.45,399.77
