dates,satname,nzd0360-0000,nzd0360-0020,nzd0360-0021,nzd0360-0022,nzd0360-0023,nzd0360-0024,nzd0360-0025,nzd0360-0026,nzd0360-0027,nzd0360-0028,nzd0360-0029,nzd0360-0030,nzd0360-0031,nzd0360-0032,nzd0360-0033,nzd0360-0034,nzd0360-0035,nzd0360-0036,nzd0360-0037,nzd0360-0038,nzd0360-0039,nzd0360-0040,nzd0360-0041,nzd0360-0042,nzd0360-0001,nzd0360-0002,nzd0360-0003,nzd0360-0014,nzd0360-0015,nzd0360-0016,nzd0360-0019,nzd0360-0043,nzd0360-0004,nzd0360-0005,nzd0360-0007,nzd0360-0008,nzd0360-0009,nzd0360-0011,nzd0360-0012,nzd0360-0013,nzd0360-0010,nzd0360-0044,nzd0360-0045,nzd0360-0018,nzd0360-0017,nzd0360-0006,nzd0360-0046,nzd0360-0054,nzd0360-0055,nzd0360-0056,nzd0360-0057,nzd0360-0058,nzd0360-0059,nzd0360-0047,nzd0360-0048,nzd0360-0049,nzd0360-0050,nzd0360-0051,nzd0360-0052,nzd0360-0053,nzd0360-0060,nzd0360-0061
1999-08-03 22:00:08.482000,L7,,,344.97,365.82,350.47,375.59,391.45,401.66,394.43,387.01,386.04,370.34,374.48,369.69,367.80,370.87,355.03,343.24,330.01,334.50,334.53,328.78,329.91,308.52,,,,,,,,,,,,,,392.21,418.21,392.95,,,,,,,,,,,,,,,,,,,,,,
1999-09-04 22:00:09.953000,L7,378.28,443.64,435.51,437.27,420.33,419.14,411.44,411.22,400.02,392.89,390.11,380.20,377.61,376.76,371.55,376.47,360.06,346.33,340.83,344.06,345.70,340.72,336.33,321.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-20 22:00:08.403000,L7,,,,,,,435.18,435.27,439.29,439.65,427.73,408.70,418.43,404.33,394.02,404.95,405.01,403.80,386.23,367.41,367.10,357.62,353.43,334.21,,,,,,,,333.24,,,,,,,,,,308.70,314.90,,,,,,,,,,,,,,,,,,,
1999-10-22 22:00:04.598000,L7,,,,,,,,,,,,,,,456.69,451.35,432.07,415.81,417.27,417.91,429.43,422.94,423.84,401.88,,,,,,,,390.06,,,,,,,,,,378.13,387.50,,,,373.76,345.83,383.32,328.17,311.33,311.69,315.21,360.43,361.01,368.15,346.57,357.54,339.93,308.02,300.95,
1999-12-09 22:00:09.551000,L7,320.30,429.24,423.53,423.27,452.54,446.13,440.95,416.86,422.82,402.31,410.46,380.05,390.51,368.24,366.48,380.21,365.05,353.84,341.77,339.74,381.82,342.17,337.60,323.74,401.90,404.41,400.15,318.61,308.72,346.97,438.85,316.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-25 22:00:04.067000,L7,,,,,,,,,,,,,,,,402.73,394.52,415.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-26 22:00:02.226000,L7,,,422.24,419.07,414.22,462.33,444.29,437.71,413.52,411.70,421.88,390.83,398.89,413.15,376.16,409.84,411.83,415.71,415.69,391.90,341.79,334.73,330.92,315.00,402.23,408.62,395.13,,,,,304.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-11 21:59:57.866000,L7,,331.23,452.22,417.48,410.29,454.11,448.47,438.32,435.72,425.85,418.08,415.60,400.85,404.43,405.63,405.26,394.64,373.60,345.56,341.32,338.84,341.58,331.36,317.54,,,,,,,355.81,,,,,,,,,,,,,438.74,,,,,,,,,,,,,,,,,,
2000-02-27 21:59:52.393000,L7,,330.98,416.55,417.55,464.88,454.30,433.85,432.74,424.84,417.46,413.37,400.62,396.90,406.11,393.98,402.46,378.19,364.79,356.30,376.94,345.01,356.96,339.37,319.09,,,,318.24,306.33,348.01,357.56,325.13,,,,,,,,,,322.54,,,,,,,,,,,,,,,,,,,,
2000-03-30 21:59:45.397000,L7,,420.68,415.98,415.60,457.93,446.67,430.95,423.21,411.71,405.34,399.80,396.18,390.51,383.91,386.25,385.97,377.14,366.87,358.36,358.52,355.15,355.98,351.07,327.16,,,,,,,426.80,316.90,,,,325.06,390.13,371.18,,,373.67,313.01,317.57,,,,,,,,,,,,,,,,,,,
2000-04-15 21:59:31.785000,L7,,378.44,414.97,459.73,452.76,440.91,429.19,439.73,408.79,402.69,414.60,392.51,388.64,389.43,380.78,385.76,375.92,364.27,355.51,362.00,364.80,351.18,355.18,328.51,,,,,,,407.18,324.34,,,,,,,,,,314.91,317.59,,,,,,,,,,,,,,,,,,,
2000-05-01 21:59:30.586000,L7,,379.66,418.59,416.10,460.83,446.55,442.40,442.13,422.23,409.83,410.41,398.17,415.79,399.48,405.47,423.81,424.47,410.67,423.28,405.58,372.09,396.57,394.35,384.53,,,,,,,408.16,330.53,,,,323.40,380.33,,,,368.15,326.09,324.52,,,,318.16,,,,,,,,,,,,,,,
2000-05-17 21:59:19.400000,L7,,,,,,,439.09,427.06,414.55,410.32,402.20,394.58,389.50,385.12,385.72,388.30,373.36,356.79,355.49,361.08,359.36,351.97,348.03,331.24,,,,,,,,323.48,364.73,376.18,,,,,,,,311.95,319.43,,,,,,,,,,,,,,,,,,,
2000-06-18 21:59:03.789000,L7,,334.30,348.09,366.22,350.86,410.56,413.66,416.36,403.39,396.82,392.05,378.44,373.02,368.29,367.14,370.78,360.55,343.18,335.87,342.27,340.58,335.38,334.12,316.71,,,397.16,,,,,,393.88,392.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-05 21:58:20.584000,L7,,,,,,,,,,,,,,439.07,434.94,427.00,430.58,413.93,412.37,413.90,406.61,409.52,400.72,396.70,,,,,,,,370.22,,,,,,,,,,360.70,372.14,,,,359.50,,,,,,,316.00,,,,,,,,
2000-10-24 21:57:29.684000,L7,,419.30,421.01,443.42,438.48,426.87,422.65,415.49,410.28,404.44,402.75,390.74,389.92,384.79,381.64,386.83,375.51,362.74,357.34,356.24,359.53,351.42,345.81,327.00,,,,,,,409.27,314.90,,,,,,,,,,309.63,,,,,,,,,,,,,,,,,,,,
2000-11-25 21:57:34.931000,L7,,,,,,,,,,,,,,,,441.79,428.61,416.88,418.98,417.27,413.85,412.03,417.06,425.45,,,,,,,,389.93,,,,,,,,,,385.00,374.14,,,,362.00,,,,,,,345.01,310.92,,,,,,,
2000-12-11 21:57:36.803000,L7,,,,,421.72,429.78,414.22,407.51,399.39,396.19,385.78,380.82,377.59,377.20,373.52,379.66,357.18,359.17,352.53,350.80,351.48,344.00,332.83,,,,,313.91,319.43,431.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-13 21:57:39.607000,L7,354.43,,,422.95,416.11,457.85,452.79,398.18,435.03,418.41,421.48,370.70,374.09,359.38,357.73,356.91,362.42,344.93,339.84,338.19,335.13,332.87,329.93,310.98,308.05,,,324.52,306.27,331.91,,,334.20,395.70,286.15,333.73,308.63,,,,,,,,,,,,,,,,,,,,,,,,,
2001-05-20 21:57:04.892000,L7,,432.81,424.10,425.99,463.91,445.15,440.22,427.76,414.07,408.32,400.88,395.99,368.60,384.72,388.23,383.92,362.61,350.32,346.57,354.98,343.94,348.09,379.77,331.84,,,,340.16,331.06,,439.94,,,,296.70,388.22,403.62,390.20,302.84,308.01,389.88,,,,,,,,,,,,,,,,,,,,,
2001-06-05 21:56:52.440000,L7,,419.99,454.04,453.50,457.90,423.91,420.31,412.84,398.10,390.11,396.98,385.82,384.08,369.42,369.97,377.53,352.99,342.89,334.11,,,,,,,,,341.87,337.27,,439.17,,,,293.90,333.99,419.59,420.22,306.54,308.63,394.72,,,,,,,,,,,,,,,,,,,,,
2001-07-07 21:56:36.067000,L7,,380.73,426.83,422.40,,,454.77,435.17,411.55,436.82,410.54,390.55,413.93,398.32,391.68,388.70,370.67,348.66,342.99,351.15,328.17,328.50,331.00,323.76,,,386.40,316.68,327.78,428.29,422.50,,374.37,324.98,,335.45,406.89,,,,374.12,,,434.41,,,,,,,,,,,,,,,,,,
2001-08-08 21:56:12.984000,L7,,379.55,411.62,463.15,451.37,439.15,431.07,421.88,406.08,394.98,396.53,389.80,383.82,381.69,377.63,384.15,366.65,350.35,337.40,343.37,337.80,339.29,333.32,324.74,,,,,,,421.08,,,,,331.47,404.47,,,,355.93,,,,,,,,,,,,,,,,,,,,,
2001-08-24 21:56:00.447000,L7,,,342.56,360.46,344.42,375.41,397.62,405.61,390.04,382.73,384.28,373.70,368.32,373.59,368.03,372.04,355.77,342.33,,,,,,,,327.40,391.76,401.02,,,,,387.24,396.50,,,,420.46,399.97,401.73,321.53,,,,,,,,,,,,,,,,,,,,,
2001-09-25 21:55:40.572000,L7,,,,,,,,,,,,,,,,456.89,446.29,431.72,424.41,428.68,427.43,417.93,415.71,395.29,,,,,,,,393.44,,,,,,,,,,381.07,375.63,,,,355.79,328.35,340.76,325.96,319.68,302.82,,355.07,369.85,393.63,413.84,424.86,343.70,337.33,,
2001-10-11 21:55:21.747000,L7,397.21,393.73,343.66,374.71,379.88,419.13,411.16,409.27,403.21,395.82,394.48,386.51,378.18,374.02,371.73,373.98,363.28,349.27,342.36,349.43,344.95,336.79,336.32,317.12,,398.13,389.86,,,,,,351.49,387.67,,,,406.30,392.67,390.59,,,,,,,,,,,,,,,,,,,,,,
2001-12-30 21:55:49.115000,L7,,426.89,417.53,414.10,460.33,436.31,423.48,418.64,410.79,405.68,400.68,390.28,386.50,384.43,380.85,382.68,373.98,351.92,386.12,358.80,352.38,351.95,347.59,327.61,,,,,,,429.43,312.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-15 21:55:59.365000,L7,354.76,,349.91,360.97,363.48,369.77,394.81,403.80,399.61,390.03,387.70,374.60,370.96,366.04,359.77,366.45,354.43,342.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-16 21:56:06.046000,L7,,434.83,428.29,444.97,423.26,417.65,400.78,404.27,400.29,395.84,397.72,382.57,377.09,379.52,373.86,373.90,354.87,349.55,342.75,349.22,342.14,338.05,341.17,320.66,,,,,,,449.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-04 21:56:09.860000,L7,,425.59,338.60,458.99,448.83,433.18,423.87,423.87,414.77,411.07,407.38,395.83,398.06,388.38,382.61,384.49,372.58,382.22,349.82,350.44,366.58,350.47,344.51,326.36,,,,,,,428.55,307.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-07 21:56:03.729000,L7,,419.09,416.08,420.90,414.61,403.83,423.74,421.17,406.24,398.64,396.64,382.71,378.01,377.37,367.79,374.88,363.02,345.80,,,,,,,,,397.49,,,,418.86,,368.50,389.68,,330.59,409.32,374.05,,,367.30,,,,,,,,,,,,,,,,,,,,,
2002-08-27 21:55:12.096000,L7,,343.82,335.32,456.83,454.11,465.02,455.61,438.38,409.64,396.17,384.45,386.09,380.05,370.62,405.10,384.64,403.03,368.24,401.82,395.40,386.03,393.91,377.57,318.99,,,,,,,365.64,,,,,,,,,,,,,432.98,,,,,,,,,,,,,,,,,,
