dates,nzd0360-0000,nzd0360-0020,nzd0360-0021,nzd0360-0022,nzd0360-0023,nzd0360-0024,nzd0360-0025,nzd0360-0026,nzd0360-0027,nzd0360-0028,nzd0360-0029,nzd0360-0030,nzd0360-0031,nzd0360-0032,nzd0360-0033,nzd0360-0034,nzd0360-0035,nzd0360-0036,nzd0360-0037,nzd0360-0038,nzd0360-0039,nzd0360-0040,nzd0360-0041,nzd0360-0042,nzd0360-0001,nzd0360-0002,nzd0360-0003,nzd0360-0014,nzd0360-0015,nzd0360-0016,nzd0360-0019,nzd0360-0043,nzd0360-0004,nzd0360-0005,nzd0360-0007,nzd0360-0008,nzd0360-0009,nzd0360-0011,nzd0360-0012,nzd0360-0013,nzd0360-0010,nzd0360-0044,nzd0360-0045,nzd0360-0018,nzd0360-0017,nzd0360-0006,nzd0360-0046,nzd0360-0054,nzd0360-0055,nzd0360-0056,nzd0360-0057,nzd0360-0058,nzd0360-0059,nzd0360-0047,nzd0360-0048,nzd0360-0049,nzd0360-0050,nzd0360-0051,nzd0360-0052,nzd0360-0053,nzd0360-0060,nzd0360-0061,satname
1999-09-04 22:00:09+00:00,,,,,,,,,,,,,,,,,360.06,346.33,340.83,344.06,345.7,340.72,336.33,321.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-10-22 22:00:04+00:00,,,,,,,,,,,,,,,,,360.06,346.33,340.83,344.06,345.7,340.72,336.33,321.1,,,,,,,,,,,,,,,,,,,,,,,,345.83,,328.17,311.33,311.69,315.21,,361.01,368.15,346.57,357.54,339.93,308.02,300.95,,L7
1999-12-09 22:00:09+00:00,320.3,,,,,,,,,,,,,,,,360.06,346.33,341.29999999999995,341.9,345.7,341.44500000000005,336.96500000000003,322.42,,,,318.61,308.72,,,316.31,,,,,,,,,,,,,,,,345.83,,328.17,311.33,311.69,315.21,,361.01,368.15,346.57,357.54,339.93,308.02,300.95,,L7
2000-02-11 21:59:57+00:00,320.3,331.23,,,,,,,,,,,,,,,360.06,346.33,342.71999999999997,341.70666666666665,342.27,341.49,335.09666666666664,320.79333333333335,,,,318.61,308.72,,355.81,316.31,,,,,,,,,,,,,,,,345.83,,328.17,311.33,311.69,315.21,,361.01,368.15,346.57,357.54,339.93,308.02,300.95,,L7
2000-02-27 21:59:52+00:00,320.3,331.105,,,,,,,,,,,,,,,360.06,346.33,346.115,341.70666666666665,343.18333333333334,345.3575,336.165,320.3675,,,,318.425,307.525,,356.685,320.72,,,,,,,,,,322.54,,,,,,345.83,,328.17,311.33,311.69,315.21,,361.01,368.15,346.57,357.54,339.93,308.02,300.95,,L7
2000-03-30 21:59:45+00:00,320.3,331.105,,,,,,,,,,,,,,,,,350.4975,346.52666666666664,346.3333333333333,349.1725,339.85,321.8825,,,,318.425,307.525,,356.685,319.44666666666666,,,,325.06,,,,,,317.775,317.57,,,,,345.83,,328.17,311.33,311.69,315.21,,361.01,368.15,346.57,357.54,339.93,308.02,300.95,,L7
2000-04-15 21:59:31+00:00,320.3,331.105,,,,,,,,,,,,,,,,,351.5,350.395,350.95,349.57399999999996,342.91600000000005,323.20799999999997,,,,318.425,307.525,,356.685,320.66999999999996,,,,325.06,,,,,,316.82,317.58,,,,,345.83,,328.17,311.33,311.69,315.21,,361.01,368.15,346.57,357.54,339.93,308.02,300.95,,L7
2000-05-01 21:59:30+00:00,320.3,331.105,,,,,,,,,,,,,,,,,351.5,350.395,350.95,349.57399999999996,342.91600000000005,323.20799999999997,,,,318.425,307.525,,356.685,322.642,,,,324.23,,,,,,319.1375,319.8933333333333,,,,,,,,,,,,,,,,,,,,L7
2000-05-17 21:59:19+00:00,320.3,331.105,,,,,,,,,,,,,,,,,352.165,352.53200000000004,352.63199999999995,349.97333333333336,343.7683333333334,324.5466666666667,,,,318.425,307.525,,356.685,322.7816666666667,,,,324.23,,,,,,317.7,319.7775,,,,,,,,,,,,,,,,,,,,L7
2000-06-18 21:59:03+00:00,,332.17,348.09,366.22,350.86,,,,,,,,,,,,,343.18,351.1816666666667,353.038,350.6233333333333,348.8416666666667,343.18833333333333,323.375,,,,318.24,306.33,,356.685,324.076,,,,324.23,,,,,,317.7,319.7775,,,,,,,,,,,,,,,,,,,,L7
2000-08-05 21:58:20+00:00,,332.17,348.09,366.22,350.86,,,,,,,,,,,,,343.18,351.1816666666667,353.038,350.6233333333333,348.8416666666667,343.18833333333333,323.375,,,,318.24,306.33,,356.685,324.076,,,,324.23,,,,,,324.8666666666667,330.25,,,,359.5,,,,,,,316.0,,,,,,,,,L7
2000-11-25 21:57:34+00:00,,334.3,348.09,366.22,350.86,,,,,,,,,,,,,343.18,335.87,342.27,340.58,335.38,334.12,316.71,,,,,,,,,,,,,,,,,,360.7,373.14,,,,360.75,,,,,,,330.505,310.92,,,,,,,,L7
2000-12-11 21:57:36+00:00,,334.3,348.09,366.22,350.86,,,,,,,,,,,,357.18,343.18,344.2,346.53499999999997,346.03,339.69,333.475,316.71,,,,313.91,319.43,,,,,,,,,,,,,360.7,373.14,,,,360.75,,,,,,,330.505,310.92,,,,,,,,L7
