dates,satname,nzd0363-0000,nzd0363-0001,nzd0363-0002,nzd0363-0003,nzd0363-0004,nzd0363-0005,nzd0363-0006,nzd0363-0007,nzd0363-0008,nzd0363-0009,nzd0363-0010,nzd0363-0011,nzd0363-0012,nzd0363-0013,nzd0363-0014,nzd0363-0015,nzd0363-0016,nzd0363-0017,nzd0363-0018,nzd0363-0019,nzd0363-0020,nzd0363-0021,nzd0363-0022,nzd0363-0023,nzd0363-0024,nzd0363-0025,nzd0363-0026,nzd0363-0027,nzd0363-0028,nzd0363-0029,nzd0363-0030,nzd0363-0031,nzd0363-0032,nzd0363-0033,nzd0363-0034,nzd0363-0035,nzd0363-0036,nzd0363-0037,nzd0363-0038,nzd0363-0039
1999-08-17 22:12:26.065000,L7,361.11,366.81,408.86,546.30,516.42,519.31,533.18,527.50,521.74,520.47,518.26,495.96,446.64,465.93,481.10,536.30,532.55,529.97,535.40,520.40,537.04,527.51,439.50,473.75,530.48,523.43,506.92,484.37,499.83,496.70,513.08,525.97,523.49,551.32,344.20,330.25,354.59,360.41,297.99,231.26
1999-08-26 22:06:20.800000,L7,,,208.55,329.38,304.09,243.30,296.85,306.39,305.76,299.28,290.57,288.04,289.46,289.54,289.57,295.47,284.56,282.27,283.29,286.70,274.73,271.97,281.87,273.45,298.87,295.51,293.66,298.60,282.29,309.52,327.59,305.28,307.66,302.65,257.20,213.03,,,,
1999-10-13 22:06:24.714000,L7,356.63,368.80,366.03,357.06,348.69,338.46,353.37,540.34,535.24,530.73,547.36,544.42,337.84,334.90,511.25,416.88,423.07,377.29,423.84,431.30,341.84,390.41,366.59,407.84,413.55,392.78,427.03,413.94,421.73,428.04,396.08,404.00,415.12,484.59,498.43,296.42,293.59,280.30,247.84,239.80
1999-11-21 22:12:24.026000,L7,366.53,421.42,420.70,406.29,400.48,392.63,406.36,384.65,389.75,408.07,417.22,405.44,375.66,361.68,367.57,369.29,394.50,411.53,392.22,379.62,367.17,361.83,379.39,358.30,404.37,422.27,372.58,369.12,370.35,408.84,374.45,385.01,374.61,392.37,422.84,416.81,427.79,406.35,306.03,301.41
2000-01-17 22:06:11.705000,L7,334.36,348.28,379.47,372.32,367.01,364.61,331.24,352.23,346.20,330.99,337.28,332.73,341.94,330.94,320.88,324.08,306.28,313.24,381.72,386.50,400.84,412.46,423.49,465.88,429.70,484.08,444.15,324.81,370.14,325.37,337.59,339.98,330.71,327.57,325.44,330.53,276.92,221.71,220.95,341.90
2000-03-21 22:06:01.097000,L7,,296.47,317.23,319.42,320.15,296.93,294.24,300.83,301.09,298.63,291.53,289.68,296.00,297.71,291.09,269.28,292.42,294.43,257.71,207.98,208.44,279.17,275.43,253.85,233.73,215.51,197.79,181.74,174.64,202.39,291.24,288.96,,,,,,,,
2000-05-24 22:05:22.488000,L7,372.15,373.33,391.48,394.49,375.42,542.79,530.22,528.45,524.39,500.40,490.84,505.01,508.41,509.21,507.57,521.77,535.76,538.76,338.25,354.68,371.08,351.21,342.12,346.27,349.52,336.31,348.34,360.79,348.59,352.48,344.21,343.55,349.11,316.43,326.47,329.52,333.98,332.69,366.83,307.56
2000-08-03 22:10:43.917000,L7,,269.48,329.45,328.73,288.32,261.84,303.90,316.69,309.07,308.10,303.59,298.86,297.56,300.90,272.87,293.09,296.91,299.77,283.20,270.98,294.53,287.24,292.23,275.09,,496.03,494.45,496.19,495.64,,172.87,249.61,,,,,,,,
2000-08-19 22:10:38.028000,L7,,310.29,327.49,323.96,275.78,,268.07,301.01,306.36,301.60,295.92,296.68,297.24,297.63,299.14,304.15,293.34,296.17,295.27,279.14,285.09,,,269.42,228.43,261.52,293.88,301.94,271.86,278.47,270.97,304.55,216.13,190.39,266.53,236.18,233.77,216.17,218.24,215.94
2000-09-04 22:10:22.552000,L7,,418.42,426.35,434.09,479.88,505.79,498.06,509.37,518.84,527.24,519.69,521.53,537.22,522.19,521.67,512.46,511.91,509.97,502.29,532.15,532.24,521.97,525.82,508.62,518.23,498.57,509.89,513.10,500.80,497.14,315.57,316.21,320.51,315.80,310.53,284.98,257.78,247.04,231.74,245.63
2000-09-13 22:04:02.015000,L7,286.89,310.00,322.43,327.56,317.51,299.14,306.78,310.80,307.01,303.78,299.62,292.77,295.78,297.80,298.95,312.16,301.37,300.68,303.66,306.65,308.83,322.49,323.05,317.70,333.27,295.44,296.70,301.18,303.99,311.90,319.75,315.47,332.85,357.20,304.32,264.20,235.36,400.76,409.67,
2000-09-20 22:10:03.047000,L7,387.56,371.26,374.05,372.91,372.16,337.85,369.20,374.24,366.40,365.69,365.17,354.95,353.74,355.33,349.83,356.71,357.69,351.23,358.21,338.60,378.21,353.75,399.62,411.61,423.12,401.76,332.02,354.80,352.93,362.53,347.55,374.73,337.72,336.45,361.68,345.89,280.08,242.58,236.12,243.38
2000-11-07 22:09:53.335000,L7,338.32,355.86,359.63,358.16,351.15,338.63,333.42,340.86,363.63,367.27,393.88,446.50,439.38,440.72,439.42,441.95,441.51,448.39,356.45,366.96,355.15,409.95,377.73,352.18,360.17,352.69,417.54,411.56,396.71,382.00,397.57,395.70,345.92,367.06,404.54,474.84,434.49,490.57,220.22,213.64
2001-01-03 22:03:48.276000,L7,335.19,341.03,337.67,333.41,331.77,321.20,317.77,315.86,308.97,303.76,306.71,303.85,307.61,302.62,300.99,292.17,291.61,285.37,278.29,286.74,276.68,278.06,290.36,235.90,208.42,253.45,221.00,233.62,420.95,476.88,533.51,257.46,259.16,194.36,256.66,226.05,508.12,392.71,532.02,483.26
