dates,satname,nzd0364-0000,nzd0364-0001,nzd0364-0002,nzd0364-0003,nzd0364-0004,nzd0364-0005,nzd0364-0006,nzd0364-0007,nzd0364-0008,nzd0364-0009,nzd0364-0010,nzd0364-0011,nzd0364-0012,nzd0364-0013,nzd0364-0014,nzd0364-0015,nzd0364-0016,nzd0364-0017,nzd0364-0018
1999-09-04 22:00:09.953000,L7,342.20,355.83,350.63,351.84,343.30,326.68,,,,,,,,,,,,,
1999-09-20 22:00:08.403000,L7,349.13,360.21,353.37,345.43,337.50,329.37,321.63,,,,,,,,,,,,
1999-12-09 22:00:09.551000,L7,359.13,362.64,349.16,346.70,337.70,328.65,327.97,,,,,,,,,,,,
1999-12-25 22:00:04.067000,L7,367.09,365.20,363.37,363.44,366.39,354.20,342.32,344.26,335.24,325.05,315.20,,,,,,,,
2000-01-26 22:00:02.226000,L7,352.35,358.75,359.50,354.14,343.89,,,,,,,,,,,,,,
2000-03-30 21:59:45.397000,L7,371.72,363.32,358.10,355.10,349.74,337.59,334.37,334.63,324.91,,,,,,,,,,
2000-04-15 21:59:31.785000,L7,370.08,369.09,362.52,365.27,348.02,352.20,347.98,338.79,328.22,323.00,,,,,,,,,
2000-05-01 21:59:30.586000,L7,340.75,351.82,349.79,345.93,333.84,329.40,315.13,,,,,,,,,,,,
2000-05-17 21:59:19.400000,L7,385.69,374.00,369.70,363.23,347.60,346.10,342.68,338.16,327.61,323.56,,,,,,,,,
2000-06-18 21:59:03.789000,L7,341.27,358.74,357.91,353.30,343.23,332.35,327.59,324.75,,,,,,,,,,,
2000-08-05 21:58:20.584000,L7,354.81,365.35,361.00,357.93,345.22,337.18,330.69,,,,,,,,,,,,
2000-10-24 21:57:29.684000,L7,340.62,348.01,337.26,339.16,326.07,320.29,,,,,,,,,,,,,
2000-11-25 21:57:34.931000,L7,360.11,365.07,360.69,360.85,348.46,339.54,332.84,325.96,,,,,,,,,,,
2000-12-11 21:57:36.803000,L7,355.22,360.27,373.32,356.37,341.09,340.75,347.77,344.76,318.45,,,,,,,,,,
2001-06-05 21:56:52.440000,L7,337.34,346.70,360.40,352.72,335.99,,,,,,,,,,,,,,
2001-08-08 21:56:12.984000,L7,342.92,360.67,351.00,348.68,333.83,330.82,324.57,,,,,,,,,,,,
2001-09-25 21:55:40.572000,L7,366.52,397.74,386.25,379.86,377.09,358.08,334.86,336.70,324.77,,,,,,,,,,
2001-10-11 21:55:21.747000,L7,373.03,374.32,363.88,356.99,341.03,353.03,333.04,,,,,,,,,,,,
2001-12-30 21:55:49.115000,L7,357.21,359.32,358.04,353.35,344.42,333.84,330.61,326.14,,,,,,,,,,,
2002-01-15 21:55:59.365000,L7,351.33,355.06,344.23,344.31,339.09,325.35,322.36,,,,,,,,,,,,
2002-08-27 21:55:12.096000,L7,360.55,366.95,381.04,364.94,341.25,325.92,328.18,,,,,,,,,,,,
2002-09-12 21:55:07.575000,L7,359.06,365.86,360.24,355.17,342.41,332.14,327.31,,,,,,,,,,,,
2002-10-14 21:54:55.882000,L7,353.69,365.23,356.84,353.85,337.22,341.32,323.57,,,,,,,,,,,,
2002-10-30 21:55:01.471000,L7,345.98,355.78,353.89,343.26,334.81,328.89,330.16,,,,,,,,,,,,
2003-01-18 21:55:42.118000,L7,341.67,339.77,334.17,339.65,323.32,330.26,,,,,,,,,,,,,
2004-04-02 21:46:30.745000,L5,389.52,343.81,338.95,339.28,322.02,316.03,,,,,,,,,,,,,
2004-06-05 21:48:24.950000,L5,338.75,348.47,349.37,339.49,331.68,324.55,321.60,,,,,,,,,,,,
2005-01-15 21:53:21.356000,L5,334.02,340.95,346.33,346.92,333.79,323.18,330.75,,,,,,,,,,,,
2005-04-05 21:54:19.058000,L5,399.22,351.40,349.07,345.62,327.78,320.26,322.69,,,,,,,,,,,,
2005-04-21 21:54:22.812000,L5,393.81,360.21,355.61,353.07,365.06,359.52,352.38,352.97,352.54,337.06,,,,,,,,,
2005-05-23 21:54:36.577000,L5,343.03,352.74,344.81,344.25,330.10,321.73,317.62,,,,,,,,,,,,
2005-06-08 21:54:44.925000,L5,327.56,343.71,343.40,335.78,328.81,317.07,318.90,,,,,,,,,,,,
2005-09-28 21:55:20.450000,L5,341.19,346.99,338.39,326.32,337.21,318.64,317.79,,,,,,,,,,,,
2005-10-30 21:55:15.307000,L5,340.03,354.03,342.13,342.97,327.36,319.35,,,,,,,,,,,,,
2008-12-09 21:51:18.382000,L5,343.80,345.39,346.19,343.29,330.62,322.97,319.42,,,,,,,,,,,,
2008-12-25 21:51:46.135000,L5,348.28,342.98,344.38,344.27,327.23,319.86,,,,,,,,,,,,,
2010-01-29 21:58:05.346000,L5,355.00,348.68,347.79,341.63,330.77,324.62,330.95,,,,,,,,,,,,
2011-02-17 21:57:12.898000,L5,359.96,355.01,354.35,345.61,333.38,327.13,323.60,,,,,,,,,,,,
2013-04-11 22:09:26.995000,L8,341.84,344.29,342.12,340.72,327.14,323.15,,,,,,,,,,,,,
2013-05-13 22:09:11.169000,L8,340.76,345.01,342.53,340.94,328.32,322.41,319.34,,,,,,,,,,,,
2013-05-29 22:09:17.297000,L8,336.69,341.46,338.18,336.91,328.90,327.78,,,,,,,,,,,,,
2013-06-30 22:09:11.994000,L8,344.37,351.20,346.99,344.19,335.14,330.53,322.81,,,,,,,,,,,,
2013-09-02 22:09:16.475000,L8,346.08,354.97,348.57,346.49,330.38,324.29,319.17,,,,,,,,,,,,
2014-03-13 22:07:45.256000,L8,370.77,347.88,357.60,351.91,341.47,329.86,334.83,,,,,,,,,,,,
2014-05-16 22:06:45.666000,L8,335.13,340.69,339.93,337.39,322.83,317.97,,,,,,,,,,,,,
2014-07-03 22:07:01.995000,L8,349.29,357.38,358.28,354.07,340.05,331.89,329.58,,,,,,,,,,,,
2015-02-28 22:07:00.305000,L8,386.28,339.49,346.18,333.17,318.48,317.02,,,,,,,,,,,,,
2015-06-20 22:06:32.847000,L8,337.90,342.97,341.02,337.12,324.24,321.01,,,,,,,,,,,,,
2015-07-22 22:06:49.445000,L8,341.83,347.15,350.61,341.67,328.96,322.29,,,,,,,,,,,,,
2016-03-02 22:07:07.398000,L8,345.35,340.97,350.45,334.67,343.36,342.31,331.81,,,,,,,,,,,,
2016-04-19 22:06:46.856000,L8,340.63,341.16,348.62,334.30,323.70,319.45,,,,,,,,,,,,,
2016-05-05 22:06:50.290000,L8,336.38,336.08,334.95,332.85,321.59,319.50,,366.48,376.10,382.22,342.65,326.19,329.85,,,,,,
2016-06-06 22:06:54.973000,L8,347.49,364.13,367.44,362.75,356.17,350.30,347.72,345.18,,,,,,,,,,,
2016-07-24 22:07:13.819000,L8,337.91,343.00,340.52,335.32,327.37,325.14,,,,,,,,,,,,,
2016-12-15 22:07:29.991000,L8,336.93,333.35,331.44,330.83,317.60,316.89,,,,,,,,,,,,,
2017-05-08 22:06:35.164000,L8,343.50,358.44,350.89,344.35,332.07,325.84,,,,,,,,,,,,,
2017-10-31 22:07:31.844000,L8,345.65,351.90,345.08,338.91,333.28,329.84,322.60,,,,,,,,,,,,
2017-12-02 22:07:22.770000,L8,347.36,349.74,349.86,344.71,334.83,332.34,330.38,,,,,,,,,,,,
2018-01-19 22:07:14.526000,L8,347.03,351.47,344.69,341.76,332.83,331.02,322.07,,,,,,,,,,,,
2018-02-20 22:07:00.077000,L8,340.86,340.12,337.03,335.35,323.22,322.27,,,,,,,,,,,,,
2018-03-24 22:06:44.096000,L8,348.27,353.31,351.87,346.89,335.29,332.52,327.97,,,,,,,,,,,,
2018-04-25 22:06:26.771000,L8,357.40,372.74,368.41,363.00,349.80,347.67,343.64,,,,,,,,,,,,
2018-05-27 22:06:04.650000,L8,341.50,350.21,344.91,342.38,329.71,326.65,319.87,,,,,,,,,,,,
2018-06-28 22:06:16.147000,L8,353.77,366.64,364.19,358.19,343.31,341.39,336.54,,,,,,,,,,,,
2018-08-31 22:06:47.157000,L8,345.93,359.21,355.38,345.66,334.35,330.50,323.22,,,,,,,,,,,,
2018-10-02 22:06:59.122000,L8,344.70,349.50,340.21,343.43,331.67,326.74,,,,,,,,,,,,,
2018-12-21 22:07:06.566000,L8,353.52,352.29,345.74,344.18,331.79,329.14,324.73,,,,,,,,,,,,
2019-01-22 22:07:02.132000,L8,340.24,337.00,331.86,333.59,322.93,320.50,,,,,,,,,,,,,
