dates,nzd0366-0000,nzd0366-0001,nzd0366-0002,nzd0366-0003,nzd0366-0004,nzd0366-0005,nzd0366-0006,nzd0366-0007,nzd0366-0008,nzd0366-0009,nzd0366-0010,nzd0366-0011,nzd0366-0012,nzd0366-0013,nzd0366-0014,nzd0366-0015,nzd0366-0016,nzd0366-0017,nzd0366-0018,nzd0366-0019,nzd0366-0020,nzd0366-0021,nzd0366-0022,nzd0366-0023,nzd0366-0024,nzd0366-0025,nzd0366-0026,nzd0366-0027,nzd0366-0028,nzd0366-0029,nzd0366-0030,nzd0366-0031,nzd0366-0032,nzd0366-0033,nzd0366-0034,nzd0366-0035,nzd0366-0036,nzd0366-0037,nzd0366-0038,nzd0366-0039,nzd0366-0040,nzd0366-0041,nzd0366-0042,nzd0366-0043,nzd0366-0044,nzd0366-0045,nzd0366-0046,nzd0366-0047,nzd0366-0048,nzd0366-0049,nzd0366-0050,nzd0366-0051,nzd0366-0052,nzd0366-0053,nzd0366-0054,nzd0366-0055,nzd0366-0056,nzd0366-0057,satname
1999-08-17 22:12:26+00:00,,,,,,,373.85,371.34,373.34,,349.69,341.46,,,329.57,,,,,,,,,,,,,,,,321.51,310.63,,323.14,,,,,,,,,317.13,,328.74,340.15,343.84,,352.18,,,,,,,,,,L7
1999-08-26 22:06:20+00:00,,,,,,,370.42,367.53,366.345,,342.475,332.365,,379.7,344.09000000000003,,,306.18,,303.76,304.32,,,,,,,,,,321.51,310.63,,307.53999999999996,,,,358.39,,347.48,,,332.34000000000003,355.0,344.21500000000003,337.12,331.105,,342.70000000000005,,,,,,,,,,L7
1999-09-18 22:12:27+00:00,,270.95,316.44,349.57,378.37,,370.42,367.53,366.345,441.66,342.475,332.365,,379.7,344.09000000000003,,,306.18,,303.76,304.32,,,371.53,,,,,,,321.51,310.63,,307.53999999999996,,,,358.39,,347.48,,,332.34000000000003,355.0,344.21500000000003,337.12,331.105,,342.70000000000005,,,,374.38,376.63,389.38,383.01,380.26,,L7
1999-10-13 22:06:24+00:00,,287.075,325.825,350.995,358.42,428.47,370.42,367.53,366.345,428.81500000000005,342.475,332.365,382.74,371.895,345.0466666666666,352.52,340.58,322.96500000000003,336.96,320.79499999999996,322.825,,,352.04499999999996,326.69,323.12,326.09,334.14,350.23,374.29,325.475,316.905,320.93,307.53999999999996,,,,358.39,,347.48,,,332.34000000000003,355.0,344.21500000000003,337.12,331.105,,342.70000000000005,,,,374.38,376.63,389.38,383.01,380.26,,L7
1999-11-21 22:12:24+00:00,,301.08,325.825,350.995,358.42,430.81,370.42,367.53,366.345,428.81500000000005,342.475,332.365,384.69,376.59,350.7575,355.615,350.505,338.9433333333333,336.96,320.79499999999996,341.09666666666664,,,353.9533333333333,346.235,341.045,344.11,350.66999999999996,354.32000000000005,375.72,325.475,316.905,340.13,307.53999999999996,,,,358.585,355.25,354.385,,,332.34000000000003,367.145,359.99666666666667,337.12,331.105,,342.70000000000005,,,,384.695,388.005,394.175,383.85,386.73,,L7
2000-01-17 22:06:11+00:00,220.5,301.08,325.825,333.60999999999996,335.06666666666666,400.0233333333333,370.57666666666665,370.09,372.72,428.81500000000005,343.3833333333334,334.58666666666664,367.3033333333333,376.59,348.498,344.3566666666666,341.03,338.9433333333333,328.25,320.46999999999997,341.09666666666664,,321.97,345.8025,346.235,333.84,344.11,350.66999999999996,337.5833333333333,352.29333333333335,316.74333333333334,306.12333333333333,340.13,307.53999999999996,,,,358.585,355.25,354.385,,292.65,323.97333333333336,349.06333333333333,359.99666666666667,337.12,331.105,,342.70000000000005,,,,384.695,388.005,394.175,383.85,386.73,,L7
2000-03-21 22:06:01+00:00,220.5,316.145,335.21,309.49666666666667,313.415,385.195,364.64,367.89,370.21500000000003,415.97,367.275,357.4,367.705,379.58666666666664,351.2075,349.7575,347.86,366.1066666666666,328.25,334.14,361.24666666666667,,340.645,337.2266666666667,355.3666666666666,330.825,358.1233333333333,366.04333333333335,337.5833333333333,342.6575,314.36,303.87,340.13,374.09,,,348.6,358.78,355.25,361.29,,302.45,313.28999999999996,334.55333333333334,356.76,319.09,326.35,325.26,323.59,328.93,331.72,327.37,395.01,399.38,398.97,384.69,393.2,,L7
2000-05-24 22:05:22+00:00,220.5,,,288.03499999999997,288.36,339.58,364.64,367.89,370.21500000000003,,365.2166666666667,360.9633333333333,369.98333333333335,392.825,345.59,341.03999999999996,345.52666666666664,387.67,322.96500000000003,326.9033333333333,341.25,322.8,344.05333333333334,325.005,367.49,320.60499999999996,386.15,396.79,304.11,309.595,308.995,304.78999999999996,359.84,369.715,305.5,309.94,330.745,312.82,,,,302.45,313.28999999999996,312.18500000000006,321.96,319.09,326.35,325.26,323.59,338.06,331.72,327.37,,,,,,,L7
2000-05-31 22:11:30+00:00,234.495,,,288.03499999999997,288.36,352.74,376.48,367.89,370.21500000000003,414.83,365.2166666666667,368.79999999999995,372.42,392.42,351.1,345.015,345.52666666666664,387.67,322.96500000000003,326.9033333333333,341.25,322.8,344.05333333333334,325.005,367.49,320.60499999999996,386.15,396.79,304.11,309.595,308.995,304.78999999999996,359.84,369.715,305.5,309.94,330.745,312.82,,,,302.45,313.28999999999996,312.18500000000006,321.96,319.09,326.35,325.26,323.59,338.06,331.72,327.37,,,,,,,L7
2000-08-03 22:10:43+00:00,248.49,,,277.23,,359.885,379.27500000000003,360.57,354.96,414.83,375.225,378.7233333333333,385.7166666666667,383.765,354.7175,353.0875,347.0566666666667,387.67,324.71,330.445,341.25,322.8,355.095,328.66,353.0366666666667,321.28999999999996,354.01,364.845,,313.75,318.71,325.02,359.84,369.715,305.5,309.94,330.745,312.82,,,,312.25,319.34,311.47,321.96,319.09,326.35,325.26,323.59,338.06,331.72,327.37,,,,,,,L7
