dates,nzd0368-0000,nzd0368-0001,nzd0368-0002,nzd0368-0003,nzd0368-0004,nzd0368-0005,nzd0368-0006,nzd0368-0007,nzd0368-0008,nzd0368-0009,nzd0368-0010,nzd0368-0011,nzd0368-0012,nzd0368-0013,nzd0368-0014,nzd0368-0015,nzd0368-0016,nzd0368-0017,nzd0368-0018,nzd0368-0019,nzd0368-0020,nzd0368-0021,nzd0368-0022,nzd0368-0023,nzd0368-0024,nzd0368-0025,nzd0368-0026,nzd0368-0027,nzd0368-0028,nzd0368-0029,nzd0368-0030,nzd0368-0031,nzd0368-0032,nzd0368-0033,nzd0368-0034,nzd0368-0035,nzd0368-0036,nzd0368-0037,nzd0368-0038,nzd0368-0039,nzd0368-0040,nzd0368-0041,nzd0368-0042,nzd0368-0043,nzd0368-0044,nzd0368-0045,nzd0368-0046,nzd0368-0047,nzd0368-0048,nzd0368-0049,nzd0368-0050,nzd0368-0051,nzd0368-0052,nzd0368-0053,nzd0368-0054,nzd0368-0055,nzd0368-0056,nzd0368-0057,nzd0368-0058,nzd0368-0059,nzd0368-0060,nzd0368-0061,nzd0368-0062,nzd0368-0063,nzd0368-0064,nzd0368-0065,nzd0368-0066,nzd0368-0067,nzd0368-0068,nzd0368-0069,nzd0368-0070,nzd0368-0071,nzd0368-0072,nzd0368-0073,nzd0368-0074,nzd0368-0075,nzd0368-0076,nzd0368-0077,nzd0368-0078,nzd0368-0079,nzd0368-0080,nzd0368-0081,nzd0368-0082,nzd0368-0083,nzd0368-0084,nzd0368-0085,nzd0368-0086,nzd0368-0087,nzd0368-0088,nzd0368-0089,nzd0368-0090,nzd0368-0091,nzd0368-0092,nzd0368-0093,nzd0368-0094,nzd0368-0095,nzd0368-0096,nzd0368-0097,nzd0368-0098,nzd0368-0099,nzd0368-0100,nzd0368-0101,nzd0368-0102
1999-08-17 22:12:26+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.37,365.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.81,,,,,464.48,474.5,465.54,463.2,471.45,,,,,,,,,,,,,,,,,,,,
1999-08-26 22:06:20+00:00,,,,385.6,369.4,332.85,323.63,313.24,,,,,292.37,,317.61,300.54,309.11,307.69,316.53,314.49,316.56,323.62,329.51,338.16,347.49,338.94,,,,,,,,319.77,,310.22,320.49,322.27,322.81,343.96000000000004,348.22,336.3,339.14,,,,,,,,359.68,366.39,378.99,392.26,,,,365.75,,,,354.62,358.08,363.4,371.93,,,,382.39,390.48,398.4,394.51,394.97,443.225,402.89,436.0,,467.47,461.82500000000005,479.845,472.9,451.14,456.85,414.43,,,,458.45,409.73,421.43,417.46,410.26,412.55,,401.98,394.01,,,369.2,,,,
1999-09-18 22:12:27+00:00,,397.28,384.12,400.13,350.62,329.605,337.03999999999996,331.15999999999997,,,340.7,338.29,287.21500000000003,,299.20000000000005,297.95000000000005,308.135,320.105,317.76,319.24,319.36,328.03499999999997,335.64,347.655,355.945,352.09000000000003,,,367.59,,355.86,352.9,350.31,329.26,360.36,329.39,340.17,339.31,337.82,341.23,342.2133333333333,336.42,343.33,351.13,355.03,364.33,350.0,343.03,339.88,353.75,368.47,376.595,391.12,407.69,423.47,389.3,404.75,365.75,,,,354.62,373.25,377.28499999999997,386.135,398.6,399.0,405.33,399.88,401.84000000000003,409.63,408.61,409.34000000000003,442.37999999999994,419.575,438.51,446.81,459.32000000000005,457.5133333333333,472.0933333333333,463.40000000000003,452.4066666666667,454.8733333333333,429.45500000000004,447.63,444.45,446.73,458.16999999999996,428.24,438.88,434.78,429.65,429.97,445.76,420.54,410.725,433.53,419.28,387.29999999999995,,,,
1999-10-13 22:06:24+00:00,,399.195,392.175,401.6466666666667,350.62,329.605,350.4633333333333,344.5133333333333,,,354.35,358.03499999999997,287.21500000000003,,299.20000000000005,297.95000000000005,320.51,328.01666666666665,326.02,330.3233333333333,326.83,332.7033333333333,339.82,351.6333333333334,360.6933333333333,352.09000000000003,329.33,375.84,371.92499999999995,365.4,359.69,353.16999999999996,351.375,335.9433333333333,351.645,335.44,344.70666666666665,344.5333333333333,341.8033333333333,341.3525,341.805,339.3933333333334,344.09,350.82,355.7,361.55499999999995,354.765,355.15,356.195,367.38,374.9533333333334,383.60999999999996,396.31666666666666,413.21999999999997,419.85,388.015,401.88,384.225,402.21,397.33,396.76,374.255,378.44,385.99333333333334,393.2266666666667,403.07500000000005,406.355,414.235,407.99666666666667,410.26666666666665,416.1133333333333,416.2633333333333,409.34000000000003,442.37999999999994,419.575,438.51,446.81,459.32000000000005,457.5133333333333,467.005,460.9575,452.945,453.4475,432.56,442.33,441.485,444.97,453.5533333333333,432.25,440.43333333333334,436.3533333333333,431.8,430.1433333333334,438.78,422.05333333333334,413.7133333333333,423.28,413.275,395.03666666666663,402.73,393.5,,
1999-11-21 22:12:24+00:00,,399.195,392.175,387.0025,344.2733333333333,328.06333333333333,350.4633333333333,336.2025,293.05,290.73,354.35,358.03499999999997,287.21500000000003,,301.52000000000004,298.54,316.4125,321.365,319.1375,322.81,322.26,327.6175,339.82,346.2475,354.765,343.5566666666667,320.23,358.53,359.45,350.22,354.06,350.66333333333336,347.3766666666667,331.3825,351.83666666666664,332.46000000000004,338.97249999999997,340.49,341.8033333333333,338.07,338.62,338.9825,340.1875,343.4666666666667,358.81333333333333,351.7,349.3566666666666,354.97666666666663,355.49666666666667,361.3966666666667,381.155,383.60999999999996,396.31666666666666,413.21999999999997,419.85,388.015,393.50333333333333,382.0466666666666,386.53,386.115,386.42499999999995,374.255,385.7825,398.1775,393.2266666666667,403.07500000000005,407.0566666666667,409.7,414.625,410.26666666666665,416.1133333333333,413.2175,407.27666666666664,433.305,419.575,438.51,446.81,459.32000000000005,457.5133333333333,467.005,460.9575,452.945,453.4475,432.56,442.33,442.66333333333336,452.4533333333334,453.7475,438.5075,451.09749999999997,445.32,431.8,430.1433333333334,447.07,432.235,424.2525,422.81333333333333,416.6133333333333,400.3125,403.70500000000004,413.245,,
2000-03-21 22:06:01+00:00,,401.11,400.23,363.8633333333334,336.47,324.98,368.44,333.16,298.17,291.275,368.0,377.78,284.51,294.2,305.885,299.32000000000005,318.56333333333333,316.3533333333333,319.24333333333334,325.95,325.56,329.30333333333334,345.28,346.60999999999996,352.55333333333334,326.49,309.9866666666667,355.8433333333333,353.8966666666667,347.21000000000004,349.32666666666665,346.0933333333333,342.0366666666667,330.8833333333333,339.78333333333336,330.26000000000005,335.68,337.0833333333333,342.065,334.1666666666667,334.00666666666666,339.51,336.56666666666666,338.3666666666666,353.3,345.59666666666664,348.26666666666665,356.9533333333333,359.95,364.73333333333335,385.3,389.01,398.09000000000003,413.05499999999995,405.19,374.74,386.29333333333335,386.5333333333333,383.24333333333334,382.49,383.2033333333333,384.395,392.04333333333335,419.07000000000005,403.31500000000005,402.84000000000003,407.07,405.39000000000004,429.37,414.62,417.54499999999996,414.27,403.66999999999996,406.645,404.14,407.38,409.41,411.79,415.18,435.645,436.105,437.08000000000004,434.505,427.895,426.19,433.7733333333333,455.31500000000005,440.82666666666665,438.8866666666666,463.31499999999994,455.86,426.925,421.355,447.725,443.93,437.78,417.45500000000004,415.28,413.32500000000005,403.70500000000004,413.245,,
2000-05-24 22:05:22+00:00,,,,343.84,341.36,,359.57,316.99,303.29,291.82,,,284.51,294.2,305.61,298.92,306.31,303.81,316.7,325.09,326.36,333.51,342.38,350.15,350.49,,289.5,350.47,350.93,341.19,341.66,339.19,334.29,325.64,324.2,319.72,331.49,327.91,334.36,335.84,335.56,335.44,335.61,335.83,338.49,371.21500000000003,346.73,348.96,353.24,386.955,368.22,380.38,410.765,424.075,419.61,362.75,383.12,379.21,376.67,375.24,376.76,374.9,379.5,440.43,417.245,398.13,399.04,392.4,448.24,402.12,406.01,407.16,404.19,407.21,404.14,407.38,409.41,411.79,415.18,419.55,445.88,446.23,419.84,417.02,415.35,417.78,475.88,423.83,419.11,481.38,479.65,417.75,412.22,479.03,486.92,479.11,,452.37,,,454.45,,
2000-08-19 22:10:38+00:00,,,390.04,343.84,341.36,,351.805,316.99,315.73,291.82,355.07,,284.51,308.695,318.045,298.92,313.645,311.86,325.325,324.69,330.37,336.355,343.78999999999996,353.98,362.925,,289.5,350.47,368.185,357.98,354.43,355.515,344.65,338.2,338.43,319.72,345.24,343.505,346.1,346.465,346.18,345.505,339.68,346.40999999999997,344.73,368.27,356.86,361.19,362.225,384.5933333333333,378.165,395.46000000000004,412.64000000000004,423.68,415.6666666666667,373.235,383.12,383.55499999999995,381.125,382.84000000000003,385.33500000000004,383.95,379.5,440.43,417.245,398.13,399.04,392.4,448.24,402.12,406.01,407.16,414.445,410.98,413.935,419.375,424.04,426.005,423.935,428.055,442.25,442.35999999999996,425.57,419.99,423.535,424.715,456.945,429.83,426.295,481.38,479.65,417.75,412.22,479.03,486.92,479.11,,452.37,,,454.45,,
2000-09-13 22:04:02+00:00,,,390.04,343.84,341.36,,351.805,316.99,315.73,291.82,355.07,,284.51,286.84,318.045,298.92,313.645,311.86,305.92,307.15000000000003,311.13,314.94,343.78999999999996,332.94666666666666,362.925,,289.5,350.47,368.185,357.98,354.43,355.515,344.65,338.2,338.43,319.72,345.24,343.505,346.1,346.465,346.18,345.505,339.68,346.40999999999997,344.73,368.27,356.86,361.19,362.225,384.5933333333333,378.165,395.46000000000004,412.64000000000004,423.68,415.6666666666667,373.235,383.12,383.55499999999995,381.125,382.84000000000003,385.33500000000004,383.95,379.5,440.43,417.245,398.13,399.04,392.4,448.24,402.12,406.01,407.16,414.445,410.98,413.935,419.375,424.04,426.005,423.935,428.055,442.25,442.35999999999996,425.57,419.99,423.535,424.715,456.945,429.83,426.295,481.38,479.65,417.75,412.22,479.03,486.92,479.11,,452.37,,,454.45,,
2000-09-20 22:10:03+00:00,,,390.04,,,,344.04,,328.17,,355.07,373.13,,283.15999999999997,330.48,,320.98,319.91,300.53,298.18000000000006,303.515,305.655,345.2,324.34499999999997,375.36,356.85,,,388.32,380.48,374.88,379.14,367.635,350.76,364.555,,358.99,359.1,357.84,357.09,356.8,355.57,343.75,356.99,364.03,379.56666666666666,366.99,373.42,371.21,395.93333333333334,388.11,410.54,425.09666666666664,437.3766666666667,428.81666666666666,400.53,418.56,403.76,385.58,399.185,396.9,393.0,,440.43,435.27,,,,448.24,,445.56,,424.7,414.75,423.73,431.37,438.67,440.22,439.04499999999996,447.235,457.4666666666667,454.2733333333333,443.03999999999996,442.67999999999995,446.405,445.1,456.945,451.815,449.52,475.71500000000003,473.26,,,470.05499999999995,486.92,479.11,424.46,452.37,405.57,406.3,454.45,,
