dates,satname,nzd0369-0001,nzd0369-0002,nzd0369-0003,nzd0369-0004,nzd0369-0005,nzd0369-0006,nzd0369-0007,nzd0369-0008,nzd0369-0009,nzd0369-0010,nzd0369-0011,nzd0369-0012,nzd0369-0013,nzd0369-0014,nzd0369-0015,nzd0369-0016,nzd0369-0017,nzd0369-0018,nzd0369-0019,nzd0369-0020,nzd0369-0021,nzd0369-0022,nzd0369-0023,nzd0369-0024,nzd0369-0132,nzd0369-0133,nzd0369-0134,nzd0369-0135,nzd0369-0136,nzd0369-0137,nzd0369-0138,nzd0369-0139,nzd0369-0140,nzd0369-0141,nzd0369-0142,nzd0369-0143,nzd0369-0144,nzd0369-0145,nzd0369-0146,nzd0369-0147,nzd0369-0148,nzd0369-0149,nzd0369-0150,nzd0369-0151,nzd0369-0152,nzd0369-0063,nzd0369-0064,nzd0369-0065,nzd0369-0131,nzd0369-0025,nzd0369-0038,nzd0369-0039,nzd0369-0040,nzd0369-0041,nzd0369-0043,nzd0369-0044,nzd0369-0045,nzd0369-0046,nzd0369-0047,nzd0369-0048,nzd0369-0049,nzd0369-0101,nzd0369-0102,nzd0369-0103,nzd0369-0104,nzd0369-0105,nzd0369-0106,nzd0369-0130,nzd0369-0033,nzd0369-0034,nzd0369-0035,nzd0369-0036,nzd0369-0075,nzd0369-0076,nzd0369-0077,nzd0369-0078,nzd0369-0026,nzd0369-0027,nzd0369-0028,nzd0369-0029,nzd0369-0087,nzd0369-0088,nzd0369-0089,nzd0369-0118,nzd0369-0119,nzd0369-0124,nzd0369-0125,nzd0369-0126,nzd0369-0127,nzd0369-0128,nzd0369-0129,nzd0369-0112,nzd0369-0113,nzd0369-0114,nzd0369-0115,nzd0369-0116,nzd0369-0117,nzd0369-0091,nzd0369-0092,nzd0369-0093,nzd0369-0094,nzd0369-0095,nzd0369-0120,nzd0369-0121,nzd0369-0122,nzd0369-0123,nzd0369-0100,nzd0369-0107,nzd0369-0108,nzd0369-0109,nzd0369-0110,nzd0369-0111,nzd0369-0090,nzd0369-0096,nzd0369-0097,nzd0369-0098,nzd0369-0081,nzd0369-0082,nzd0369-0085,nzd0369-0086,nzd0369-0030,nzd0369-0031,nzd0369-0057,nzd0369-0058,nzd0369-0059,nzd0369-0060,nzd0369-0061,nzd0369-0099,nzd0369-0071,nzd0369-0072,nzd0369-0073,nzd0369-0083,nzd0369-0032,nzd0369-0042,nzd0369-0084,nzd0369-0050,nzd0369-0051,nzd0369-0052,nzd0369-0055,nzd0369-0056,nzd0369-0053,nzd0369-0054,nzd0369-0074,nzd0369-0079,nzd0369-0080
1999-08-03 22:00:08.482000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.46,331.82,316.27,308.64,315.31,305.84,,,,,,,,,,,,,,,,,,,,,,,,,349.67,,,,,,383.66,359.10,370.86,379.92,387.71,,,,,385.77,332.05,364.26,384.25,384.36,374.90,396.57,364.32,358.11,400.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-04 22:00:09.953000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.02,370.12,363.15,352.78,350.12,366.05,301.65,,,,,,,,,,,,,,,,410.54,411.51,374.56,367.94,352.92,332.94,323.02,311.24,,,,,,,,,,,,419.77,406.51,395.15,388.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-20 22:00:08.403000,L7,,,,,,,,,,,,,,,,,,,,,,,,,358.13,,,,,,,,,,,,,,,,,,,,,,,,362.26,,,,,,,,,,,,,,,,,,,392.90,,,,,,,,,,,,,,,,,,339.69,361.56,361.04,312.80,391.45,309.63,,,403.36,395.25,386.99,385.66,,,,,,,,,357.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-22 22:00:04.598000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.01,380.54,371.43,357.04,362.47,386.01,310.64,,,,,,,,,,,,,,,,408.62,413.22,420.90,355.15,326.20,340.66,336.03,330.26,,,,,,,,,,,,414.26,399.45,382.69,365.80,,422.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-09 22:00:09.551000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409.21,371.06,350.16,347.94,348.70,368.85,296.55,,,,,,,,,,,,,,,,380.98,416.23,365.78,361.86,337.20,331.26,311.19,313.56,,,414.40,409.32,396.70,392.76,,,,,,414.45,408.52,396.55,380.64,,410.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-25 22:00:04.067000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.86,,,,,,,,,,,,,,,,,,393.51,375.34,372.06,339.71,324.06,316.76,,,,,,,,,,,,,,,417.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-26 22:00:02.226000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.02,334.55,326.04,313.42,323.63,337.22,,,,,,,,,,,,,,,,,356.19,363.34,355.54,304.28,,,,,400.70,403.96,382.36,369.64,359.26,359.99,,,,,,356.24,389.44,376.93,373.72,394.36,385.88,419.94,,415.95,407.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-11 21:59:57.866000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.56,367.13,358.42,357.93,372.96,372.17,341.44,,,,,,,,,,,,,,,,,,381.05,383.56,379.14,414.37,357.56,318.03,,,,,,,,,,,,,,,412.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-27 21:59:52.393000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.29,328.39,318.49,301.91,305.37,320.75,,,,,,,,,,,,,,,,,335.19,327.49,,,,,,,379.83,385.48,356.33,342.51,349.30,344.53,,,,,,324.14,304.49,,,386.25,355.18,396.52,394.40,391.48,387.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-14 21:59:47.162000,L7,,,,,,,,,,,,,391.44,391.92,372.67,334.47,343.46,344.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.86,321.44,,,,,,,,,,,,,,,,,333.19,,,,,,,,,,,,351.42,353.33,,,,,359.12,330.98,338.33,379.55,356.40,,,,,349.16,,,,357.87,399.56,367.90,360.09,346.87,351.92,,,,,350.12,369.53,352.02,360.65,338.06,329.16,351.72,383.24,,,,,,,,,,,,,,,,,
