dates,nzd0373-0000,nzd0373-0001,nzd0373-0002,nzd0373-0003,nzd0373-0004,nzd0373-0005,nzd0373-0006,nzd0373-0007,nzd0373-0008,nzd0373-0009,nzd0373-0010,nzd0373-0011,nzd0373-0012,nzd0373-0013,nzd0373-0014,nzd0373-0015,nzd0373-0016,nzd0373-0017,nzd0373-0018,nzd0373-0019,nzd0373-0020,nzd0373-0021,nzd0373-0022,nzd0373-0023,nzd0373-0024
1999-09-04 22:00:09+00:00,,,,,,,,,,,,297.68,301.67,279.58,,,,332.28,307.48,302.97,,193.57,257.69,252.98,229.04
1999-09-20 22:00:08+00:00,209.53,198.43,182.86,200.78,179.5,193.2,,,,292.96,,297.68,301.67,272.66999999999996,,,,326.33,309.44500000000005,305.875,,191.19,259.395,252.06,231.005
1999-12-25 22:00:04+00:00,209.53,198.43,182.86,200.78,179.5,193.2,,,,292.96,,297.68,301.67,272.66999999999996,,,,326.33,309.44500000000005,305.875,,191.19,261.8433333333333,252.44666666666663,229.84333333333333
2000-01-26 22:00:02+00:00,209.53,198.43,182.86,200.78,179.5,193.2,,,,281.655,293.08,297.68,301.67,272.66999999999996,,,,326.33,309.44500000000005,305.875,,191.19,261.8433333333333,252.44666666666663,231.1025
2000-02-11 21:59:57+00:00,209.53,198.43,182.86,200.78,179.5,193.2,,,,281.655,293.08,297.68,301.67,272.66999999999996,,,,326.33,309.44500000000005,305.875,,191.19,261.8433333333333,252.44666666666663,231.99
2000-02-27 21:59:52+00:00,209.53,198.43,182.86,200.78,179.5,193.2,,,,281.655,295.03999999999996,297.68,301.67,272.66999999999996,,,,326.33,309.44500000000005,305.875,,191.19,261.8433333333333,252.44666666666663,231.99
2000-03-30 21:59:45+00:00,,,,,,,,,,270.35,295.03999999999996,,,,,,,,,,,,266.74,257.435,234.4925
2000-04-15 21:59:31+00:00,,,,,,,,,,270.35,295.03999999999996,,,,,,,,241.15,,224.52,,264.255,254.83666666666667,232.906
2000-05-01 21:59:30+00:00,,,,,,,,,,270.35,280.9533333333333,284.87,312.84,261.12,,,,,253.135,302.23,224.52,,265.9266666666667,256.2575,233.39499999999998
2000-06-18 21:59:03+00:00,194.23,181.51,167.73,183.33,192.03,205.46,195.94,,,270.35,280.9533333333333,284.87,312.84,261.12,,,,,253.135,302.23,224.52,182.98,261.5725,251.3,231.95142857142858
2000-08-05 21:58:20+00:00,194.23,181.51,167.73,183.33,192.03,205.46,195.94,,,,264.84,281.795,293.37,263.245,,,,,253.135,302.23,224.52,182.98,259.84999999999997,250.82,232.252
2000-10-24 21:57:29+00:00,194.23,181.51,167.73,183.33,192.03,205.46,195.94,,,,248.76000000000002,281.795,293.37,263.245,,,,,265.12,302.23,,182.98,258.16,245.6533333333333,225.4333333333333
2000-11-25 21:57:34+00:00,194.23,181.51,167.73,183.33,192.03,205.46,195.94,,,,244.74,278.72,273.9,265.37,,,,,,,,182.98,252.60500000000002,244.9433333333333,223.04666666666665
2000-12-11 21:57:36+00:00,194.23,181.51,167.73,183.33,192.03,205.46,195.94,,,,244.74,278.72,273.9,265.37,,,,,,,,182.98,252.60500000000002,244.9433333333333,225.45
2001-02-13 21:57:39+00:00,,,,,,,,,,256.98,281.58,267.37,,,,,,,,,,,256.7,251.67999999999995,226.17
2001-05-20 21:57:04+00:00,223.72,234.87,246.18,,,,,,,243.58,281.58,267.37,,,,,,,,,,205.69,259.72,257.495,233.72333333333336
2001-06-05 21:56:52+00:00,217.85500000000002,234.87,235.22500000000002,,,,,,,243.58,281.58,267.37,,,,,,,,,,216.615,258.665,254.515,234.25333333333333
2001-07-07 21:56:36+00:00,217.85500000000002,234.87,235.22500000000002,,,,,,,243.58,281.58,267.37,,,,,,,,,,208.31333333333336,260.78333333333336,265.31333333333333,232.79000000000005
2001-08-08 21:56:12+00:00,217.85500000000002,234.87,235.22500000000002,,,,,,,243.58,281.58,267.37,,,,,,,,,235.47,206.22,260.78333333333336,265.31333333333333,232.79000000000005
2001-08-24 21:56:00+00:00,217.85500000000002,234.87,235.22500000000002,,,,,,,236.01,247.92,270.04,,,372.36,,,344.74,285.95,305.11,235.47,203.10399999999998,260.78333333333336,260.715,230.45250000000001
2001-12-30 21:55:49+00:00,,,,,,,,,,241.84,247.92,270.04,,,372.36,,,344.74,285.95,305.11,235.47,194.09666666666666,265.02,264.31333333333333,227.92333333333332
2002-03-04 21:56:09+00:00,,,,,,,,,,,,,,,,,,,329.54,,,200.4,,251.16000000000003,232.06
2002-05-07 21:56:03+00:00,275.99,298.04,,,,,,,,283.27,307.55,,,,332.99,339.93,,,329.54,,,180.56,,249.27,231.8
2002-10-14 21:54:55+00:00,275.99,298.04,,,,,,,,283.27,307.55,,,,332.99,354.385,,333.39,332.2,309.65,,160.72,257.27,247.2,223.725
2002-10-30 21:55:01+00:00,275.99,298.04,,,,,,,,283.27,307.55,,,,332.99,354.385,,333.39,332.2,309.65,,160.72,257.27,255.28333333333333,226.47
2003-01-02 21:55:34+00:00,,,257.31,,,,,310.97,293.79,286.89,311.1,281.02,,,,368.84,,333.39,332.2,309.65,,,259.095,274.6066666666666,223.68333333333337
2003-01-18 21:55:42+00:00,,,257.31,,,,,310.97,293.79,286.89,311.1,281.02,,,,368.84,,333.39,332.2,309.65,,,264.5233333333333,274.28499999999997,226.1525
2003-02-19 21:55:54+00:00,,,257.31,,,,,279.695,280.5,277.615,298.985,272.46,,,,368.84,,333.39,332.2,309.65,,,264.5233333333333,271.514,226.6
2003-03-23 21:55:52+00:00,,,257.31,,,,,279.695,280.5,277.615,298.985,272.46,,,,377.05499999999995,,333.39,332.2,309.65,,,264.4475,269.42,227.37333333333333
2003-07-21 21:43:45+00:00,,,,,,,,248.42,267.21,268.34,267.60499999999996,278.715,298.53,264.21,,368.38,,,,,,162.91,257.23,256.8533333333333,227.30333333333337
2003-07-30 21:37:45+00:00,,326.91,316.15,,,,,248.42,267.21,268.34,248.58333333333334,277.03999999999996,298.53,250.08999999999997,,368.38,,,,,253.34,162.91,262.55333333333334,264.4775,233.8775
2003-12-28 21:45:57+00:00,,326.91,316.15,,,,,,,,229.44,283.60999999999996,298.53,250.08999999999997,,351.49,,,344.87,326.86,290.6,229.04000000000002,260.45666666666665,256.78333333333336,237.10333333333335
2004-04-02 21:46:30+00:00,,,,,,,,,,,,,,,,,,,349.8,326.86,327.86,302.38,260.28999999999996,240.005,222.96
2004-05-04 21:47:27+00:00,,,,,,,,,,,,,,,,,,,346.2833333333333,326.86,327.86,301.3066666666667,260.58,240.63666666666666,219.99333333333334
2004-07-07 21:49:21+00:00,,,,,,,,,,,,,,,,,,,346.98999999999995,,,304.375,270.41333333333336,255.84666666666666,225.87666666666667
2004-07-23 21:49:45+00:00,319.96,329.9,312.3,,,,,,,,,314.97,,,330.28,,286.74,293.11,334.91333333333336,305.17,331.74,295.25333333333333,270.41333333333336,255.84666666666666,225.87666666666667
2004-08-24 21:50:29+00:00,332.985,329.9,312.3,,,,,,,,,314.97,,,330.28,,286.74,293.11,338.0925,305.17,331.74,295.25333333333333,269.78,257.025,223.09
2004-09-25 21:51:19+00:00,332.985,329.9,312.3,,,,,,,,,314.97,,,330.28,,286.74,293.11,338.0925,305.17,331.74,295.25333333333333,270.81,258.576,223.85
2004-11-12 21:52:15+00:00,332.985,329.9,312.3,,,,,,,,,314.97,,,330.28,,286.74,293.11,329.19499999999994,305.17,331.74,277.01,277.725,267.5825,225.4425
2005-01-15 21:53:21+00:00,332.985,329.9,312.3,,,,,,,,,314.97,,,330.28,,286.74,293.11,336.48,305.17,334.78499999999997,289.69499999999994,270.19,264.99,216.23
2005-02-09 21:47:31+00:00,346.01,,,,,,,,,,,276.24,,,,,,,349.34000000000003,,337.83,302.38,276.904,268.57800000000003,216.23
