dates,nzd0376-0000,nzd0376-0001,nzd0376-0002,nzd0376-0003,nzd0376-0004,nzd0376-0005,nzd0376-0006,nzd0376-0007,nzd0376-0008,nzd0376-0009,nzd0376-0010,nzd0376-0011,nzd0376-0012,nzd0376-0013,nzd0376-0014,nzd0376-0015,nzd0376-0016,nzd0376-0017,nzd0376-0018,nzd0376-0019,nzd0376-0020,nzd0376-0021,nzd0376-0022,nzd0376-0023,nzd0376-0024,nzd0376-0025,nzd0376-0026,nzd0376-0027,nzd0376-0028,nzd0376-0029,nzd0376-0030,nzd0376-0031,nzd0376-0032,nzd0376-0033,nzd0376-0034,nzd0376-0035,nzd0376-0036,nzd0376-0037,nzd0376-0038,nzd0376-0039,nzd0376-0040,nzd0376-0041,nzd0376-0042,nzd0376-0043,nzd0376-0044,nzd0376-0045,nzd0376-0046,nzd0376-0047,satname
1999-08-17 22:12:26+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,334.45,,,,,,,,,,,,,,,,,,,,,,,L7
1999-10-13 22:06:24+00:00,,265.44,,,,256.48,199.35,212.58,232.87,215.96,225.43,199.2,193.4,235.42,280.79,248.51,,297.71,,,,290.95,,,,334.45,,,,,218.63,,,,,,,,183.39,175.06,191.66,214.93,,,223.33,211.72,180.6,,L7
1999-11-21 22:12:24+00:00,,272.395,,,,262.76,206.41,215.175,235.91,217.615,216.425,201.995,200.405,254.445,287.89,252.4,,277.95,,311.88,313.97,301.43,298.96,300.67,315.73,323.315,,298.01,292.34,,218.225,269.58,271.43,326.22,315.68,295.42,,,183.14,183.47,195.32,216.09,,,226.455,216.06,191.05,,L7
2000-08-19 22:10:38+00:00,,,,,,,,,,,,,,324.59,320.67,321.37,311.34,,330.33,323.18,320.56,318.32,309.74,319.05,,,,,,,,,,,,,,302.27,,308.98,,338.7,322.41,,,,,,L7
2000-09-20 22:10:03+00:00,,,301.82,316.07,296.83,290.62,,,,,,,266.74,317.405,306.225,314.95500000000004,307.34,,326.29499999999996,320.845,315.485,314.91499999999996,310.28499999999997,315.31,314.85,320.13,317.8,311.11,303.77,292.25,283.9,286.83,290.16,293.18,291.94,294.56,,295.735,,301.295,,319.72,311.995,297.69,,,,,L7
2000-11-07 22:09:53+00:00,,320.08,305.91999999999996,317.185,297.975,290.38,,,,,,,285.615,310.88,307.38666666666666,313.53333333333336,306.1666666666667,,323.18666666666667,320.09999999999997,315.18666666666667,313.28,307.70666666666665,314.2266666666667,314.19,319.955,320.025,311.995,302.905,290.66499999999996,283.9,286.83,290.16,293.18,291.94,294.56,,292.6233333333333,,296.61,,310.24,307.8,289.065,251.98,230.73,210.84,198.53,L7
2000-12-18 22:03:49+00:00,,320.08,305.91999999999996,317.185,297.975,290.38,,,,,,,285.615,310.88,307.38666666666666,299.825,293.155,,323.18666666666667,308.4,299.325,313.28,289.0725,299.90999999999997,295.75666666666666,319.955,320.025,292.15333333333336,302.905,290.66499999999996,283.9,286.83,290.16,266.485,260.9,294.56,243.66,279.575,232.77,280.5425,234.32,291.6725,291.59000000000003,269.96,251.98,230.73,210.84,198.53,L7
2001-01-10 22:10:03+00:00,,300.84000000000003,296.27,308.59999999999997,289.7033333333333,283.67333333333335,241.56,210.33,228.68,225.46,,223.86,281.1366666666667,302.635,307.38666666666666,298.184,287.394,272.09,314.4925,304.678,297.312,307.23249999999996,284.408,295.68,295.1225,309.11999999999995,309.93333333333334,291.2025,302.905,270.32,270.775,286.83,290.16,269.8233333333333,260.19,278.25,255.63,276.566,244.70999999999998,277.572,238.255,284.88800000000003,288.044,266.9475,242.87,228.135,210.84,198.53,L7
2001-02-20 22:03:48+00:00,,285.45666666666665,296.27,308.59999999999997,289.7033333333333,279.3275,241.56,212.07,221.46,225.75,238.14,223.3,281.1366666666667,295.31666666666666,300.745,287.45,276.486,273.275,301.97,295.998,287.94,296.40999999999997,272.76,287.15999999999997,292.43,285.4425,309.93333333333334,283.86600000000004,282.05333333333334,255.63,261.10999999999996,286.83,290.16,265.9275,256.0075,262.93666666666667,249.26999999999998,265.588,243.60999999999999,260.77799999999996,246.21333333333334,265.14199999999994,274.006,262.056,233.51666666666665,221.35999999999999,210.84,198.53,L7
2001-03-08 22:03:44+00:00,467.01,285.92,292.40250000000003,305.6825,289.7033333333333,279.3275,241.56,212.07,221.46,225.75,238.14,223.3,285.155,295.0575,293.5133333333333,288.34000000000003,279.99333333333334,277.84999999999997,299.05600000000004,294.825,288.3,294.97799999999995,273.01,288.0466666666667,292.43,285.4425,309.93333333333334,283.86600000000004,266.7,250.516,258.5875,267.265,264.425,264.758,256.0075,262.93666666666667,249.26999999999998,272.1666666666667,243.60999999999999,261.37333333333333,252.505,262.885,274.25,261.51666666666665,234.505,223.5325,214.615,198.53,L7
