dates,nzd0377-0000,nzd0377-0052,nzd0377-0053,nzd0377-0054,nzd0377-0055,nzd0377-0056,nzd0377-0057,nzd0377-0058,nzd0377-0059,nzd0377-0063,nzd0377-0064,nzd0377-0065,nzd0377-0066,nzd0377-0067,nzd0377-0068,nzd0377-0073,nzd0377-0074,nzd0377-0075,nzd0377-0076,nzd0377-0077,nzd0377-0078,nzd0377-0080,nzd0377-0081,nzd0377-0082,nzd0377-0083,nzd0377-0084,nzd0377-0085,nzd0377-0086,nzd0377-0087,nzd0377-0088,nzd0377-0089,nzd0377-0090,nzd0377-0091,nzd0377-0092,nzd0377-0093,nzd0377-0094,nzd0377-0079,nzd0377-0095,nzd0377-0096,nzd0377-0097,nzd0377-0098,nzd0377-0099,nzd0377-0100,nzd0377-0101,nzd0377-0102,nzd0377-0069,nzd0377-0070,nzd0377-0001,nzd0377-0002,nzd0377-0003,nzd0377-0039,nzd0377-0040,nzd0377-0041,nzd0377-0042,nzd0377-0032,nzd0377-0033,nzd0377-0034,nzd0377-0035,nzd0377-0031,nzd0377-0044,nzd0377-0045,nzd0377-0046,nzd0377-0047,nzd0377-0048,nzd0377-0049,nzd0377-0050,nzd0377-0051,nzd0377-0060,nzd0377-0043,nzd0377-0072,nzd0377-0061,nzd0377-0062,nzd0377-0004,nzd0377-0005,nzd0377-0006,nzd0377-0007,nzd0377-0023,nzd0377-0024,nzd0377-0025,nzd0377-0026,nzd0377-0038,nzd0377-0008,nzd0377-0071,nzd0377-0009,nzd0377-0010,nzd0377-0011,nzd0377-0012,nzd0377-0013,nzd0377-0014,nzd0377-0017,nzd0377-0018,nzd0377-0019,nzd0377-0020,nzd0377-0021,nzd0377-0022,nzd0377-0027,nzd0377-0028,nzd0377-0029,nzd0377-0030,nzd0377-0036,nzd0377-0037,nzd0377-0106,nzd0377-0107,nzd0377-0108,nzd0377-0109,nzd0377-0110,nzd0377-0111,nzd0377-0112,nzd0377-0015,nzd0377-0016,nzd0377-0113,nzd0377-0114,nzd0377-0103,nzd0377-0104,nzd0377-0105,satname
1999-09-04 22:00:09+00:00,,,,,,,,,,,,,,,,,,,,,,,,,339.89,336.08,,315.27,299.45,306.07,291.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-09-20 22:00:08+00:00,,,,,,,,,,,,,,,,,,,,,,,,,339.89,336.08,,315.27,299.45,306.07,291.22,,,,324.7,319.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-12-09 22:00:09+00:00,,,,,,,,,,,,,,,,,,,,,,,,,339.89,336.08,,315.27,299.45,306.07,291.22,,,,324.7,319.59,,,,336.54,325.1,315.56,308.94,303.35,297.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.87,319.21,302.19,L7
1999-12-25 22:00:04+00:00,,,,,,,,,,,,,,,,,,,,,,,,,339.89,336.08,,315.27,299.45,323.96000000000004,291.22,,337.69,328.66,321.985,314.99,,,332.74,328.93,323.71000000000004,312.7,308.31,299.995,298.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.12,,,,,,,,,,,293.865,320.765,301.69,L7
2000-01-26 22:00:02+00:00,312.59,323.1,340.66,,,,,,,,,,,334.78,293.85,330.31,340.78,338.34,333.23,326.36,327.57,,,,339.89,336.08,,315.27,299.45,323.96000000000004,291.22,,337.69,328.66,327.36999999999995,320.3666666666666,,,332.74,328.93,323.71000000000004,312.7,308.31,299.995,298.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.12,,,,,,,,,,,293.865,320.765,301.69,L7
2000-02-11 21:59:57+00:00,312.59,323.1,340.66,,,,,,,,,,,334.78,293.85,330.31,340.78,338.34,333.23,326.36,327.57,,,,339.89,336.08,,315.27,299.45,323.96000000000004,291.22,,337.69,328.66,327.36999999999995,320.3666666666666,,,332.74,332.94666666666666,322.0366666666667,321.8066666666667,323.2366666666667,312.1433333333334,298.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.12,,,,,,,,,,,293.865,320.765,301.69,L7
2000-02-27 21:59:52+00:00,312.59,323.1,340.66,,,,,,,,,,,334.78,293.85,330.31,340.78,338.34,333.23,326.36,327.57,,,,339.89,336.08,,315.27,299.45,323.96000000000004,291.22,,337.69,328.66,327.36999999999995,320.3666666666666,,,332.74,332.94666666666666,322.0366666666667,328.745,323.2366666666667,312.1433333333334,298.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.12,,,,,,,,,,,293.865,320.765,301.69,L7
2000-03-30 21:59:45+00:00,312.59,323.1,340.66,,,,,,,,,,,334.78,293.85,330.31,340.78,338.34,333.23,326.36,327.57,,,,,,,,,341.85,,,341.22,328.66,328.7049999999999,323.28333333333336,,,336.025,330.06,322.0366666666667,328.745,323.2366666666667,312.1433333333334,298.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.12,,,,,,,,,,,293.865,320.765,301.69,L7
2000-04-15 21:59:31+00:00,312.59,323.1,340.66,,,,,,,,,,,334.78,293.85,330.31,340.78,338.34,333.23,326.36,327.57,,,,362.14,,345.63,,326.09,332.42,314.02,314.17,329.5933333333333,314.485,319.8133333333333,313.5075,,,336.025,330.06,322.0366666666667,328.745,323.2366666666667,312.1433333333334,298.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.12,,,,,,,,,,,293.865,320.765,301.69,L7
2000-05-01 21:59:30+00:00,312.59,323.1,340.66,,,,,,,,,,,334.78,293.85,330.31,340.78,338.34,333.23,326.36,327.57,,,,360.345,,345.63,349.72,328.41499999999996,329.3966666666667,317.80499999999995,317.46000000000004,327.5225,315.86333333333334,312.78249999999997,308.036,,,336.025,330.06,322.0366666666667,328.745,323.2366666666667,312.1433333333334,298.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.12,,,,,,,,,,,293.865,320.765,301.69,L7
