dates,nzd0378-0000,nzd0378-0001,nzd0378-0002,nzd0378-0003,nzd0378-0004,nzd0378-0005,nzd0378-0006,nzd0378-0041,nzd0378-0042,nzd0378-0043,nzd0378-0044,nzd0378-0045,nzd0378-0046,nzd0378-0047,nzd0378-0048,nzd0378-0061,nzd0378-0062,nzd0378-0063,nzd0378-0064,nzd0378-0065,nzd0378-0066,nzd0378-0103,nzd0378-0104,nzd0378-0105,nzd0378-0106,nzd0378-0115,nzd0378-0116,nzd0378-0120,nzd0378-0121,nzd0378-0122,nzd0378-0123,nzd0378-0124,nzd0378-0125,nzd0378-0126,nzd0378-0127,nzd0378-0149,nzd0378-0150,nzd0378-0151,nzd0378-0157,nzd0378-0158,nzd0378-0159,nzd0378-0160,nzd0378-0162,nzd0378-0163,nzd0378-0164,nzd0378-0173,nzd0378-0174,nzd0378-0175,nzd0378-0192,nzd0378-0193,nzd0378-0194,nzd0378-0195,nzd0378-0198,nzd0378-0199,nzd0378-0200,nzd0378-0201,nzd0378-0202,nzd0378-0203,nzd0378-0204,nzd0378-0205,nzd0378-0206,nzd0378-0207,nzd0378-0208,nzd0378-0209,nzd0378-0210,nzd0378-0211,nzd0378-0212,nzd0378-0049,nzd0378-0050,nzd0378-0068,nzd0378-0069,nzd0378-0070,nzd0378-0076,nzd0378-0077,nzd0378-0078,nzd0378-0079,nzd0378-0086,nzd0378-0087,nzd0378-0088,nzd0378-0089,nzd0378-0090,nzd0378-0091,nzd0378-0092,nzd0378-0093,nzd0378-0094,nzd0378-0097,nzd0378-0098,nzd0378-0114,nzd0378-0117,nzd0378-0118,nzd0378-0119,nzd0378-0128,nzd0378-0129,nzd0378-0130,nzd0378-0131,nzd0378-0136,nzd0378-0137,nzd0378-0138,nzd0378-0152,nzd0378-0153,nzd0378-0154,nzd0378-0155,nzd0378-0156,nzd0378-0161,nzd0378-0165,nzd0378-0166,nzd0378-0167,nzd0378-0168,nzd0378-0169,nzd0378-0170,nzd0378-0171,nzd0378-0172,nzd0378-0184,nzd0378-0185,nzd0378-0186,nzd0378-0187,nzd0378-0188,nzd0378-0189,nzd0378-0190,nzd0378-0191,nzd0378-0196,nzd0378-0197,nzd0378-0213,nzd0378-0214,nzd0378-0215,nzd0378-0216,nzd0378-0217,nzd0378-0218,nzd0378-0084,nzd0378-0085,nzd0378-0095,nzd0378-0096,nzd0378-0101,nzd0378-0102,nzd0378-0147,nzd0378-0148,nzd0378-0099,nzd0378-0100,nzd0378-0145,nzd0378-0146,nzd0378-0176,nzd0378-0177,nzd0378-0083,nzd0378-0108,nzd0378-0109,nzd0378-0110,nzd0378-0143,nzd0378-0144,nzd0378-0178,nzd0378-0179,nzd0378-0067,nzd0378-0071,nzd0378-0072,nzd0378-0132,nzd0378-0025,nzd0378-0026,nzd0378-0027,nzd0378-0028,nzd0378-0040,nzd0378-0056,nzd0378-0057,nzd0378-0058,nzd0378-0059,nzd0378-0060,nzd0378-0073,nzd0378-0074,nzd0378-0075,nzd0378-0080,nzd0378-0081,nzd0378-0082,nzd0378-0007,nzd0378-0008,nzd0378-0012,nzd0378-0013,nzd0378-0039,nzd0378-0051,nzd0378-0052,nzd0378-0053,nzd0378-0054,nzd0378-0055,nzd0378-0107,nzd0378-0133,nzd0378-0015,nzd0378-0016,nzd0378-0017,nzd0378-0018,nzd0378-0019,nzd0378-0020,nzd0378-0021,nzd0378-0022,nzd0378-0023,nzd0378-0024,nzd0378-0029,nzd0378-0030,nzd0378-0031,nzd0378-0032,nzd0378-0033,nzd0378-0034,nzd0378-0035,nzd0378-0036,nzd0378-0037,nzd0378-0038,nzd0378-0014,nzd0378-0180,nzd0378-0181,nzd0378-0183,nzd0378-0141,nzd0378-0142,nzd0378-0009,nzd0378-0010,nzd0378-0011,nzd0378-0112,nzd0378-0113,nzd0378-0134,nzd0378-0135,nzd0378-0139,nzd0378-0140,nzd0378-0182,nzd0378-0111,satname
1999-09-04 22:00:09.953,,,,,,413.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-09-20 22:00:08.403,,481.66,,524.43,495.55,424.88,,526.7,505.55,519.9,507.87,514.62,508.87,508.77,524.04,253.56,271.73,,285.25,,,,,,,,,,,,,,,,,,,,,,324.63,,,,,,301.88,,,,,483.48,491.11,,,354.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-10-22 22:00:04.598,,481.66,,524.43,482.725,422.0133333333333,,526.7,505.55,519.9,507.87,514.62,508.87,508.77,524.04,253.56,271.73,,285.25,,,,,,,,,,,,,,,,,,,,,,324.63,,,,,,301.88,,,,,483.48,491.11,,,354.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-12-09 22:00:09.551,,481.66,,524.43,482.725,418.875,,526.7,505.55,519.9,507.87,514.62,508.87,508.77,524.04,253.56,271.73,,285.25,,,,,,,,,,,,,,,,,,,,,,324.63,,,,,,301.88,,,,,483.48,491.11,,,354.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-12-25 22:00:04.067,,481.66,,524.43,482.725,417.576,,526.7,505.55,519.9,507.87,514.62,508.87,508.77,524.04,253.56,271.73,,285.25,,,,,,,,,,,,,,,,,,,,,,324.63,,,,,,301.88,,,,,483.48,491.11,,,354.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-01-26 22:00:02.226,,481.66,,524.43,473.7833333333333,418.1366666666666,,526.7,505.55,519.9,507.87,514.62,508.87,508.77,524.04,253.56,271.73,,285.25,,,,,,,,,,,,,,,,,,,,,,324.63,,,,,,301.88,,,,,483.48,491.11,,,354.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-02-11 21:59:57.866,,481.66,,524.43,474.84499999999997,419.25142857142856,,526.7,505.55,519.9,507.87,514.62,508.87,508.77,524.04,253.56,271.73,,285.25,,,,,,,,,,,,,,,,,,,,,,324.63,,,,,,301.88,,,,,483.48,491.11,,,354.12,,,,,,,,,,,,,,,,,439.52,451.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-02-27 21:59:52.393,,481.66,,524.43,476.38,421.24625,,526.7,505.55,519.9,507.87,514.62,508.87,508.77,524.04,253.56,271.73,,285.25,,,,,,,,,,,,,,,,,,,,,,305.705,392.65,,,,,301.88,,,,,483.48,491.11,,,354.12,,,,,,,,,,,,,,,,,448.55499999999995,466.90999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.54,360.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.21000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-03-14 21:59:47.162,,481.66,,522.565,479.46166666666664,425.47125,307.05,527.935,503.815,507.67999999999995,500.145,508.87,513.255,505.845,521.12,253.56,271.73,,285.25,,,,,,,374.25,,,,431.89,,,,,321.15,,,,,373.39,305.705,405.65,,364.69,,,314.3,,488.11,491.07,499.09,491.845,491.11,,,346.24,,,520.75,499.58,,508.78,520.68,,,,,523.73,,,,488.56,459.09666666666664,478.2366666666667,508.95,508.63,481.97,446.29,444.7,482.79,494.04,494.71,504.15,514.92,523.13,,475.62,,393.51,,,177.61,,,501.29,,,,,,496.32,,463.25,,,,333.46000000000004,369.385,,,457.32,,,,485.9,,,,,461.83,491.35,493.69,,,496.11,495.52,484.51,475.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.21000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-03-30 21:59:45.397,,,,520.7,476.24399999999997,422.62749999999994,307.05,529.17,502.08,495.46,492.42,503.12,517.64,502.92,518.2,,,,,,,,,,,374.25,,,,431.89,,,,,321.15,,,,,373.39,286.78,391.6266666666666,,364.69,,,326.72,,488.11,491.07,499.09,500.21,,,,338.36,,,520.75,499.58,,508.78,520.68,,,,,523.73,,,,488.56,459.09666666666664,478.2366666666667,508.95,508.63,481.97,446.29,444.7,482.79,494.04,494.71,504.15,514.92,523.13,,475.62,,393.51,,,177.61,,,501.29,,,,,,496.32,,463.25,,,,333.46000000000004,369.385,,,457.32,,,,485.9,,,,,461.83,491.35,493.69,,,496.11,495.52,484.51,475.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.21000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
