dates,nzd0381-0000,nzd0381-0001,nzd0381-0002,nzd0381-0003,nzd0381-0004,nzd0381-0005,nzd0381-0006,nzd0381-0007,nzd0381-0008,nzd0381-0009,nzd0381-0012,nzd0381-0013,nzd0381-0014,nzd0381-0015,nzd0381-0011,nzd0381-0010
2003-09-14 21:50:54+00:00,,,,,,270.29,279.05,268.94,256.66,,,,,,,
2004-04-25 21:53:23+00:00,,,,,,248.64,273.04,257.91,255.54,,,,,,,
2004-05-18 22:00:14+00:00,,,,259.08,247.79,249.865,273.805,262.59000000000003,261.89,,,,,,,
2004-10-02 21:57:38+00:00,,294.32,,268.49,256.335,259.26666666666665,277.16,259.1666666666667,263.33666666666664,,,,,,,
2004-11-10 22:04:35+00:00,,286.565,,268.72999999999996,254.97666666666666,262.7233333333333,277.99666666666667,265.4866666666666,268.5366666666667,,,,,,,
2005-02-23 22:00:07+00:00,,286.565,322.32,273.55499999999995,258.57,268.53999999999996,291.43333333333334,281.52000000000004,282.31,,,,,,,
2005-04-12 22:00:30+00:00,,278.81,322.32,269.21,257.705,265.46000000000004,289.44666666666666,296.12,283.2133333333333,,,,,,,
2005-09-10 22:07:43+00:00,,317.88,325.96,,263.15,271.91,277.91,321.39,284.59000000000003,,,,,,,
2005-09-19 22:01:32+00:00,,317.88,325.96,,255.39499999999998,266.64,276.72,285.525,275.56333333333333,,,,,,,
2007-02-04 22:14:33+00:00,215.91,287.3,252.88,264.88,265.8,245.76,278.85,275.85,263.39,,,,,,,
2007-09-09 22:06:33+00:00,229.81,281.4,265.75,263.36,259.63,261.73,279.55,276.31,268.9,,,,,,,
2009-01-24 22:04:54+00:00,,287.47,273.84,283.42,286.94,275.83,285.35,290.3,283.12,,,,,,,
2009-12-03 22:03:55+00:00,215.28,,,,,,,,,,,,,,,
2010-02-21 22:04:20+00:00,215.28,265.67,271.18,,,,,,,,,,,,,
2011-01-23 22:03:20+00:00,,,318.19,319.48,306.66,302.49,302.28,305.98,304.5,,,,,,,
2011-02-08 22:03:23+00:00,,,318.19,319.48,306.66,302.49,302.28,281.62,291.0,,,,,,,
2013-05-27 22:21:38+00:00,,,,,,,,226.89,288.57,,,,,,,
2013-06-05 22:15:27+00:00,,,,,,,,227.765,288.255,,,,,,,
2013-09-16 22:21:33+00:00,,,335.77,353.09,361.07,,319.26,257.8733333333333,299.69,285.05,,,,,,
2013-10-18 22:21:25+00:00,227.84,,335.77,353.09,361.07,,319.26,257.8733333333333,299.69,285.05,,,,,,
2013-11-12 22:15:08+00:00,227.84,,333.765,343.905,346.125,328.34,321.725,273.765,306.575,285.05,,,,,,
2013-12-21 22:21:03+00:00,227.84,,333.765,343.905,346.125,328.34,309.2966666666667,315.31,319.93666666666667,285.05,,,,,,
2014-02-07 22:20:33+00:00,227.84,,332.06666666666666,340.33,339.71,324.14,312.18,316.40749999999997,321.12,277.8,,,,,,
2014-03-20 22:13:49+00:00,232.85000000000002,241.91,330.21500000000003,333.95000000000005,329.03,324.14,309.82,315.84666666666664,314.5975,270.55,,,,,,
2014-08-27 22:13:29+00:00,259.365,246.93,,,,,,295.02,299.75,,,,,,,
2014-09-03 22:19:42+00:00,267.98333333333335,249.99,,,,,,288.46,300.6933333333333,,,,,,,
2014-09-28 22:13:32+00:00,283.045,254.03000000000003,329.64,341.82,333.19,321.89,325.82,298.69666666666666,310.4,288.05,,,,,,
2014-10-14 22:13:38+00:00,283.045,251.52666666666667,276.86,300.895,252.83499999999998,321.89,325.82,298.69666666666666,305.88,288.05,,,,,,
2014-11-06 22:19:49+00:00,282.79333333333335,253.87,263.6666666666667,285.26,226.94666666666663,321.89,325.82,298.69666666666666,305.88,288.05,,,,,,
2014-12-01 22:13:36+00:00,280.1625,254.046,263.56,280.9675,212.98,321.89,325.82,298.3825,304.602,288.05,,,,,,
2015-01-25 22:19:32+00:00,286.356,254.046,258.71999999999997,283.81800000000004,204.47,321.89,325.82,298.3825,304.602,288.05,,,,,,
2015-02-19 22:13:13+00:00,296.5833333333333,254.046,258.71999999999997,283.81800000000004,204.47,322.305,331.1,298.3825,310.315,288.05,,,,,,
2015-02-26 22:19:22+00:00,295.935,255.01999999999998,255.02666666666667,283.08166666666665,198.52166666666668,322.305,331.1,299.50333333333333,311.772,288.05,,,,,,
2015-03-14 22:19:11+00:00,295.66833333333335,254.74749999999997,252.49571428571429,284.3757142857143,194.76571428571427,322.305,331.1,299.09666666666664,311.488,288.05,,,,,,
2015-04-15 22:18:58+00:00,294.6271428571428,257.48999999999995,242.75,276.45666666666665,173.09833333333336,322.72,336.38,292.8533333333333,309.885,,,,,,,
2015-07-29 22:13:01+00:00,299.175,256.82,236.935,280.47999999999996,173.97000000000003,322.72,336.38,292.37,308.5375,,,,,,,
2015-09-06 22:19:26+00:00,286.0,248.35,233.365,281.02,175.04666666666665,,,292.37,298.4233333333334,,,,,,,
2015-12-20 22:13:33+00:00,345.19,248.35,229.42,339.71,172.01,324.94,340.61,310.185,310.07500000000005,291.22,,,,,,
2016-01-05 22:13:29+00:00,346.445,248.35,229.42,337.51,172.01,325.20500000000004,341.35,313.78333333333336,315.03000000000003,287.435,,,,,,
2016-02-13 22:19:32+00:00,347.09666666666664,248.35,229.42,337.5733333333333,172.01,324.31333333333333,334.4266666666667,321.6033333333333,326.1333333333334,272.88666666666666,,,,,,
2016-09-08 22:19:48+00:00,,268.84,238.24,,,,291.14,298.29,301.47,,,,,,,
2017-01-23 22:13:31+00:00,352.44,268.84,238.24,345.17,,,304.47,308.615,314.31500000000005,,,,,,,
2017-02-08 22:13:22+00:00,352.44,256.91999999999996,235.11,345.17,,,304.47,308.615,314.31500000000005,,,,,,,
2017-02-15 22:19:31+00:00,335.69,273.3966666666667,237.24666666666667,319.265,,283.8,304.47,305.03000000000003,310.8066666666667,,,,,,,
2017-03-28 22:13:00+00:00,340.29333333333335,297.1333333333334,236.75,323.78333333333336,,283.8,319.32500000000005,317.9733333333333,324.6666666666667,,,,,,,
2017-06-07 22:19:15+00:00,340.29333333333335,297.1333333333334,236.75,323.78333333333336,,270.66499999999996,302.26666666666665,317.9733333333333,318.1225,,,,,,,
2017-06-16 22:13:07+00:00,340.29333333333335,297.1333333333334,236.75,323.78333333333336,,270.66499999999996,285.8425,317.9733333333333,312.842,,,,,,,
2017-08-03 22:13:23+00:00,334.22,297.1333333333334,236.75,313.09000000000003,,270.66499999999996,271.57,317.49,306.054,,,,,,,
