dates,nzd0382-0000,nzd0382-0001,nzd0382-0002,nzd0382-0048,nzd0382-0049,nzd0382-0050,nzd0382-0051,nzd0382-0055,nzd0382-0056,nzd0382-0057,nzd0382-0058,nzd0382-0093,nzd0382-0094,nzd0382-0095,nzd0382-0096,nzd0382-0097,nzd0382-0098,nzd0382-0101,nzd0382-0102,nzd0382-0103,nzd0382-0104,nzd0382-0105,nzd0382-0111,nzd0382-0112,nzd0382-0113,nzd0382-0114,nzd0382-0115,nzd0382-0140,nzd0382-0141,nzd0382-0142,nzd0382-0143,nzd0382-0186,nzd0382-0187,nzd0382-0003,nzd0382-0004,nzd0382-0075,nzd0382-0076,nzd0382-0077,nzd0382-0078,nzd0382-0079,nzd0382-0080,nzd0382-0081,nzd0382-0082,nzd0382-0083,nzd0382-0084,nzd0382-0085,nzd0382-0086,nzd0382-0087,nzd0382-0088,nzd0382-0089,nzd0382-0090,nzd0382-0091,nzd0382-0100,nzd0382-0130,nzd0382-0131,nzd0382-0132,nzd0382-0133,nzd0382-0184,nzd0382-0185,nzd0382-0006,nzd0382-0007,nzd0382-0008,nzd0382-0009,nzd0382-0010,nzd0382-0011,nzd0382-0016,nzd0382-0017,nzd0382-0018,nzd0382-0163,nzd0382-0164,nzd0382-0067,nzd0382-0068,nzd0382-0069,nzd0382-0070,nzd0382-0025,nzd0382-0026,nzd0382-0027,nzd0382-0028,nzd0382-0168,nzd0382-0169,nzd0382-0170,nzd0382-0012,nzd0382-0013,nzd0382-0014,nzd0382-0177,nzd0382-0178,nzd0382-0179,nzd0382-0072,nzd0382-0073,nzd0382-0074,nzd0382-0092,nzd0382-0106,nzd0382-0107,nzd0382-0165,nzd0382-0063,nzd0382-0064,nzd0382-0167,nzd0382-0021,nzd0382-0022,nzd0382-0023,nzd0382-0052,nzd0382-0065,nzd0382-0066,nzd0382-0128,nzd0382-0129,nzd0382-0099,nzd0382-0059,nzd0382-0060,nzd0382-0144,nzd0382-0145,nzd0382-0147,nzd0382-0148,nzd0382-0158,nzd0382-0159,nzd0382-0160,nzd0382-0161,nzd0382-0171,nzd0382-0062,nzd0382-0135,nzd0382-0136,nzd0382-0137,nzd0382-0138,nzd0382-0108,nzd0382-0109,nzd0382-0110,nzd0382-0116,nzd0382-0117,nzd0382-0118,nzd0382-0139,nzd0382-0157,nzd0382-0061,nzd0382-0195,nzd0382-0196,nzd0382-0197,nzd0382-0198,nzd0382-0199,nzd0382-0029,nzd0382-0030,nzd0382-0031,nzd0382-0032,nzd0382-0121,nzd0382-0122,nzd0382-0123,nzd0382-0124,nzd0382-0175,nzd0382-0176,nzd0382-0071,nzd0382-0126,nzd0382-0127,nzd0382-0172,nzd0382-0173,nzd0382-0119,nzd0382-0216,nzd0382-0217,nzd0382-0019,nzd0382-0182,nzd0382-0183,nzd0382-0146,nzd0382-0015,nzd0382-0024,nzd0382-0054,nzd0382-0174,nzd0382-0181,nzd0382-0188,nzd0382-0045,nzd0382-0046,nzd0382-0047,nzd0382-0193,nzd0382-0194,nzd0382-0180,nzd0382-0151,nzd0382-0152,nzd0382-0153,nzd0382-0120,nzd0382-0041,nzd0382-0042,nzd0382-0043,nzd0382-0166,nzd0382-0134,nzd0382-0154,nzd0382-0150,nzd0382-0210,nzd0382-0211,nzd0382-0212,nzd0382-0033,nzd0382-0044,nzd0382-0155,nzd0382-0156,nzd0382-0035,nzd0382-0036,nzd0382-0037,nzd0382-0038,nzd0382-0039,nzd0382-0204,nzd0382-0205,nzd0382-0040,nzd0382-0053,nzd0382-0202,nzd0382-0203,nzd0382-0149,nzd0382-0162,nzd0382-0191,nzd0382-0192,nzd0382-0206,nzd0382-0207,satname
1999-12-09 22:00:09+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.05,334.61,342.86,,,,,,,,,,,,,,,,,,346.77,,,,,,,,,,,350.3,,,,,,,,,,,,348.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.36,,,,,,,,,342.47,,,,,,,,,313.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-12-25 22:00:04+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.05,334.61,342.86,,,,,,,,,,,,,,,,,345.0,346.77,,,,,,,,,,,350.3,,,,,,,,,,,,348.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.36,318.67,,,,,,,,339.925,,,,,,,,,313.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-02-11 21:59:57+00:00,,,,,,,,,,,,,,,,,,,,,,,,,373.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.05,334.61,342.86,,,,,,,,,,,,,,,,,345.0,346.77,,,,,,,,,,,350.3,,,,,,,,,,,,348.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.36,318.67,,,,,,,,339.925,,,,,,,,,313.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-02-27 21:59:52+00:00,,,,,,,,,,,,,,,,,,,,,,,,,369.935,,,,,,,,,,,,,,,,,,335.29,,,349.56,,,,,,,,,,,,,,,,,,,,288.05,334.61,342.86,,,,,,,,,,,,,,,,,345.0,346.77,,,,,,,,,,,350.3,,,,,,,,,,,,348.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.36,318.67,,,,,,,,339.925,,,,,,,,,313.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-04-15 21:59:31+00:00,,,,,,,,,,,,,,,,,,,,,,,,,369.935,,,,,,,,,,,,,,,,,,335.29,,,349.56,,,,,,,,,,,,,,,,,,,,288.05,334.61,342.86,,,,,,,,295.49,328.21,,,,,,,,345.0,346.77,,,,,,,,,,,350.3,,,,,,,,,,,,348.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.36,318.67,,,,,,,,336.29,,,,,,,,,313.03,325.71,333.91,,,310.91,,353.43,308.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-06-18 21:59:03+00:00,,,,,,,,,,,,,,,,,,,,,,,,,369.935,,,,,,,,,,,,,,,,,,335.29,,,349.56,,,,,,,,,,,,,,,,,,,,,,,,,312.3,,,,,295.49,328.21,,,,,,,,345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.67,,,,,,,,333.2,,,,,,,,,,325.71,333.91,,,310.91,,353.43,308.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-08-05 21:58:20+00:00,,,,,,,,,,,,,,,,,,,,,,,,,369.935,,,,,,,317.73,,,,,,,,,,,335.29,,,349.56,,,,,,,,,,,,,302.18,,,,,,,,,,,,312.3,,,,,295.49,328.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.02,,,,,,,,,,325.71,333.91,,,310.91,,353.43,308.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-09-06 21:57:58+00:00,,,,,,,,,,,,,332.05,,,,,,,,,,,,,,,,,,,317.73,,,,,,,,,,,,,,,,,,,,,,,,,,,302.18,,,,,,,,,331.44,,,312.3,,,,282.25,295.49,328.21,,,,,,343.99,287.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.02,,,,,,,,,,325.71,333.91,,,310.91,,353.43,308.72,,,,333.56,309.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-12-11 21:57:36+00:00,,,,,,,,,,,,,332.05,,,,,,,,,,,,,,,,,,,317.73,,,,,,,,,,,,,,,,,,,,,,,,,,,302.18,,,,,,,,,331.44,,,312.3,,,,282.25,,,,,,,,343.99,287.04,,,329.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.2,,,,,,,,,349.1,,,,,,,335.72,,,,333.56,309.04,,345.5,,,,,,,,,,,,,,,,,,,,,,328.43,,,,,,,,,,,,,,L7
2001-02-13 21:57:39+00:00,,,,,,,,,,333.6,,,332.05,,,338.83,,,,,,,,,,,,,,,325.85,,,,,,,,,,,,334.91,339.15,358.68,,,,,,,,,,,,,,,,,,,,,,,331.44,,,,,,,282.25,,,,,,,,343.99,287.04,,,329.71,,,,,,,,,,,,,,,,,,,,289.27,,321.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.2,,,,,,,,,349.1,,,,,,,335.72,,,,333.56,309.04,,345.5,,,,,,,,,,,,,,,,,,,,,,328.43,,,,,,,,,,,,,,L7
