dates,nzd0387-0000,nzd0387-0001,nzd0387-0002,nzd0387-0003,nzd0387-0004,nzd0387-0005,nzd0387-0006,nzd0387-0007,nzd0387-0042,nzd0387-0043,nzd0387-0044,nzd0387-0045,nzd0387-0046,nzd0387-0047,nzd0387-0048,nzd0387-0049,nzd0387-0008,nzd0387-0009,nzd0387-0010,nzd0387-0011,nzd0387-0012,nzd0387-0013,nzd0387-0014,nzd0387-0015,nzd0387-0016,nzd0387-0017,nzd0387-0018,nzd0387-0019,nzd0387-0020,nzd0387-0021,nzd0387-0022,nzd0387-0023,nzd0387-0024,nzd0387-0025,nzd0387-0026,nzd0387-0028,nzd0387-0029,nzd0387-0030,nzd0387-0031,nzd0387-0032,nzd0387-0033,nzd0387-0034,nzd0387-0035,nzd0387-0036,nzd0387-0037,nzd0387-0038,nzd0387-0039,nzd0387-0040,nzd0387-0041,nzd0387-0027,satname
1999-09-04 22:00:09.953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.29,,,,,,,266.81,311.7,,,,378.93,,L7
1999-12-09 22:00:09.551,,,,,,,,290.91,,,398.7,,323.21,,370.61,,292.04,,299.87,,197.01,,324.08,274.75,294.16,,279.8,,,296.07,306.45,,267.3,311.79,,279.18,299.1,320.5,311.81,312.42,306.12,327.48,323.52,258.28,305.4,256.24,,,378.775,,L7
1999-12-25 22:00:04.067,242.46,,,,280.99,314.03,310.48,299.1,,,394.195,,328.205,,372.96000000000004,,295.46000000000004,,294.025,,202.64499999999998,,319.25,281.255,290.435,,263.295,,,283.21000000000004,304.77,,261.02,303.23,273.02,279.67,302.38000000000005,316.27,308.01,308.36,301.77,323.405,320.30499999999995,253.87666666666667,302.6466666666667,254.965,164.75,155.8,377.30333333333334,,L7
2000-01-26 22:00:02.226,242.46,,,,300.32,323.4,321.9,309.74,,,394.195,,328.205,,372.96000000000004,,293.09999999999997,,294.025,346.75,202.64499999999998,362.34,321.7133333333333,299.1933333333333,295.95666666666665,313.11,263.295,307.86,308.19,283.84999999999997,297.77,292.78,271.6566666666667,307.4666666666667,289.6,287.85333333333335,308.415,316.27,308.01,310.73333333333335,305.50333333333333,323.0733333333333,323.76666666666665,252.57999999999998,302.1925,258.55,182.865,154.595,378.055,,L7
2000-02-11 21:59:57.866,244.72500000000002,,214.61,,300.32,321.9833333333333,320.03000000000003,312.52250000000004,,,394.195,,328.205,,372.96000000000004,,294.645,,310.6066666666666,346.58500000000004,203.23666666666668,342.73,321.3725,300.36,297.9225,307.18,263.295,305.165,303.635,283.84999999999997,297.77,292.78,271.6566666666667,307.4666666666667,289.6,287.4725,310.932,318.9066666666667,310.46666666666664,309.4375,305.50333333333333,323.0733333333333,323.76666666666665,252.57999999999998,300.698,255.35250000000002,184.84666666666666,154.15666666666667,378.055,,L7
2000-02-27 21:59:52.393,244.72500000000002,,214.61,,312.90000000000003,323.10249999999996,321.295,314.552,381.24,,399.1466666666667,407.47,328.205,,372.96000000000004,,294.836,,313.5625,347.1966666666667,203.23666666666668,336.06666666666666,322.428,307.43,301.02200000000005,310.66,263.295,306.2,305.01666666666665,283.3925,297.77,289.96,282.915,308.9225,300.1566666666667,287.96000000000004,315.81333333333333,314.035,313.2775,303.51000000000005,305.50333333333333,323.0733333333333,323.76666666666665,251.93800000000002,300.698,256.382,188.6475,155.4975,379.306,,L7
2000-03-30 21:59:45.397,244.72500000000002,,232.925,283.42,312.90000000000003,318.72799999999995,316.61199999999997,308.885,381.24,,399.1466666666667,407.47,328.205,,372.96000000000004,,294.836,,313.5625,347.1966666666667,211.35,336.06666666666666,322.428,307.43,301.02200000000005,310.66,263.295,306.2,305.01666666666665,283.3925,297.77,289.96,282.915,308.9225,300.1566666666667,287.96000000000004,318.918,310.61800000000005,311.144,301.74666666666667,305.50333333333333,323.0733333333333,323.76666666666665,248.22000000000003,297.9475,256.382,188.6475,155.4975,379.4,,L7
2000-04-15 21:59:31.785,244.72500000000002,,246.9666666666667,295.175,316.71,317.25333333333333,315.26166666666666,306.0828571428571,377.37,181.14,401.53499999999997,411.685,328.205,,372.96000000000004,272.18,294.836,319.54,316.97200000000004,342.4075,233.03000000000003,338.3725,322.428,307.43,297.32,303.445,263.295,306.2,305.01666666666665,283.3925,297.77,289.96,282.915,308.104,305.7,287.96000000000004,318.918,313.24,311.56333333333333,303.3971428571429,305.50333333333333,323.0733333333333,323.76666666666665,248.598,298.712,257.4533333333333,186.59,156.752,379.4,,L7
2000-05-01 21:59:30.586,244.72500000000002,,256.48,302.61333333333334,319.976,316.4628571428571,314.49142857142857,303.0375,377.37,184.39999999999998,401.53499999999997,411.685,332.3,,372.96000000000004,283.42,294.836,319.54,316.97200000000004,337.902,249.4333333333333,338.3725,322.428,307.43,297.32,303.445,263.295,306.2,305.01666666666665,283.3925,297.77,289.96,287.71999999999997,308.04833333333335,305.7,287.96000000000004,318.918,313.24,311.56333333333333,303.3971428571429,305.50333333333333,327.81,334.90999999999997,269.8433333333333,298.712,257.4533333333333,186.59,156.752,383.3,,L7
2000-06-18 21:59:03.789,244.72500000000002,,260.32800000000003,309.0775,321.44666666666666,314.47375,313.23,297.68875,377.37,184.39999999999998,412.0825,423.37999999999994,336.845,,375.31,283.42,295.535,319.54,321.24750000000006,337.902,259.918,338.3725,322.015,315.6,297.952,303.445,246.79,306.2,305.01666666666665,279.1666666666667,293.42999999999995,289.96,292.825,307.3,305.7,290.15500000000003,334.81399999999996,314.445,312.675,303.4857142857143,302.36,332.455,347.565,293.3916666666667,298.615,257.696,186.59,156.752,391.26599999999996,,L7
2000-08-05 21:58:20.584,246.99,,265.82666666666665,311.146,332.808,311.1485714285714,310.5885714285714,289.1357142857143,366.99,197.11333333333332,419.5466666666666,423.9925,340.49,326.87,366.51,283.42,297.44000000000005,319.54,332.27000000000004,328.26800000000003,284.38,330.3833333333334,323.49999999999994,319.7850000000001,298.68333333333334,300.2233333333333,,305.37,303.42999999999995,282.02,,287.14,311.81499999999994,308.54249999999996,321.65,288.12000000000006,345.275,318.1566666666667,316.01666666666665,300.92400000000004,296.69,344.03999999999996,367.2733333333333,330.748,298.245,256.3566666666666,189.07333333333335,158.19,400.5533333333333,,L7
2000-09-06 21:57:58.861,,,277.27,311.90500000000003,330.32599999999996,307.5216666666667,307.92,278.91333333333336,359.865,194.9725,424.79499999999996,429.5,340.49,307.21500000000003,366.51,293.66,,326.845,333.55,319.97,309.07,343.96500000000003,,,278.81,281.8,,,,294.08,279.95,249.02,306.94,306.96,321.84000000000003,,359.93999999999994,321.378,315.58000000000004,306.42333333333335,296.69,344.40000000000003,359.0125,358.268,301.77,262.81,178.36,161.77,408.67499999999995,,L7
