dates,nzd0388-0000,nzd0388-0001,nzd0388-0002,nzd0388-0003,nzd0388-0004,nzd0388-0005,nzd0388-0006,nzd0388-0007,nzd0388-0008,nzd0388-0009,nzd0388-0010,nzd0388-0011,nzd0388-0012,nzd0388-0014,nzd0388-0015,nzd0388-0016,nzd0388-0017,nzd0388-0013,nzd0388-0018,nzd0388-0019,nzd0388-0020,nzd0388-0021
1999-12-07 22:12:29+00:00,,,,,,,,,,,,,,,252.88,245.12,,,,,,263.28
2001-01-10 22:10:03+00:00,,,,,,,,,,,,,,275.68,257.6,262.42,280.55,261.99,257.64,273.31,281.06,
2003-08-20 21:56:39+00:00,313.96,315.88,309.41,318.54,312.5,304.5,295.48,294.5,,299.14,297.71,292.23,,,,,,,,,,
2003-09-14 21:51:18+00:00,303.085,304.51,298.685,307.33000000000004,300.85,292.3,280.315,274.78499999999997,237.74,287.40999999999997,290.09000000000003,283.37,,273.11,260.65,262.98,256.97,,,,,
2003-11-17 21:51:45+00:00,303.41,295.4433333333333,298.685,286.47333333333336,298.6466666666667,286.12333333333333,272.14,270.6766666666667,238.735,279.2266666666667,280.89000000000004,283.37,244.65,277.095,264.66999999999996,268.96000000000004,267.365,244.5,267.4,267.51,280.73,270.06
2003-12-03 21:51:55+00:00,302.73,287.065,298.685,269.43,294.7025,281.1225,266.63,264.8075,238.735,279.2266666666667,280.89000000000004,283.37,231.745,272.3233333333333,261.80333333333334,266.45666666666665,266.49,241.82999999999998,263.28999999999996,264.065,276.15999999999997,270.06
2003-12-10 21:58:05+00:00,302.962,282.09000000000003,298.685,260.002,292.026,278.312,263.75,260.87199999999996,238.735,279.2266666666667,280.89000000000004,283.37,235.50333333333333,270.595,260.10249999999996,264.625,265.74,241.24,260.7966666666667,262.74666666666667,274.98333333333335,270.06
2004-02-05 21:52:40+00:00,300.07666666666665,282.25333333333333,291.3,264.56,291.22499999999997,276.30833333333334,262.2633333333333,262.8333333333333,238.735,280.4925,282.5175,283.36333333333334,235.50333333333333,268.06399999999996,260.318,265.056,266.844,241.24,262.0,263.455,279.48,270.06
2004-04-25 21:53:47+00:00,297.52799999999996,274.664,284.875,253.22999999999996,286.196,268.086,255.596,256.8575,239.73,273.57500000000005,274.94499999999994,283.35,235.50333333333333,266.8025,260.235,265.575,269.3125,241.24,262.0,263.455,279.48,270.06
2004-05-18 22:00:14+00:00,298.126,280.32800000000003,291.5,264.97799999999995,288.188,270.88399999999996,261.072,261.69,,284.29,287.4,283.35,230.93,262.0433333333333,257.4166666666667,262.4533333333333,266.49666666666667,239.61,260.2,262.1033333333333,279.06333333333333,
