dates,nzd0390-0000,nzd0390-0001,nzd0390-0002,nzd0390-0003,nzd0390-0004,nzd0390-0005,nzd0390-0006,nzd0390-0012,nzd0390-0013,nzd0390-0014,nzd0390-0015,nzd0390-0016,nzd0390-0017,nzd0390-0018,nzd0390-0019,nzd0390-0020,nzd0390-0021,nzd0390-0022,nzd0390-0023,nzd0390-0024,nzd0390-0025,nzd0390-0026,nzd0390-0027,nzd0390-0028,nzd0390-0029,nzd0390-0030,nzd0390-0031,nzd0390-0032,nzd0390-0033,nzd0390-0034,nzd0390-0035,nzd0390-0011,nzd0390-0036,nzd0390-0037,nzd0390-0038,nzd0390-0039,nzd0390-0040,nzd0390-0041,nzd0390-0042,nzd0390-0043,nzd0390-0044,nzd0390-0045,nzd0390-0046,nzd0390-0047,nzd0390-0048,nzd0390-0049,nzd0390-0050,nzd0390-0051,nzd0390-0052,nzd0390-0053,nzd0390-0054,nzd0390-0055,nzd0390-0056,nzd0390-0057,nzd0390-0058,nzd0390-0059,nzd0390-0060,nzd0390-0061,nzd0390-0062,nzd0390-0008,nzd0390-0009,nzd0390-0010,nzd0390-0007,nzd0390-0072,nzd0390-0073,nzd0390-0074,nzd0390-0081,nzd0390-0082,nzd0390-0083,nzd0390-0084,nzd0390-0085,nzd0390-0086,nzd0390-0087,nzd0390-0088,nzd0390-0089,nzd0390-0123,nzd0390-0124,nzd0390-0125,nzd0390-0063,nzd0390-0064,nzd0390-0065,nzd0390-0066,nzd0390-0067,nzd0390-0068,nzd0390-0069,nzd0390-0070,nzd0390-0071,nzd0390-0079,nzd0390-0080,nzd0390-0090,nzd0390-0091,nzd0390-0092,nzd0390-0093,nzd0390-0099,nzd0390-0100,nzd0390-0101,nzd0390-0102,nzd0390-0103,nzd0390-0104,nzd0390-0105,nzd0390-0106,nzd0390-0107,nzd0390-0108,nzd0390-0109,nzd0390-0110,nzd0390-0111,nzd0390-0112,nzd0390-0113,nzd0390-0114,nzd0390-0115,nzd0390-0116,nzd0390-0119,nzd0390-0120,nzd0390-0121,nzd0390-0122,nzd0390-0126,nzd0390-0127,nzd0390-0128,nzd0390-0129,nzd0390-0130,nzd0390-0131,nzd0390-0132,nzd0390-0133,nzd0390-0134,nzd0390-0135,nzd0390-0136,nzd0390-0137,nzd0390-0138,nzd0390-0139,nzd0390-0140,nzd0390-0075,nzd0390-0094,nzd0390-0095,nzd0390-0096,nzd0390-0097,nzd0390-0098,nzd0390-0117,nzd0390-0118,nzd0390-0141,nzd0390-0076,nzd0390-0077,nzd0390-0078,nzd0390-0142,satname
1999-09-04 22:00:09.953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.24,,399.73,371.61,370.63,358.47,337.67,304.14,,,427.52,431.75,280.74,274.1,294.99,,,,388.56,402.68,402.28,,417.05,424.33,381.83,379.86,449.27,,,,369.65,,,,,,327.77,314.2,312.91,309.08,,,242.41,268.29,281.51,273.56,,264.81,,,,,,,,,,,,393.35,404.81,,,,,,,,,,,,377.36,,247.08,,,,373.1,,L7
1999-10-22 22:00:04.598,467.62,467.92,460.15,480.29,487.17,498.53,501.75,494.49,490.42,488.65,,472.66,,,477.82,484.32,490.77,501.69,496.85,503.52,505.66,508.46,511.1,513.01,508.96,515.28,509.82,518.48,518.09,516.34,521.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.24,,399.73,371.61,370.63,358.47,337.67,304.14,,,427.52,431.75,280.74,274.1,294.99,,,,388.56,402.68,402.28,,417.05,424.33,381.83,379.86,449.27,,,,369.65,,,,,,327.77,314.2,312.91,309.08,,,242.41,268.29,281.51,273.56,,264.81,,,,,,,,,,,,393.35,404.81,,,,,,,,,,,,377.36,,247.08,,,,373.1,,L7
1999-12-09 22:00:09.551,463.99,463.975,458.75,499.45500000000004,501.495,509.875,513.115,489.37,494.73,497.33,519.01,468.25,,,470.08500000000004,480.76,486.12,495.76,493.0,498.03499999999997,500.33000000000004,502.945,506.045,509.53,506.53499999999997,512.385,508.59000000000003,515.31,511.735,514.86,514.315,476.01,504.04,504.19,512.25,508.44,502.89,489.11,475.38,481.11,476.13,482.29,511.87,510.59,515.54,517.2,521.4,517.89,518.47,515.88,503.43,483.01,472.71,493.04,499.66,508.81,497.52,516.9,523.55,,,,,397.24,,399.73,371.61,370.63,358.47,337.67,304.14,,,427.52,431.75,280.74,274.1,294.99,,,,388.56,402.68,402.28,,417.05,424.33,381.83,379.86,449.27,,,,369.65,,,,,,327.77,314.2,312.91,309.08,,,242.41,268.29,281.51,273.56,,264.81,,,,,,,,,,,,393.35,404.81,,,,,,,,,,,,377.36,,247.08,,,,373.1,,L7
1999-12-25 22:00:04.067,463.99,463.975,458.75,499.45500000000004,501.495,504.7833333333333,506.02666666666664,489.37,494.73,499.86999999999995,510.145,468.25,,462.76,468.58,480.3,485.04333333333335,493.36999999999995,491.99333333333334,496.74,498.3766666666667,501.2833333333333,504.5833333333333,509.53,506.53499999999997,512.385,508.59000000000003,515.31,511.735,517.5566666666667,510.6333333333334,476.01,503.665,504.96000000000004,511.6,509.065,503.24,489.04,476.485,481.02,477.86,485.19500000000005,513.855,511.16499999999996,515.54,517.2,521.4,518.8399999999999,516.48,514.8050000000001,502.59000000000003,481.0,473.54999999999995,493.305,499.82000000000005,508.495,498.90999999999997,517.6800000000001,524.0699999999999,500.91,497.34,,491.28,397.24,,399.73,371.61,370.63,358.47,337.67,304.14,,,427.52,431.75,280.74,274.1,294.99,,,,388.56,402.68,402.28,,417.05,424.33,381.83,379.86,449.27,,,,369.65,,,,,,327.77,314.2,312.91,309.08,,,242.41,268.29,281.51,273.56,,264.81,,,,,,,,,,,,393.35,404.81,,,,,,,,,,,,377.36,,247.08,,,,373.1,,L7
2000-01-26 22:00:02.226,452.08,454.5466666666666,447.93,504.7633333333333,500.8300000000001,506.63750000000005,509.7125,490.97333333333336,495.16333333333336,499.86999999999995,512.9166666666666,468.25,,457.9,465.33500000000004,476.6975,482.2625,490.125,489.9425,493.73,495.845,497.585,501.31,503.7133333333333,502.42333333333335,507.17,504.62000000000006,509.1566666666667,506.6233333333333,513.1175000000001,507.5375,461.26,501.3433333333333,503.8566666666666,509.6233333333333,507.9433333333333,502.9066666666667,488.84,476.11999999999995,480.54333333333335,478.05999999999995,485.55333333333334,512.63,514.8100000000001,515.54,517.2,521.4,518.8399999999999,516.48,516.4133333333333,503.98,482.99666666666667,475.14000000000004,493.81333333333333,500.46333333333337,508.20666666666665,499.1033333333333,516.89,523.3833333333333,500.37,498.705,494.22,491.28,397.24,,399.73,371.61,370.63,358.47,337.67,304.14,,,427.52,431.75,280.74,274.1,294.99,,,,388.56,402.68,402.28,,417.05,424.33,381.83,379.86,449.27,,,,369.65,,,,,,327.77,314.2,312.91,309.08,,,242.41,268.29,281.51,273.56,,264.81,,,,,,,,,,,,393.35,404.81,,,,,,,,,,,,377.36,,247.08,,,,373.1,,L7
2000-02-11 21:59:57.866,452.98,454.155,445.925,506.8775,504.475,503.504,509.7125,491.33500000000004,496.1625,501.7075,514.165,465.8,462.81,458.10999999999996,465.23999999999995,477.21000000000004,482.212,489.946,489.73400000000004,493.70799999999997,499.918,498.43,501.504,504.47,503.83,508.845,505.61,510.88,506.6233333333333,512.638,506.492,469.7366666666667,502.0825,504.6225,510.425,509.03,503.2425,490.255,476.45,480.485,477.8075,484.5925,511.70000000000005,513.2825,514.895,517.7850000000001,520.515,517.8299999999999,517.4733333333334,515.565,504.0425,483.28,475.505,494.31,500.89250000000004,507.3275,498.4675,516.14,523.38,500.37,498.705,492.105,491.28,397.24,,399.73,371.61,370.63,358.47,337.67,304.14,,,427.52,431.75,280.74,274.1,294.99,,,,388.56,402.68,402.28,,417.05,424.33,381.83,379.86,449.27,,,,369.65,,,,,,327.77,314.2,312.91,309.08,,,242.41,268.29,281.51,273.56,,264.81,,,,,,,,,,,,393.35,404.81,,,,,,,,,,,,377.36,,247.08,,,,373.1,,L7
2000-02-27 21:59:52.393,453.662,454.312,445.18999999999994,507.9,507.534,503.504,509.7125,494.29799999999994,498.25600000000003,503.62399999999997,516.322,464.22249999999997,464.88,459.7075,465.695,478.4683333333333,482.1816666666667,490.02,489.85833333333335,493.99,500.08833333333337,498.37999999999994,500.9883333333334,503.866,504.03000000000003,508.43199999999996,505.91400000000004,514.478,505.5675,512.115,506.18833333333333,478.35,503.592,505.11400000000003,510.43600000000004,509.338,501.13,483.938,470.95199999999994,474.38,471.3,478.71999999999997,505.552,507.46999999999997,509.39333333333326,518.0566666666667,520.9566666666666,517.105,517.3325,514.8140000000001,503.63199999999995,482.954,475.328,493.788,500.07399999999996,506.204,497.396,515.126,522.654,500.37,503.19666666666666,497.44000000000005,491.28,397.24,,399.73,371.61,370.63,358.47,337.67,304.14,,,427.52,431.75,280.74,274.1,294.99,,,,388.56,402.68,402.28,,417.05,424.33,381.83,379.86,449.27,,,,369.65,,,,,,327.77,314.2,312.91,309.08,,,242.41,268.29,281.51,273.56,,264.81,,,,,,,,,,,,393.35,404.81,,,,,,,,,,,,377.36,,247.08,,,,373.1,,L7
2000-03-30 21:59:45.397,458.1666666666667,454.312,445.18999999999994,503.405,503.58833333333337,503.3833333333334,507.692,494.29799999999994,498.25600000000003,503.62399999999997,506.4216666666667,465.18999999999994,468.73333333333335,462.532,470.27571428571434,479.72285714285715,486.74000000000007,491.9185714285714,494.09857142857146,496.2271428571429,501.30285714285714,499.73,502.5442857142857,505.2316666666666,505.2316666666666,508.75666666666666,506.4083333333333,514.3766666666667,506.938,512.1728571428572,506.98,479.9,504.9766666666667,507.16,511.9983333333333,509.338,503.1766666666667,483.938,470.95199999999994,476.8433333333333,474.96,480.9433333333333,506.8966666666667,508.8383333333333,509.39333333333326,518.0566666666667,520.9566666666666,517.105,517.3325,515.7066666666666,505.08666666666664,485.43,476.9316666666667,496.865,500.8533333333333,507.72499999999997,498.5,516.8766666666667,522.654,504.0566666666667,505.895,502.6825,495.92499999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-04-15 21:59:31.785,464.8285714285715,454.312,445.18999999999994,503.405,503.58833333333337,503.3833333333334,507.692,496.41833333333335,501.355,506.96000000000004,499.8157142857143,465.94666666666666,470.94,463.805,470.98625,480.76625,490.1325,492.3075,494.84625,496.6825,501.2825,500.1325,502.7825,505.79571428571427,505.72285714285715,509.6042857142857,507.2285714285714,514.0357142857143,507.425,512.085,507.17625,477.50499999999994,505.83,508.3971428571429,513.3771428571429,511.09666666666664,504.8614285714285,483.938,470.95199999999994,479.2514285714286,476.6685714285714,482.7528571428571,507.71714285714285,509.56857142857143,509.39333333333326,518.0566666666667,520.9566666666666,517.105,517.3325,516.4028571428572,506.5657142857143,486.30571428571426,478.8128571428571,497.68142857142857,501.83714285714285,508.6671428571429,499.9042857142857,517.75,522.654,504.0566666666667,505.895,504.678,495.92499999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-05-01 21:59:30.586,464.3633333333334,450.90999999999997,441.44999999999993,508.02799999999996,506.872,498.40333333333336,500.784,482.5133333333334,488.845,510.622,499.8157142857143,464.604,464.316,463.805,470.00999999999993,480.25857142857143,490.0414285714286,490.96714285714285,494.56,495.7057142857143,500.6571428571429,498.9428571428571,497.035,499.97857142857134,505.18333333333334,508.6583333333333,506.7966666666666,513.295,505.29200000000003,511.4771428571429,505.13714285714286,469.6614285714286,505.83,504.4825,513.3771428571429,511.09666666666664,504.8614285714285,483.938,467.43333333333334,479.2514285714286,473.1475,482.7528571428571,504.11,505.8775,501.0275,509.01,513.4175,509.43199999999996,511.178,512.01375,506.5657142857143,482.6975,475.49125,497.68142857142857,501.83714285714285,508.6671428571429,499.9042857142857,517.75,522.654,504.0566666666667,505.895,493.0133333333333,495.92499999999995,414.63,,407.81,361.72,368.96,348.5,329.67,309.03,,,436.12,467.81,302.87,286.37,323.17,,,,410.52,424.88,421.1,,427.73,427.62,367.88,369.73,476.9,,,,389.41,282.65,,323.35,332.1,,353.93,331.56,329.72,331.85,337.86,377.95,269.68,286.77,304.47,285.21,,301.72,283.35,,,,,,,,,,,424.05,418.09,301.82,,506.68,480.88,491.25,498.2,,,,,,386.48,,272.43,518.97,,394.73,370.96,,L7
