dates,nzd0392-0000,nzd0392-0001,nzd0392-0002,nzd0392-0003,nzd0392-0004,nzd0392-0005,nzd0392-0006,nzd0392-0007,nzd0392-0008,nzd0392-0009,nzd0392-0010,nzd0392-0011,nzd0392-0012,nzd0392-0013,nzd0392-0014,nzd0392-0015,nzd0392-0016,nzd0392-0017,nzd0392-0022,nzd0392-0023,nzd0392-0024,nzd0392-0025,nzd0392-0026,nzd0392-0027,nzd0392-0028,nzd0392-0029,nzd0392-0030,nzd0392-0031,nzd0392-0032,nzd0392-0033,nzd0392-0034,nzd0392-0035,nzd0392-0036,nzd0392-0037,nzd0392-0038,nzd0392-0039,nzd0392-0040,nzd0392-0041,nzd0392-0042,nzd0392-0043,nzd0392-0044,nzd0392-0045,nzd0392-0046,nzd0392-0047,nzd0392-0048,nzd0392-0049,nzd0392-0050,nzd0392-0051,nzd0392-0052,nzd0392-0053,nzd0392-0054,nzd0392-0055,nzd0392-0056,nzd0392-0057,nzd0392-0058,nzd0392-0059,nzd0392-0060,nzd0392-0061,nzd0392-0062,nzd0392-0063,nzd0392-0064,nzd0392-0071,nzd0392-0072,nzd0392-0073,nzd0392-0074,nzd0392-0075,nzd0392-0018,nzd0392-0019,nzd0392-0020,nzd0392-0021,nzd0392-0065,nzd0392-0066,nzd0392-0067,nzd0392-0068,nzd0392-0069,nzd0392-0070,satname
1999-08-26 22:06:44+00:00,,,,,,,,,,212.34,237.88,,,,,,,,231.85,266.73,,,,,262.47,266.76,276.9,,,,,244.54,,355.34,341.3,342.03,342.57,342.93,345.4,302.5,,334.36,351.07,345.74,,,241.94,207.13,221.73,,232.48,223.49,210.88,227.29,219.85,228.54,226.91,,230.61,224.32,,,,,,,,,,,,,,,306.96,310.25,L7
1999-12-07 22:12:29+00:00,,,,,,,,,,219.89499999999998,242.885,,,,,,,,230.09,268.045,,,,,265.22,251.435,272.825,,223.84,,,238.135,,346.90999999999997,329.27,348.93499999999995,331.02,328.025,326.63,293.47,353.37,343.515,351.855,348.87,299.97,320.41,238.49,189.925,223.14499999999998,,218.95,218.125,209.53,221.39,218.365,221.995,222.235,212.37,245.01500000000001,233.235,229.93,321.63,317.27,322.25,326.68,330.63,198.97,230.96,255.15,218.42,248.95,248.53,253.1,259.48,290.17499999999995,295.90999999999997,L7
2000-01-17 22:06:35+00:00,,,,,,,,,,231.80666666666664,258.24,299.39,,,,,,,224.92,266.25,265.71,272.42,276.54,279.51,271.03000000000003,251.435,272.825,281.65,217.945,,,233.15,,346.90999999999997,329.27,348.93499999999995,331.02,319.52,317.07,297.3833333333333,353.37,343.515,351.855,348.87,299.97,320.41,238.49,189.925,223.14499999999998,,218.95,218.125,208.51333333333332,211.51666666666665,214.26333333333332,217.6833333333333,217.28333333333333,212.51,241.71333333333337,228.32666666666668,226.875,303.83,300.59000000000003,307.66999999999996,314.855,318.265,198.97,230.96,255.15,218.42,247.915,247.54500000000002,250.85,255.235,285.63,291.5933333333333,L7
2000-03-21 22:06:25+00:00,,,,256.77,,,,,282.58,251.5233333333333,273.78999999999996,289.03,254.62,261.28,268.79,258.71,,,219.79,267.24333333333334,263.23,277.435,274.21000000000004,278.76,277.64000000000004,258.445,277.28999999999996,280.80499999999995,217.945,307.45,319.17,226.83666666666667,,338.48,317.24,355.84,319.47,308.5433333333333,302.80333333333334,298.70666666666665,350.195,344.885,341.435,352.61,317.845,338.06,235.04,172.72,224.56,,205.42,210.52499999999998,207.32999999999998,203.63,211.46999999999997,212.255,212.47000000000003,242.4766666666667,247.26500000000004,230.33,226.875,266.4866666666667,300.40333333333336,307.66999999999996,315.42333333333335,318.265,198.97,230.96,255.15,216.195,249.11333333333332,238.23333333333335,250.85,255.235,274.96500000000003,282.265,L7
2000-08-03 22:10:43+00:00,,,,256.77,,277.6,,,283.54499999999996,277.19,286.23,283.745,260.905,258.515,272.27,269.28,252.96,211.07,216.46,273.525,267.75,281.01,275.265,277.46000000000004,277.365,280.855,285.04499999999996,283.94,,308.17499999999995,317.8,230.565,307.96,312.77,316.94,,,310.0,302.6,306.47,339.55499999999995,348.605,346.795,336.125,323.04,333.325,,,266.72,273.06,236.27,248.62,,232.97,249.11,255.95,243.11,285.90500000000003,251.61,260.82,234.84,180.11,246.34499999999997,230.47,282.54,228.94,,,,213.97,251.51,219.61,,,,,L7
2000-08-19 22:10:38+00:00,,245.44,252.49,257.90999999999997,272.8,272.67,,,284.29333333333335,280.6066666666666,287.03666666666663,274.88,265.64000000000004,264.27666666666664,272.73333333333335,268.47333333333336,239.70499999999998,211.07,216.46,254.80999999999997,267.75,281.01,275.265,276.9266666666667,276.63000000000005,282.4866666666667,286.06,286.73333333333335,,307.49333333333334,316.41333333333336,230.565,309.54499999999996,312.77,318.245,318.85,315.09,305.185,303.28,302.23,329.24,337.1466666666667,337.66333333333336,330.16333333333336,318.09666666666664,323.4166666666667,,,267.91,270.05,237.345,254.6933333333333,,234.25,245.14,255.82999999999998,244.395,279.59,255.99,260.59999999999997,233.03,174.67333333333332,228.54333333333332,231.45499999999998,270.8566666666667,230.625,,,,213.97,251.51,219.61,,,,,L7
2001-01-10 22:10:03+00:00,,245.44,252.49,259.05,256.265,250.62333333333333,203.31,,285.15,285.16499999999996,288.28999999999996,272.985,271.15000000000003,265.775,274.70500000000004,273.355,239.70499999999998,211.07,222.48,243.21333333333334,274.75,279.57,278.65,267.7266666666667,266.60333333333335,283.34000000000003,276.06666666666666,290.12,230.14,307.515,306.5133333333333,235.53,300.3733333333333,307.575,311.90000000000003,309.39,306.335,300.37,303.96,302.5,313.54333333333335,326.00333333333333,328.32666666666665,318.635,309.28499999999997,292.81,212.58,219.66,264.58666666666664,270.05,235.99333333333334,267.24333333333334,,233.85,240.88,250.37666666666667,240.49666666666667,262.12666666666667,253.01666666666665,254.31999999999996,227.3166666666667,166.10999999999999,194.21666666666667,232.01,243.45000000000002,235.70333333333335,,236.7,241.12,212.02,223.07,,,,,,L7
2001-03-31 22:09:43+00:00,,,,,239.73,215.36,200.865,209.25,285.52,288.63,288.79,292.19,287.86,253.51,266.33,266.56,243.26,213.67,230.33999999999997,253.23499999999999,270.46,278.44,276.57,264.53999999999996,267.07000000000005,274.07,271.385,289.54,260.40999999999997,303.55,301.67,,297.54999999999995,311.345,306.47,307.97,301.42499999999995,309.03,301.15,307.96000000000004,292.9,306.975,301.27,308.68,282.28,263.89,212.58,224.595,264.675,270.19,227.755,238.915,,233.275,227.675,241.10500000000002,234.68,252.89,256.78,246.66499999999996,225.33999999999997,200.4,206.34,238.69,247.72500000000002,251.53,212.22,231.945,253.385,221.35000000000002,239.375,249.32,244.47,257.21,262.46,,L7
2001-05-27 22:03:36+00:00,,,,,239.73,220.50666666666666,199.88,219.64,265.65,288.63,288.79,292.19,287.86,253.51,266.33,266.56,243.26,213.67,230.33999999999997,253.23499999999999,270.46,278.44,276.57,260.75,263.1933333333333,274.07,271.6166666666666,289.54,268.83,303.55,301.67,224.51,297.54999999999995,311.345,306.47,307.97,301.42499999999995,309.03,301.15,301.17,292.9,306.975,301.27,308.68,273.69,259.02,214.055,228.0666666666667,264.675,246.56,226.03666666666666,233.84,184.38,231.49666666666667,223.4666666666667,234.84666666666666,229.24333333333334,241.36,243.25666666666666,240.8033333333333,225.33999999999997,200.4,206.34,238.69,247.72500000000002,251.53,212.22,231.945,253.385,221.35000000000002,239.375,249.32,244.47,257.21,262.46,,L7
2001-07-05 22:08:57+00:00,,,,,239.73,220.50666666666666,199.88,219.64,265.65,283.515,286.24,284.87,276.845,261.57,266.33,258.68,246.785,234.77999999999997,230.33999999999997,253.23499999999999,289.95,302.805,276.57,276.76,275.9875,274.07,282.775,307.4,284.8775,321.995,317.4666666666667,224.51,314.2833333333333,315.98333333333335,311.24,314.52,315.3766666666666,306.565,324.06,312.90250000000003,302.8333333333333,319.74333333333334,301.27,308.68,273.69,272.13666666666666,214.055,227.6275,263.29333333333335,243.58666666666667,231.82,235.655,184.38,234.31,225.645,238.22500000000002,230.065,240.0375,244.5225,241.57999999999998,225.33999999999997,200.4,206.34,238.69,247.72500000000002,251.53,212.22,231.945,253.385,221.35000000000002,239.375,249.32,244.47,257.21,262.46,,L7
2001-08-15 22:02:38+00:00,,,,,,227.495,194.71,219.64,271.32666666666665,281.58,283.3566666666666,272.08,269.23333333333335,259.3566666666666,265.16499999999996,258.68,246.785,234.77999999999997,247.47499999999997,273.875,282.6666666666667,300.8066666666667,276.57,293.505,299.0875,274.07,289.705,302.7,301.935,316.87333333333333,331.46500000000003,228.05,320.1666666666667,321.34,319.24666666666667,321.81499999999994,324.275,306.565,320.71,314.56,304.28499999999997,327.78,300.32,308.68,276.99,274.07666666666665,215.53,227.375,261.3666666666667,239.475,231.26,232.41500000000002,184.38,235.0225,222.865,237.0325,231.07,234.79000000000002,242.98999999999998,243.33249999999998,234.79,200.4,215.63,244.26,261.11,246.33999999999997,212.22,227.19,265.65,230.68,255.68,249.32,244.47,257.21,283.71500000000003,311.44,L7
2002-02-14 22:08:29+00:00,,285.06,282.45,,,263.01,210.87,246.71,300.86,297.8,306.17,314.62,,,306.41,297.39,,229.65,288.76,281.73,287.52,295.03,293.54,297.21,306.36,294.03,304.76,308.62,316.32,323.12,330.09,,322.11,335.31,355.42,323.12,321.37,316.44,318.36,349.5,,,,,,,186.03,218.96,,,,,,,,,,289.51,291.84,,,,,,,,,,299.45,263.57,288.36,257.66,259.5,269.78,275.05,288.21,L7
