dates,satname,nzd0393-0000,nzd0393-0001,nzd0393-0002,nzd0393-0003,nzd0393-0004,nzd0393-0005,nzd0393-0006,nzd0393-0007,nzd0393-0008,nzd0393-0009,nzd0393-0010,nzd0393-0011,nzd0393-0012,nzd0393-0020,nzd0393-0021,nzd0393-0022,nzd0393-0023,nzd0393-0024,nzd0393-0025,nzd0393-0026,nzd0393-0027,nzd0393-0028,nzd0393-0029,nzd0393-0030,nzd0393-0031,nzd0393-0032,nzd0393-0033,nzd0393-0034,nzd0393-0035,nzd0393-0036,nzd0393-0037,nzd0393-0038,nzd0393-0039,nzd0393-0040,nzd0393-0041,nzd0393-0042,nzd0393-0043,nzd0393-0044,nzd0393-0045,nzd0393-0046,nzd0393-0047,nzd0393-0048,nzd0393-0049,nzd0393-0050,nzd0393-0051,nzd0393-0052,nzd0393-0053,nzd0393-0054,nzd0393-0055,nzd0393-0056,nzd0393-0057,nzd0393-0058,nzd0393-0059,nzd0393-0060,nzd0393-0061,nzd0393-0062,nzd0393-0063,nzd0393-0064,nzd0393-0065,nzd0393-0066,nzd0393-0067,nzd0393-0068,nzd0393-0069,nzd0393-0070,nzd0393-0071,nzd0393-0072,nzd0393-0073,nzd0393-0074,nzd0393-0075,nzd0393-0076,nzd0393-0077,nzd0393-0078,nzd0393-0079,nzd0393-0080,nzd0393-0081,nzd0393-0082,nzd0393-0083,nzd0393-0084,nzd0393-0085,nzd0393-0086,nzd0393-0087,nzd0393-0088,nzd0393-0089,nzd0393-0090,nzd0393-0091,nzd0393-0092,nzd0393-0093,nzd0393-0094,nzd0393-0095,nzd0393-0096,nzd0393-0097,nzd0393-0013,nzd0393-0014,nzd0393-0015,nzd0393-0016,nzd0393-0017,nzd0393-0018,nzd0393-0019,nzd0393-0098,nzd0393-0099,nzd0393-0100,nzd0393-0102,nzd0393-0101
1999-09-04 22:00:09.953000,L7,,,,,,,,,,,,,,310.93,296.36,289.49,297.52,300.62,282.38,274.04,265.38,273.55,271.77,259.52,278.76,280.85,282.25,290.92,284.15,294.04,291.53,290.32,296.38,276.98,274.41,265.95,255.96,291.94,285.83,271.80,,,314.79,316.92,326.82,321.29,343.62,331.70,328.80,325.80,325.11,279.86,293.98,295.01,301.80,298.70,302.17,317.77,309.42,317.59,315.42,304.31,311.12,327.51,329.98,332.81,329.63,333.10,336.43,340.85,345.69,348.95,347.41,348.71,345.64,343.97,347.03,347.60,347.57,346.02,351.92,343.30,335.88,336.23,337.72,336.29,342.87,346.81,341.41,343.66,350.77,255.41,280.20,289.35,311.40,323.52,323.09,321.80,371.69,,,,
1999-09-04 22:00:33.926000,L7,,,,,,,,,,,,,,311.01,297.93,290.13,298.84,305.24,283.68,275.60,266.67,274.95,271.99,260.94,280.59,280.56,282.89,291.36,284.88,294.42,292.75,290.82,298.14,279.37,274.87,270.50,259.95,293.22,288.99,276.08,,,315.76,317.38,329.62,322.67,349.14,332.55,331.73,325.34,326.40,280.03,297.38,295.98,302.65,299.36,303.79,318.37,309.68,319.50,316.74,305.95,313.64,327.63,330.31,335.09,329.61,333.26,335.79,341.82,346.32,349.81,348.48,349.33,354.78,343.84,347.76,348.89,347.45,347.44,357.40,344.01,336.26,337.12,338.47,338.09,348.63,349.20,341.71,344.36,352.14,263.06,283.00,293.28,313.97,326.03,324.30,322.37,371.95,,,,
1999-10-22 22:00:04.598000,L7,267.51,255.35,251.11,264.85,289.40,299.20,291.13,299.67,324.99,324.80,393.20,358.71,360.23,346.33,337.03,337.03,337.97,334.87,323.08,314.17,299.39,295.55,299.44,296.61,303.94,309.51,301.08,314.68,306.55,311.51,310.26,324.37,318.31,315.76,333.37,309.27,292.57,320.31,312.82,308.87,235.85,331.78,348.51,332.67,340.87,343.02,346.46,345.09,340.80,368.81,335.28,314.40,316.99,303.91,318.95,313.35,316.87,342.55,330.22,336.32,332.32,324.07,330.74,339.63,343.36,350.90,354.40,356.11,362.65,364.70,360.25,358.12,387.41,363.27,354.13,363.34,363.35,354.48,358.27,356.74,354.23,378.88,375.92,375.20,352.17,357.37,356.11,355.44,365.97,357.46,,,,,,,,,,,,,
1999-10-22 22:00:28.631000,L7,269.17,257.51,254.23,265.83,290.49,293.60,291.14,299.27,325.97,325.54,346.25,361.22,353.22,346.94,336.36,334.94,332.53,334.45,320.14,315.90,297.44,294.04,297.58,295.19,300.64,307.27,298.78,313.86,304.95,308.31,308.17,313.40,315.46,312.21,322.46,305.80,286.19,317.64,312.68,305.28,237.35,329.29,346.70,331.39,339.49,342.39,343.33,344.38,339.84,335.80,335.49,315.69,314.29,302.51,314.25,312.07,313.67,334.82,328.81,336.54,332.06,323.18,328.36,337.93,343.46,349.92,351.81,353.78,360.46,362.43,355.14,357.25,365.00,362.49,352.91,362.45,361.50,353.56,356.11,355.55,352.56,355.87,356.34,353.71,351.90,355.05,356.09,354.88,363.98,356.09,372.88,,,,,,,,,,,,
1999-12-09 22:00:09.551000,L7,,,,,258.51,267.62,282.79,295.27,309.55,319.09,321.90,327.52,326.81,335.25,320.02,322.84,326.35,319.18,299.63,291.41,285.18,285.63,286.77,292.68,299.23,305.31,302.46,313.90,302.29,317.87,314.87,316.56,314.43,312.04,298.39,299.72,334.07,323.17,304.42,355.61,298.14,307.70,342.99,333.20,341.33,,384.49,352.13,369.54,362.62,327.04,303.25,309.40,306.63,304.41,307.52,320.51,374.03,383.11,357.88,366.01,339.88,349.74,,,343.13,346.72,350.20,342.78,349.66,359.13,369.83,370.96,,,,,,,,,,,,,,,,,,,333.31,341.77,345.43,348.54,340.71,343.04,338.38,,,,,
1999-12-09 22:00:33.510000,L7,,,251.68,256.56,266.43,273.60,286.86,298.99,314.62,328.15,329.69,332.11,332.91,344.87,329.21,332.42,331.80,328.32,309.54,298.77,290.20,289.18,295.41,300.34,306.01,309.61,374.35,343.56,,,,,349.75,323.25,350.84,356.66,,,,,,,,,,,,,,,387.33,313.93,319.70,320.65,308.59,312.74,329.75,372.50,380.39,357.63,360.43,334.33,346.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.66,349.16,357.68,358.85,345.42,349.36,344.21,,,,,
1999-12-25 22:00:04.067000,L7,,,,,,,,,,,,372.68,313.90,305.87,293.47,292.00,297.93,295.81,278.36,268.40,263.81,255.90,265.40,258.30,273.78,271.01,273.48,284.13,275.78,277.03,280.83,285.06,284.42,268.05,256.85,253.08,245.94,278.09,274.61,,,,303.80,299.17,318.30,319.75,322.19,319.32,317.31,317.13,313.90,272.25,285.48,279.52,281.72,281.38,288.44,310.20,300.20,308.17,308.54,295.72,297.17,313.26,312.32,320.12,322.77,325.62,327.16,335.53,339.25,336.53,330.79,333.30,329.12,338.08,346.48,353.97,347.95,347.99,328.26,327.78,328.20,325.58,327.28,326.28,331.42,331.91,337.91,369.13,,318.55,373.16,394.92,343.90,311.70,315.24,314.71,,,,,
2000-01-26 22:00:02.226000,L7,,,,,,,,,,,,,,304.81,290.11,286.97,294.55,293.61,282.61,272.50,270.86,265.09,271.93,264.95,280.68,278.47,280.27,291.35,286.99,287.44,284.72,290.85,290.58,274.00,266.08,262.47,254.09,279.44,279.97,,,,308.16,302.09,315.57,324.21,327.08,331.41,318.91,345.35,324.27,291.89,288.63,287.78,290.07,293.64,296.04,316.57,310.38,309.99,312.42,305.36,302.94,325.93,316.82,326.16,322.59,326.27,332.66,334.21,336.02,335.60,339.54,339.29,333.67,361.23,341.64,342.65,356.90,353.02,331.92,333.67,358.53,332.73,363.44,335.93,361.42,333.74,360.11,340.24,342.90,263.59,288.39,289.63,302.15,310.17,314.99,313.94,369.18,,,,
2000-01-26 22:00:26.187000,L7,,,,,,,,,,,,,,308.23,293.47,291.06,295.47,296.20,284.66,274.93,275.39,268.00,274.13,266.49,282.31,281.42,283.76,295.94,289.84,291.50,288.52,291.90,292.79,277.13,269.49,263.70,256.85,281.03,282.56,,,,311.67,305.21,317.98,327.83,329.06,332.08,324.84,326.08,325.64,293.74,290.77,289.92,294.15,297.32,298.35,317.90,314.22,312.82,315.01,309.84,307.76,325.10,322.12,329.21,325.29,328.14,332.93,337.27,337.99,340.14,341.94,353.22,336.17,357.05,342.69,369.03,356.52,351.63,338.65,334.57,361.08,332.64,364.24,332.83,359.68,335.97,347.03,340.12,344.48,268.88,290.03,292.15,304.74,312.71,317.74,315.39,367.66,,,,
2000-02-11 21:59:57.866000,L7,,,,,,262.92,271.18,276.92,293.17,310.49,313.74,302.64,304.31,313.38,299.07,298.13,308.79,310.06,297.88,294.55,284.74,280.31,276.24,279.69,288.17,293.78,300.31,305.47,294.22,295.48,296.02,299.73,296.17,286.44,278.29,284.66,274.03,303.14,292.56,297.15,,323.75,337.24,319.45,324.49,324.17,330.53,330.14,327.62,322.57,321.27,309.48,305.32,297.50,303.92,300.24,304.67,321.87,323.18,318.61,316.46,321.09,321.68,326.73,337.40,337.62,332.69,,,,,,,,,,370.78,375.38,351.60,343.19,339.53,341.81,381.82,,,,,,,,,316.43,364.17,379.15,370.75,369.98,364.93,355.64,,,,,
