dates,satname,nzd0404-0000,nzd0404-0001,nzd0404-0002,nzd0404-0003,nzd0404-0004,nzd0404-0005,nzd0404-0006,nzd0404-0007,nzd0404-0008,nzd0404-0009,nzd0404-0010,nzd0404-0011,nzd0404-0012,nzd0404-0013,nzd0404-0014,nzd0404-0015,nzd0404-0016,nzd0404-0017,nzd0404-0018,nzd0404-0019,nzd0404-0020,nzd0404-0021,nzd0404-0022,nzd0404-0023,nzd0404-0024,nzd0404-0025,nzd0404-0026,nzd0404-0027,nzd0404-0028,nzd0404-0029,nzd0404-0030,nzd0404-0031,nzd0404-0032,nzd0404-0033,nzd0404-0034,nzd0404-0035,nzd0404-0036,nzd0404-0037,nzd0404-0038,nzd0404-0039,nzd0404-0040,nzd0404-0041,nzd0404-0042,nzd0404-0043,nzd0404-0044,nzd0404-0045,nzd0404-0046,nzd0404-0047,nzd0404-0048,nzd0404-0049,nzd0404-0050,nzd0404-0051,nzd0404-0052,nzd0404-0053,nzd0404-0054,nzd0404-0055,nzd0404-0056,nzd0404-0057,nzd0404-0058,nzd0404-0059,nzd0404-0060,nzd0404-0061,nzd0404-0062,nzd0404-0063,nzd0404-0064,nzd0404-0065,nzd0404-0066,nzd0404-0067,nzd0404-0068,nzd0404-0069,nzd0404-0070,nzd0404-0071,nzd0404-0072,nzd0404-0073,nzd0404-0074,nzd0404-0075,nzd0404-0076,nzd0404-0077,nzd0404-0078,nzd0404-0079,nzd0404-0080,nzd0404-0081,nzd0404-0082,nzd0404-0083,nzd0404-0084,nzd0404-0085,nzd0404-0086,nzd0404-0087,nzd0404-0088,nzd0404-0089,nzd0404-0090,nzd0404-0091,nzd0404-0092,nzd0404-0093,nzd0404-0094,nzd0404-0095,nzd0404-0096,nzd0404-0097,nzd0404-0098,nzd0404-0099,nzd0404-0100,nzd0404-0101,nzd0404-0102,nzd0404-0103,nzd0404-0104,nzd0404-0105,nzd0404-0106,nzd0404-0107,nzd0404-0108,nzd0404-0109,nzd0404-0110,nzd0404-0111,nzd0404-0112,nzd0404-0113,nzd0404-0114,nzd0404-0115,nzd0404-0116,nzd0404-0117,nzd0404-0118,nzd0404-0119,nzd0404-0120,nzd0404-0121,nzd0404-0122,nzd0404-0123,nzd0404-0124,nzd0404-0125,nzd0404-0126,nzd0404-0127,nzd0404-0128,nzd0404-0129,nzd0404-0130,nzd0404-0131,nzd0404-0132,nzd0404-0133,nzd0404-0134,nzd0404-0135,nzd0404-0136,nzd0404-0137,nzd0404-0138,nzd0404-0139,nzd0404-0140,nzd0404-0141,nzd0404-0142,nzd0404-0143,nzd0404-0144,nzd0404-0145,nzd0404-0146,nzd0404-0147,nzd0404-0148,nzd0404-0149,nzd0404-0150,nzd0404-0151,nzd0404-0152,nzd0404-0153,nzd0404-0154,nzd0404-0155,nzd0404-0156,nzd0404-0157,nzd0404-0158,nzd0404-0159,nzd0404-0160,nzd0404-0161,nzd0404-0162,nzd0404-0163,nzd0404-0164,nzd0404-0165,nzd0404-0166,nzd0404-0167,nzd0404-0168,nzd0404-0169,nzd0404-0170,nzd0404-0171,nzd0404-0172,nzd0404-0173,nzd0404-0174,nzd0404-0175,nzd0404-0176,nzd0404-0177,nzd0404-0178,nzd0404-0179,nzd0404-0180,nzd0404-0181,nzd0404-0182,nzd0404-0183,nzd0404-0184,nzd0404-0185,nzd0404-0186,nzd0404-0187,nzd0404-0188,nzd0404-0189,nzd0404-0190,nzd0404-0191,nzd0404-0192,nzd0404-0193,nzd0404-0194,nzd0404-0195,nzd0404-0196,nzd0404-0197,nzd0404-0198,nzd0404-0199,nzd0404-0200,nzd0404-0201,nzd0404-0202,nzd0404-0203
1999-08-17 22:12:50.033000,L7,483.90,471.16,469.34,471.52,494.61,479.36,212.44,225.33,176.68,186.10,187.46,229.91,237.65,221.64,223.80,227.48,266.26,264.38,251.48,233.53,259.23,259.75,259.33,248.02,244.13,232.75,254.46,247.57,266.13,255.45,303.19,327.38,337.64,350.59,294.15,266.87,185.51,196.58,210.84,222.71,318.72,332.94,312.74,313.96,317.58,324.09,312.84,314.66,344.96,348.67,373.40,363.95,299.93,303.00,256.41,307.01,281.76,299.10,309.59,310.95,310.92,311.23,316.18,305.74,325.09,333.14,333.89,361.60,363.72,343.50,326.04,352.62,345.24,343.98,416.38,443.25,465.81,413.33,451.58,309.78,331.17,344.01,342.67,343.78,351.06,320.82,333.98,342.96,336.31,341.61,375.31,360.36,308.85,309.58,295.21,321.14,323.40,317.51,305.28,275.99,301.99,325.16,308.22,312.09,307.41,320.04,313.39,294.32,300.02,301.76,304.22,308.66,313.43,299.65,307.34,310.18,312.14,314.76,322.96,318.14,325.36,323.28,316.90,330.28,334.33,316.42,325.65,323.27,327.26,325.39,324.35,324.41,321.51,321.50,319.91,317.84,317.42,315.20,316.60,308.01,312.13,310.66,310.32,312.73,310.24,311.18,312.69,309.18,308.21,310.64,303.38,306.16,305.13,302.67,301.79,299.72,297.61,298.95,298.76,297.80,298.89,301.69,299.57,302.31,298.92,294.72,293.44,289.76,282.05,289.62,292.13,288.59,294.75,285.83,285.78,284.13,284.51,279.48,278.71,276.36,280.61,275.21,282.35,279.63,280.08,276.24,281.22,275.11,284.40,293.33,294.56,296.99,318.05,317.65,316.08,317.03,321.15,328.79,343.79,361.92,378.86,399.57,400.12,393.72
1999-08-26 22:06:44.761000,L7,176.30,188.38,186.55,182.08,180.59,194.81,201.87,215.00,227.71,242.98,258.90,276.57,277.11,276.98,267.20,293.47,260.72,256.11,227.83,203.65,237.98,241.09,231.57,235.59,224.23,218.79,230.41,246.48,269.47,276.45,265.32,267.45,245.86,254.37,270.48,268.26,272.95,282.60,290.75,324.72,319.25,247.69,218.46,240.31,236.85,240.59,235.23,230.13,222.10,222.51,219.73,217.45,223.27,222.58,223.55,226.49,233.15,190.43,235.41,219.30,230.15,224.52,304.14,299.42,247.90,324.50,329.35,330.26,330.23,328.98,335.20,341.10,332.04,332.71,323.09,324.15,306.90,313.54,318.86,307.61,320.10,323.72,323.67,329.25,313.52,328.30,319.31,323.82,321.14,324.73,330.17,329.47,342.64,320.54,291.42,309.92,320.48,301.98,297.00,267.55,253.17,296.21,296.79,299.00,330.88,315.84,311.01,287.29,309.97,310.26,320.23,311.04,296.70,296.36,298.81,303.91,293.39,306.47,328.13,310.53,308.34,313.06,313.86,324.32,340.42,349.54,326.62,334.76,344.32,343.79,314.27,318.53,318.41,314.99,314.40,323.89,325.80,322.88,322.77,325.92,312.89,307.53,311.70,309.41,309.28,310.16,312.60,309.85,314.34,311.18,320.96,316.60,320.01,312.42,312.45,309.08,304.43,301.73,307.40,302.59,306.65,294.37,310.30,308.36,304.68,303.41,301.11,302.55,292.33,288.90,287.10,294.63,289.81,282.44,283.16,281.53,287.69,276.15,275.94,281.40,290.94,282.87,294.49,277.58,281.08,269.73,273.84,276.31,281.11,285.92,289.07,302.19,303.41,314.92,309.18,310.86,317.19,327.29,345.36,359.07,378.35,388.85,391.18,387.20
1999-11-05 22:12:52.965000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.62,342.67,347.08,312.38,,,,,,325.60,324.03,294.40,320.77,317.52,226.59,305.14,292.50,310.96,327.95,329.27,305.23,227.83,304.83,288.52,337.22,346.66,337.44,329.75,341.00,314.39,332.14,325.60,346.38,338.61,336.46,323.75,320.11,334.00,314.05,325.35,316.96,334.81,320.42,323.64,314.61,319.39,324.88,324.47,327.09,328.29,323.38,321.60,308.98,320.38,294.08,319.87,320.58,332.85,287.37,266.17,287.14,321.39,321.88,317.27,325.81,322.19,322.15,290.72,301.49,312.76,306.12,308.45,307.81,305.90,307.72,310.74,304.25,314.29,316.53,325.41,321.27,315.49,306.36,329.88,328.43,328.90,325.81,330.36,318.15,324.19,314.81,320.47,328.82,328.52,323.52,322.45,321.88,314.24,317.71,306.71,305.78,304.19,304.88,305.53,296.47,295.35,312.71,308.34,309.37,310.43,305.81,174.06,270.94,222.04,298.76,295.41,297.06,298.73,296.57,294.55,298.92,299.83,300.52,306.36,304.56,298.27,290.59,292.84,292.58,290.90,290.45,287.98,283.42,289.29,287.37,281.87,283.39,283.61,280.48,281.89,277.67,276.73,278.74,274.96,273.62,285.58,281.33,287.42,284.08,294.08,288.86,295.26,298.86,301.09,311.12,301.75,307.81,321.91,337.34,352.36,368.96,378.65,383.91,365.39
1999-11-21 22:12:47.994000,L7,190.32,183.71,189.51,188.91,191.43,198.12,207.09,217.40,232.00,245.93,270.51,307.64,312.34,290.61,285.94,276.08,275.24,274.41,240.66,261.86,254.38,248.16,255.99,242.31,230.25,239.76,249.84,252.72,260.63,269.17,274.70,270.75,283.44,279.30,266.68,274.25,274.54,284.02,289.97,309.95,316.59,325.00,336.92,345.13,331.73,342.64,342.42,327.41,342.03,329.67,305.99,297.43,302.06,318.36,303.84,300.34,293.93,313.81,313.89,312.12,308.81,306.65,309.01,291.60,297.84,331.66,343.12,343.25,337.45,338.30,338.98,344.61,341.58,335.03,342.05,336.33,349.31,334.93,324.67,326.03,320.12,331.86,319.87,319.21,323.59,331.04,326.75,326.04,330.24,328.20,328.19,316.21,289.42,306.41,288.80,326.29,328.54,284.72,294.04,266.22,292.73,335.97,308.21,324.21,324.57,326.80,330.06,305.72,312.34,309.81,322.65,325.15,316.12,318.53,311.65,322.30,315.20,310.84,318.94,317.83,333.55,335.71,240.33,252.66,245.97,236.52,248.40,262.03,263.05,264.28,259.90,256.40,262.30,261.10,259.20,262.58,266.68,261.75,221.22,309.50,308.35,311.88,302.31,297.64,301.70,303.29,309.71,307.58,316.23,312.93,307.61,301.47,301.50,300.78,304.65,298.61,307.23,298.16,303.91,306.66,296.96,302.34,302.39,302.14,302.96,298.06,305.42,291.35,292.52,291.23,293.75,295.62,287.90,282.59,296.58,290.88,287.86,284.69,286.26,277.55,285.35,276.30,273.01,273.16,278.33,291.14,299.01,302.56,306.10,301.85,307.07,300.55,306.64,314.17,314.60,329.07,303.07,314.21,335.92,351.40,364.30,376.14,382.84,366.67
1999-12-07 22:12:53.785000,L7,211.36,213.57,210.50,199.53,208.80,226.17,236.11,232.15,255.49,271.54,291.00,310.15,323.86,322.18,300.80,302.76,286.13,273.27,268.83,248.58,264.31,252.76,277.06,258.63,264.20,273.92,278.10,278.36,275.29,273.79,276.06,284.25,289.36,281.81,290.20,307.44,321.74,306.48,326.41,331.08,342.30,358.13,363.56,351.26,328.40,341.38,346.30,337.64,341.50,347.03,337.34,330.84,329.54,334.58,340.34,339.51,340.82,350.47,340.84,347.82,350.13,351.14,354.38,366.83,366.74,356.18,344.34,349.99,351.10,328.31,360.24,356.19,344.54,350.71,345.40,342.64,344.42,334.91,332.50,334.27,338.67,337.37,340.56,338.82,340.03,334.58,327.37,346.49,349.71,337.15,352.72,348.72,343.89,324.78,326.85,336.72,349.37,301.48,312.23,276.05,334.67,336.17,336.67,336.91,326.36,331.83,329.42,337.32,323.97,328.35,329.78,324.14,332.45,323.00,336.51,333.91,336.78,331.83,337.43,334.52,341.79,344.45,258.61,261.69,250.02,249.62,263.67,274.00,270.90,262.89,224.50,250.81,252.70,327.01,334.72,330.05,323.10,321.27,326.97,325.60,319.45,327.81,326.20,315.01,328.68,305.72,325.78,324.45,319.31,324.99,321.44,316.76,313.60,314.92,323.58,312.75,313.64,319.40,306.30,312.80,317.83,317.82,316.79,312.14,304.67,306.40,303.60,303.54,300.55,306.99,308.23,302.98,291.98,296.42,296.32,291.64,298.23,301.73,297.32,301.03,270.20,274.25,293.07,291.46,283.57,289.10,297.16,301.38,297.88,311.45,309.24,321.91,313.86,327.02,330.96,334.62,337.23,331.84,346.74,402.65,411.35,396.06,397.42,386.06
2000-01-17 22:06:35.665000,L7,273.48,267.66,222.64,218.73,256.84,256.92,261.46,284.11,226.53,316.26,375.19,330.63,338.39,323.76,321.55,299.86,291.11,319.87,396.66,254.74,324.28,340.83,260.40,249.51,257.19,253.30,259.91,312.68,348.09,290.68,286.49,308.53,325.14,381.20,354.75,271.97,274.36,284.24,298.45,308.63,369.27,357.01,365.91,416.18,441.85,424.82,430.11,322.22,381.52,365.21,343.74,338.26,333.45,333.31,340.60,345.46,354.06,341.79,345.73,396.69,361.41,403.19,399.98,341.50,438.86,433.99,382.90,382.73,398.06,418.69,443.46,418.35,400.48,432.69,403.78,362.70,355.43,359.80,347.58,343.86,348.72,396.91,427.41,396.50,401.38,427.53,397.20,475.16,412.37,337.74,346.72,337.39,314.93,350.87,366.65,346.39,343.01,335.84,336.64,288.89,372.79,373.22,349.41,355.95,441.14,409.72,361.96,372.15,342.07,384.93,420.73,373.70,336.44,341.72,355.59,352.23,348.04,363.48,342.56,356.15,349.29,358.69,360.85,376.10,346.92,361.61,373.16,368.84,370.70,359.44,393.79,393.64,420.26,219.03,206.84,263.93,262.90,260.98,219.35,331.46,333.19,328.04,323.77,331.09,323.45,307.57,322.94,321.04,322.87,320.51,329.62,331.59,331.66,312.62,320.22,330.95,325.64,318.99,327.03,320.92,317.90,367.80,324.04,320.84,324.21,325.23,334.94,321.21,309.52,308.60,308.11,315.54,309.72,316.17,296.62,313.33,306.29,308.52,364.62,376.43,292.90,291.72,342.83,379.51,311.94,343.17,361.42,421.36,316.00,303.10,314.69,317.03,363.82,405.63,409.29,344.98,350.86,368.57,409.70,407.08,414.62,423.22,435.63,416.52
2000-02-18 22:06:29.014000,L7,185.87,178.44,183.69,178.69,187.30,190.21,196.21,211.53,218.79,236.96,268.33,271.55,281.72,274.67,271.23,269.76,260.64,244.34,198.91,194.66,232.14,223.71,232.03,212.65,227.92,223.10,235.59,240.96,222.51,225.80,243.40,240.77,250.62,259.17,248.75,252.88,258.93,276.08,284.06,296.07,308.03,308.82,313.06,307.83,309.24,305.45,306.29,303.86,291.20,303.53,278.16,287.29,279.76,305.29,275.60,295.12,271.72,283.82,292.75,290.29,301.03,290.50,293.68,258.09,246.00,316.82,319.17,311.58,326.21,296.84,299.03,305.01,315.27,318.91,319.56,310.65,319.10,304.77,278.92,290.39,319.75,319.97,304.13,307.12,323.70,325.76,316.35,308.48,298.01,307.41,246.57,285.65,249.66,285.86,281.43,283.01,296.08,218.98,229.68,182.59,214.52,192.04,289.00,294.30,292.00,295.37,303.33,271.52,295.81,298.18,301.81,311.41,313.82,292.51,297.25,287.15,297.54,298.77,301.03,298.47,308.72,301.07,298.32,311.47,326.75,336.49,326.66,330.60,313.64,303.05,315.87,316.83,330.94,324.70,322.07,309.14,304.03,297.23,,,,,,,,181.53,184.54,185.13,310.84,317.83,301.59,307.36,291.13,267.53,243.37,218.66,196.41,213.63,215.53,206.36,207.41,204.41,217.69,290.45,291.50,298.39,279.42,281.05,296.20,291.84,294.19,288.52,288.13,283.91,274.88,278.02,279.82,277.35,261.87,274.14,279.05,272.64,177.47,278.51,279.66,282.32,282.67,,,,280.68,257.41,292.78,214.46,312.32,,280.56,298.49,320.46,345.14,360.09,370.56,382.03,367.39
2000-03-21 22:06:25.053000,L7,209.37,221.64,220.80,214.13,219.23,227.52,249.44,237.34,251.33,264.75,316.15,333.04,320.21,314.65,297.89,296.82,288.09,287.47,292.23,290.19,278.67,267.22,263.41,264.83,282.64,277.00,265.30,268.49,263.90,263.78,281.77,283.37,291.68,313.63,322.62,326.29,330.82,324.92,327.48,330.70,348.19,342.95,350.24,342.17,352.00,355.36,351.97,342.20,334.85,332.62,337.15,331.34,332.32,339.95,338.91,333.01,331.91,335.31,329.71,330.28,349.59,318.24,318.11,338.86,353.46,346.30,343.76,358.09,362.19,353.37,361.87,342.28,348.12,359.04,336.62,338.26,344.93,348.59,328.85,344.01,344.54,345.99,336.43,342.11,347.73,341.49,341.57,330.01,340.85,346.25,350.88,349.82,346.44,348.44,347.61,346.49,336.55,321.85,334.68,324.98,335.86,341.94,352.77,360.08,354.00,341.52,328.36,334.42,327.48,330.69,320.39,342.73,352.61,338.83,339.74,341.19,322.94,335.79,342.94,366.77,338.51,338.34,341.60,357.41,359.67,349.68,352.25,348.91,345.32,353.78,368.29,371.35,341.10,351.11,342.51,337.39,328.21,328.15,326.48,330.97,339.58,350.78,330.86,332.66,340.08,339.86,329.40,333.80,331.76,323.40,311.39,309.85,313.18,315.45,310.69,317.38,311.30,319.88,321.87,325.73,345.59,326.11,312.72,310.76,330.05,329.01,335.81,301.20,302.13,312.14,314.24,299.77,314.41,303.09,297.48,301.20,306.68,297.92,300.83,297.09,292.02,279.27,290.87,286.25,288.80,306.73,302.47,303.57,316.34,312.37,319.10,315.65,325.62,318.51,316.08,313.65,317.59,327.20,348.46,375.90,390.25,381.36,419.89,453.45
2000-04-13 22:12:18.119000,L7,209.02,219.13,211.92,199.96,213.54,219.21,228.68,242.13,251.90,262.35,284.47,304.34,304.42,295.95,305.07,293.81,278.27,268.76,252.30,242.32,250.65,248.51,248.98,246.59,253.82,250.72,264.35,252.01,253.49,268.06,260.04,263.82,264.73,301.90,302.22,279.67,285.87,294.17,334.49,315.05,346.83,354.04,357.65,355.83,361.02,355.10,326.04,341.26,343.46,324.37,186.70,205.80,212.02,215.14,213.00,214.45,218.21,325.82,337.32,322.08,340.97,329.85,362.12,303.58,321.18,347.02,337.18,333.63,333.49,328.55,345.53,340.41,348.91,346.49,342.24,348.33,338.51,337.23,336.78,343.86,343.80,338.65,341.95,342.29,318.96,344.36,331.90,342.52,345.88,346.10,330.93,321.25,317.12,326.62,308.08,357.74,367.16,319.70,318.86,284.05,319.16,334.63,322.11,330.49,354.81,319.92,326.00,300.27,339.53,329.14,340.05,324.61,323.29,366.77,309.48,353.79,364.51,319.31,324.24,328.00,332.73,333.64,328.01,352.28,355.11,349.60,354.16,345.62,343.05,359.09,351.01,326.93,340.15,351.07,322.50,319.01,320.59,312.25,314.41,358.86,315.55,310.96,307.79,312.19,313.15,306.97,307.49,312.11,314.91,335.19,315.63,314.28,319.36,327.53,318.27,313.88,336.42,341.50,334.62,304.68,304.14,302.93,302.41,334.17,350.10,298.19,299.89,296.14,300.62,295.58,327.71,323.84,291.39,288.72,315.51,322.50,294.86,282.58,281.55,280.28,286.64,280.00,287.37,283.55,283.55,292.99,308.15,297.29,288.85,313.21,300.41,302.67,304.98,307.43,307.79,321.36,324.07,335.83,357.99,365.35,377.38,388.43,410.70,394.02
2000-08-03 22:11:07.870000,L7,198.54,194.89,216.30,197.77,201.84,220.45,233.11,237.58,268.56,260.91,278.22,302.11,306.42,305.02,285.91,478.49,467.87,454.35,237.97,229.48,247.53,236.47,245.85,241.47,238.52,239.75,237.69,244.29,249.74,257.20,261.10,260.97,257.29,265.20,273.31,272.91,273.90,297.75,286.92,312.24,321.37,320.10,318.98,317.65,315.40,315.84,315.98,320.18,317.94,308.17,317.50,290.88,309.77,312.90,302.34,315.87,294.33,301.06,309.82,307.80,320.96,298.19,298.70,293.67,255.40,327.51,327.42,336.13,323.38,306.63,307.21,324.38,324.12,333.00,332.22,328.64,321.92,321.05,303.81,321.83,319.50,323.77,318.75,321.45,316.30,321.84,319.11,323.99,322.35,318.78,321.55,305.10,315.47,294.44,282.42,315.04,319.10,297.87,277.88,266.86,252.65,299.67,308.08,322.27,323.49,316.09,327.17,306.00,313.36,302.59,306.27,307.60,322.02,310.38,305.61,303.09,310.67,311.94,320.45,314.20,347.94,322.99,315.33,335.58,330.32,335.10,326.08,327.87,325.81,325.68,331.22,317.13,326.59,321.93,322.00,316.58,319.69,324.88,315.35,307.93,307.93,305.08,307.14,304.95,306.46,303.93,303.10,304.28,317.77,310.62,302.31,303.90,304.23,301.40,304.78,302.47,298.44,297.32,291.22,180.00,203.18,189.25,228.51,219.41,305.03,297.19,299.71,213.32,209.14,226.13,219.38,165.01,226.13,194.43,226.62,227.09,215.74,223.48,282.93,279.46,279.78,279.93,276.95,280.89,270.14,276.50,274.63,266.89,276.38,282.07,289.92,300.88,296.00,296.23,301.34,327.15,307.65,318.61,331.96,191.24,224.07,374.32,383.82,396.04
