dates,nzd0407-0000,nzd0407-0001,nzd0407-0004,nzd0407-0005,nzd0407-0006,nzd0407-0007,nzd0407-0008,nzd0407-0009,nzd0407-0010,nzd0407-0011,nzd0407-0012,nzd0407-0013,nzd0407-0014,nzd0407-0017,nzd0407-0018,nzd0407-0019,nzd0407-0020,nzd0407-0021,nzd0407-0022,nzd0407-0023,nzd0407-0024,nzd0407-0025,nzd0407-0026,nzd0407-0027,nzd0407-0028,nzd0407-0029,nzd0407-0030,nzd0407-0031,nzd0407-0032,nzd0407-0033,nzd0407-0034,nzd0407-0035,nzd0407-0036,nzd0407-0037,nzd0407-0038,nzd0407-0039,nzd0407-0040,nzd0407-0041,nzd0407-0042,nzd0407-0043,nzd0407-0044,nzd0407-0002,nzd0407-0003,nzd0407-0015,nzd0407-0016,satname
1999-10-22 22:00:28.631,,,,466.61,462.96,465.88,,468.49,473.19,,475.79,478.69,,,,,,,,,,,,,,,,,,,,,469.24,,,,453.64,459.77,461.17,468.43,477.47,,,,,L7
1999-12-09 22:00:33.510,,,,452.555,449.065,446.2,,450.57,454.065,,456.02,460.395,,,,,,,,,,,,,,,,,,,,,450.485,,,,441.605,442.875,444.095,450.605,457.71000000000004,,,,,L7
2000-01-26 22:00:26.187,,,216.79,452.555,449.065,446.2,156.44,450.57,454.065,304.46,456.02,460.395,222.2,206.59,,,,328.64,327.21,304.91,,,316.4,,316.97,347.95,333.72,320.21,329.21,342.19,355.79,345.79,450.485,,,,441.605,442.875,444.095,450.605,457.71000000000004,,,208.11,282.33,L7
2000-02-11 22:00:21.827,,,218.58999999999997,452.555,449.065,446.2,157.93,450.57,454.065,289.945,456.02,460.395,216.875,209.06,358.64,370.37,368.72,342.985,327.39,304.93,,,316.025,,335.07000000000005,360.685,342.19000000000005,322.645,329.79999999999995,356.055,362.02,348.28,450.485,,,,441.605,442.875,444.095,450.605,457.71000000000004,,,208.04000000000002,281.08,L7
2000-02-27 22:00:16.353,428.61,428.85,279.94,437.6466666666667,428.66,446.2,157.93,450.57,437.29333333333335,289.945,449.8766666666667,461.1433333333334,296.6466666666667,209.06,373.12,382.61,378.265,363.81666666666666,327.39,304.93,422.94,426.45,316.025,432.34,335.07000000000005,381.6033333333333,342.19000000000005,322.645,329.79999999999995,356.055,382.45,372.3,442.48333333333335,422.92,423.96,428.81,436.7966666666666,435.9266666666667,438.19666666666666,445.68,451.88000000000005,428.63,420.35,208.04000000000002,281.08,L7
2000-03-30 22:00:09.363,427.83000000000004,430.32500000000005,316.5825,435.44,426.6625,437.7633333333333,157.93,441.18666666666667,435.6975,289.945,447.125,456.97249999999997,334.31,209.06,385.65000000000003,391.43333333333334,387.12000000000006,376.435,327.39,304.93,428.3,429.115,316.025,434.995,335.07000000000005,393.4475,342.19000000000005,322.645,329.79999999999995,356.055,394.6025,388.10249999999996,441.14,427.735,428.97,431.97,435.6275,434.4925,436.065,443.9875,448.775,434.775,424.66,208.04000000000002,281.08,L7
2000-04-15 21:59:55.745,429.92333333333335,431.25,340.11,434.006,427.378,432.73249999999996,157.93,439.97,436.4440000000001,289.945,446.28599999999994,454.816,357.562,209.06,392.1425,396.19,394.07,384.226,327.39,304.93,431.13000000000005,433.62999999999994,316.025,439.3566666666666,335.07000000000005,402.496,342.19000000000005,322.645,329.79999999999995,356.055,403.224,397.538,440.834,430.7966666666667,431.05333333333334,433.0333333333333,435.716,434.992,436.26800000000003,443.54799999999994,448.434,436.14000000000004,431.8333333333333,208.04000000000002,281.08,L7
2000-05-01 21:59:54.563,429.92333333333335,431.25,340.11,425.8549999999999,418.48249999999996,421.6833333333332,157.93,430.46333333333337,427.25750000000005,292.94666666666666,438.90999999999997,448.84749999999997,357.562,209.06,385.284,389.204,388.152,384.226,327.39,307.43333333333334,431.13000000000005,433.62999999999994,322.32666666666665,439.3566666666666,335.07000000000005,402.496,337.2366666666667,321.96999999999997,329.79999999999995,356.055,403.224,397.538,433.7325,430.7966666666667,431.05333333333334,433.0333333333333,431.235,428.7975,430.0425,437.32749999999993,441.175,436.14000000000004,431.8333333333333,208.04000000000002,281.08,L7
2000-06-18 21:59:27.736,424.325,430.57500000000005,352.93666666666667,421.92249999999996,419.4475,414.94666666666666,157.93,432.09666666666664,422.7125,292.94666666666666,440.845,456.8475,375.3883333333333,209.06,385.98499999999996,389.61999999999995,389.46166666666664,386.925,327.39,307.43333333333334,439.7075,436.2,322.32666666666665,441.89,335.07000000000005,407.6933333333333,337.2366666666667,321.96999999999997,329.79999999999995,356.055,408.3416666666667,402.5916666666667,433.51750000000004,430.13750000000005,432.3325,432.8625,432.28,433.28499999999997,434.80999999999995,440.48249999999996,450.1525,432.66,429.42,208.04000000000002,281.08,L7
2000-08-05 21:58:44.520,424.325,430.57500000000005,380.166,421.92249999999996,419.4475,414.94666666666666,224.23499999999999,432.09666666666664,422.7125,291.59,440.845,456.8475,406.02599999999995,226.845,385.98499999999996,389.61999999999995,389.46166666666664,398.58200000000005,327.57,308.69499999999994,439.7075,436.2,339.45666666666665,441.89,340.42,419.642,338.995,322.85,359.395,359.65,418.85200000000003,413.95200000000006,433.51750000000004,430.13750000000005,432.3325,425.784,432.28,433.28499999999997,434.80999999999995,440.48249999999996,450.1525,432.66,429.42,207.97,279.83,L7
2000-09-06 21:58:22.821,422.8966666666667,431.1500000000001,425.93333333333334,426.61999999999995,429.98,414.94666666666666,289.05,432.09666666666664,429.0333333333333,299.67,441.93,454.9166666666667,454.12999999999994,242.16,392.41749999999996,393.12499999999994,383.938,410.03333333333336,,312.44,445.2966666666666,439.45,351.36,445.0733333333333,315.615,433.7833333333333,322.945,314.985,388.4,349.38,434.2333333333334,432.8833333333334,435.8633333333334,432.54333333333335,435.1233333333333,425.02750000000003,433.98,437.03666666666663,437.6133333333333,442.0333333333333,453.4633333333333,434.0033333333334,432.4433333333333,,,L7
