dates,nzd0408-0000,nzd0408-0001,nzd0408-0002,nzd0408-0003,nzd0408-0004
2000-01-26 22:00:26+00:00,,335.76,,343.85,306.55
2000-02-11 22:00:21+00:00,,335.76,266.68,328.46500000000003,301.57
2000-02-27 22:00:16+00:00,218.78,331.975,285.59000000000003,321.6466666666667,296.28
2000-03-30 22:00:09+00:00,200.3,331.975,254.96,321.6466666666667,296.28
2000-04-15 21:59:55+00:00,200.3,334.21999999999997,239.3075,304.495,296.28
2000-06-18 21:59:27+00:00,200.3,334.21999999999997,229.82,304.495,296.28
2000-08-05 21:58:44+00:00,200.3,333.45,223.41166666666666,286.8975,291.145
2000-09-06 21:58:22+00:00,236.95499999999998,338.71,194.59599999999998,263.25,
2000-10-08 21:58:00+00:00,310.03,336.185,188.71800000000002,264.8533333333333,
2000-11-25 21:57:58+00:00,313.1366666666667,335.26,187.81,285.1266666666666,301.18
2001-06-05 21:57:16+00:00,,,198.51,,
2001-07-07 21:57:00+00:00,,,202.25,,
2001-09-25 21:56:04+00:00,355.33,,202.25,,327.39
2001-12-30 21:56:13+00:00,355.33,332.73,259.46500000000003,311.11,319.12
2002-03-20 21:56:24+00:00,355.33,333.27,316.575,314.24,311.68333333333334
2002-05-07 21:56:27+00:00,,330.74666666666667,319.67333333333335,298.5833333333333,303.83
2002-10-14 21:55:19+00:00,,321.45,318.495,285.475,290.18
2003-05-10 21:56:22+00:00,,324.29,308.33,,
2003-07-21 21:44:09+00:00,324.49,329.155,322.88,329.52,306.93
2004-04-02 21:46:54+00:00,,,,,345.78
2004-05-04 21:47:51+00:00,310.79,338.64,327.34,329.02,323.655
2004-05-20 21:48:20+00:00,308.055,332.4,326.74,327.135,323.655
2004-06-05 21:48:48+00:00,312.4633333333333,334.6433333333334,331.94,329.06333333333333,319.44
2004-07-07 21:49:44+00:00,313.4075,335.55,332.73749999999995,327.5075,316.60249999999996
2004-08-08 21:50:26+00:00,314.45,335.036,332.13599999999997,326.46799999999996,314.106
2004-09-25 21:51:43+00:00,321.18333333333334,335.036,332.13599999999997,326.46799999999996,317.67
2005-04-05 21:54:42+00:00,,,,,336.0
2005-04-21 21:54:46+00:00,,,,,339.15999999999997
2005-06-08 21:55:08+00:00,315.06,,331.76,320.31,327.30333333333334
2005-06-24 21:55:13+00:00,322.71500000000003,,335.6,326.5,325.9525
2005-07-10 21:55:19+00:00,319.3866666666667,325.24,330.9166666666667,323.22,321.52
2006-06-27 22:00:24+00:00,316.97,,331.52,327.43,
2006-11-02 22:01:56+00:00,320.82000000000005,337.61,333.82,329.645,321.08
2007-01-05 22:02:28+00:00,321.09000000000003,337.61,329.265,324.625,313.13
2008-02-16 22:04:21+00:00,,,302.17,304.35,284.59
2013-05-29 22:09:41+00:00,307.87,327.7,324.88,301.11,
2013-06-30 22:09:35+00:00,308.805,327.7,324.88,301.11,
2013-07-16 22:09:36+00:00,312.0366666666667,328.71000000000004,327.05,309.90999999999997,332.73
2014-01-24 22:08:45+00:00,293.66,,311.62,307.98,298.72
