dates,satname,nzd0411-0000,nzd0411-0001,nzd0411-0002,nzd0411-0003,nzd0411-0004,nzd0411-0005,nzd0411-0006,nzd0411-0007,nzd0411-0008,nzd0411-0013,nzd0411-0014,nzd0411-0015,nzd0411-0016,nzd0411-0017,nzd0411-0018,nzd0411-0019,nzd0411-0020,nzd0411-0021,nzd0411-0022,nzd0411-0023,nzd0411-0024,nzd0411-0025,nzd0411-0026,nzd0411-0027,nzd0411-0009,nzd0411-0010,nzd0411-0011,nzd0411-0012,nzd0411-0028
1999-10-22 22:00:28.631000,L7,379.54,367.77,376.19,416.75,411.46,385.07,347.98,339.69,338.01,300.64,321.74,297.74,292.49,296.77,277.67,271.96,331.33,340.80,341.25,333.27,288.18,360.26,284.16,259.48,,,,,
1999-12-09 22:00:33.510000,L7,424.83,374.21,368.51,380.43,375.25,375.44,347.34,337.18,329.49,333.27,337.95,334.21,328.93,317.81,277.81,326.17,304.76,303.21,293.19,305.30,,,,,429.38,409.94,421.42,354.13,
2000-01-26 22:00:26.187000,L7,395.89,378.62,335.79,341.31,359.68,361.68,337.45,328.36,,,,,,385.77,376.90,361.37,351.94,,,,,,354.82,354.68,,,,,293.25
2000-02-11 22:00:21.827000,L7,378.41,363.26,344.95,350.20,379.19,365.81,336.26,324.71,,413.81,387.58,375.34,366.02,363.01,384.48,,,,,,,,,,,,,,317.66
2000-02-27 22:00:16.353000,L7,376.03,383.37,331.67,342.75,359.88,362.60,332.60,321.05,,281.56,298.28,277.08,281.22,284.25,266.07,255.28,,,,,,,,,,,,,
2000-03-30 22:00:09.363000,L7,365.55,368.10,331.42,347.88,362.39,370.05,,,,286.22,300.53,274.29,281.19,283.47,260.54,261.38,,,,,,,,342.43,,,,,320.11
2000-04-15 21:59:55.745000,L7,315.59,343.54,318.55,338.98,358.53,353.34,,,,,,,,,,,,,,,,,,276.82,,,,,307.69
2000-10-08 21:58:00.300000,L7,409.71,415.34,385.88,395.12,414.49,408.19,420.41,416.16,421.35,385.06,378.87,375.59,383.45,381.54,378.21,372.33,279.07,263.16,255.93,250.42,,,,,407.76,415.63,372.40,398.89,
2000-11-09 21:57:57.236000,L7,,,,390.90,429.71,370.17,338.45,330.67,,290.25,371.23,361.01,364.19,342.16,334.79,262.77,250.84,,,,,,,,,,,,
2000-11-25 21:57:58.896000,L7,366.02,363.42,374.43,347.39,366.87,376.15,348.19,331.68,,291.32,303.90,286.76,282.79,300.09,270.26,262.83,249.59,,,,,,,,,,,,
