dates,satname,nzd0412-0000,nzd0412-0001,nzd0412-0002,nzd0412-0003,nzd0412-0004,nzd0412-0005,nzd0412-0009,nzd0412-0010,nzd0412-0011,nzd0412-0012,nzd0412-0013,nzd0412-0014,nzd0412-0015,nzd0412-0016,nzd0412-0017,nzd0412-0018,nzd0412-0019,nzd0412-0020,nzd0412-0021,nzd0412-0022,nzd0412-0023,nzd0412-0024,nzd0412-0025,nzd0412-0026,nzd0412-0027,nzd0412-0028,nzd0412-0029,nzd0412-0030,nzd0412-0031,nzd0412-0032,nzd0412-0033,nzd0412-0037,nzd0412-0038,nzd0412-0039,nzd0412-0040,nzd0412-0041,nzd0412-0042,nzd0412-0043,nzd0412-0044,nzd0412-0006,nzd0412-0007,nzd0412-0008,nzd0412-0034,nzd0412-0035,nzd0412-0036,nzd0412-0045,nzd0412-0046,nzd0412-0047,nzd0412-0048,nzd0412-0054,nzd0412-0055,nzd0412-0056,nzd0412-0057,nzd0412-0058,nzd0412-0059,nzd0412-0060,nzd0412-0061,nzd0412-0049,nzd0412-0067,nzd0412-0068,nzd0412-0069,nzd0412-0050,nzd0412-0051,nzd0412-0052,nzd0412-0053,nzd0412-0062,nzd0412-0063,nzd0412-0064,nzd0412-0065,nzd0412-0066
1999-09-04 22:00:33.926000,L7,324.09,314.24,315.36,322.44,331.12,338.70,326.61,301.39,293.40,286.25,300.44,295.48,295.79,295.51,270.55,250.92,285.84,302.71,321.05,327.90,321.60,326.41,336.87,336.27,348.10,332.04,349.19,343.61,348.08,350.82,360.97,369.62,372.14,378.90,381.90,379.57,384.60,385.39,381.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-22 22:00:28.631000,L7,,,,,,,337.87,307.39,297.07,295.37,312.79,312.19,315.10,329.01,329.33,320.85,321.44,330.00,335.06,333.45,324.85,330.66,335.78,342.39,353.02,333.36,359.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-09 22:00:33.510000,L7,299.42,292.45,291.08,301.96,309.97,314.79,313.73,292.14,288.60,284.33,302.97,301.44,292.05,295.78,280.18,235.63,287.36,294.63,301.18,306.52,304.56,306.46,315.32,319.16,319.80,317.37,341.18,339.28,343.76,339.95,352.58,361.53,358.94,375.45,371.26,372.97,376.91,371.87,374.62,328.86,338.05,334.69,350.67,353.17,350.40,369.10,371.87,374.51,384.38,384.33,367.38,323.81,326.24,334.99,340.30,357.57,347.59,,,,,,,,,,,,,
2000-01-26 22:00:26.187000,L7,291.64,286.75,277.27,295.38,305.67,304.00,316.28,295.97,281.11,288.29,293.59,293.16,294.15,292.76,262.04,232.59,251.95,275.31,289.19,302.76,310.86,296.32,313.72,316.96,314.77,308.27,331.51,327.97,329.06,325.64,335.55,360.91,362.37,369.68,370.35,371.22,371.63,368.07,368.32,323.06,325.62,336.88,335.91,344.24,344.18,365.57,370.38,369.63,379.82,,,,,,,,,358.61,379.81,346.11,403.36,,,,,,,,,
2000-02-11 22:00:21.827000,L7,264.53,274.58,267.74,286.62,296.23,298.28,305.11,282.30,278.81,274.69,265.28,249.28,256.55,258.47,216.85,,,,,244.20,292.61,291.76,305.88,314.00,306.03,303.66,324.05,324.85,323.23,320.50,323.92,347.56,352.08,362.39,364.94,357.67,367.24,359.62,361.84,310.70,315.13,316.68,328.68,327.71,338.61,360.55,366.84,362.95,373.83,304.55,342.17,301.47,312.49,304.91,329.51,333.07,338.01,357.48,,,,356.23,335.79,354.28,351.10,361.34,357.42,383.91,395.05,
2000-02-27 22:00:16.353000,L7,294.28,286.18,288.10,291.77,306.76,307.40,313.43,285.43,282.46,276.62,271.95,265.32,312.76,293.39,243.31,216.79,251.16,273.11,283.03,303.99,306.85,297.38,307.05,312.91,317.30,309.17,325.95,324.61,333.02,331.32,342.46,357.05,356.38,371.92,373.52,368.21,374.84,360.75,365.99,321.14,327.57,330.35,345.51,349.78,346.12,362.79,368.66,362.86,379.18,313.91,356.46,315.95,318.90,322.48,340.84,350.90,347.10,361.06,,,,,,,,,,,,
2000-03-30 22:00:09.363000,L7,319.25,312.95,315.55,314.11,334.38,333.69,326.24,297.47,294.12,341.38,335.58,326.99,318.39,315.36,303.13,312.27,310.32,312.27,329.34,328.48,325.91,330.79,336.59,336.79,347.44,345.53,352.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-15 21:59:55.745000,L7,316.91,310.82,316.21,314.03,322.56,330.79,321.91,296.23,289.54,288.62,316.15,308.05,303.54,301.62,288.20,305.80,318.61,328.93,324.43,329.35,321.07,324.74,327.94,332.07,332.51,326.88,345.87,344.42,348.60,349.41,356.37,,371.43,379.89,382.80,378.00,381.03,379.53,378.92,,,344.03,,,,,,,,,371.30,326.35,331.31,334.83,344.03,361.49,353.06,,,,,,,,,,,,,
2000-05-01 21:59:54.563000,L7,331.50,323.42,326.82,,,,325.13,299.16,296.33,327.26,347.09,322.11,314.21,319.56,312.51,320.69,318.10,332.28,338.17,334.54,339.25,341.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-18 21:59:27.736000,L7,291.96,282.17,284.27,282.13,293.19,296.90,306.72,273.04,263.35,,,,,,,,261.49,282.62,286.01,297.65,302.12,299.12,296.98,295.79,307.46,302.82,312.62,315.62,323.77,,328.62,352.58,346.00,303.37,,,,,,318.10,327.85,321.75,317.03,328.75,345.58,,356.21,336.87,358.28,,,,,,,,321.15,345.67,385.64,,,353.77,331.51,349.23,248.16,367.64,338.40,374.48,385.29,374.36
