dates,nzd0412-0000,nzd0412-0001,nzd0412-0002,nzd0412-0003,nzd0412-0004,nzd0412-0005,nzd0412-0006,nzd0412-0007,nzd0412-0008,nzd0412-0009,nzd0412-0010,nzd0412-0011,nzd0412-0012,nzd0412-0013,nzd0412-0014,nzd0412-0015,nzd0412-0016,nzd0412-0017,nzd0412-0018,nzd0412-0019,nzd0412-0020,nzd0412-0021,nzd0412-0022,nzd0412-0023,nzd0412-0024,nzd0412-0025,nzd0412-0026,nzd0412-0027,nzd0412-0028,nzd0412-0029,nzd0412-0030,nzd0412-0031,nzd0412-0032,nzd0412-0033,nzd0412-0034,nzd0412-0035,nzd0412-0036,nzd0412-0037,nzd0412-0038,nzd0412-0039,nzd0412-0040,nzd0412-0041,nzd0412-0042,nzd0412-0043,nzd0412-0044,nzd0412-0045,nzd0412-0046,nzd0412-0047,nzd0412-0048,nzd0412-0049,nzd0412-0050,nzd0412-0051,nzd0412-0052,nzd0412-0053,nzd0412-0054,nzd0412-0055,nzd0412-0056,nzd0412-0057,nzd0412-0058,nzd0412-0059,nzd0412-0060,nzd0412-0061,nzd0412-0062,nzd0412-0063,nzd0412-0064,nzd0412-0065,nzd0412-0066,nzd0412-0067,nzd0412-0068,nzd0412-0069
1999-09-04 22:00:33+00:00,,,,313.13,,,,,,319.6,296.86,286.11,280.77,294.52,,289.61,289.73,,,,296.79,314.66,,316.12,319.81,330.48,330.37,,325.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-22 22:00:28+00:00,,,,313.13,,,,,,319.6,299.875,289.03499999999997,285.54999999999995,300.91999999999996,,308.915,308.155,,,,311.5,323.74,,316.12,326.105,334.055,330.37,,333.66999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-11 22:00:21+00:00,,,,293.815,,,,305.92,,307.58000000000004,290.60999999999996,281.2,278.67,300.91999999999996,,308.915,308.155,,,,311.5,323.74,,299.845,326.105,321.77,317.295,296.41,320.98333333333335,316.98,316.67,314.79,,,,,333.18,,,,,,,,,,,,,,,,,,,,,,,,,333.17,,,,,,,,
2000-03-30 22:00:09+00:00,318.35,317.96,314.44,274.5,,,,305.92,,309.425,289.55333333333334,282.14,297.8833333333334,322.245,326.25,328.22,326.58,,,,326.21,332.82,325.65,305.54499999999996,330.85,317.41499999999996,304.22,296.41,318.5,316.98,316.67,314.79,,,,,333.18,,,,,,,,,,,,,,,,,,,,,,,,,333.17,,,,,,,,
2000-04-15 21:59:55+00:00,318.35,317.96,314.44,274.5,,239.32,251.7,286.59000000000003,264.16,309.425,289.55333333333334,282.14,297.8833333333334,322.245,326.25,328.22,326.58,,,,326.21,332.82,325.65,305.54499999999996,330.85,317.41499999999996,304.22,296.41,318.5,316.98,316.67,314.79,,,,291.79,323.525,,,,,,,,,,,,,,,,,,,,,,,,302.02,313.255,315.44,298.42,325.54,190.07,,,301.28,
2000-05-01 21:59:54+00:00,319.74,315.755,315.18,300.28,,239.32,251.7,286.59000000000003,264.16,312.37,286.51666666666665,281.14000000000004,307.0733333333333,335.45500000000004,320.11,306.99,311.82,,,,324.28,330.09,326.645,313.9266666666667,330.995,297.2,304.22,296.41,295.61,316.98,316.67,314.79,,,,291.79,323.525,,,,,,,,,,,,,,,,,,,,,,,,302.02,313.255,315.44,298.42,325.54,190.07,,,301.28,
2000-09-06 21:58:22+00:00,316.4666666666667,311.5733333333333,310.25666666666666,314.78999999999996,312.26,239.32,251.7,267.26,264.16,317.03666666666663,292.5933333333333,288.12000000000006,315.18333333333334,324.50666666666666,312.03333333333336,297.28999999999996,300.26,264.63,248.29,270.2,305.215,313.43499999999995,318.10999999999996,322.08,325.47,322.76,320.18,,321.39,,,,,,,291.79,313.87,,,,,,,,,,,,,,,,,,,,,,,,302.02,293.34,315.44,298.42,325.54,190.07,,,301.28,
2000-10-08 21:58:00+00:00,312.60999999999996,305.71999999999997,304.20666666666665,311.2366666666667,314.22,239.32,251.7,267.26,264.16,312.92,290.4533333333333,285.09666666666664,294.6433333333333,308.82666666666665,299.56,294.53,296.74333333333334,268.03499999999997,251.47,277.97,303.37999999999994,312.89,315.7166666666667,317.5133333333333,320.8233333333333,318.975,319.805,319.04,319.53999999999996,,,,,,,291.79,313.87,,,,,,,,,,,,,,,,,,,,,,,,302.02,293.34,315.44,298.42,325.54,190.07,,,301.28,
2000-11-09 21:57:57+00:00,308.12,301.4066666666667,298.47333333333336,303.5133333333333,314.84999999999997,,,,,311.46,290.32666666666665,285.75666666666666,285.91,299.4733333333333,299.24666666666667,297.95666666666665,296.76666666666665,275.43333333333334,264.45,277.97,292.92999999999995,304.28999999999996,309.75500000000005,310.92499999999995,314.89,318.975,319.805,319.04,319.53999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-25 21:56:04+00:00,,,306.38,310.26,317.74,,,,,,,302.73,,,,,,,,,,,,317.12,319.96,321.25,314.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.32
2001-12-30 21:56:13+00:00,304.81,294.67,303.945,305.605,314.62,,,,,,292.75,293.25,286.6,302.1,301.47,320.58,310.91,293.96,305.18,,,,,317.12,319.96,321.25,314.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.32
2002-02-16 21:56:30+00:00,304.81,294.67,303.945,305.605,314.62,247.08,253.5,264.17,240.27,268.04,292.75,293.25,286.6,302.1,301.47,320.58,310.91,293.96,305.18,,,,,317.12,319.96,321.25,314.24,,,,,,,,289.99,305.22,294.89,307.49,,,,,,,,,,,,,,,,247.59,,247.98,230.87,249.6,226.79,276.58,310.01,274.24,312.34,298.62,319.43,,,,,347.32
2002-03-20 21:56:24+00:00,302.96500000000003,294.415,302.24,304.6933333333333,314.62,247.08,253.5,264.17,240.27,268.04,292.75,293.25,286.6,302.1,301.47,320.58,310.91,293.96,293.83000000000004,293.64,288.73,322.68,315.58,313.555,318.145,321.25,314.24,,,,,,,,289.99,305.22,294.89,307.49,,,,,,,,,,,,,,,,247.59,,247.98,230.87,249.6,226.79,276.58,310.01,274.24,312.34,298.62,319.43,,,,,349.695
2002-05-07 21:56:27+00:00,302.96500000000003,294.415,300.17,291.37333333333333,294.27,266.675,253.5,287.86,240.27,278.58500000000004,279.23,269.425,286.6,302.1,301.47,320.58,310.91,293.96,293.83000000000004,293.64,288.73,322.68,315.58,294.78,316.33,,,,279.85,288.78,282.94,291.66,,303.35,298.3,310.745,294.89,307.49,,,,,,,,,,,,,,,,247.59,,253.25,220.845,268.295,226.79,276.325,315.28499999999997,291.85,315.26,308.14,319.43,,,,,352.07
2002-10-14 21:55:19+00:00,315.07,,,270.3,277.04,286.27,,311.55,,289.13,265.71,255.08,,,,,,,,312.01,,,,279.57,,,,,279.85,288.78,282.94,291.66,,303.35,306.61,316.27,,,,,,,,,,,,,,,,,,,,258.52,210.82,286.99,,276.07,320.56,309.46,318.18,317.66,,,,,,
2002-10-30 21:55:25+00:00,315.265,314.1,,270.3,277.04,286.27,,311.55,,289.13,265.71,255.08,,,345.96,,328.78,310.15,,318.15999999999997,330.7,330.14,332.01,279.57,326.54,,329.06,,300.865,288.78,282.94,291.66,,303.35,306.61,316.27,,,,,,,,,,,,,,,,,,,,258.52,210.82,286.99,,276.07,320.56,309.46,318.18,317.66,,,,,,
2003-04-24 21:56:22+00:00,315.46,314.1,,,,,,,,,,,,,345.96,,328.78,310.15,,324.31,330.7,330.14,332.01,,326.54,,329.06,,321.88,,,,,,,,,,,,,,,,,,,,,,,,185.92,277.2,,284.28,249.04,,,265.24,,,,323.91,,,,,,
2003-07-21 21:44:09+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.36,176.31,,,,,,,272.58,,,,185.92,277.2,,284.28,249.04,,,265.24,,,,323.91,,,,,,390.06
2004-04-02 21:46:54+00:00,323.87,316.77,320.14,325.47,,,,,,,299.75,,297.69,307.95,315.68,314.03,317.37,294.48,278.02,297.27,311.28,316.99,324.27,325.29,330.66,331.42,,333.49,338.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-05-04 21:47:51+00:00,327.025,316.56,319.095,320.06,,,,,,319.44,301.71500000000003,,300.23,310.57,313.33500000000004,314.225,315.16499999999996,296.005,271.28999999999996,296.89,313.43499999999995,319.885,326.095,328.15999999999997,333.255,331.42,,337.305,338.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-05-20 21:48:20+00:00,327.025,316.56,319.095,320.06,,,228.06,301.81,,319.44,283.47333333333336,,300.23,310.57,313.33500000000004,314.225,315.16499999999996,296.005,271.28999999999996,296.89,313.43499999999995,319.885,326.095,317.06666666666666,321.82666666666665,317.59000000000003,310.72,329.1666666666667,330.2133333333333,330.28,335.26,,,,,,,,,,,,,,,,,,,,,,,,,273.92,268.11,307.7,,,,326.22,,,,,,,,
2004-06-05 21:48:48+00:00,327.025,316.56,319.095,320.06,,,228.06,301.81,,319.44,283.47333333333336,,300.23,310.57,313.33500000000004,314.225,315.16499999999996,296.005,271.28999999999996,296.89,313.43499999999995,319.885,326.095,317.06666666666666,321.82666666666665,317.59000000000003,310.72,329.1666666666667,330.2133333333333,330.28,335.26,,,,,,,,,,190.68,157.48,,,,,,,272.17,267.45,,,,,,273.92,268.11,307.7,221.12,,,321.68,,,,,,,,
2004-07-07 21:49:44+00:00,314.56666666666666,304.35999999999996,305.07,306.08666666666664,292.83,,228.06,301.81,,319.44,279.0775,264.92,300.23,310.57,313.33500000000004,314.225,315.16499999999996,296.005,271.28999999999996,281.6433333333333,303.45666666666665,311.3433333333333,317.78,314.2425,316.385,313.36333333333334,307.33500000000004,324.46,323.73,326.4,335.26,,,,,,,,,,174.60500000000002,157.48,,,,,,,272.17,267.45,,,,,,273.92,268.11,307.7,221.12,242.12,,320.8666666666667,,,,,,,,
2004-08-08 21:50:26+00:00,314.56666666666666,306.9625,305.07,306.08666666666664,292.83,,228.06,301.81,,319.44,280.134,275.98,294.4533333333333,309.4866666666667,309.49666666666667,311.97333333333336,311.4166666666667,290.3433333333333,269.08,283.1825,304.6175,311.765,320.0725,317.566,316.385,313.36333333333334,314.61,324.46,323.73,326.4,335.26,,,,,,,,,,174.60500000000002,157.48,,,,,,,272.17,267.45,,,,,,273.92,268.11,307.7,221.12,242.12,,320.8666666666667,,,,,,,,
2004-09-25 21:51:43+00:00,314.56666666666666,309.508,305.07,306.08666666666664,292.83,,228.06,301.81,,317.345,282.74833333333333,280.48333333333335,293.62,308.405,308.295,310.5625,310.65999999999997,291.255,269.08,288.588,307.308,314.066,321.24,319.2816666666667,316.385,313.36333333333334,314.61,324.46,323.73,326.4,335.26,,,,,,,,,,174.60500000000002,157.48,,,,,,,272.17,267.45,,,,,,273.92,268.11,307.7,221.12,242.12,,320.8666666666667,,,,,,,,
2004-10-27 21:52:23+00:00,309.915,307.724,299.77666666666664,300.6066666666666,305.07,,228.06,301.81,,317.345,285.875,287.41,295.53999999999996,307.96999999999997,305.21999999999997,308.7225,308.47249999999997,290.55,266.16333333333336,287.156,310.332,316.13599999999997,320.4825,318.08000000000004,311.6266666666666,304.33500000000004,314.61,322.9525,319.8025,326.4,335.26,,,,,,,,,,174.60500000000002,157.48,,,,,,,272.17,267.45,,,,,,273.92,268.11,307.7,221.12,242.12,,320.8666666666667,,,,,,,,
2005-01-15 21:53:45+00:00,305.06,310.4925,302.155,310.325,322.75,,,,,318.28,300.6175,292.8225,291.8925,303.78499999999997,302.7025,304.565,305.525,286.6,268.26000000000005,299.7525,318.96000000000004,323.1925,331.33666666666664,332.06333333333333,344.02,335.45,326.6,325.04999999999995,321.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
