dates,nzd0414-0000,nzd0414-0001,nzd0414-0002,nzd0414-0003,nzd0414-0004,nzd0414-0005,nzd0414-0006,nzd0414-0007,nzd0414-0008,nzd0414-0009,nzd0414-0010,nzd0414-0011,nzd0414-0012,nzd0414-0013,nzd0414-0014,nzd0414-0015,nzd0414-0016,nzd0414-0017,nzd0414-0018,nzd0414-0019,nzd0414-0020,nzd0414-0021,nzd0414-0022,nzd0414-0023,nzd0414-0024,nzd0414-0025,nzd0414-0026,nzd0414-0027,nzd0414-0028,nzd0414-0029,nzd0414-0030,nzd0414-0031,nzd0414-0032,nzd0414-0033,nzd0414-0034,nzd0414-0035,nzd0414-0036,nzd0414-0037,nzd0414-0038,nzd0414-0039,nzd0414-0040,nzd0414-0041,nzd0414-0042,nzd0414-0043,nzd0414-0044,nzd0414-0045,nzd0414-0046,nzd0414-0047,nzd0414-0048,nzd0414-0049,nzd0414-0050,nzd0414-0051,nzd0414-0052,nzd0414-0053,nzd0414-0054
1999-11-21 22:12:47+00:00,,,224.44,215.83,208.11,192.27,,256.81,,,,,,,,,,,181.66,196.8,192.36,195.06,180.44,208.96,198.43,215.16,241.14,245.02,238.22,237.31,246.91,244.12,250.09,255.06,247.39,259.42,267.64,273.84,295.18,293.77,255.82,,291.09,285.57,292.08,295.0,270.24,271.21,261.84,220.09,,,232.3,,
2000-11-07 22:10:17+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,200.76,235.34,241.07,230.86,218.3,231.33,228.82,235.44,237.56,235.48,252.61,257.71,260.23,,,,,279.68,273.76,281.31,,254.94,251.46,243.18,191.49,,,,,
2001-01-10 22:10:27+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,200.76,235.34,241.07,230.86,218.3,231.33,228.82,235.44,237.56,235.48,252.61,257.71,260.23,,,,,279.68,270.055,268.33,278.57,254.94,243.745,236.48000000000002,191.49,,,,,
2002-10-28 22:07:46+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,199.21,231.09,240.45,230.19,221.69,239.26,239.15,238.89,243.33,241.93,248.75,255.87,225.44,,,,,287.73,286.14,252.38,,263.99,264.97,258.55,264.75,266.04,259.72,265.52,274.91,293.15
2003-08-20 21:57:03+00:00,,,,,,,,,,,,,,,,,,,,,202.42,209.61,212.36,215.29,227.0,232.63,246.22,235.51,239.2,236.75,227.95,231.96,226.64,221.3,227.89,242.75,245.41,254.23,262.49,272.13,282.1,288.91,276.44,275.23,255.25,276.34,260.37,244.07,239.31,237.33,255.78,246.02,,,
2003-12-10 21:58:29+00:00,,212.46,204.13,198.09,,,,239.7,241.2,236.49,,,230.63,236.92,241.85,,,,219.38,220.33,214.105,217.3,221.075,224.05,237.385,242.675,257.425,249.865,255.04999999999998,250.785,241.035,243.96,236.25,236.065,239.115,250.29,255.47500000000002,265.99,272.91499999999996,280.275,292.96500000000003,300.725,287.99,291.84000000000003,255.25,291.17999999999995,277.275,258.09000000000003,253.285,256.375,273.3,258.95,275.57,277.5,287.13
2004-01-27 21:58:50+00:00,,212.46,204.13,198.09,,,,239.7,241.2,217.60000000000002,187.0,180.44,213.655,217.805,222.375,192.15,173.77,171.61,219.38,220.33,214.105,217.3,221.075,224.05,237.385,242.675,257.425,249.865,255.04999999999998,239.0666666666667,241.035,243.96,229.33,236.065,239.115,243.45000000000002,248.72666666666666,258.91333333333336,265.25333333333333,271.65000000000003,286.9166666666667,292.3433333333333,279.09,282.3666666666667,248.155,282.1766666666667,266.7,247.53333333333333,243.17999999999998,243.82333333333335,273.3,258.95,275.57,277.5,287.13
2004-05-18 22:00:38+00:00,210.16,199.775,196.81,190.01999999999998,,,,239.7,241.2,217.60000000000002,187.0,180.44,216.1833333333333,222.0666666666667,222.375,207.055,189.835,184.28,211.54,213.89,207.97,216.21,223.385,224.60500000000002,240.16500000000002,245.79000000000002,258.47,253.705,255.64999999999998,239.72666666666666,254.12,255.96,230.675,250.83,250.34,243.8,250.385,261.255,266.635,271.41,289.325,292.2233333333333,279.6033333333333,285.935,241.06,282.1066666666667,267.63000000000005,241.98333333333335,231.29333333333332,247.07,290.82,271.88,275.57,277.5,287.13
2004-11-10 22:04:59+00:00,210.16,187.09,189.49,181.95,,,191.54,213.12,,,198.44,200.71,212.10000000000002,230.59,212.45,211.2,198.195,189.07999999999998,194.865,198.28,192.69,201.07,205.02499999999998,209.34,222.66500000000002,229.32,238.39499999999998,235.26999999999998,231.62,230.475,,,217.48,,214.66,226.26,231.69,238.72,244.39,261.74,276.32,284.625,273.65999999999997,268.32,256.86,272.775,255.685,228.685,214.905,236.76,,,,,
2004-11-26 22:05:17+00:00,221.47,214.05,203.78,204.48,200.01,205.13,209.95,228.465,246.56,238.65,215.135,215.265,218.135,,227.91,216.975,209.07,198.365,204.305,204.65,208.06,208.095,210.94,216.465,228.155,235.31,245.525,244.66,243.15500000000003,242.745,255.92,259.56,237.635,260.46,239.39499999999998,248.92,254.34999999999997,265.025,269.23,261.74,290.03,292.86,282.84,285.28,274.54,285.6,267.155,247.945,244.75,251.53500000000003,274.88,268.81,276.16,277.48,295.12
2005-03-02 22:06:47+00:00,207.65,201.45,191.25,190.70999999999998,188.315,205.13,203.33,223.91,235.98000000000002,227.12,212.37,211.89,214.63333333333333,212.03,224.29333333333332,214.11333333333332,205.84,198.365,204.305,200.63333333333333,203.88666666666666,204.73000000000002,206.98666666666668,213.7733333333333,225.50666666666666,232.42999999999998,244.04333333333332,241.6966666666667,241.6766666666667,240.34333333333333,239.415,238.45,233.41,238.25500000000002,235.17666666666665,246.00333333333333,251.22,261.69666666666666,264.75333333333333,260.13,285.3,289.51666666666665,279.56666666666666,280.45666666666665,267.89000000000004,280.9166666666667,264.6666666666667,241.87666666666667,238.71333333333328,243.8466666666667,264.72499999999997,250.60500000000002,257.02,255.735,275.895
2005-07-08 22:07:39+00:00,194.375,189.36,180.66,182.325,179.245,173.31,187.15,217.505,226.43,217.70499999999998,206.84,205.14,207.63,224.64499999999998,230.95,222.165,199.38,,,204.42000000000002,195.54,198.0,199.08,208.39,220.21,226.67,241.08,235.77,238.72,235.54,222.91,217.34,224.96,216.05,234.145,241.16,245.91999999999996,255.04,255.8,260.19,281.505,287.40999999999997,273.02,271.775,254.59,271.755,261.04499999999996,229.74,226.64,228.47,254.57,232.4,237.88,233.99,256.67
2005-09-10 22:08:07+00:00,194.92,189.87,182.6,187.71,181.87,173.31,188.5,222.70499999999998,222.75,219.09,204.43,216.14,223.46,227.16,227.5,225.06,202.86,194.9,194.1,208.695,202.21,201.99,205.84,211.99,220.18,229.76,243.1,234.79,230.29,234.28,221.95,225.72,232.03,224.76,236.805,241.43,247.10999999999996,254.73,263.86,267.18,283.875,289.9,277.69,268.175,255.55,270.495,255.75499999999997,236.74,228.96,227.35,,,,,
2005-11-13 22:08:20+00:00,194.92,189.87,182.6,187.71,181.87,173.31,183.95333333333335,217.60666666666665,216.92999999999998,213.45333333333335,195.74,201.075,207.845,217.11333333333334,219.26,218.00666666666666,193.505,188.325,186.76999999999998,199.91,196.78,198.075,204.39499999999998,206.185,218.72,227.575,240.85000000000002,235.27499999999998,221.625,234.28,221.95,225.72,232.03,224.76,236.805,241.43,247.10999999999996,254.73,263.86,267.18,278.43666666666667,285.18666666666667,270.52,264.40333333333336,243.94,267.8333333333333,253.85999999999999,222.95499999999998,223.31499999999997,227.35,,,,,
2006-02-17 22:10:34+00:00,,,,,,,182.46333333333334,212.50333333333333,210.96,208.66,194.96,198.5633333333333,204.26333333333332,205.84,205.51666666666665,205.87666666666667,190.15666666666667,185.1833333333333,184.72666666666666,188.06000000000003,193.86666666666667,194.79333333333332,200.03333333333333,202.45666666666668,216.35666666666665,223.85,237.18333333333337,231.70666666666662,223.20000000000002,229.215,216.77499999999998,215.35,222.78500000000003,216.59000000000003,221.64499999999998,234.02,239.89999999999998,247.35500000000002,255.8,264.14,273.4833333333333,280.5333333333333,268.7866666666667,262.3566666666667,246.03666666666666,265.86999999999995,248.6533333333333,223.00666666666666,221.5333333333333,227.82000000000002,,,,,
2006-06-25 22:12:44+00:00,,,,,,,179.74,204.9,209.55,205.44,202.31,202.485,213.05,213.215,217.34500000000003,208.2,192.555,188.22500000000002,192.535,180.69,194.24,194.255,204.39,205.79500000000002,219.59,227.95499999999998,239.86,235.66499999999996,226.35,224.15,211.6,204.98,213.54,208.42,211.23,227.33,232.46,239.98,247.74,255.78,272.31,278.03,265.32,266.6,250.23,266.07,246.78,223.11,217.97,228.29,,,,,
2006-09-13 22:13:47+00:00,,,,,,,162.3,196.93,204.78,197.54,198.41500000000002,198.185,209.57,211.75,212.77,207.195,189.96,186.835,188.68,167.9,200.44,200.28,217.47,216.59,227.55,239.51,249.87,246.76,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-02-04 22:14:57+00:00,219.03,208.25,203.39,200.41,201.59,192.74,162.3,196.93,204.78,215.56,185.61,184.94,213.125,216.925,194.46,214.66,199.595,196.56,196.695,194.575,221.81,227.43,227.56,228.6,235.76,244.83,262.44,261.06,254.92,248.05,240.8,242.0,244.21,248.96,253.13,262.87,266.49,281.26,289.04,296.46,,321.29,314.22,313.42,306.83,313.27,303.51,274.98,270.48,282.73,291.58,278.18,274.13,272.21,286.44
2010-01-27 22:10:50+00:00,,,,,,,,,,,,,239.08,,,232.26,224.97,215.21,218.67,218.95,222.47,223.23,224.09,223.37,230.03,238.82,253.99,257.55,251.1,257.38,250.22,255.79,258.16,262.73,262.41,270.99,275.51,287.96,298.0,301.13,,323.9,314.58,306.87,300.22,297.04,285.55,275.34,276.28,285.63,289.74,277.47,281.95,276.23,288.32
2011-02-15 22:09:58+00:00,,,,,,,,,,,,,276.12,,,,,,,,,,,,,,,,,,,,,,,307.67,300.41,320.16,,,,354.84,333.68,316.12,313.66,309.32,310.97,,,308.06,315.93,293.82,299.58,316.35,310.03
