dates,satname,nzd0415-0000,nzd0415-0001,nzd0415-0056,nzd0415-0057,nzd0415-0058,nzd0415-0002,nzd0415-0003,nzd0415-0045,nzd0415-0046,nzd0415-0047,nzd0415-0110,nzd0415-0111,nzd0415-0041,nzd0415-0042,nzd0415-0043,nzd0415-0044,nzd0415-0093,nzd0415-0094,nzd0415-0095,nzd0415-0019,nzd0415-0020,nzd0415-0061,nzd0415-0062,nzd0415-0063,nzd0415-0066,nzd0415-0067,nzd0415-0068,nzd0415-0069,nzd0415-0070,nzd0415-0071,nzd0415-0075,nzd0415-0076,nzd0415-0077,nzd0415-0078,nzd0415-0079,nzd0415-0080,nzd0415-0081,nzd0415-0082,nzd0415-0087,nzd0415-0088,nzd0415-0089,nzd0415-0090,nzd0415-0053,nzd0415-0054,nzd0415-0055,nzd0415-0050,nzd0415-0051,nzd0415-0052,nzd0415-0100,nzd0415-0101,nzd0415-0102,nzd0415-0103,nzd0415-0104,nzd0415-0105,nzd0415-0099,nzd0415-0059,nzd0415-0028,nzd0415-0029,nzd0415-0004,nzd0415-0092,nzd0415-0005,nzd0415-0013,nzd0415-0014,nzd0415-0015,nzd0415-0016,nzd0415-0021,nzd0415-0022,nzd0415-0091,nzd0415-0009,nzd0415-0010,nzd0415-0011,nzd0415-0018,nzd0415-0097,nzd0415-0098,nzd0415-0060,nzd0415-0072,nzd0415-0064,nzd0415-0065,nzd0415-0024,nzd0415-0025,nzd0415-0026,nzd0415-0085,nzd0415-0086,nzd0415-0027,nzd0415-0012,nzd0415-0035,nzd0415-0036,nzd0415-0037,nzd0415-0038,nzd0415-0039,nzd0415-0040,nzd0415-0073,nzd0415-0074,nzd0415-0023,nzd0415-0096,nzd0415-0006,nzd0415-0007,nzd0415-0008,nzd0415-0017,nzd0415-0109,nzd0415-0084,nzd0415-0106,nzd0415-0083,nzd0415-0033,nzd0415-0034,nzd0415-0048,nzd0415-0049,nzd0415-0107,nzd0415-0108
1999-08-26 22:06:44.761000,L7,,,,,,,,,,,,,,,,,,,,,,355.62,405.94,327.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-04 22:00:33.926000,L7,,,,,,,,,,,,,393.08,348.89,,,,,,,,,,,,,,,,,,,,,,,,,338.57,326.84,,,,,,,,,289.62,302.43,340.82,275.78,326.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401.47,408.13,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-22 22:00:28.631000,L7,,341.86,,,,362.72,350.54,,,,305.36,280.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.24,,,,,,,,,
1999-11-30 22:06:35.082000,L7,,,,,,,,,,,,,,,,,,,,,,368.33,394.06,304.48,,,394.01,374.64,368.28,327.10,,,,,,,,,,,,,,,,,,,,,,,363.88,363.81,,398.03,,,,,,,,,,,,,,,,,,,326.16,,361.59,,,,,,,,,,,,,,,,,,,,,,,384.79,,380.39,,,,,,365.90,364.69
1999-12-09 22:00:33.510000,L7,,,,391.66,388.29,,,,,,,,,,,,,,,,353.80,355.61,383.62,284.80,379.48,372.69,398.73,378.46,368.79,384.60,,,,,,,,,,,,,,,,,,,336.21,328.08,301.15,294.32,305.09,,298.91,377.99,,,,,,,,,,303.01,350.94,,,,,,,304.60,327.27,389.80,,,,,,,,,,,,,,,,395.00,,375.66,,,,,,,,,,,,,,,
2000-02-11 22:00:21.827000,L7,354.78,393.70,355.75,325.01,387.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-30 22:00:09.363000,L7,,304.70,345.78,387.81,394.44,335.30,383.61,320.84,310.81,,,,345.14,,380.72,316.18,321.24,345.55,315.54,,,,,401.07,377.54,390.78,396.46,375.89,,,323.06,286.69,,,,,,,,,,,,341.91,312.42,,,,,,335.90,349.93,357.22,344.65,,385.84,,,,,,,,,,,,,,,,,,,,,396.46,381.07,,,,,,,,,,,,309.84,385.37,323.09,373.86,,328.74,,,,,,,367.64,,,,,,,
2000-04-15 21:59:55.745000,L7,,387.10,346.43,,,326.82,378.66,,,,,,,,,,,,,,,363.92,400.09,,,,,,,,,,,,,,,,,,,,345.86,338.79,313.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-01 21:59:54.563000,L7,356.38,397.41,,,,383.84,391.82,367.92,396.28,369.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-08 22:05:56.985000,L7,341.95,397.55,,,,349.21,380.89,,,,302.55,290.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
