dates,nzd0415-0000,nzd0415-0001,nzd0415-0056,nzd0415-0057,nzd0415-0058,nzd0415-0002,nzd0415-0003,nzd0415-0045,nzd0415-0046,nzd0415-0047,nzd0415-0110,nzd0415-0111,nzd0415-0041,nzd0415-0042,nzd0415-0043,nzd0415-0044,nzd0415-0093,nzd0415-0094,nzd0415-0095,nzd0415-0019,nzd0415-0020,nzd0415-0061,nzd0415-0062,nzd0415-0063,nzd0415-0066,nzd0415-0067,nzd0415-0068,nzd0415-0069,nzd0415-0070,nzd0415-0071,nzd0415-0075,nzd0415-0076,nzd0415-0077,nzd0415-0078,nzd0415-0079,nzd0415-0080,nzd0415-0081,nzd0415-0082,nzd0415-0087,nzd0415-0088,nzd0415-0089,nzd0415-0090,nzd0415-0053,nzd0415-0054,nzd0415-0055,nzd0415-0050,nzd0415-0051,nzd0415-0052,nzd0415-0100,nzd0415-0101,nzd0415-0102,nzd0415-0103,nzd0415-0104,nzd0415-0105,nzd0415-0099,nzd0415-0059,nzd0415-0028,nzd0415-0029,nzd0415-0004,nzd0415-0092,nzd0415-0005,nzd0415-0013,nzd0415-0014,nzd0415-0015,nzd0415-0016,nzd0415-0021,nzd0415-0022,nzd0415-0091,nzd0415-0009,nzd0415-0010,nzd0415-0011,nzd0415-0018,nzd0415-0097,nzd0415-0098,nzd0415-0060,nzd0415-0072,nzd0415-0064,nzd0415-0065,nzd0415-0024,nzd0415-0025,nzd0415-0026,nzd0415-0085,nzd0415-0086,nzd0415-0027,nzd0415-0012,nzd0415-0035,nzd0415-0036,nzd0415-0037,nzd0415-0038,nzd0415-0039,nzd0415-0040,nzd0415-0073,nzd0415-0074,nzd0415-0023,nzd0415-0096,nzd0415-0006,nzd0415-0007,nzd0415-0008,nzd0415-0017,nzd0415-0109,nzd0415-0084,nzd0415-0106,nzd0415-0083,nzd0415-0033,nzd0415-0034,nzd0415-0048,nzd0415-0049,nzd0415-0107,nzd0415-0108,satname
1999-08-26 22:06:44+00:00,,,,,,,,,,,,,,,,,,,,,,,,327.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-09-04 22:00:33+00:00,,,,,,,,,,,,,,348.89,,,,,,,,,,327.09,,,,,,,,,,,,,,,338.57,326.84,,,,,,,,,,302.43,340.82,,326.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-10-22 22:00:28+00:00,,341.86,,,,,,,,,305.36,280.77,,348.89,,,,,,,,,,327.09,,,,,,,,,,,,,,,338.57,326.84,,,,,,,,,,302.43,340.82,,326.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.24,,,,,,,,,,L7
1999-11-30 22:06:35+00:00,,341.86,,,,,,,,,305.36,280.77,,348.89,,,,,,,,,,315.78499999999997,,,,,,327.1,,,,,,,,,338.57,326.84,,,,,,,,,,302.43,340.82,,326.4,,,,,,,,,,,,,,,,,,,,,,326.16,,,,,,,,,,,,,,,,,,,,,,,,,340.24,,,,,,,,,,L7
2000-02-11 22:00:21+00:00,,341.86,,325.01,,,,,,,305.36,280.77,,348.89,,,,,,,,,,315.78499999999997,,,,,,327.1,,,,,,,,,338.57,326.84,,,,,,,,,,302.43,340.82,,326.4,,,,,,,,,,,,,,,,,,,,,,326.16,,,,,,,,,,,,,,,,,,,,,,,,,340.24,,,,,,,,,,L7
2000-03-30 22:00:09+00:00,,323.28,345.78,325.01,,335.3,,320.84,310.81,,305.36,280.77,345.14,,,316.18,321.24,345.55,315.54,,,,,304.48,,,,,,327.1,323.06,286.69,,,,,,,,,,,,341.91,312.42,,,,,,335.9,,,344.65,,,,,,,,,,,,,,,,,,,,,326.16,,,,,,,,,,,,,,,309.84,,323.09,,,328.74,,,,,340.24,,,,,,,,,,L7
2000-04-15 21:59:55+00:00,,323.28,346.105,325.01,,331.06,,320.84,310.81,,305.36,280.77,345.14,,,316.18,321.24,345.55,315.54,,,,,304.48,,,,,,327.1,323.06,286.69,,,,,,,,,,,345.86,340.35,313.125,,,,,,335.9,,,344.65,,,,,,,,,,,,,,,,,,,,,326.16,,,,,,,,,,,,,,,309.84,,323.09,,,328.74,,,,,340.24,,,,,,,,,,L7
2000-05-08 22:05:56+00:00,,304.7,346.105,325.01,,331.06,,320.84,310.81,,302.55,290.28,345.14,,,316.18,321.24,345.55,315.54,,,,,304.48,,,,,,327.1,323.06,286.69,,,,,,,,,,,345.86,340.35,313.125,,,,,,335.9,,,344.65,,,,,,,,,,,,,,,,,,,,,326.16,,,,,,,,,,,,,,,309.84,,323.09,,,328.74,,,,,,,,,,,,,,,L7
2000-06-18 21:59:27+00:00,,304.7,346.105,325.01,,331.06,,320.84,310.81,,302.55,290.28,345.14,,,325.58500000000004,326.51,345.55,315.05,,,,,,,,,,,,323.06,286.69,,,,,,,,,,,345.86,340.35,313.125,,,,,,335.9,,,344.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.84,,323.09,,,328.74,,,,,,,,,,,,,,,L7
2000-07-11 22:05:17+00:00,,304.7,346.105,325.01,,331.06,,320.84,310.81,,302.55,290.28,345.14,,,322.5366666666667,326.51,345.55,315.05,,,,,,,,,,,,323.06,286.69,,,,,,,,,,,345.86,340.35,313.125,,,,,,335.9,,,344.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.84,,323.09,,,328.74,,,,,,,,,,,,,,,L7
