dates,nzd0420-0000,nzd0420-0001,nzd0420-0002,nzd0420-0003,nzd0420-0004,nzd0420-0005,nzd0420-0006,nzd0420-0007,nzd0420-0008,nzd0420-0009,nzd0420-0010,nzd0420-0011,nzd0420-0012
1999-09-04 22:00:33+00:00,,274.34,,301.2,296.42,,,,,,,,
1999-11-30 22:06:35+00:00,301.92,282.49,275.13,287.09000000000003,296.42,,,,283.84,304.12,,,278.52
1999-12-16 22:06:45+00:00,301.92,282.49,275.13,287.09000000000003,296.42,,320.85,,283.84,304.12,317.61,274.42,290.575
2000-01-26 22:00:26+00:00,302.54,292.00333333333333,285.27,282.82,296.42,,320.85,,289.065,311.075,301.9,255.84500000000003,285.84
2000-03-30 22:00:09+00:00,302.54,298.06666666666666,293.56666666666666,285.3666666666666,297.17,252.57,316.48,297.42,289.065,311.075,301.9,245.8166666666667,287.945
2000-04-15 21:59:55+00:00,302.54,298.06666666666666,291.02,283.87,297.17,248.38,316.48,297.42,290.62666666666667,311.075,306.2733333333333,239.67000000000002,261.986
2000-05-01 21:59:54+00:00,302.54,298.06666666666666,291.02,278.89399999999995,297.17,241.48000000000002,316.48,297.42,290.62666666666667,308.94,306.35,236.41199999999998,245.85833333333335
2000-05-24 22:05:46+00:00,302.54,298.06666666666666,291.02,278.89399999999995,297.17,241.48000000000002,316.48,297.42,290.62666666666667,309.15,307.306,231.88166666666666,232.27714285714288
2000-08-05 21:58:44+00:00,,292.53,292.07,280.7725,291.0,233.70499999999998,312.11,297.42,293.75,307.22499999999997,310.91,219.718,183.294
2000-08-12 22:04:53+00:00,,292.53,292.07,280.7725,292.81666666666666,238.962,312.11,288.97,293.75,307.22499999999997,310.91,222.35666666666665,182.67666666666665
2000-09-06 21:58:22+00:00,,292.53,287.09000000000003,278.264,285.5725,243.46,312.11,288.97,293.75,307.94,310.91,223.62285714285713,183.09857142857143
2000-10-08 21:58:00+00:00,299.17,293.61,284.6825,276.914,282.3875,240.97166666666666,290.74,281.405,306.11,307.94,310.91,228.64857142857142,164.5716666666667
2000-11-25 21:57:58+00:00,299.46000000000004,292.555,286.7675,279.5025,282.3875,243.48999999999995,290.74,281.405,318.47,309.37,,234.43400000000003,171.09000000000003
2001-06-05 21:57:16+00:00,,,,,,,,,,,292.89,215.38,
2001-07-07 21:57:00+00:00,,,,,,,,274.24,,,292.89,217.29,162.06
2001-08-24 21:56:24+00:00,,,,,,,,274.24,,,289.15999999999997,221.38666666666666,173.495
2001-10-02 22:02:04+00:00,308.49,292.3,291.75,294.12,294.5,233.46,,274.24,311.67,,289.15999999999997,230.295,173.495
2001-12-14 21:56:17+00:00,299.645,292.3,275.925,294.12,294.5,233.46,,274.24,311.67,,285.43,232.38,173.495
2002-08-02 22:02:01+00:00,,,271.3,277.79,281.59,242.51,,273.83,222.81,,,235.02,181.49
2002-12-08 22:02:03+00:00,286.65,270.54,274.005,273.515,281.59,223.77499999999998,,273.83,241.06,,,235.02,181.49
2002-12-24 22:02:09+00:00,293.16999999999996,284.22,279.21,274.4666666666667,264.705,226.14666666666665,,258.77,259.34666666666664,313.33,315.13,238.995,181.49
2003-01-25 22:02:18+00:00,293.16999999999996,284.22,279.21,274.4666666666667,264.705,230.0725,262.01,254.35999999999999,264.3425,313.33,315.13,238.995,181.49
2003-07-21 21:44:09+00:00,,,,290.36,286.8,223.325,262.01,245.54,279.33,309.41,314.58,222.18,168.18
2003-09-14 21:51:18+00:00,,284.84,286.11,288.45000000000005,284.84000000000003,221.755,,221.14,319.46,315.345,316.01,232.72500000000002,168.18
2004-02-05 21:52:40+00:00,,284.84,286.11,292.65,277.90999999999997,239.32,253.32,213.915,319.46,321.28,317.44,247.39,
2004-04-02 21:46:54+00:00,,297.49,301.19,296.53,274.575,237.565,253.32,197.315,314.87,,,235.12,
2004-05-04 21:47:51+00:00,,287.96500000000003,298.28,293.59,278.5233333333333,234.70333333333335,253.32,206.21333333333334,314.87,,,233.51,178.22
2004-07-07 21:49:44+00:00,,287.96500000000003,298.28,285.6925,279.5625,234.70333333333335,253.32,206.21333333333334,314.87,,,233.51,178.22
2004-07-14 21:56:06+00:00,,287.96500000000003,298.28,285.6925,279.5625,237.98,240.435,206.21333333333334,314.87,,,233.51,184.755
2004-07-23 21:50:08+00:00,,287.96500000000003,298.28,285.6925,279.5625,239.882,240.435,206.21333333333334,314.87,,,233.51,184.755
2004-07-30 21:56:27+00:00,,287.96500000000003,298.28,283.668,283.684,237.5233333333333,240.435,213.6875,316.545,,,234.76749999999998,181.75333333333333
2004-08-08 21:50:26+00:00,,287.96500000000003,288.6366666666667,277.168,283.95799999999997,232.5683333333333,227.55,216.01999999999998,316.545,,,229.18666666666664,181.75333333333333
2005-02-23 22:00:31+00:00,,,295.8,294.19,266.74,240.52,253.75,,,,,261.75,
2005-03-04 21:54:27+00:00,,304.52,298.355,296.055,268.35,241.49,257.47,,,,,261.135,
2005-04-21 21:54:46+00:00,,301.4,298.355,298.75666666666666,276.59,241.00666666666666,255.58666666666667,238.51,,,,254.6833333333333,
2005-06-08 21:55:08+00:00,,301.4,298.355,298.75666666666666,276.59,236.955,245.8625,247.745,,,,251.115,192.47
2005-07-01 22:01:25+00:00,,301.4,298.355,298.75666666666666,276.59,235.71999999999997,245.8625,249.16,,,,248.30599999999998,188.45499999999998
2005-07-10 21:55:19+00:00,,301.4,298.355,298.75666666666666,276.59,234.28166666666667,245.8625,249.89000000000001,,,,246.915,186.79666666666665
2005-08-27 21:55:43+00:00,276.95,288.17,286.71000000000004,292.09666666666664,275.63666666666666,230.73166666666668,243.23333333333335,249.89000000000001,,,,243.948,186.79666666666665
2006-01-25 22:03:52+00:00,276.95,283.395,283.65999999999997,284.17999999999995,263.6,226.85,253.57,,,,,260.27,
2006-02-19 21:58:15+00:00,276.95,292.27,288.2133333333333,287.1166666666666,264.4766666666667,230.13666666666666,250.93,,,,,259.625,
2006-02-26 22:04:34+00:00,,307.54999999999995,299.12333333333333,296.68666666666667,271.26,240.51,256.69666666666666,254.07,,,,264.49,
2006-05-17 22:05:57+00:00,,307.54999999999995,299.12333333333333,296.68666666666667,271.26,240.51,256.69666666666666,254.07,,307.55,308.13,252.0275,168.94
2006-06-27 22:00:24+00:00,,307.54999999999995,299.12333333333333,296.68666666666667,271.26,240.51,256.69666666666666,254.07,,307.55,308.13,247.13000000000002,169.155
2006-09-06 22:07:31+00:00,,304.03,304.46,305.74,294.42,255.24,,216.06,315.84,307.55,308.13,223.5633333333333,180.50666666666666
