dates,nzd0422-0000,nzd0422-0001,nzd0422-0002,nzd0422-0003,nzd0422-0004,nzd0422-0005,nzd0422-0006,nzd0422-0007,nzd0422-0008,nzd0422-0009,nzd0422-0010,nzd0422-0011,nzd0422-0012,nzd0422-0013,nzd0422-0014,nzd0422-0015,nzd0422-0016,nzd0422-0017,nzd0422-0018,nzd0422-0019,nzd0422-0020,nzd0422-0021,nzd0422-0022,nzd0422-0023,nzd0422-0024,nzd0422-0025,nzd0422-0026,nzd0422-0027,nzd0422-0028,nzd0422-0029,nzd0422-0030,nzd0422-0031,nzd0422-0032,nzd0422-0033,nzd0422-0034,nzd0422-0035,nzd0422-0036,nzd0422-0037,nzd0422-0038,nzd0422-0039,nzd0422-0040,nzd0422-0041,nzd0422-0042,nzd0422-0043,nzd0422-0044,nzd0422-0045,nzd0422-0046,nzd0422-0047,nzd0422-0048,nzd0422-0049,nzd0422-0050,nzd0422-0051,nzd0422-0052,nzd0422-0053,nzd0422-0054,nzd0422-0055,nzd0422-0056,nzd0422-0057,nzd0422-0058,nzd0422-0059,nzd0422-0060,nzd0422-0061,nzd0422-0062,satname
1999-11-21 22:12:47+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.45,213.78,178.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-12-07 22:12:53+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.45,213.875,213.17000000000002,178.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-11-07 22:10:17+00:00,,,,,,,290.91,277.5,246.83,,184.11,,,213.15,,189.73,,,,,,,,,,,,,238.19,,215.89,214.32,,,,,,,,,,,,,,,,,,273.78,,,,,,,,,,,,,,L7
2001-01-10 22:10:27+00:00,285.55,306.78,,,,,287.38,277.945,242.055,,184.11,,,213.15,,189.73,,,,,177.76,194.1,189.16,213.47,252.77,243.78,,,238.19,,215.89,214.32,,,,,,,,,,,,,,,,,,273.78,,,,,,,,206.07,249.06,251.75,,,,L7
2001-02-27 22:10:18+00:00,285.55,306.78,,,,227.6,287.38,277.945,242.055,,184.11,,,213.15,,189.73,,,,,177.76,194.1,189.16,213.47,252.77,243.78,,,238.19,,215.89,214.32,,,,,,,,,,,,,,,,,,273.78,,,,,,,,206.07,249.06,251.75,,,,L7
2002-10-28 22:07:46+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.04,281.88,,L7
2003-08-20 21:57:03+00:00,,,,,,,,,,,,,,,,,,,,,180.61,194.45,194.93,200.9,216.57,215.13,192.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.92,320.14,336.65,L5
2003-12-10 21:58:29+00:00,292.05,297.42,298.46,298.36,284.55,260.13,219.75,165.79,,,,,,,,,,,,,175.7,192.13,193.22500000000002,201.01,217.675,215.47,191.07,168.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.1,244.69,242.65,276.02,318.555,331.445,L5
2004-01-27 21:58:50+00:00,290.385,292.305,294.53499999999997,297.26,287.67,266.385,226.285,172.57999999999998,,,,,,,,,,,,,178.25666666666666,195.07666666666668,196.01333333333332,203.26666666666665,219.5,214.18999999999997,187.5,168.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.57999999999998,241.64499999999998,242.16,289.07,321.48,332.37,L5
2004-05-18 22:00:38+00:00,290.385,292.305,282.08666666666664,282.43666666666667,268.9066666666667,252.63666666666666,212.50333333333333,172.57999999999998,,,,,,,,,,,,,177.07999999999998,195.39000000000001,196.55499999999998,204.45,220.965,213.71999999999997,184.885,168.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.57999999999998,241.64499999999998,242.16,309.64500000000004,322.15000000000003,330.23,L5
2004-11-26 22:05:17+00:00,282.99,287.61,299.88,278.68,255.86,,217.25,171.78,,,,,,,,,,,,175.53,194.23,205.25,209.87,215.8,219.8,213.24,180.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.56,237.19,251.51,321.55,335.24,343.18,L5
