dates,nzd0423-0000,nzd0423-0001,nzd0423-0002,nzd0423-0003,nzd0423-0004,nzd0423-0005,nzd0423-0006,nzd0423-0007,nzd0423-0008,nzd0423-0009,nzd0423-0010,nzd0423-0011,nzd0423-0012,nzd0423-0013,nzd0423-0014,nzd0423-0015,nzd0423-0016,nzd0423-0017,nzd0423-0018,nzd0423-0019,nzd0423-0020,nzd0423-0021,nzd0423-0022,nzd0423-0023,nzd0423-0024,nzd0423-0025,nzd0423-0026,nzd0423-0027,nzd0423-0028,nzd0423-0029,nzd0423-0030,nzd0423-0031,nzd0423-0032,nzd0423-0033,nzd0423-0034,nzd0423-0035,nzd0423-0036,nzd0423-0037,nzd0423-0038,nzd0423-0039,nzd0423-0040,nzd0423-0041,nzd0423-0042,nzd0423-0043,nzd0423-0044,nzd0423-0045,nzd0423-0046,nzd0423-0047,nzd0423-0048,nzd0423-0049,nzd0423-0050,nzd0423-0051,nzd0423-0052,nzd0423-0053,nzd0423-0054,nzd0423-0055,nzd0423-0056,nzd0423-0057,nzd0423-0058,nzd0423-0059,nzd0423-0060,nzd0423-0061,nzd0423-0062,nzd0423-0063,nzd0423-0064,nzd0423-0065,nzd0423-0066,nzd0423-0067,nzd0423-0068,nzd0423-0069,nzd0423-0070,nzd0423-0071,nzd0423-0072,nzd0423-0073,nzd0423-0074,nzd0423-0075,nzd0423-0076,nzd0423-0077,nzd0423-0078,nzd0423-0079,nzd0423-0080,nzd0423-0081,nzd0423-0082,nzd0423-0083,nzd0423-0084,nzd0423-0085,nzd0423-0086,nzd0423-0087,nzd0423-0088,nzd0423-0089,nzd0423-0090,nzd0423-0091,nzd0423-0092,nzd0423-0093,nzd0423-0094,nzd0423-0095,nzd0423-0096,nzd0423-0097,nzd0423-0098,nzd0423-0099,nzd0423-0100,nzd0423-0101,nzd0423-0102,nzd0423-0103,nzd0423-0104,nzd0423-0105,nzd0423-0106,nzd0423-0107,nzd0423-0108,nzd0423-0109,nzd0423-0110,nzd0423-0111,nzd0423-0112,nzd0423-0113,nzd0423-0114,nzd0423-0115,nzd0423-0116,nzd0423-0117,nzd0423-0118,nzd0423-0119,nzd0423-0120,nzd0423-0121,nzd0423-0122,satname
1999-11-21 22:12:47+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.5,218.29,232.66,223.83,220.58,219.14,231.02,231.68,232.75,237.13,,243.83,253.56,252.56,241.84,248.3,,,,195.64,240.67,228.97,226.52,227.16,,240.8,236.5,232.51,238.4,236.96,233.71,234.58,,238.51,,239.22,243.36,,,,250.31,241.13,233.93,243.59,262.1,246.25,227.34,234.39,251.8,256.08,256.92,247.88,257.49,232.83,250.05,255.01,242.37,267.03,259.45,270.58,276.84,276.29,269.85,270.3,273.6,,264.8,229.03,,254.63,258.24,,,212.8,209.14,246.68,266.41,221.62,203.8,201.02,182.38,171.79,180.52,,211.92,224.73,231.44,229.42,,,L7
2001-01-10 22:10:27+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.9,206.04,200.25,207.7,222.82,217.79,215.82,225.74,225.1,217.43,219.92,,,191.82,229.07,228.87,,204.44,,230.96,,,222.84,242.99,226.3,225.78,213.5,223.62,223.6,242.84,,,,,,,258.31,245.88,246.65,238.29,242.69,,,,,235.98,228.19,219.82,,,,,201.53,197.53,238.58,,,,,,,,170.71,207.3,207.9,227.1,222.11,,,L7
2003-08-20 21:57:03+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.43,212.33,216.22,220.28,222.43,221.75,224.12,226.5,233.67,227.33,,230.33,231.93,222.68,224.63,222.78,,,,232.4,225.38,219.91,223.04,213.51,224.86,225.71,226.44,226.19,218.68,,188.09,195.15,,198.59,177.46,190.89,237.27,,231.51,,223.59,220.48,212.64,221.48,236.45,226.81,234.11,248.91,238.61,241.26,249.88,245.45,249.76,248.32,245.83,256.87,263.87,270.29,264.75,273.03,267.8,266.62,263.07,265.3,260.0,,247.75,252.81,247.3,235.46,238.37,,,,,232.72,279.86,222.36,202.87,188.5,181.24,187.19,177.48,171.93,184.3,207.57,224.94,216.56,,,L5
2003-12-10 21:58:29+00:00,326.87,308.77,,296.21,298.83,306.89,,,,,,,298.61,307.72,314.64,315.46,293.31,289.76,267.39,277.01,284.35,,276.35,,,,,,291.51,299.69,295.93,289.32,299.39,212.43,212.33,216.22,220.28,222.43,221.75,224.12,226.5,233.67,227.33,,230.33,231.93,222.68,224.63,222.78,342.81,347.67,,232.4,225.38,219.91,223.04,213.51,224.86,225.71,226.44,226.19,218.68,,188.09,195.15,,198.59,177.46,190.89,237.27,,231.51,,223.59,220.48,212.64,221.48,236.45,226.81,234.11,248.91,238.61,241.26,249.88,245.45,249.76,248.32,245.83,256.87,263.87,270.29,264.75,273.03,267.8,266.62,263.07,265.3,260.0,350.5,247.75,252.81,247.3,235.46,238.37,,345.34,,,232.72,279.86,222.36,202.87,188.5,181.24,187.19,177.48,171.93,184.3,207.57,224.94,216.56,327.2,329.59,L5
2004-01-27 21:58:50+00:00,333.025,316.725,,312.29499999999996,312.825,318.055,,,,,,,307.445,298.095,298.79999999999995,306.0,288.98,293.28999999999996,274.985,280.79499999999996,281.24,,276.32500000000005,,,,,,290.65999999999997,297.935,306.45500000000004,298.255,304.61,212.43,212.33,216.22,220.28,222.43,221.75,224.12,226.5,233.67,227.33,,230.33,231.93,222.68,224.63,222.78,343.34000000000003,350.4,,232.4,225.38,219.91,223.04,213.51,224.86,225.71,226.44,226.19,218.68,,188.09,195.15,,198.59,177.46,190.89,237.27,,231.51,,223.59,220.48,212.64,221.48,236.45,226.81,234.11,248.91,238.61,241.26,249.88,245.45,249.76,248.32,245.83,256.87,263.87,270.29,264.75,273.03,267.8,266.62,263.07,265.3,260.0,350.735,247.75,252.81,247.3,235.46,238.37,,346.33,,,232.72,279.86,222.36,202.87,188.5,181.24,187.19,177.48,171.93,184.3,207.57,224.94,216.56,329.69,324.53499999999997,L5
2004-08-22 22:03:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,185.01,192.35,197.45,201.91,203.99,198.02,203.81,,210.75,,206.89,201.58,209.08,206.39,212.99,211.23,219.84,211.69,224.71,222.76,232.42,231.45,230.23,227.0,224.0,217.25,,,,222.65,204.8,,,,214.47,213.97,218.86,227.58,205.39,218.16,228.04,227.86,,232.54,234.82,231.22,230.95,,214.03,,215.95,217.44,227.46,199.46,219.52,200.17,209.53,240.87,221.45,226.89,222.89,239.14,221.3,241.25,242.6,257.52,260.35,265.53,254.81,260.49,259.5,253.8,250.97,247.59,241.47,,235.6,243.6,241.04,222.13,222.33,,,,249.85,224.59,274.9,204.54,184.55,180.92,179.16,177.16,177.04,171.31,174.55,,,,,,L5
2004-11-26 22:05:17+00:00,236.82,240.75,240.0,244.03,238.36,236.75,239.75,225.26,224.73,229.2,230.51,234.2,229.53,226.36,238.82,242.32,241.42,240.2,236.21,236.98,233.51,230.55,212.79,199.41,205.55,208.52499999999998,213.04,215.0,214.585,221.845,255.46,230.055,253.45,230.08999999999997,230.99,233.77500000000003,232.025,229.04500000000002,228.165,234.95499999999998,211.69,240.485,239.82999999999998,245.08999999999997,255.335,258.61,253.465,255.53,248.405,285.57,281.97,266.44,222.65,204.8,,,,243.06,247.18,218.86,227.58,244.795,218.16,228.04,227.86,,232.54,253.95,251.73000000000002,253.835,276.5,214.03,,215.95,251.83,227.46,199.46,219.52,200.17,209.53,240.87,221.45,226.89,222.89,239.14,221.3,241.25,242.6,257.52,260.35,265.53,282.36,260.49,278.3,273.47,250.97,247.59,241.47,292.35,235.6,243.6,241.04,222.13,222.33,299.87,295.04,,267.54,224.59,289.29499999999996,204.54,184.55,180.92,179.16,177.16,177.04,171.31,174.55,,,,276.38,295.47,L5
2005-02-14 22:06:33+00:00,232.18,232.76999999999998,230.91500000000002,236.495,232.275,230.965,233.265,227.625,234.445,237.7,240.12,241.39499999999998,239.49,236.15,244.5,235.165,233.915,230.82,230.065,228.39999999999998,227.175,223.4,218.63,212.43666666666664,216.40333333333334,214.78666666666666,222.13666666666666,226.75,227.76333333333332,232.96666666666667,246.35000000000002,233.03333333333333,247.875,235.13,234.85,236.63666666666668,237.5666666666667,241.97333333333333,240.57333333333335,249.4,211.69,252.86333333333334,253.99,257.5733333333333,264.74,262.1666666666667,259.7733333333333,259.8966666666667,256.0933333333333,277.54499999999996,275.51,271.2,222.65,204.8,,,,243.06,247.18,218.86,227.58,248.6,218.16,228.04,227.86,,232.54,265.4433333333333,251.73000000000002,253.835,276.5,214.03,,215.95,259.4166666666667,227.46,199.46,219.52,200.17,209.53,240.87,221.45,226.89,222.89,239.14,221.3,241.25,242.6,276.03499999999997,279.065,265.53,287.50333333333333,260.49,288.77333333333337,287.98,250.97,247.59,241.47,302.89,235.6,243.6,241.04,222.13,222.33,290.65999999999997,292.235,,280.29,224.59,300.17,204.54,184.55,180.92,179.16,177.16,177.04,171.31,174.55,,264.87,,286.96000000000004,303.545,L5
2005-03-02 22:06:47+00:00,218.17999999999998,219.96666666666667,219.00666666666666,223.35333333333332,221.28333333333333,219.36666666666667,218.51666666666665,215.15,234.445,237.7,240.12,241.39499999999998,239.49,236.15,244.5,235.165,233.915,230.82,219.15333333333334,218.28666666666666,214.35999999999999,210.25333333333333,218.63,212.41333333333333,228.43,211.93666666666664,232.25,238.13,242.635,237.6,237.20666666666668,235.91,237.34666666666666,239.49666666666667,240.98,237.36666666666667,239.17333333333332,242.86999999999998,255.245,264.18,221.32,266.94,269.605,270.15000000000003,269.19,266.5933333333333,265.76,265.96999999999997,265.0,265.28,261.09,271.2,232.92,235.47,221.63,223.36,223.42,256.235,262.245,239.51,238.26,258.31,238.42,239.51,234.37,236.37,237.36,280.755,253.87,257.595,258.325,,,,265.77666666666664,235.5,217.23,224.95,207.8,216.26,236.4,217.76,,,,,,,294.55,297.78,,303.85,,303.41,305.07000000000005,,221.66,213.58,302.89,248.18,243.05,238.55,235.4,246.65,274.8433333333333,292.235,232.15,277.08,221.03,291.0466666666667,200.62,187.29,185.74,186.49,203.54,195.45,196.47,218.6,222.31,264.87,219.97,286.96000000000004,303.545,L5
2005-09-10 22:08:07+00:00,,,,,,,,,,,,,,,,,,,187.71,189.76,183.59,177.22,,188.95,,193.59,,,,202.48,202.76,210.47,205.67,207.7,211.11,214.64,217.06,217.38,,,208.76,,,,229.9,223.44,226.81,231.65,230.7,232.86,232.05,,226.35,,,,,,,,,,,,,246.21,239.48,,228.0,232.47,222.94,197.28,,218.73,219.39,236.85,237.24,226.33,229.64,237.2,257.56,235.64,236.09,239.47,250.66,238.99,244.47,244.9,,254.31,251.44,,255.69,254.33,254.14,241.74,243.08,242.92,,234.45,239.34,229.84,228.35,235.1,245.49,,255.43,257.69,244.42,269.95,203.42,168.22,,,,,,,,,,,,L5
