dates,satname,nzd0425-0000,nzd0425-0001,nzd0425-0002,nzd0425-0003,nzd0425-0004,nzd0425-0005,nzd0425-0006,nzd0425-0007,nzd0425-0008,nzd0425-0009,nzd0425-0010,nzd0425-0011,nzd0425-0012,nzd0425-0013,nzd0425-0014,nzd0425-0015,nzd0425-0016,nzd0425-0017,nzd0425-0018,nzd0425-0019,nzd0425-0020,nzd0425-0021,nzd0425-0022,nzd0425-0023,nzd0425-0025,nzd0425-0026,nzd0425-0024
1999-11-21 22:12:47.994000,L7,260.35,259.51,263.08,271.90,259.38,257.61,254.10,237.78,,,,,,,,,,,,,,,,,,,
2003-08-20 21:57:03.003000,L5,289.23,273.21,268.68,261.81,261.94,245.59,249.33,247.84,225.39,250.23,,,,,,,,,,,,,,,,,
2003-12-10 21:58:29.659000,L5,300.92,289.96,287.30,288.43,286.33,283.54,288.84,287.73,297.83,291.45,271.53,265.27,180.59,,,,,,,,,,,,,,
2004-01-27 21:58:50.060000,L5,306.60,297.29,297.03,296.56,286.69,277.86,279.87,278.64,285.31,283.43,261.85,257.74,185.94,,,,,,,,,,,,,,
2004-05-18 22:00:38.480000,L5,300.71,284.32,276.01,275.46,,,252.14,253.10,245.25,257.00,222.31,169.21,,,,,,,,,,,,,,,
2004-08-22 22:03:12.259000,L5,292.53,277.14,272.00,268.48,264.34,227.00,247.23,249.40,231.70,250.76,221.30,,,,,,,,,,,,,,,,
2004-11-26 22:05:17.306000,L5,273.66,257.55,253.09,,,,232.76,236.76,214.04,241.28,212.63,,,,,,,,,,,,,,,,
2005-02-14 22:06:33.160000,L5,264.91,251.88,237.54,,,240.79,246.83,249.02,228.13,256.49,229.29,,,,,,,,,,,,,,,,
2005-03-02 22:06:47.890000,L5,276.58,258.79,255.20,246.71,247.48,236.65,243.50,244.59,221.96,247.52,224.84,214.26,,,,,,,,,,,,,,,
2005-07-08 22:07:39.349000,L5,295.90,282.73,277.32,277.91,,,260.21,257.81,236.71,263.19,224.28,,,,,,,,,,,,,,,,
2005-09-10 22:08:07.620000,L5,273.95,256.51,253.16,,,,,,,,,,,,,,,,,,,,,,,,
2005-11-13 22:08:20.468000,L5,276.00,262.54,260.52,230.49,254.07,240.30,250.02,248.82,237.56,264.08,234.98,224.38,,,,,,,,,,,,,,,
2006-02-01 22:10:13.684000,L5,,,246.89,246.72,249.69,240.52,249.38,247.18,221.69,247.97,226.80,214.14,,,,,,,,,,,,,,,
2006-06-25 22:12:44.015000,L5,299.88,285.20,282.33,282.06,273.04,256.41,259.32,252.54,239.02,257.16,230.62,178.12,,,,,,,,,,,,,,,
2006-09-13 22:13:47.312000,L5,273.96,263.38,256.77,254.75,254.19,245.13,,,,,,,,,,,,,,,,,,,,,
2006-10-31 22:14:17.081000,L5,317.02,304.50,304.35,303.66,300.25,296.69,296.68,288.27,283.77,284.02,267.54,263.24,198.47,,,,,,,,,,,,,,
2007-02-04 22:14:57.320000,L5,308.88,298.21,296.09,299.46,295.71,294.45,292.16,288.72,296.75,293.59,276.23,261.65,196.59,,,,,,,,,,,,,,
2007-10-02 22:12:54.699000,L5,289.92,278.59,268.55,,,,247.61,245.60,230.12,250.90,214.74,,,,,,,,,,,,,,,,
2010-01-27 22:10:50.221000,L5,,,,,235.69,245.85,249.77,247.08,213.31,185.06,222.99,225.20,,,,,,,,,,,,,,,
2011-02-15 22:09:58.365000,L5,304.73,290.91,295.89,301.57,300.21,295.79,294.62,291.67,295.24,295.04,278.45,262.28,211.21,,,,,,,,,,,,,,
2013-05-11 22:21:55.010000,L8,306.95,292.27,285.46,290.67,280.48,270.89,275.87,270.85,245.41,277.18,256.73,,,,,,,,,,,,,,,,
2013-05-27 22:22:02.838000,L8,311.72,298.25,299.42,293.63,280.78,272.51,274.02,270.39,246.77,274.80,254.65,,,,,,,,,,,,,,,,
2013-06-28 22:21:56.988000,L8,313.98,300.14,296.30,299.13,288.96,281.87,286.27,277.79,268.37,285.37,266.79,262.92,,,,,,,,,,,,,,,
2013-07-14 22:21:58.456000,L8,318.86,305.90,303.17,303.12,292.67,286.51,289.66,281.07,266.19,287.05,271.19,268.44,,,,,,,,,,,,,,,
2013-07-30 22:21:59.508000,L8,309.41,294.53,287.81,286.53,275.55,267.97,273.57,265.13,244.74,273.27,,,,,,,,,,,,,,,,,
2013-09-16 22:21:57.385000,L8,320.89,308.96,310.84,340.42,326.75,307.09,306.86,303.39,307.00,329.37,291.33,288.38,233.18,183.41,,,,,,,,,,,,,
2013-10-18 22:21:49.490000,L8,324.17,311.09,320.73,328.89,324.76,325.72,321.20,338.94,342.24,338.34,330.88,334.82,361.12,363.40,350.81,276.44,310.48,321.87,293.48,286.71,278.44,294.93,301.47,281.42,252.34,267.70,
2013-12-21 22:21:27.090000,L8,323.09,312.92,328.55,331.01,342.61,349.78,351.11,337.60,350.09,342.12,346.65,289.63,233.28,184.50,,,,,,,,,,,,,
2014-05-14 22:19:32.642000,L8,313.00,295.24,289.61,305.53,296.40,268.61,279.34,288.57,298.18,278.99,252.80,,,,,,,,,,,,,,,,
2014-05-30 22:19:34.937000,L8,309.04,295.69,289.04,292.54,279.66,267.71,269.66,268.55,241.96,278.53,216.10,,,,,,,,,,,,,,,,
2014-07-01 22:19:46.174000,L8,313.22,302.13,294.79,297.24,279.57,271.34,268.00,262.36,247.58,268.68,226.43,,,,,,,,,,,,,,,,
2014-07-17 22:19:52.017000,L8,310.86,298.11,292.91,297.28,282.09,270.47,273.30,267.94,250.93,275.11,255.00,,,,,,,,,,,,,,,,
2014-09-03 22:20:06.649000,L8,324.80,317.26,304.86,315.50,307.04,295.02,295.21,296.95,302.26,300.74,294.52,299.03,236.68,187.47,,,,,,,,,,241.59,218.94,198.81,201.72
2014-11-06 22:20:13.200000,L8,314.63,305.65,300.47,310.97,306.75,298.25,305.64,302.78,303.11,299.90,291.64,297.86,235.81,188.88,,,,,,,,,193.72,235.66,199.20,187.00,206.86
2014-12-24 22:20:05.791000,L8,317.01,304.70,304.45,307.95,301.69,293.99,293.25,293.20,304.66,299.70,295.83,293.46,235.37,186.08,,,,,,,,,193.36,232.77,197.19,185.33,205.30
2015-01-25 22:19:56.553000,L8,301.09,282.53,273.87,269.22,255.23,254.67,216.75,,,,,,,,,,,,,,,,,,,,
2015-02-10 22:19:50.748000,L8,322.68,312.79,310.04,328.63,334.57,297.54,310.30,320.72,372.97,349.89,346.81,371.88,386.36,410.53,,427.82,449.34,449.88,465.84,,,,194.86,202.85,194.64,186.81,200.98
2015-02-26 22:19:46.745000,L8,321.19,309.80,317.65,324.19,298.61,291.28,293.69,323.31,332.73,338.41,327.54,336.66,320.16,339.83,,,,,,,,,191.36,201.15,193.54,185.30,198.26
2015-03-14 22:19:35.284000,L8,304.25,285.64,291.32,295.00,267.96,267.36,258.46,268.26,255.65,277.21,263.40,258.26,201.50,,,,,,,,,,,,,,
2015-04-15 22:19:22.587000,L8,,,269.95,293.17,269.58,261.53,261.56,259.57,254.55,272.64,261.57,257.73,,,,,,,,,,,,,,,
2015-05-01 22:19:12.426000,L8,309.70,292.97,295.30,295.42,278.54,,,270.52,241.40,272.46,260.32,199.58,,,,,,,,,,,,,,,
2015-07-04 22:19:26.118000,L8,308.48,293.37,286.88,288.20,280.53,264.66,260.26,262.85,242.79,261.28,228.13,239.89,,,,,,,,,,,,,,,
2015-08-05 22:19:36.851000,L8,305.27,288.96,283.31,283.35,268.92,254.40,251.27,249.90,235.31,207.20,,,,,,,,,,,,,,,,,
2015-09-06 22:19:50.737000,L8,341.03,317.48,328.80,351.20,356.02,359.44,363.93,364.46,338.56,348.16,350.18,339.80,240.24,197.25,,,490.70,489.48,461.54,,,,,285.15,237.47,260.75,260.76
2015-10-08 22:20:00.596000,L8,305.89,293.94,293.69,275.36,266.30,244.94,242.33,244.76,236.92,,,,,,,,,,,,,,,,,,
2015-12-27 22:20:07.153000,L8,321.58,309.94,314.71,312.67,300.06,280.99,276.28,279.58,267.88,288.10,321.88,342.49,238.35,192.18,,,,,,,,,,,,,
2016-02-13 22:19:56.477000,L8,326.57,309.30,302.43,307.07,296.44,278.37,274.80,276.71,267.46,284.04,287.82,291.50,237.37,191.06,,,,,,,,,,,,,
2016-02-29 22:19:53.146000,L8,300.10,284.57,278.66,286.62,269.82,256.33,250.55,251.86,242.41,,250.94,256.71,206.36,165.49,,,,,,,,,,,,,
2016-03-16 22:19:48.512000,L8,302.01,287.45,278.91,283.91,273.74,258.97,254.83,255.86,243.37,,,,,,,,,,,,,,,,,,
2016-04-17 22:19:33.425000,L8,302.65,282.96,277.39,275.93,260.51,252.29,244.71,243.88,233.49,243.90,224.39,245.43,,,,,,,,,,,,,,,
2016-07-06 22:19:53.295000,L8,311.80,299.23,292.64,294.93,275.65,263.72,252.66,253.45,241.57,244.16,236.77,246.82,,,,,,,,,,,,,,,
2016-09-08 22:20:12.615000,L8,360.76,313.67,310.27,312.41,300.88,286.80,280.73,389.86,398.00,407.79,401.45,409.61,403.11,417.66,392.61,405.00,436.61,396.74,421.35,404.07,387.66,375.68,377.40,357.85,,,
2017-01-14 22:20:09.164000,L8,302.79,280.08,272.92,244.27,260.56,241.27,222.05,249.53,239.55,257.38,250.54,257.37,,,,,,,,,,,,,,,
2017-02-15 22:19:55.596000,L8,365.94,308.60,318.77,354.90,354.21,367.26,369.46,370.33,373.56,376.15,342.64,392.31,401.67,412.00,,,,,,,,,,,,,
2017-04-20 22:19:23.200000,L8,303.97,290.20,283.98,286.57,273.54,259.31,253.93,254.79,240.11,256.60,249.62,256.61,,,,,,,,,,,,,,,
2017-06-07 22:19:38.989000,L8,322.93,298.17,288.34,295.09,279.42,265.12,257.14,255.78,244.01,256.68,249.19,255.04,,,,,,,,,,,,,,,
2017-11-30 22:20:08.264000,L8,321.31,311.26,310.29,311.78,300.99,286.55,279.57,280.62,273.49,285.21,287.94,288.68,246.09,198.77,,,,,,,,,,,,,
2018-03-06 22:19:38.520000,L8,344.54,341.44,329.90,362.43,356.23,358.66,361.33,375.99,382.00,379.78,384.45,392.08,396.52,391.57,,,,,,,,,,,,,
2018-06-26 22:19:00.588000,L8,311.76,301.87,295.57,296.05,278.24,268.77,256.05,253.72,243.63,220.46,214.28,,,,,,,,,,,,,,,,
2018-08-29 22:19:32.027000,L8,328.42,334.12,335.74,349.39,347.34,340.32,341.60,304.49,315.39,285.35,280.84,287.19,235.29,191.50,,,,,,,401.52,387.15,388.26,360.12,,,332.41
2018-11-01 22:19:54.556000,L8,287.15,266.95,263.96,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-03 22:19:53.961000,L8,305.76,294.24,289.53,291.87,275.82,263.40,257.51,257.61,249.58,256.77,259.01,265.42,,,,,,,,,,,,,,,
2019-02-05 22:19:45.318000,L8,325.13,330.95,309.29,340.38,311.64,303.06,291.58,336.00,335.94,342.33,339.11,352.42,240.97,190.60,,,,,,,,,,,,,
2019-05-12 22:19:32.441000,L8,388.42,407.39,373.97,385.08,368.78,367.39,344.32,337.05,360.09,362.74,342.25,343.17,358.08,335.52,372.79,340.00,378.23,360.60,,,,,336.88,312.53,296.41,288.04,301.34
2019-07-31 22:20:02.646000,L8,312.21,299.57,287.89,293.27,272.84,265.50,254.21,252.26,237.69,234.32,,,,,,,,,,,,,,,,,
2019-09-17 22:20:17.064000,L8,350.62,356.34,381.67,395.05,385.01,388.24,388.61,390.33,391.78,332.33,378.88,378.42,400.71,395.72,358.93,372.29,381.82,,,,,,304.38,289.91,265.84,261.70,263.70
2019-12-22 22:20:15.572000,L8,334.50,350.79,356.67,370.61,370.46,385.57,346.62,385.73,383.18,376.19,374.09,337.54,252.39,197.00,,,,,,,,,305.52,286.67,257.32,237.59,271.69
2020-02-24 22:19:58.916000,L8,325.46,330.34,309.68,311.86,300.12,284.94,278.97,279.58,271.92,283.03,283.78,288.70,243.96,196.86,,,,,,,,,,,,,
2020-03-11 22:19:52.609000,L8,302.58,289.30,283.95,281.53,269.68,256.65,250.59,247.86,238.82,,,,,,,,,,,,,,,,,,
