dates,nzd0429-0000,nzd0429-0001,nzd0429-0002,nzd0429-0003,nzd0429-0004,nzd0429-0005,nzd0429-0006,nzd0429-0007,nzd0429-0008,nzd0429-0009,nzd0429-0010,nzd0429-0011,nzd0429-0012,nzd0429-0013,nzd0429-0014,nzd0429-0015,nzd0429-0016,nzd0429-0017,nzd0429-0018,nzd0429-0019,nzd0429-0020,nzd0429-0021,nzd0429-0022,nzd0429-0023,nzd0429-0024,nzd0429-0025,nzd0429-0026,nzd0429-0027,nzd0429-0028,nzd0429-0029,nzd0429-0030,nzd0429-0031,nzd0429-0032,nzd0429-0033,nzd0429-0034,nzd0429-0035,nzd0429-0036,nzd0429-0041,nzd0429-0042,nzd0429-0043,nzd0429-0044,nzd0429-0045,nzd0429-0046,nzd0429-0047,nzd0429-0048,nzd0429-0049,nzd0429-0050,nzd0429-0051,nzd0429-0052,nzd0429-0053,nzd0429-0037,nzd0429-0038,nzd0429-0039,nzd0429-0040,satname
1999-11-21 22:12:47+00:00,,,178.99,216.99,289.04,,279.38,275.46,281.8,,,,,,,,,,,,,,,,207.91,209.75,233.4,,241.84,249.03,254.13,258.69,193.56,,,,,,,,,,,,274.47,287.87,284.18,,,258.85,,,,,L7
1999-12-07 22:12:53+00:00,,,185.185,219.34,284.045,247.61,279.94,273.71,281.8,,,,,,,,,,,,,,,239.04,206.57999999999998,212.9,230.925,,239.26,246.42000000000002,260.005,263.22,198.89499999999998,,,,,,,,,,,,266.31,288.83000000000004,286.53,,,258.85,,,,,L7
2000-11-07 22:10:17+00:00,,,,,,286.06,279.27,266.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.55,,240.69,218.09,304.24,,,,,,,L7
2001-01-10 22:10:27+00:00,,,180.37,,293.7,289.875,274.6,268.26,279.51,292.05,287.46,290.91,273.11,300.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.55,270.66,256.3,235.95499999999998,298.225,,263.39,,,,,L7
2001-01-26 22:10:30+00:00,,,179.09,208.48,291.735,294.8866666666667,272.17333333333335,268.5133333333333,267.82,291.475,289.03999999999996,288.805,272.83500000000004,284.075,,,,,,,249.68,,214.31,,,,,,,,,,,,,,,,,,,,,181.55,270.66,264.06333333333333,243.0633333333333,298.225,328.99,282.45,,,,,L7
2001-02-27 22:10:18+00:00,,,177.0233333333333,236.71499999999997,289.63666666666666,294.8866666666667,275.0125,262.705,267.82,291.475,289.03999999999996,288.805,272.83500000000004,284.075,,,,,,,243.46,,210.70499999999998,206.74,171.7,229.66,229.26,209.25,219.89,243.15,244.02,239.82,248.1,246.18,233.91,,202.73,,,,,,,181.55,263.33000000000004,270.065,251.27249999999998,298.225,328.99,282.45,,,,,L7
2001-09-23 22:08:26+00:00,,,181.4,273.04,,,305.38,307.43,301.23,297.93,287.66,267.28,314.4,311.55,,,,,,,248.53,245.54,250.19,227.71,171.98,220.4,222.92,223.73,196.68,210.21,,,,,,,,,,,,,,209.18,298.26,,277.55,,336.39,,,,,,L7
2002-01-29 22:08:45+00:00,,,177.535,272.745,294.07,292.77,294.39,290.635,291.95500000000004,276.705,287.23,278.78,309.705,304.39,,,,,,201.36,244.44,244.3,250.465,225.22,184.635,220.4,222.92,223.73,210.66,210.21,,,,,,,215.28,,,,,,,209.18,298.26,,277.55,,336.39,293.99,,,,,L7
2002-02-14 22:08:53+00:00,,,178.53333333333333,268.89000000000004,289.64,290.25,291.46666666666664,284.8566666666666,291.95500000000004,276.705,287.23,282.91333333333336,303.52,296.79,,,,,,201.36,244.44,244.3,250.465,225.22,190.38333333333333,223.565,219.425,223.73,208.07333333333335,210.21,,,,,,,215.28,,,,,,,194.14,287.08,277.49,278.56,289.86,336.39,298.795,,,,,L7
2002-04-03 22:08:45+00:00,,,177.10000000000002,261.83666666666664,294.06333333333333,290.1766666666667,277.7833333333333,272.88333333333327,286.63,273.55999999999995,287.76,290.73,298.08,289.40999999999997,,,,,,201.36,241.075,243.275,231.865,222.73,199.58499999999998,226.73,215.93,,213.77,,,,,,,,215.28,,,,,,,179.1,265.79499999999996,262.33,279.57,272.58500000000004,,298.795,,,,,L7
2002-09-10 22:07:55+00:00,,,,251.88,302.91,276.16999999999996,261.92999999999995,270.43,267.22,274.18499999999995,272.70000000000005,259.1,,,,,,,,202.0,238.16500000000002,243.65,233.155,215.36,199.75,,270.45,219.06,,,,,,,,,,,,,,,,183.52,271.97,296.885,,255.31,328.76,,,,,,L7
2002-12-31 22:08:20+00:00,,,,,,262.31,259.53,269.35,243.86,256.73,256.68,259.1,,,,,,,,202.0,234.53,243.81,260.745,215.36,230.18,270.73,274.89,239.86,257.02,259.19,293.35,293.73,256.61,268.18,259.64,267.87,246.53,254.34,246.18,267.56,207.2,191.83,195.17,206.75,310.02,348.19500000000005,340.76,,331.91499999999996,,,,,,L7
2003-08-20 21:57:03+00:00,,,,,,,,263.25,269.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
