dates,nzd0431-0000,nzd0431-0001,nzd0431-0002,nzd0431-0006,nzd0431-0007,nzd0431-0008,nzd0431-0009,nzd0431-0010,nzd0431-0011,nzd0431-0012,nzd0431-0013,nzd0431-0014,nzd0431-0015,nzd0431-0016,nzd0431-0017,nzd0431-0018,nzd0431-0019,nzd0431-0020,nzd0431-0021,nzd0431-0022,nzd0431-0023,nzd0431-0024,nzd0431-0025,nzd0431-0026,nzd0431-0027,nzd0431-0028,nzd0431-0029,nzd0431-0030,nzd0431-0031,nzd0431-0032,nzd0431-0033,nzd0431-0034,nzd0431-0035,nzd0431-0036,nzd0431-0037,nzd0431-0038,nzd0431-0039,nzd0431-0040,nzd0431-0041,nzd0431-0042,nzd0431-0043,nzd0431-0044,nzd0431-0045,nzd0431-0046,nzd0431-0047,nzd0431-0048,nzd0431-0049,nzd0431-0050,nzd0431-0051,nzd0431-0052,nzd0431-0053,nzd0431-0054,nzd0431-0055,nzd0431-0056,nzd0431-0057,nzd0431-0058,nzd0431-0059,nzd0431-0060,nzd0431-0061,nzd0431-0062,nzd0431-0063,nzd0431-0064,nzd0431-0065,nzd0431-0066,nzd0431-0067,nzd0431-0068,nzd0431-0069,nzd0431-0070,nzd0431-0071,nzd0431-0072,nzd0431-0073,nzd0431-0074,nzd0431-0075,nzd0431-0076,nzd0431-0077,nzd0431-0078,nzd0431-0079,nzd0431-0080,nzd0431-0081,nzd0431-0082,nzd0431-0083,nzd0431-0084,nzd0431-0085,nzd0431-0086,nzd0431-0087,nzd0431-0088,nzd0431-0089,nzd0431-0090,nzd0431-0091,nzd0431-0092,nzd0431-0093,nzd0431-0094,nzd0431-0095,nzd0431-0096,nzd0431-0097,nzd0431-0098,nzd0431-0099,nzd0431-0100,nzd0431-0101,nzd0431-0102,nzd0431-0103,nzd0431-0104,nzd0431-0105,nzd0431-0106,nzd0431-0107,nzd0431-0108,nzd0431-0109,nzd0431-0110,nzd0431-0111,nzd0431-0112,nzd0431-0113,nzd0431-0114,nzd0431-0115,nzd0431-0116,nzd0431-0117,nzd0431-0118,nzd0431-0119,nzd0431-0120,nzd0431-0121,nzd0431-0122,nzd0431-0123,nzd0431-0124,nzd0431-0125,nzd0431-0126,nzd0431-0127,nzd0431-0128,nzd0431-0129,nzd0431-0130,nzd0431-0131,nzd0431-0132,nzd0431-0133,nzd0431-0134,nzd0431-0135,nzd0431-0136,nzd0431-0137,nzd0431-0003,nzd0431-0004,nzd0431-0005,nzd0431-0138,nzd0431-0139,satname
1999-11-21 22:12:47.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.5,192.64,197.75,213.44,220.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.34,195.41,199.13,187.4,216.04,214.22,213.58,212.97,173.44,184.18,,,,,,,,,,,,,,,,,,,,,,209.05,201.48,209.42,223.81,232.55,227.95,233.88,233.0,236.64,237.64,201.74,,,,,,,,,,,,,,L7
1999-12-07 22:12:53.785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.5,192.64,197.75,213.44,220.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.34,195.41,199.13,187.4,216.04,214.22,213.58,212.97,173.44,184.18,,,,,,,,,,,,210.17,225.08,227.5,227.09,226.19,210.25,212.61,214.1,208.36,,216.98000000000002,211.735,212.41,226.5,235.175,231.37,235.825,236.47,238.115,224.21499999999997,201.74,,,,,,,,,,,,,,L7
2000-11-07 22:10:17.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.05,202.19,206.93,209.11,188.13,213.09,218.12,221.26,214.06,194.48,186.65,196.94,208.17,210.62,213.66,203.47,186.61,196.44,,,,,,,,,,,,,,,214.36,201.51,214.2,225.96,225.95,229.91,234.74,234.38,238.69,241.83,238.56,,,,,,,,,,,,,,L7
2001-01-10 22:10:27.647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.05,202.19,206.93,209.11,188.13,213.09,218.12,221.26,214.06,194.48,186.65,196.94,208.17,210.62,213.66,203.47,186.61,196.44,,,,,,,,,,,,,,170.79,211.60000000000002,206.64,210.565,223.695,227.1,228.89999999999998,219.2,234.38,238.69,241.83,238.56,,,,,,,,,,,,,,L7
2002-01-29 22:08:45.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.28,180.12,197.67,203.26,173.81,217.37,213.31,216.4,205.77,,,175.35,201.27,199.14,197.1,185.98,176.79,190.05,170.68,,,,,,222.35,193.84,228.12,206.06,191.07,202.64,,200.79,213.69,206.2,221.67,227.69,228.38,231.88,235.72,241.49,237.2,239.01,,,,,,,,,,,,,,,L7
2002-12-31 22:08:20.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.94,196.89,213.86,209.47,211.71,,,,,,,,,,,,,216.49,216.84,,,209.71,209.82,196.02,,,,,,,,,,,,,,,,,,,,,,196.87,202.77,205.33,205.28,218.86,214.56,208.17,211.5,192.91,190.69,194.97,204.53,201.87,207.23,196.56,188.31,188.77,171.09,,,,,,,192.0,217.24,210.03,215.25,,,172.34,205.05,209.84,213.79,220.11,225.39,225.93,233.03,204.56,237.05,239.27,237.3,,,,,,,,,,,,,,L7
2003-08-20 21:57:03.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.4,233.79,232.09,235.57,232.26,228.95,205.29,204.24,205.15,185.4,213.98,199.48,187.44,,,,,,,,,,,,,,,,,,,,,,,,L5
2003-12-10 21:58:29.659,,,,,,,,,,,,174.79,184.0,184.14,180.05,176.72,179.86,181.75,186.81,196.76,203.44,199.31,208.67,218.45,,,218.37,218.79,213.87,212.83,209.5,211.83,209.93,195.36,207.64,209.58,218.13,,,,,,255.76,244.18,241.95,230.9,231.23,228.69,227.57,234.95,233.92,230.47,237.11,,241.79,243.76,242.5,247.47,242.67,242.09,240.26,241.4,241.47,226.87,196.97,192.05,240.04,244.72,240.23,236.88,228.0,238.66,233.34,244.15,249.98,242.89,245.08,248.62,244.16,234.64,225.28,212.81,200.31,210.51,212.09,214.4,219.1,230.5,234.51,250.38,252.57,,239.72,223.98,221.65,227.88,228.43,225.87,225.69,220.61,208.3,217.02,210.5,,251.315,253.29000000000002,253.21499999999997,254.88,251.78,250.405,205.29,204.24,230.84500000000003,215.98000000000002,230.1,199.48,221.615,255.51,253.93,252.42,,264.9,272.28,,269.21,267.92,268.19,,175.0,185.92,,,,,,,,,,,L5
2003-12-26 21:58:42.145,,,,,,,,,,,,174.79,184.0,184.14,180.05,176.72,179.86,181.75,186.81,196.76,203.44,199.31,208.67,218.45,177.16,178.34,198.385,204.235,197.69,199.13,190.23000000000002,211.83,209.93,195.36,207.64,209.58,218.13,,,,,,255.76,244.18,241.95,230.9,231.23,228.69,227.57,234.95,233.92,230.47,237.11,,241.79,243.76,242.5,247.47,242.67,242.09,240.26,241.4,241.47,226.87,196.97,192.05,240.04,244.72,240.23,236.88,228.0,238.66,233.34,244.15,249.98,242.89,245.08,248.62,244.16,234.64,225.28,212.81,200.31,210.51,212.09,214.4,219.1,230.5,234.51,250.38,252.57,,239.72,223.98,221.65,227.88,228.43,225.87,225.69,220.61,208.3,217.02,210.5,,251.315,253.29000000000002,253.21499999999997,254.88,251.78,250.405,205.29,204.24,230.84500000000003,215.98000000000002,230.1,204.375,224.8166666666667,244.805,237.935,228.94,214.76,264.9,242.695,218.0,240.81,267.92,268.19,180.66,175.0,185.92,,,,,,,,,,,L5
2004-01-27 21:58:50.060,,,,,,,,,,,,174.79,184.0,184.14,180.05,176.72,179.86,181.75,186.81,196.76,203.44,199.31,208.67,218.45,177.16,178.34,198.385,204.235,197.69,199.13,190.23000000000002,211.83,209.93,195.36,207.64,209.58,218.13,,,,,,255.76,244.18,241.95,230.9,231.23,228.69,227.57,234.95,233.92,230.47,237.11,,241.79,243.76,242.5,247.47,242.67,242.09,240.26,241.4,241.47,226.87,196.97,192.05,240.04,244.72,240.23,236.88,228.0,238.66,233.34,244.15,249.98,242.89,245.08,248.62,244.16,234.64,225.28,212.81,200.31,210.51,191.335,195.825,205.64999999999998,213.72,218.45999999999998,227.39,227.105,205.52,216.54000000000002,194.29500000000002,221.65,227.88,228.43,225.87,225.69,220.61,208.3,217.02,210.5,,251.315,253.29000000000002,253.21499999999997,254.88,251.78,250.405,209.865,206.745,226.32333333333335,214.11,228.57333333333335,212.60333333333332,227.39,242.66333333333333,232.70666666666668,228.94,214.76,264.9,242.695,218.0,240.81,267.92,268.19,180.66,175.0,185.92,,,,,,,,,,,L5
