dates,nzd0434-0000,nzd0434-0001,nzd0434-0002,nzd0434-0003,nzd0434-0004,nzd0434-0005,nzd0434-0006,nzd0434-0007,nzd0434-0008,nzd0434-0009,nzd0434-0010,nzd0434-0011,nzd0434-0012,nzd0434-0013,nzd0434-0014,nzd0434-0015,nzd0434-0016,nzd0434-0017,nzd0434-0018,nzd0434-0019,nzd0434-0020,nzd0434-0021,nzd0434-0022,nzd0434-0023,nzd0434-0024,nzd0434-0025,nzd0434-0033,nzd0434-0034,nzd0434-0035,nzd0434-0036,nzd0434-0029,nzd0434-0030,nzd0434-0031,nzd0434-0032,nzd0434-0026,nzd0434-0027,nzd0434-0028,satname
2003-12-10 21:58:29+00:00,,,254.6,,,,,277.9,262.07,264.52,,,,,227.45,221.88,196.51,,,,,,,,,,,,,,,,,,,,,L5
2003-12-26 21:58:42+00:00,,,254.6,224.63,,246.75,,260.635,262.07,264.52,,,,,227.45,221.88,196.51,,,,,,,,,,,,,,,,,,,,,L5
2004-01-18 22:04:57+00:00,,,254.6,221.695,,243.78,257.28,249.72666666666666,262.07,264.52,,,,,227.45,221.88,196.51,,,,,,,,,,,,,,,,,,,,,L5
2004-09-30 22:10:21+00:00,,,,232.42,249.57,244.07,248.16,243.39,230.24,230.84,,,,,198.1,194.13,173.69,,,,,,,,,,,,,263.52,,,,,,,,L5
2005-04-19 22:07:07+00:00,,,,,,246.7,248.02,235.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2005-09-10 22:08:07+00:00,,,,254.15,272.68,261.82,262.11,256.53999999999996,,269.12,265.35,268.98,286.03,,220.51,205.16,196.71,,,,,,,,,,,,163.09,299.48,,,,,,,,L5
2005-11-13 22:08:20+00:00,,,237.21,255.925,272.68,277.22,282.33500000000004,278.08,,262.78,262.685,268.19,274.45,231.82,222.72,211.845,201.735,,,,,,,,,,,,162.38,296.33000000000004,,,,,,,,L5
2006-02-01 22:10:13+00:00,,,231.825,256.84666666666664,270.895,276.52,278.74666666666667,273.94666666666666,255.33,260.83,261.27666666666664,265.34,261.87666666666667,231.0,219.88666666666666,211.57666666666668,199.10666666666665,,,,,,,,,,,,162.38,296.33000000000004,,,,,,,,L5
2006-02-08 22:16:33+00:00,,,232.82000000000002,256.84666666666664,269.8066666666667,276.0525,275.8425,272.5375,258.165,260.84000000000003,261.8275,266.8875,261.885,237.73666666666668,220.995,212.5425,198.71,,,,,,,,,,,,162.38,297.91,,,,,,,,L5
2006-10-22 22:20:22+00:00,,,,240.77,241.83,248.48,242.99,248.42,256.0,254.33,251.69,252.06,232.61,227.39,,194.78,182.52,,,,,,,,,,,,156.71,309.09,,,,,,,,L5
