dates,satname,nzd0437-0000,nzd0437-0001,nzd0437-0002,nzd0437-0003,nzd0437-0004,nzd0437-0005,nzd0437-0006,nzd0437-0007,nzd0437-0008,nzd0437-0009,nzd0437-0010,nzd0437-0012,nzd0437-0013,nzd0437-0014,nzd0437-0015,nzd0437-0016,nzd0437-0017,nzd0437-0018,nzd0437-0019,nzd0437-0020,nzd0437-0021,nzd0437-0022,nzd0437-0023,nzd0437-0024,nzd0437-0025,nzd0437-0026,nzd0437-0027,nzd0437-0028,nzd0437-0029,nzd0437-0030,nzd0437-0031,nzd0437-0032,nzd0437-0033,nzd0437-0034,nzd0437-0035,nzd0437-0036,nzd0437-0037,nzd0437-0038,nzd0437-0039,nzd0437-0041,nzd0437-0042,nzd0437-0043,nzd0437-0044,nzd0437-0049,nzd0437-0050,nzd0437-0051,nzd0437-0052,nzd0437-0053,nzd0437-0054,nzd0437-0055,nzd0437-0102,nzd0437-0103,nzd0437-0104,nzd0437-0105,nzd0437-0112,nzd0437-0113,nzd0437-0114,nzd0437-0115,nzd0437-0116,nzd0437-0129,nzd0437-0130,nzd0437-0131,nzd0437-0132,nzd0437-0133,nzd0437-0134,nzd0437-0135,nzd0437-0179,nzd0437-0180,nzd0437-0181,nzd0437-0182,nzd0437-0188,nzd0437-0189,nzd0437-0190,nzd0437-0191,nzd0437-0192,nzd0437-0193,nzd0437-0194,nzd0437-0195,nzd0437-0196,nzd0437-0198,nzd0437-0199,nzd0437-0200,nzd0437-0201,nzd0437-0202,nzd0437-0203,nzd0437-0204,nzd0437-0205,nzd0437-0206,nzd0437-0207,nzd0437-0255,nzd0437-0256,nzd0437-0257,nzd0437-0258,nzd0437-0261,nzd0437-0056,nzd0437-0057,nzd0437-0058,nzd0437-0059,nzd0437-0060,nzd0437-0061,nzd0437-0062,nzd0437-0063,nzd0437-0064,nzd0437-0065,nzd0437-0066,nzd0437-0067,nzd0437-0068,nzd0437-0069,nzd0437-0070,nzd0437-0071,nzd0437-0072,nzd0437-0073,nzd0437-0074,nzd0437-0075,nzd0437-0079,nzd0437-0080,nzd0437-0081,nzd0437-0082,nzd0437-0083,nzd0437-0084,nzd0437-0085,nzd0437-0086,nzd0437-0087,nzd0437-0088,nzd0437-0089,nzd0437-0090,nzd0437-0091,nzd0437-0092,nzd0437-0093,nzd0437-0094,nzd0437-0095,nzd0437-0096,nzd0437-0097,nzd0437-0098,nzd0437-0099,nzd0437-0100,nzd0437-0101,nzd0437-0106,nzd0437-0107,nzd0437-0108,nzd0437-0109,nzd0437-0110,nzd0437-0111,nzd0437-0117,nzd0437-0118,nzd0437-0119,nzd0437-0120,nzd0437-0121,nzd0437-0122,nzd0437-0123,nzd0437-0124,nzd0437-0125,nzd0437-0127,nzd0437-0128,nzd0437-0136,nzd0437-0137,nzd0437-0138,nzd0437-0139,nzd0437-0140,nzd0437-0141,nzd0437-0142,nzd0437-0143,nzd0437-0144,nzd0437-0145,nzd0437-0146,nzd0437-0147,nzd0437-0148,nzd0437-0149,nzd0437-0150,nzd0437-0151,nzd0437-0152,nzd0437-0153,nzd0437-0154,nzd0437-0155,nzd0437-0156,nzd0437-0157,nzd0437-0158,nzd0437-0159,nzd0437-0160,nzd0437-0161,nzd0437-0162,nzd0437-0165,nzd0437-0166,nzd0437-0167,nzd0437-0169,nzd0437-0170,nzd0437-0171,nzd0437-0172,nzd0437-0173,nzd0437-0174,nzd0437-0175,nzd0437-0176,nzd0437-0184,nzd0437-0185,nzd0437-0186,nzd0437-0187,nzd0437-0197,nzd0437-0208,nzd0437-0209,nzd0437-0210,nzd0437-0211,nzd0437-0212,nzd0437-0213,nzd0437-0214,nzd0437-0215,nzd0437-0216,nzd0437-0217,nzd0437-0221,nzd0437-0222,nzd0437-0223,nzd0437-0224,nzd0437-0225,nzd0437-0226,nzd0437-0227,nzd0437-0228,nzd0437-0229,nzd0437-0230,nzd0437-0231,nzd0437-0232,nzd0437-0233,nzd0437-0234,nzd0437-0235,nzd0437-0236,nzd0437-0237,nzd0437-0238,nzd0437-0239,nzd0437-0240,nzd0437-0241,nzd0437-0242,nzd0437-0243,nzd0437-0244,nzd0437-0245,nzd0437-0246,nzd0437-0247,nzd0437-0248,nzd0437-0249,nzd0437-0250,nzd0437-0251,nzd0437-0252,nzd0437-0253,nzd0437-0254,nzd0437-0259,nzd0437-0260,nzd0437-0011,nzd0437-0126,nzd0437-0177,nzd0437-0178,nzd0437-0183,nzd0437-0218,nzd0437-0219,nzd0437-0163,nzd0437-0164,nzd0437-0168,nzd0437-0220,nzd0437-0048,nzd0437-0076,nzd0437-0077,nzd0437-0078,nzd0437-0040,nzd0437-0045,nzd0437-0046,nzd0437-0047
1999-09-04 22:00:33.926000,L7,,390.63,513.72,414.92,478.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514.48,485.45,501.85,517.56,382.14,349.00,438.04,471.77,355.22,162.68,356.03,443.09,439.70,218.16,254.61,230.24,,219.23,195.03,,484.18,476.88,461.71,347.52,254.84,423.06,415.02,330.25,509.21,268.34,446.83,384.68,452.47,389.06,487.36,499.62,525.15,392.28,262.94,421.39,418.81,502.60,436.37,200.72,369.95,392.77,320.86,309.30,460.10,459.12,397.37,454.95,280.89,229.41,204.17,342.46,407.68,342.91,245.27,258.52,268.11,298.28,455.58,504.68,260.52,326.94,188.50,266.59,250.08,248.32,309.51,348.35,379.83,360.96,327.67,334.05,324.30,290.62,322.82,333.04,375.08,300.88,400.19,381.85,395.73,480.57,525.54,505.80,415.11,365.50,519.62,494.85,501.81,388.29,505.23,404.59,497.77,253.99,318.23,305.35,194.28,440.78,203.45,204.61,215.35,261.11,199.63,225.02,237.39,239.64,195.29,229.45,275.88,315.70,408.87,392.54,416.08,245.43,210.30,188.14,497.88,414.26,244.20,340.28,341.58,269.91,321.51,263.46,257.59,186.54,257.69,482.62,471.60,436.43,306.36,255.86,276.93,278.30,283.18,519.27,409.41,251.53,325.30,347.39,366.66,389.43,265.63,238.93,260.32,181.06,199.90,264.88,503.02,300.49,362.06,400.09,338.44,426.13,321.22,480.34,462.86,304.95,526.97,443.64,364.80,471.05,381.89,483.06,511.86,521.38,419.42,527.56,401.50,433.14,508.36,389.48,353.16,350.96,440.61,451.19,504.86,474.97,399.21,488.84,484.33,516.15,454.03,466.36,444.11,451.68,423.09,313.93,390.05,,,,,,,,,,,,,,,,,,,
1999-09-27 22:06:48.795000,L7,,405.56,518.76,429.24,350.45,542.12,428.95,397.15,516.46,457.71,354.18,389.45,474.77,492.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.30,217.46,240.96,228.55,491.31,230.08,320.07,365.24,338.73,,328.14,360.62,261.71,263.91,440.39,369.45,381.74,,,,,,,,,,,,,,,,,,481.86,357.16,336.77,213.66,321.21,337.80,311.75,244.67,213.63,186.63,189.77,508.55,364.84,321.10,,497.49,469.80,376.62,328.72,180.17,449.31,343.83,,,,,,,,,516.70,316.14,402.17,515.74,478.08,480.79,474.85,526.62,527.46,376.67,371.98,333.03,310.36,,,282.93,302.70,302.73,286.79,382.79,370.50,365.26,257.07,242.68,294.55,483.39,409.47,441.47,409.74,401.06,,,482.94,268.96,261.56,217.13,362.58,440.07,220.40,239.48,243.33,391.74,387.25,487.67,225.65,235.84,238.96,,,,,,,,363.07,341.70,339.27,427.58,297.44,,377.86,528.20,,,,406.18,491.22,484.19,,,,,230.24,210.17,239.97,231.67,232.15,,535.24,210.33,354.72,494.17,436.76,,244.63,305.09,329.09,413.20,480.89,434.26,331.53,457.84,492.26,518.77,,512.16,490.16,,,,,331.71,323.39,536.31,527.21,418.80,423.44,422.13,431.22,400.56,388.99,355.35,326.74,307.26,344.57,342.87,348.84,361.12,332.81,393.20,367.51,377.00,451.89,377.83,440.91,430.74,355.69,314.38,178.90,188.06,337.03,220.20,377.13,505.19,354.40,310.88,320.44,,,,,,,,,,,,
1999-12-09 22:00:33.510000,L7,,,,,,,,,,427.25,471.63,379.53,441.39,505.54,482.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509.00,349.63,335.01,344.52,425.84,418.82,398.16,332.68,429.27,472.15,,353.90,,,,342.12,492.23,462.39,,,,,427.85,498.22,334.42,409.58,516.48,,,,,,,,,,297.62,341.24,323.89,321.55,489.73,361.88,523.93,,,,323.77,286.30,273.51,,,,,,,,,,,503.18,294.58,167.58,189.35,170.86,,,,159.88,504.32,487.55,396.85,392.35,358.50,491.57,292.46,,,,,,,,,,,,,365.24,250.71,417.40,236.22,,187.84,376.57,430.77,,,,,,,,,,481.50,465.67,480.54,451.49,408.10,216.37,493.32,185.84,316.75,339.72,,,293.98,378.17,342.77,329.34,344.70,350.30,518.68,353.02,510.51,366.49,451.59,466.27,431.11,469.67,511.07,515.44,,394.18,324.63,325.88,239.71,254.80,286.72,301.73,301.88,458.32,453.52,489.31,348.66,358.76,,191.65,,506.32,,,476.73,439.61,347.43,,,,,,,,,,334.53,343.31,358.78,389.94,417.52,,,,,,,169.50,450.65,453.50,503.34,,,,,,,,,230.26,353.22,151.69,179.01,261.02,302.16,,,319.33,,243.57,223.57,293.60,,,,489.35,311.49,,,,,,,,,
2000-01-26 22:00:26.187000,L7,,332.60,487.05,,,,,,,,,423.96,511.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.73,376.88,468.13,528.73,488.01,241.68,462.86,451.02,439.13,,375.78,,302.04,397.21,470.04,252.78,262.46,445.76,,,,,,369.62,321.96,448.44,432.85,253.34,207.83,190.49,317.48,500.74,349.17,304.67,296.43,358.36,294.01,288.63,253.57,448.90,220.61,447.51,466.10,258.82,389.32,402.01,346.87,309.02,290.44,,,,,519.56,374.76,455.77,378.14,,,,,304.95,346.58,456.17,,,287.45,426.85,346.82,527.99,261.07,251.36,312.16,349.99,367.06,333.88,317.55,328.96,304.71,286.12,167.06,252.58,,268.24,370.88,343.46,353.29,381.28,407.75,432.71,430.02,502.16,467.30,413.45,451.39,381.94,327.04,,,270.02,289.31,271.17,259.41,269.77,,,469.07,447.57,398.24,211.69,418.55,403.63,412.14,343.34,265.61,329.95,330.35,422.56,232.60,214.00,204.32,210.83,315.27,266.87,330.90,370.41,293.59,463.13,402.88,259.04,322.66,471.00,433.73,503.74,498.75,499.52,488.23,490.89,506.19,418.63,485.62,438.81,,,235.94,346.24,,,341.24,380.73,179.88,414.99,482.67,239.38,274.76,439.61,453.47,437.83,515.40,422.79,297.93,392.44,361.68,453.96,285.59,239.59,,,,,502.89,503.78,481.72,508.92,486.40,,473.00,527.85,501.57,524.02,440.64,476.51,427.41,381.22,433.08,448.14,457.59,472.93,480.32,452.84,451.53,394.19,405.98,286.26,366.59,528.96,211.62,,,,442.16,535.96,460.55,198.22,494.93,506.99,,,,,,,,
2000-02-27 22:00:16.353000,L7,,385.12,495.08,436.32,343.47,425.19,415.36,380.94,,532.19,403.48,389.23,470.28,503.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.93,490.13,477.79,157.09,235.34,493.33,479.12,507.54,493.39,508.02,243.88,465.64,446.29,433.45,332.03,479.49,309.33,319.32,390.23,466.71,221.55,165.90,229.12,,,,,,,397.93,323.95,279.87,200.22,257.23,457.57,182.89,507.14,516.56,509.19,398.29,337.22,491.37,458.05,193.50,186.10,303.92,397.34,463.24,262.66,377.35,211.97,483.27,343.08,164.70,,462.72,,,467.31,469.20,377.71,360.56,,,,332.75,416.08,272.90,284.49,174.18,257.83,352.23,313.18,192.32,277.33,258.28,241.83,320.11,349.84,465.18,494.97,334.50,360.67,336.07,149.55,164.51,163.99,243.09,182.16,403.98,379.00,403.39,397.48,515.87,336.69,279.97,237.83,382.69,468.09,515.09,434.30,320.42,,,275.43,288.67,259.25,261.59,269.86,228.83,235.11,218.27,197.38,206.86,203.04,220.36,274.58,310.25,339.02,389.56,366.82,332.34,453.18,317.20,321.74,303.25,307.80,316.43,267.13,,,,249.18,283.42,198.63,313.55,469.57,376.18,398.42,390.93,246.86,244.74,189.43,232.20,296.71,480.47,439.32,289.34,281.40,323.74,352.17,,,152.98,350.27,505.91,337.33,305.71,215.64,318.40,517.22,530.53,439.09,531.00,466.12,423.51,424.21,437.69,285.85,432.54,521.59,460.69,457.88,,492.11,459.02,488.76,461.18,413.18,458.98,535.84,509.09,436.80,444.40,352.23,395.85,474.60,395.68,346.26,424.16,479.41,478.08,512.85,448.44,391.62,446.50,416.55,493.11,315.66,199.51,432.36,210.73,490.83,507.02,271.37,328.20,281.18,467.52,435.33,282.03,265.63,527.86,146.62,213.50,160.97,,,,
2000-03-30 22:00:09.363000,L7,,382.85,506.79,444.47,424.56,443.54,490.62,488.99,467.06,455.93,522.36,446.71,487.74,513.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.70,,,,214.57,351.16,337.80,360.21,399.14,189.62,328.26,355.64,254.41,258.94,213.78,482.19,225.21,,,,,411.16,384.63,403.46,492.13,470.80,504.87,485.20,453.05,339.09,346.79,296.93,483.44,480.06,408.86,401.92,500.13,532.80,476.91,440.06,480.93,277.53,269.38,493.63,210.32,364.92,350.37,238.08,458.99,251.93,342.25,,457.09,455.00,451.60,,,,,426.66,252.53,347.44,374.65,493.33,268.63,327.99,308.69,398.58,516.18,309.66,281.77,369.49,361.42,443.05,532.43,362.99,366.81,367.59,316.89,161.33,239.48,213.39,219.73,439.87,393.83,464.02,487.41,507.23,183.78,524.89,434.67,514.46,414.00,450.74,446.60,324.78,,,,,242.48,262.32,276.55,281.08,296.42,478.81,460.38,414.00,317.51,321.10,191.89,208.45,397.48,322.94,382.00,330.84,308.22,148.82,488.66,312.22,321.40,318.17,265.28,522.10,294.54,249.14,229.56,280.85,446.82,443.88,336.47,314.06,,435.67,438.24,415.46,448.47,288.88,290.39,290.12,451.60,417.13,474.28,318.56,342.45,339.24,229.38,337.68,467.89,534.66,334.99,460.85,349.82,410.03,357.76,459.68,497.30,514.94,440.65,414.77,484.58,420.48,320.92,335.37,516.95,465.65,442.21,,484.73,438.66,489.33,472.78,422.12,420.61,401.31,391.86,391.17,362.17,340.61,438.89,353.48,499.29,461.24,383.95,480.22,487.17,453.19,454.91,443.55,439.73,458.20,451.56,192.36,196.35,361.48,,484.65,460.20,284.95,332.93,,216.81,481.09,479.80,487.97,,148.87,200.16,165.72,,,,
2000-04-15 21:59:55.745000,L7,,384.26,503.59,342.46,363.13,320.81,267.37,304.63,306.19,322.25,308.57,307.58,317.55,335.50,333.14,406.62,400.02,424.82,422.83,427.89,427.53,407.69,446.19,407.33,203.39,183.68,173.32,172.91,,,,,,,,,,521.55,430.58,,,,,,,,,,,,,,,,,,,246.77,244.66,,,,,,,,365.90,236.05,208.20,183.34,321.33,302.41,341.88,302.50,203.68,210.19,166.15,,,,,,,,,,,,,276.61,243.21,205.38,187.17,162.05,,,,188.89,231.54,280.98,285.59,234.49,185.60,301.11,495.97,487.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.91,257.06,451.54,433.67,496.43,474.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.32,439.78,482.99,361.42,338.23,233.70,371.17,,,258.14,157.60,197.97,268.78,208.97,237.70,266.07,264.18,503.78,257.65,478.18,266.33,320.67,320.23,323.84,164.16,170.35,309.47,361.87,380.50,410.15,420.00,414.61,397.24,378.61,341.48,314.89,318.08,306.73,327.35,323.91,292.74,303.71,317.82,329.35,348.75,336.24,346.94,348.46,350.84,360.44,337.30,321.58,168.32,171.05,322.98,,497.30,450.70,304.70,270.04,334.91,,,,297.03,,,,,,,,
2000-05-01 21:59:54.563000,L7,,372.86,511.06,402.27,487.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.81,233.63,481.52,251.48,387.34,364.13,495.79,522.35,214.07,328.74,374.21,450.30,510.38,384.54,520.77,404.13,,,,,407.01,407.30,163.00,346.04,240.55,216.96,215.29,143.89,374.13,224.14,253.47,293.99,224.06,276.90,152.47,467.00,472.20,405.70,400.68,393.74,384.56,486.95,412.86,201.91,444.11,429.20,430.13,294.13,226.07,282.90,396.49,274.72,177.23,371.96,202.92,293.43,392.52,316.90,255.52,251.28,257.20,,,298.07,326.79,397.85,192.16,254.63,273.67,283.84,321.86,408.20,165.78,189.64,518.65,371.64,341.96,225.44,322.55,325.61,,,183.11,328.18,364.01,294.23,289.80,462.37,411.56,503.53,507.53,502.36,502.04,431.89,366.58,346.00,301.17,360.34,282.33,519.40,465.65,261.07,286.77,323.28,414.26,388.79,411.30,411.87,489.79,376.53,288.47,357.73,338.55,339.95,262.66,283.78,306.75,266.61,211.62,216.93,244.95,220.92,456.23,,,262.56,203.11,197.18,428.49,,204.08,,,,,252.31,182.38,277.44,235.53,453.54,360.92,283.47,290.93,318.46,,386.62,158.20,212.48,263.82,269.03,201.08,299.08,273.47,456.47,446.14,282.93,385.41,381.92,256.52,395.70,456.29,451.42,520.43,516.96,527.22,,,523.88,506.52,487.44,498.22,426.58,411.03,400.90,396.38,411.31,435.80,505.66,495.11,499.83,481.18,431.13,476.10,436.21,533.14,515.24,495.82,475.20,474.09,,395.81,358.02,196.72,,220.19,,,292.78,449.32,394.43,422.13,,,452.65,,149.75,209.72,173.77,,,,
2000-08-05 21:58:44.520000,L7,,361.66,505.31,403.58,383.15,370.33,445.29,444.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.05,522.01,519.91,526.84,229.32,440.93,481.68,504.86,517.36,243.73,315.19,359.95,450.33,511.76,429.11,329.12,328.30,,,,,407.47,373.92,378.21,345.00,437.64,494.85,229.22,242.05,228.23,389.58,250.30,294.53,272.54,,,,,,,424.86,422.85,250.20,207.60,201.25,442.83,347.07,327.71,,376.40,490.61,,305.62,277.31,512.30,358.75,285.46,361.64,200.62,224.96,494.67,398.60,393.37,334.03,488.88,258.58,310.36,506.90,252.60,272.87,310.98,332.27,385.72,484.38,423.11,356.97,358.45,371.37,307.28,344.97,439.39,471.37,450.08,412.40,401.81,,413.72,433.31,514.70,388.93,405.01,404.27,270.11,173.23,,,,262.85,409.61,252.76,530.30,491.68,372.53,296.29,298.44,335.05,385.89,339.26,368.71,236.71,533.13,302.66,287.67,272.63,263.39,247.89,,,,,,518.82,438.26,473.55,198.10,248.50,259.74,273.12,,,,,,,,,,,,,466.77,420.24,251.86,,,201.09,399.95,452.52,384.74,160.41,170.34,201.43,266.58,301.48,451.15,445.99,272.87,260.01,294.50,233.08,268.70,305.05,158.14,498.93,493.14,501.30,,,,488.42,517.09,523.36,472.73,480.60,437.06,518.40,336.16,357.29,503.18,517.08,395.16,504.57,476.27,484.57,511.84,511.16,521.53,506.64,532.87,443.54,,,200.05,200.05,,,,,,280.80,302.40,352.73,,,310.62,,146.74,252.28,174.64,,,,
2000-11-09 21:57:57.236000,L7,,,,,,,,,,421.00,472.82,394.61,455.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490.48,348.41,342.99,256.55,337.31,219.49,344.84,368.82,328.20,309.51,,,388.88,472.13,273.59,268.15,229.91,,,,,416.91,396.35,395.74,328.00,320.32,405.64,508.44,,,508.39,456.77,431.34,399.62,294.50,263.68,237.38,,376.93,375.49,,,,,,353.86,319.40,196.49,,,,,,,,,,,525.25,209.94,160.13,189.79,158.77,404.26,264.79,375.35,485.87,189.28,205.11,214.55,243.50,319.79,347.92,251.20,318.41,171.12,322.41,309.28,273.85,283.62,,,,,,,258.25,294.02,176.24,217.49,178.02,182.33,296.28,187.91,274.64,,,,,292.96,257.76,247.81,250.46,,,230.37,214.09,215.95,204.23,199.27,180.48,303.54,286.00,335.34,269.50,179.46,199.51,228.45,218.42,211.70,207.92,505.72,517.06,461.16,368.67,435.70,276.61,170.08,450.14,416.23,193.22,380.44,,471.35,471.94,420.57,405.12,183.37,282.73,285.07,449.78,293.87,484.34,352.61,353.24,345.28,385.14,,434.20,223.17,409.39,488.05,285.65,245.25,307.32,292.48,305.14,345.81,413.31,329.38,428.35,455.11,,459.74,525.11,465.37,390.32,411.68,,518.75,490.33,450.33,507.00,526.44,476.65,515.60,411.20,440.45,464.39,,,,526.42,430.57,424.83,501.07,524.37,,,,,,,,479.44,,423.93,425.00,298.61,,,,,424.35,397.41,,175.90,403.73,368.10,,,,
