dates,nzd0437-0000,nzd0437-0001,nzd0437-0002,nzd0437-0003,nzd0437-0004,nzd0437-0005,nzd0437-0006,nzd0437-0007,nzd0437-0008,nzd0437-0009,nzd0437-0010,nzd0437-0012,nzd0437-0013,nzd0437-0014,nzd0437-0015,nzd0437-0016,nzd0437-0017,nzd0437-0018,nzd0437-0019,nzd0437-0020,nzd0437-0021,nzd0437-0022,nzd0437-0023,nzd0437-0024,nzd0437-0025,nzd0437-0026,nzd0437-0027,nzd0437-0028,nzd0437-0029,nzd0437-0030,nzd0437-0031,nzd0437-0032,nzd0437-0033,nzd0437-0034,nzd0437-0035,nzd0437-0036,nzd0437-0037,nzd0437-0038,nzd0437-0039,nzd0437-0041,nzd0437-0042,nzd0437-0043,nzd0437-0044,nzd0437-0049,nzd0437-0050,nzd0437-0051,nzd0437-0052,nzd0437-0053,nzd0437-0054,nzd0437-0055,nzd0437-0102,nzd0437-0103,nzd0437-0104,nzd0437-0105,nzd0437-0112,nzd0437-0113,nzd0437-0114,nzd0437-0115,nzd0437-0116,nzd0437-0129,nzd0437-0130,nzd0437-0131,nzd0437-0132,nzd0437-0133,nzd0437-0134,nzd0437-0135,nzd0437-0179,nzd0437-0180,nzd0437-0181,nzd0437-0182,nzd0437-0188,nzd0437-0189,nzd0437-0190,nzd0437-0191,nzd0437-0192,nzd0437-0193,nzd0437-0194,nzd0437-0195,nzd0437-0196,nzd0437-0198,nzd0437-0199,nzd0437-0200,nzd0437-0201,nzd0437-0202,nzd0437-0203,nzd0437-0204,nzd0437-0205,nzd0437-0206,nzd0437-0207,nzd0437-0255,nzd0437-0256,nzd0437-0257,nzd0437-0258,nzd0437-0261,nzd0437-0056,nzd0437-0057,nzd0437-0058,nzd0437-0059,nzd0437-0060,nzd0437-0061,nzd0437-0062,nzd0437-0063,nzd0437-0064,nzd0437-0065,nzd0437-0066,nzd0437-0067,nzd0437-0068,nzd0437-0069,nzd0437-0070,nzd0437-0071,nzd0437-0072,nzd0437-0073,nzd0437-0074,nzd0437-0075,nzd0437-0079,nzd0437-0080,nzd0437-0081,nzd0437-0082,nzd0437-0083,nzd0437-0084,nzd0437-0085,nzd0437-0086,nzd0437-0087,nzd0437-0088,nzd0437-0089,nzd0437-0090,nzd0437-0091,nzd0437-0092,nzd0437-0093,nzd0437-0094,nzd0437-0095,nzd0437-0096,nzd0437-0097,nzd0437-0098,nzd0437-0099,nzd0437-0100,nzd0437-0101,nzd0437-0106,nzd0437-0108,nzd0437-0109,nzd0437-0110,nzd0437-0111,nzd0437-0117,nzd0437-0118,nzd0437-0119,nzd0437-0120,nzd0437-0121,nzd0437-0122,nzd0437-0123,nzd0437-0124,nzd0437-0125,nzd0437-0126,nzd0437-0127,nzd0437-0128,nzd0437-0136,nzd0437-0137,nzd0437-0138,nzd0437-0139,nzd0437-0140,nzd0437-0141,nzd0437-0142,nzd0437-0143,nzd0437-0144,nzd0437-0145,nzd0437-0146,nzd0437-0147,nzd0437-0148,nzd0437-0149,nzd0437-0150,nzd0437-0151,nzd0437-0152,nzd0437-0153,nzd0437-0154,nzd0437-0155,nzd0437-0156,nzd0437-0157,nzd0437-0158,nzd0437-0159,nzd0437-0160,nzd0437-0161,nzd0437-0163,nzd0437-0164,nzd0437-0165,nzd0437-0166,nzd0437-0167,nzd0437-0168,nzd0437-0169,nzd0437-0170,nzd0437-0171,nzd0437-0172,nzd0437-0173,nzd0437-0174,nzd0437-0175,nzd0437-0176,nzd0437-0184,nzd0437-0185,nzd0437-0186,nzd0437-0187,nzd0437-0197,nzd0437-0208,nzd0437-0209,nzd0437-0210,nzd0437-0211,nzd0437-0212,nzd0437-0213,nzd0437-0214,nzd0437-0215,nzd0437-0216,nzd0437-0217,nzd0437-0218,nzd0437-0219,nzd0437-0220,nzd0437-0221,nzd0437-0222,nzd0437-0223,nzd0437-0224,nzd0437-0225,nzd0437-0226,nzd0437-0227,nzd0437-0228,nzd0437-0229,nzd0437-0231,nzd0437-0232,nzd0437-0233,nzd0437-0234,nzd0437-0235,nzd0437-0236,nzd0437-0237,nzd0437-0238,nzd0437-0239,nzd0437-0240,nzd0437-0241,nzd0437-0242,nzd0437-0243,nzd0437-0244,nzd0437-0245,nzd0437-0246,nzd0437-0247,nzd0437-0248,nzd0437-0249,nzd0437-0250,nzd0437-0251,nzd0437-0252,nzd0437-0253,nzd0437-0254,nzd0437-0259,nzd0437-0260,nzd0437-0011,nzd0437-0107,nzd0437-0162,nzd0437-0177,nzd0437-0178,nzd0437-0183,nzd0437-0230,nzd0437-0048,nzd0437-0076,nzd0437-0077,nzd0437-0078,nzd0437-0040,nzd0437-0045,nzd0437-0046,nzd0437-0047,satname
1999-09-04 22:00:33+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.13,,,,320.27,359.61,,,216.5,253.32,229.01,,218.37,,,,,,,,221.52,,,,,,,,,,,,,,320.52,,,,202.84,,,324.33,311.79,289.12,,,,,227.24,335.33,,,,,,,294.32,,,287.45,,187.3,,247.37,246.23,306.27,345.48,,,,,,,,,,267.85,196.28,,,,,,,,,,,,,,251.73,246.11,,278.75,,220.34,,,207.27,220.81,,,,,,,274.11,,,176.5,,,,,,,,238.56,,197.43,,261.55,,,,,,,,,308.22,257.72,,279.9,,,,,,344.53,364.45,,,,,,,257.82,,,,,,317.06,,,,,,,,,,301.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-09-27 22:06:48+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.08,335.6,,338.73,,324.205,360.115,261.71,263.91,216.5,253.32,229.01,,218.37,,,,,,,,221.52,,,,,,,,,,,213.66,,,316.135,,,186.63,196.305,,,322.71500000000003,311.79,289.12,,,328.72,,227.24,339.58,,,,,,,294.32,,,301.79499999999996,,187.3,,247.37,246.23,306.27,345.48,,,333.03,310.36,,,,,302.73,277.32000000000005,196.28,,,,,,,,,,,,,268.96,256.645,231.62,,278.75,,220.26999999999998,239.48,243.33,207.27,220.81,,225.65,235.84,238.96,,,274.11,,,176.5,,,341.7,,,297.44,,238.56,,197.43,,261.55,,,,,,,,,308.22,243.98000000000002,,259.935,,,,,210.33,349.625,364.45,,,,,,,257.82,,,,,,313.97,320.44,,,,,,,,,316.71500000000003,323.39,,,,,,,,355.35,326.74,,344.57,,,361.12,332.81,,367.51,,,,,,355.69,314.38,,188.06,337.03,,,,,,,,,,,,,,,L7
2000-01-26 22:00:26+00:00,,332.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.68,230.08,335.6,,338.73,,324.205,360.115,261.71,263.91,234.64,257.89,229.01,,218.37,,,,369.62,,,,237.43,,,317.48,,,304.67,296.43,,294.01,,233.615,,,316.135,,258.82,186.63,196.305,346.87,,311.95666666666665,311.79,289.12,,,328.72,,227.24,339.58,,,,,,,294.32,,,297.0133333333333,,206.015,275.17,254.22,248.79500000000002,309.21500000000003,347.735,,333.88,325.28999999999996,319.65999999999997,304.71,286.12,,,302.73,274.29333333333335,196.28,,353.29,,,,,,,,,327.04,,268.96,261.1033333333333,250.85,271.17,269.08000000000004,269.77,217.38666666666666,239.48,243.33,207.27,220.81,,218.67000000000002,235.84,238.96,,,269.86,329.95,330.35,176.5,,307.76,324.76,,315.27,282.155,,231.79000000000002,,197.43,,260.295,322.66,,,,,,,,308.22,243.98000000000002,,259.935,,,,,223.135,348.49666666666667,364.45,,341.24,380.73,,,,248.6,,,,,,313.97,320.44,,,297.93,,361.68,,285.59,239.59,316.71500000000003,323.39,,,,,,,,355.35,326.74,,344.57,,,361.12,332.81,,367.51,,,,,,355.69,314.38,286.26,188.06,337.03,,,,,,,,,,,,,,,L7
2000-02-27 22:00:16+00:00,,348.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.81,238.36,,,,,,246.18,230.08,335.6,,349.415,,324.205,360.115,261.71,263.91,229.81333333333336,257.89,228.41,,218.37,,,,369.62,,,277.1,244.3166666666667,,287.63,317.48,,,301.36,287.59000000000003,,285.31,,233.615,370.92,374.73,316.135,,255.26999999999998,186.63,202.40333333333334,346.87,,311.95666666666665,311.79,289.12,337.07,,328.72,,227.24,339.58,293.83,,,,,,294.32,,263.77,297.0133333333333,,200.74333333333334,274.765,254.87666666666667,245.76333333333332,312.2033333333333,342.85999999999996,,333.88,327.08666666666664,330.63,317.62,302.06,,,297.345,281.51750000000004,196.28,,353.29,,,,239.07,,,,,324.595,,280.97,265.6825,261.5375,273.145,268.48333333333335,270.95,216.01,234.735,239.60500000000002,212.385,208.69,189.87,213.23666666666668,227.13,224.125,,,269.86,316.74,330.35,176.5,297.94,313.755,324.76,,315.01,276.08666666666664,,231.79000000000002,,197.43,,260.295,317.395,,,,,,,,308.22,243.98000000000002,,259.935,,,,,223.135,348.8025,364.45,,341.24,366.29,,,,248.6,230.72,,,,,313.97,320.44,300.64,,291.695,,369.20500000000004,388.71,288.66999999999996,243.85000000000002,310.18333333333334,323.39,,,,,,,,355.35,326.74,,358.825,,,361.12,332.81,,367.51,,,,,,355.69,314.38,299.41999999999996,188.06,344.085,281.8,298.69,,,,,,149.22,261.97,,,,,,L7
2000-03-30 22:00:09+00:00,,358.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.81,238.36,,,,,,246.42999999999998,,,,360.1,,330.03,358.04,,,236.47000000000003,256.87,225.745,,,,,,369.62,,,271.85,255.5,,287.63,331.145,,,301.36,287.59000000000003,,285.31,,253.57,358.44,363.935,,,261.0566666666667,219.28,213.64999999999998,346.87,,290.44,,249.71,343.08500000000004,337.16,,,,315.13,290.54999999999995,,,,,256.62,297.99,,267.135,287.45,311.82,201.76333333333332,273.56,258.63,256.8,328.1066666666667,346.77666666666664,,333.88,330.00666666666666,347.17333333333335,324.1066666666666,302.06,,,291.96,285.71500000000003,,,353.29,,,,239.17000000000002,,,,,325.09666666666664,270.24,296.56,274.72,291.6166666666667,263.3066666666667,263.86,273.31,211.75,229.99,251.02499999999998,215.815,199.79500000000002,196.655,202.98666666666668,205.0,199.105,,,266.11,316.74,332.815,,308.77,318.44,286.62,200.21,315.5933333333333,264.5466666666666,,205.75,247.99,198.6,,260.635,299.7766666666667,193.43,,,,,,,,,,293.68,,,,302.74,228.45,333.19666666666666,337.69,,339.88,366.29,,,,239.38,230.72,,,,,,,300.64,,295.37666666666667,,369.20500000000004,388.71,288.66999999999996,243.85000000000002,297.12,,,,,,,,,,,362.94,358.03499999999997,,,,,,,,,,,,,,299.41999999999996,197.81,349.505,291.555,298.69,,,278.6,,,149.845,243.71500000000003,167.03,,,,,L7
2000-05-01 21:59:54+00:00,,358.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.81,238.36,,,,,,246.42999999999998,,,,360.1,,330.03,358.04,293.02,280.12,236.47000000000003,282.42333333333335,225.745,,,,,,369.62,,343.96,271.85,245.5325,213.2,286.79499999999996,331.145,,,291.2266666666667,287.59000000000003,,285.31,,253.57,358.44,363.935,,,261.0566666666667,219.28,213.64999999999998,346.87,,290.44,292.85,237.36,343.08500000000004,337.16,,,,315.13,291.8633333333333,,,258.79,,238.66,297.99,,267.135,287.45,311.82,198.92,268.015,259.72333333333336,254.615,326.105,346.77666666666664,,333.88,331.145,347.17333333333335,316.8825,302.06,320.85,323.43,291.96,285.71500000000003,173.51,,356.95000000000005,,,,239.17000000000002,,,,,325.09666666666664,260.015,284.52,266.0,282.36,263.3066666666667,263.86,270.625,215.02666666666667,229.99,277.14,215.815,199.79500000000002,196.655,202.98666666666668,223.00666666666666,199.105,285.49,,266.11,316.74,332.815,,307.24,318.44,286.62,200.21,315.5933333333333,264.5466666666666,,205.75,247.99,229.885,272.84,260.635,299.6775,193.43,,,,,,,,254.25,,287.78,,,299.87,292.16499999999996,258.07,329.08500000000004,337.69,,339.88,366.29,,,199.63,256.63,250.54000000000002,,,267.55,,,296.13,304.105,366.25,295.37666666666667,,369.20500000000004,386.52,288.66999999999996,243.85000000000002,297.12,,,,,,,,,,,362.94,358.03499999999997,,,,,,,,,,,,,,299.41999999999996,197.81,349.505,291.555,298.69,,,284.46000000000004,,,150.53666666666666,250.92333333333332,171.28,,,,,L7
2000-08-05 21:58:44+00:00,,368.74,,400.59,381.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.81,238.36,,,,,,240.27666666666667,215.08,,,360.1,,321.83,358.04,293.02,280.12,220.16,293.34999999999997,225.745,,,,,,,,345.585,271.85,242.92999999999998,222.415,286.79499999999996,344.81,,290.32,288.51666666666665,291.155,,276.61,,,358.44,363.935,,,257.52666666666664,219.28,209.04,,343.33,325.17,292.85,237.36,343.08500000000004,337.16,304.4,335.88,,315.13,289.8925,289.89,199.09,240.28000000000003,,238.66,297.99,,267.135,257.38,310.31,189.79749999999999,262.66249999999997,264.26000000000005,255.70000000000002,331.7425,345.16999999999996,,,335.6766666666667,356.28,320.94,318.0,320.85,323.43,291.96,303.19,173.51,,360.61,,,,231.92333333333332,207.01,,171.34,,324.125,260.015,287.83,263.99,273.46250000000003,259.375,266.08500000000004,270.91,216.73000000000002,230.505,282.10749999999996,215.815,199.79500000000002,196.655,198.635,223.00666666666666,199.105,295.0,290.21,273.495,284.375,335.28,,307.24,318.02,265.42,200.21,315.755,263.385,,186.48,248.73000000000002,240.36,274.155,262.23,292.01666666666665,193.43,246.89,,,,,,,254.25,,287.78,,,299.87,279.37333333333333,273.8333333333333,323.36666666666673,337.69,,338.52,351.85,163.55,172.42,201.26999999999998,271.055,268.1,,,281.14,,,316.32,304.105,350.53999999999996,300.6066666666667,339.74,352.775,383.81666666666666,291.75,248.11,297.12,,,,,,,,,,334.43,357.88,358.03499999999997,,,,,,,,,,,,,,312.58,197.81,349.505,291.555,308.395,,,284.46000000000004,,,150.53666666666666,238.12,171.77666666666667,,,,,L7
2000-11-09 21:57:57+00:00,,363.86,,400.59,381.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.22,217.28500000000003,344.84,,328.2,,313.63,,,,,295.24,,,,,,,396.35,,337.605,320.32,,231.63,,,,290.32,296.54,303.56,,263.68,,,376.93,375.49,,,248.23,,199.82,353.86,331.365,325.17,,,,,304.4,335.88,,,283.98,289.89,199.09,215.85500000000002,,189.79,,,264.79,257.38,308.8,188.24,253.76,274.68,243.5,327.25,347.92,251.2,318.41,,322.41,309.28,,283.62,,,,,,,,,,197.72500000000002,194.67000000000002,296.28,179.625,,,,297.76,,273.34,257.76,247.81,250.46,,231.02,297.01,,,,,,,304.025,288.105,307.86,267.36,,199.51,,306.5,211.7,207.92,,263.4,,,249.47,268.96000000000004,275.47,,,193.22,246.89,,,,,,,,,282.73,285.07,,293.87,253.79,317.92,353.24,345.28,,,,163.55,172.42,202.91,276.94,303.22,,,299.935,345.81,,336.51,,334.83,321.5,339.74,328.82,378.41,,,296.73,305.7,,,,,,,,,334.43,352.82,,,,,,,,,,,,,,,,,,,318.1,,,298.61,,,175.9,199.71,172.77,,,,,L7
2001-09-25 21:56:04+00:00,,,,413.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.41,,,,,323.96,,,258.0,216.25,271.73,225.48,,,,,,,,,,261.24,218.55,321.03,,,290.22,,,,,,,,,,,244.11,,211.15,,,,291.57,,,,311.76,,239.21,,278.48,303.98,191.67,199.68,242.39,,,,,,,193.12,277.71,297.7,,,,,,344.03,344.39,328.75,314.23,,,,306.93,,,,,,,,,281.16,,353.99,290.61,259.75,272.88,,251.31,,,,,313.73,306.7,,,227.82,,247.55,,310.68,,314.45,,314.95,,,,224.13,209.61,,,,193.4,,,285.25,258.87,262.44,193.6,,297.22,,,,,,,267.81,286.21,298.83,286.99,,264.75,321.92,317.46,367.05,,290.88,,185.38,188.27,,292.12,,,,319.71,310.42,327.36,,,364.84,,,355.84,322.25,,,,342.34,,,,,,,,,,,345.99,,,,340.85,,,,,,,,,,,,,,334.17,,,263.54,,,,209.8,,,,,,L7
2001-10-02 22:02:04+00:00,,,,413.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.82,,,,,,180.31,,212.465,,,,268.77,340.855,,,258.0,216.25,271.73,225.48,,,,,,,,,,279.13,218.55,321.03,,,290.22,,,,,328.32,,,,281.73,246.56,241.28500000000003,194.78,192.625,,344.59,,294.73,,,,311.76,,239.21,,278.48,303.98,181.5,199.68,245.115,,,,,,,187.615,277.88,297.7,,,,242.4,,344.03,341.44,328.75,296.655,284.75,,,306.93,,268.25,,,,294.07,,,281.16,,339.40999999999997,276.295,259.75,272.88,,270.005,305.67,,,186.72,311.58000000000004,306.7,,,227.82,,247.55,,310.68,,314.45,,314.95,204.57,351.53,,223.695,209.97500000000002,,,,193.4,,301.36,285.25,258.87,262.44,193.6,,297.22,,,,,,,267.81,268.34,298.83,286.99,,264.75,318.44500000000005,335.735,363.82,,290.88,,185.38,188.27,,292.12,,,354.69,319.71,324.64,324.475,318.08,,364.84,,,355.84,322.25,,,,331.17499999999995,,,,,,,,358.06,326.42,361.59,344.595,,,333.14,341.45000000000005,,366.68,,,,,,350.33,343.49,,174.27,,,334.17,,,245.58,,,,209.8,,,,,,L7
