dates,satname,nzd0438-0000,nzd0438-0001,nzd0438-0002,nzd0438-0003,nzd0438-0004,nzd0438-0005,nzd0438-0006,nzd0438-0007,nzd0438-0008,nzd0438-0009,nzd0438-0010,nzd0438-0011,nzd0438-0012,nzd0438-0013,nzd0438-0014,nzd0438-0015,nzd0438-0016,nzd0438-0017,nzd0438-0018,nzd0438-0019,nzd0438-0020,nzd0438-0021,nzd0438-0022,nzd0438-0023,nzd0438-0024,nzd0438-0025,nzd0438-0026,nzd0438-0027,nzd0438-0028,nzd0438-0029,nzd0438-0030,nzd0438-0031,nzd0438-0032,nzd0438-0033,nzd0438-0034,nzd0438-0035,nzd0438-0036,nzd0438-0037,nzd0438-0038,nzd0438-0039,nzd0438-0040,nzd0438-0041,nzd0438-0042,nzd0438-0043,nzd0438-0044,nzd0438-0045,nzd0438-0046,nzd0438-0047,nzd0438-0048,nzd0438-0049,nzd0438-0050,nzd0438-0051,nzd0438-0052,nzd0438-0053,nzd0438-0054,nzd0438-0055,nzd0438-0056,nzd0438-0057,nzd0438-0058,nzd0438-0059,nzd0438-0060,nzd0438-0061,nzd0438-0062,nzd0438-0063,nzd0438-0064,nzd0438-0065,nzd0438-0066,nzd0438-0067,nzd0438-0068,nzd0438-0069,nzd0438-0070,nzd0438-0071,nzd0438-0072,nzd0438-0073,nzd0438-0074,nzd0438-0075,nzd0438-0076,nzd0438-0077,nzd0438-0078,nzd0438-0079,nzd0438-0080,nzd0438-0081,nzd0438-0082,nzd0438-0083,nzd0438-0084,nzd0438-0085,nzd0438-0086,nzd0438-0087,nzd0438-0088,nzd0438-0089,nzd0438-0090,nzd0438-0091,nzd0438-0092,nzd0438-0093,nzd0438-0094,nzd0438-0095,nzd0438-0096,nzd0438-0097,nzd0438-0098,nzd0438-0099,nzd0438-0100,nzd0438-0101,nzd0438-0102,nzd0438-0103,nzd0438-0104,nzd0438-0105,nzd0438-0106,nzd0438-0107,nzd0438-0108,nzd0438-0109,nzd0438-0110,nzd0438-0111,nzd0438-0112,nzd0438-0113,nzd0438-0114,nzd0438-0115,nzd0438-0116,nzd0438-0117,nzd0438-0118,nzd0438-0119,nzd0438-0120,nzd0438-0121,nzd0438-0122,nzd0438-0123,nzd0438-0124,nzd0438-0125,nzd0438-0126,nzd0438-0127,nzd0438-0128,nzd0438-0129,nzd0438-0130,nzd0438-0131,nzd0438-0132,nzd0438-0133,nzd0438-0134,nzd0438-0135,nzd0438-0136
1999-11-21 22:12:47.994000,L7,,,,,,,,,,,175.08,226.16,194.52,208.10,229.26,225.14,218.01,206.53,223.59,231.28,226.42,227.78,234.05,226.91,236.01,221.06,227.57,,,,,,,,,208.86,226.05,221.30,208.20,206.41,209.36,202.51,216.16,222.67,195.90,207.26,220.13,223.62,221.81,179.04,242.65,240.48,249.17,226.15,208.21,231.31,235.33,228.52,228.28,218.14,204.63,218.26,,,,,,,,256.36,221.34,274.94,289.69,272.18,280.31,284.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.00,233.88,228.32,210.37,215.56,239.33,216.25,230.38,233.64,229.48,236.68,241.25,221.46,192.64,172.65,228.17,230.72,242.31,204.43,215.11
1999-11-28 22:18:56.993000,L7,,,,,,,,219.89,218.66,237.45,174.07,181.29,192.84,208.80,234.80,230.95,217.66,526.11,521.24,521.30,517.14,539.87,528.84,519.71,526.75,526.41,526.53,533.68,536.13,523.45,235.70,,227.06,225.98,213.63,215.58,226.13,217.25,210.73,204.84,210.94,201.55,215.39,224.36,192.55,,,,,237.85,241.25,248.35,246.73,222.44,176.06,233.91,237.08,232.76,233.42,219.97,214.02,208.34,,,,,,,,245.89,190.27,279.14,291.02,269.88,,,,,,,,,,,,,513.50,530.35,509.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.59,228.35,226.76,219.62,213.78,233.46,219.27,221.00,224.53,230.48,220.77,245.21,221.54,194.34,179.80,232.82,205.89,256.22,198.64,191.58
1999-12-07 22:12:53.785000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.79,203.05,193.96,204.76,205.68,206.98,219.01,191.29,,,,,,,,,216.49,197.51,229.69,232.61,221.67,232.52,167.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.16,214.00,172.39,192.13,,,,,,,,,
2000-11-07 22:10:17.299000,L7,,,,,,,,,,,170.22,174.33,187.25,203.98,228.32,224.50,214.77,200.93,221.18,226.30,215.94,213.27,,,,208.72,229.22,225.07,226.38,230.09,236.14,223.84,224.35,222.33,348.38,347.31,347.35,357.11,363.49,374.65,376.49,,,,,,,,,,231.23,236.00,237.32,205.92,,,,,,,,,,,,,,,,237.55,218.98,254.57,283.23,254.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.28,211.61,228.44,199.17,,,,197.65,213.94,215.93,192.92,239.86,210.02,184.35,,,,,,
2000-11-14 22:16:30.766000,L7,,,,201.83,204.64,185.40,240.31,220.60,219.48,237.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.82,210.60,214.85,197.70,219.83,227.05,205.14,219.53,224.83,235.19,230.65,,,,,177.05,219.33,237.23,243.10,243.83,230.62,224.07,,,,,,,,,,,,275.95,296.72,278.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.84,237.93,211.56,214.47,,,,,,,208.43,222.22,201.62,174.72,,,,,
2000-12-16 22:16:35.253000,L7,,,,,,,,227.26,224.45,241.21,184.40,184.86,198.84,209.64,238.27,231.03,219.69,216.05,228.67,235.44,229.63,230.79,238.38,233.02,240.85,232.93,232.90,198.15,233.29,236.63,243.86,,233.92,228.17,220.54,214.71,231.94,221.05,211.75,210.76,216.82,201.07,219.41,230.17,200.97,210.60,237.30,233.16,231.12,243.06,242.02,238.98,247.23,230.26,214.21,235.68,241.53,239.95,246.53,224.19,225.07,218.03,172.18,170.35,,,,,,204.59,232.01,269.29,294.97,203.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.77,233.21,237.89,220.56,220.07,241.71,228.40,222.20,223.16,235.28,243.84,249.99,219.38,200.75,176.35,,249.95,256.30,210.53,197.90
2001-01-10 22:10:27.647000,L7,,,,,,,,,,,,179.46,187.71,206.65,222.36,229.41,213.93,192.33,222.33,230.28,221.65,216.26,214.30,198.73,232.04,208.03,229.66,228.73,233.53,231.61,238.83,,228.10,217.97,210.44,210.01,223.93,206.59,196.10,195.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.41,213.48,229.72,247.67,239.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.24,204.55,229.34,197.55,,,,199.89,214.88,216.16,189.77,241.45,217.24,184.57,169.60,,,,,
2001-01-26 22:10:30.842000,L7,333.48,347.68,345.54,358.02,366.58,375.13,379.63,371.11,334.53,347.82,362.88,363.17,351.51,295.49,296.98,303.01,315.16,311.64,310.05,309.07,299.90,314.77,312.30,331.89,340.17,340.38,340.04,311.82,299.05,312.13,321.40,334.35,389.55,364.62,350.16,299.56,304.28,308.56,320.88,326.24,335.60,333.83,372.10,383.33,381.88,359.31,370.56,374.48,356.74,332.62,328.09,299.18,300.20,309.89,310.71,320.97,319.07,327.42,382.48,386.20,427.90,345.64,332.03,331.93,317.94,312.30,326.86,341.64,345.95,321.73,339.37,356.99,372.22,375.00,377.89,364.55,371.46,380.65,399.56,398.71,309.04,385.17,380.63,378.37,375.28,360.86,230.82,282.61,304.93,302.51,275.09,436.52,356.73,236.64,205.19,203.17,197.91,193.46,197.83,218.69,199.91,193.89,196.01,200.44,229.77,184.79,316.38,254.02,233.02,259.66,275.42,280.81,286.50,323.67,343.52,340.56,326.17,332.03,334.50,316.18,326.12,319.38,324.60,311.30,301.92,296.28,297.87,302.46,301.61,314.52,309.27,305.96,306.11,316.51,314.03,322.54,332.13
2001-02-18 22:16:35.003000,L7,,,,,,,,224.50,188.72,211.05,,,,,,,,,,,,,,,,,,,,,,,,,,203.91,216.86,204.81,203.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.95,219.69,236.86,278.54,260.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.62,207.11,188.45,205.66,198.17,,,213.00,212.82,219.07,194.80,240.82,214.80,191.20,169.89,,,,321.02,334.27
2001-09-23 22:08:26.958000,L7,,,,,,,,,,,,,,,,,,,,224.79,213.31,201.98,,,,,,,,,,,,,,199.79,213.47,214.44,203.30,175.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
