dates,satname,nzd0446-0000,nzd0446-0001,nzd0446-0002,nzd0446-0003,nzd0446-0004,nzd0446-0005,nzd0446-0006,nzd0446-0007,nzd0446-0008,nzd0446-0009,nzd0446-0010,nzd0446-0011,nzd0446-0012,nzd0446-0013,nzd0446-0014,nzd0446-0015,nzd0446-0016,nzd0446-0017,nzd0446-0018,nzd0446-0019,nzd0446-0020,nzd0446-0021,nzd0446-0022,nzd0446-0023,nzd0446-0024,nzd0446-0025,nzd0446-0026,nzd0446-0027,nzd0446-0028,nzd0446-0029,nzd0446-0030,nzd0446-0031,nzd0446-0032,nzd0446-0033,nzd0446-0034,nzd0446-0035,nzd0446-0036,nzd0446-0037,nzd0446-0038,nzd0446-0039,nzd0446-0040,nzd0446-0041,nzd0446-0042,nzd0446-0043,nzd0446-0044,nzd0446-0045,nzd0446-0046,nzd0446-0047,nzd0446-0048,nzd0446-0049,nzd0446-0050,nzd0446-0051,nzd0446-0052,nzd0446-0053,nzd0446-0054,nzd0446-0055,nzd0446-0056,nzd0446-0057,nzd0446-0058,nzd0446-0059,nzd0446-0060,nzd0446-0061,nzd0446-0062,nzd0446-0063,nzd0446-0064,nzd0446-0065,nzd0446-0066,nzd0446-0067,nzd0446-0068,nzd0446-0069,nzd0446-0070,nzd0446-0071,nzd0446-0072,nzd0446-0073,nzd0446-0074,nzd0446-0075,nzd0446-0076,nzd0446-0077,nzd0446-0078,nzd0446-0079,nzd0446-0080,nzd0446-0081,nzd0446-0082,nzd0446-0083,nzd0446-0084,nzd0446-0085,nzd0446-0086,nzd0446-0087,nzd0446-0088,nzd0446-0089,nzd0446-0090,nzd0446-0091,nzd0446-0092,nzd0446-0093,nzd0446-0094,nzd0446-0095,nzd0446-0096,nzd0446-0097,nzd0446-0098,nzd0446-0099,nzd0446-0100,nzd0446-0101,nzd0446-0102,nzd0446-0103,nzd0446-0104,nzd0446-0105,nzd0446-0106,nzd0446-0107,nzd0446-0108,nzd0446-0109,nzd0446-0110,nzd0446-0111,nzd0446-0112,nzd0446-0113,nzd0446-0114,nzd0446-0115,nzd0446-0116,nzd0446-0117,nzd0446-0118,nzd0446-0119,nzd0446-0120,nzd0446-0121,nzd0446-0122,nzd0446-0123,nzd0446-0124,nzd0446-0125,nzd0446-0126,nzd0446-0127,nzd0446-0128,nzd0446-0129,nzd0446-0130,nzd0446-0131,nzd0446-0132,nzd0446-0133,nzd0446-0134,nzd0446-0135,nzd0446-0136,nzd0446-0137,nzd0446-0138,nzd0446-0139,nzd0446-0140,nzd0446-0141,nzd0446-0142,nzd0446-0143,nzd0446-0144,nzd0446-0145,nzd0446-0146,nzd0446-0147,nzd0446-0148,nzd0446-0149,nzd0446-0150,nzd0446-0151,nzd0446-0152,nzd0446-0153,nzd0446-0154,nzd0446-0155,nzd0446-0156,nzd0446-0157,nzd0446-0158,nzd0446-0159,nzd0446-0160,nzd0446-0161,nzd0446-0162,nzd0446-0163,nzd0446-0164
1999-11-21 22:13:11.963000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.12,205.69,203.48,179.80,183.03,189.41,178.95,191.56,195.50,197.17,199.05,189.27,211.04,208.73,205.30,196.85,201.48,192.25,201.48,198.00,193.55,204.03,209.98,209.14,205.83,198.20,202.70,204.91,202.35,209.68,214.72,201.40,212.82,209.13,206.19,198.25,184.20,183.82,182.73,170.99,,,,170.56,181.27,204.82,200.48,200.98,199.44,206.94,197.00,196.62,200.23,217.48,213.47,208.11,222.97,183.70,,,,,268.87,248.34
1999-11-28 22:18:56.993000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.89,390.84,418.84,433.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.69,231.54,238.04,241.73,,,,,,,,,,,,,,,,261.60,261.79,246.05,259.53,454.09,473.59,461.37,,,,,,181.21,182.07,179.77,186.02,183.16,178.78,186.71,190.80,187.25,183.62,175.65,180.09,185.21,180.67,188.10,197.00,180.62,193.79,183.43,189.95,169.56,256.86,259.20,254.18,,,,,,168.23,254.65,250.61,255.07,250.56,187.78,176.36,173.93,181.43,180.29,242.02,223.61,233.50,221.85,,,,,206.89,272.17
1999-12-07 22:12:53.785000,L7,,,,,,,156.66,176.97,178.35,180.46,198.04,214.66,221.95,232.70,225.37,245.38,261.80,250.22,248.26,248.81,259.11,287.61,271.92,279.97,276.10,275.01,266.66,273.09,265.70,280.12,288.03,273.66,281.44,285.53,288.25,302.37,277.38,268.90,292.95,301.95,277.99,290.93,282.33,278.86,276.92,274.17,280.94,302.48,271.99,272.50,257.53,270.26,280.11,273.36,295.31,309.72,315.71,310.38,309.00,336.21,293.44,275.00,282.26,309.69,316.68,285.70,287.29,384.43,340.33,284.26,278.58,321.76,246.87,260.18,262.29,257.20,302.34,285.93,281.06,284.59,280.81,280.41,293.73,284.29,288.71,296.69,273.50,295.07,283.69,258.32,258.04,259.78,270.63,289.47,266.27,281.88,278.77,281.39,279.62,260.50,288.92,288.01,290.73,299.15,297.74,314.18,300.98,307.99,305.85,313.75,314.36,321.22,314.28,309.48,303.98,277.16,303.68,250.22,294.24,289.95,288.72,321.42,327.97,240.39,273.49,297.81,307.81,303.73,311.62,308.49,306.27,311.77,301.75,317.82,303.62,322.78,335.80,326.31,307.41,304.47,286.86,290.72,297.64,292.08,299.00,305.62,309.11,298.83,291.96,327.05,333.52,333.83,342.52,280.37,248.42,277.83,251.89,276.23,274.20,276.46,279.21,292.20,253.82,272.82,292.63
1999-12-14 22:19:07.664000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.22,176.79,184.38,173.98,182.73,178.55,182.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-19 22:11:25.950000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.04,197.13,194.81,182.25,180.14,180.69,183.45,180.34,186.08,183.74,192.77,191.16,190.95,173.03,,,,,,,,,,,,,,,,,,,,,,,,,,169.07,174.32,172.47,202.34,180.41,179.05,,,,,,,
2000-09-20 22:10:50.972000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.94,251.21,253.58,250.85,245.89,249.86,256.12,255.98,170.54,178.67,178.32,183.25,186.58,182.96,199.35,199.48,195.96,191.51,195.14,185.29,189.70,186.58,185.30,189.38,199.42,200.47,193.22,186.22,190.04,195.95,197.18,202.50,274.38,268.90,229.92,256.76,266.01,232.51,249.18,247.70,245.79,247.87,239.18,248.90,248.20,248.00,257.55,258.08,238.01,256.84,258.56,257.53,256.72,259.23,261.20,259.52,244.24,235.47,221.27,222.72,,,,222.34,230.58,253.75
2000-09-27 22:16:36.610000,L7,,,,,,,,,181.97,188.79,204.09,224.92,254.48,243.18,253.36,283.78,296.34,259.67,246.05,253.66,281.03,252.33,289.94,274.50,277.23,284.59,289.40,298.44,277.14,269.45,285.03,287.72,305.10,298.50,312.19,294.46,271.87,264.10,273.66,295.95,280.94,271.26,301.40,299.55,296.83,305.36,300.59,269.44,321.67,283.05,288.31,342.23,298.01,279.32,265.58,274.90,269.03,279.03,238.13,241.99,221.89,239.71,232.27,285.84,284.18,308.26,303.75,323.48,315.88,335.59,310.75,283.55,247.96,247.37,245.19,251.24,305.69,322.39,302.54,306.76,274.41,299.92,291.07,327.58,308.75,318.02,318.33,320.70,297.34,297.65,304.01,318.36,291.41,330.84,287.06,286.85,271.90,258.79,249.73,252.14,251.83,328.39,320.52,264.92,266.10,256.70,267.93,275.53,276.14,283.14,312.79,345.04,351.38,353.53,350.21,353.63,360.88,313.96,305.00,325.30,323.55,261.49,265.91,245.37,267.56,268.56,304.06,346.61,346.25,341.99,344.29,354.13,326.38,310.93,302.26,300.71,303.73,300.86,316.86,295.36,281.15,316.64,298.65,364.04,340.05,336.87,405.08,378.45,375.63,415.58,340.07,333.65,339.41,339.40,301.75,332.83,329.09,306.87,275.64,304.82,250.40,248.96,296.82,298.62,290.24
2000-11-14 22:16:30.766000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.91,401.06,374.19,410.80,431.57,,,,,,,,,412.36,387.25,466.66,,,,,,,,,391.90,432.41,401.01,,,,,,,,,,,,,,,,,,251.87,250.88,262.22,254.27,,,239.55,230.72,185.90,183.67,185.91,,,,,,,,,,,,,,,250.75,264.49,265.01,262.69,169.20,192.42,191.96,185.41,179.06,180.96,173.38,182.65,178.55,178.27,188.13,189.82,188.63,186.03,181.02,185.91,186.36,183.75,190.50,193.76,183.60,191.66,188.97,187.13,335.19,336.60,329.95,328.06,,,,,,170.83,186.31,181.73,177.57,182.60,186.09,240.40,239.65,239.56,237.35,214.59,186.18,184.93,163.08,,,161.11,177.47,277.04,250.64
2000-12-16 22:16:35.253000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.60,188.48,180.85,180.36,179.94,170.79,183.85,176.51,175.43,185.12,188.11,189.12,182.83,177.50,184.50,188.67,181.97,190.35,196.30,181.67,190.72,187.61,186.95,170.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-01 22:16:33.637000,L7,,,,,,,,182.14,225.34,232.93,282.25,304.10,292.97,301.16,277.10,354.81,221.40,284.28,308.61,297.99,366.77,373.78,256.82,250.11,267.92,262.76,263.16,267.99,261.86,240.50,262.31,267.97,258.98,271.45,280.70,266.62,275.31,269.52,261.73,257.16,270.41,274.61,270.94,279.13,286.20,280.22,238.39,245.09,244.30,237.98,233.69,238.26,274.05,282.63,271.30,235.76,276.42,239.61,265.85,271.58,233.96,233.33,275.82,271.31,267.63,239.62,243.79,242.29,279.79,283.92,281.51,249.14,240.51,240.54,256.13,259.82,265.51,291.46,288.78,260.59,269.09,274.71,278.72,352.05,333.36,308.96,258.33,254.65,258.38,287.23,266.15,294.31,284.47,271.52,258.25,252.25,259.47,256.19,267.22,272.75,272.04,271.24,276.34,286.27,283.89,289.83,293.60,292.32,323.34,350.83,317.99,320.41,317.90,315.16,299.58,298.33,273.59,297.62,264.73,261.73,290.30,375.58,343.46,302.42,263.73,265.83,270.93,276.11,272.30,323.28,328.45,377.80,381.90,380.33,375.38,268.47,266.35,264.52,259.23,257.35,258.38,261.20,260.88,258.50,262.39,267.30,264.54,262.15,264.16,261.35,264.37,250.34,259.16,305.00,323.86,341.54,378.20,326.73,466.96,428.10,263.67,328.32,344.75,332.86,370.64
