dates,satname,nzd0447-0000,nzd0447-0001,nzd0447-0002,nzd0447-0003,nzd0447-0004,nzd0447-0005,nzd0447-0006,nzd0447-0007,nzd0447-0008,nzd0447-0009,nzd0447-0010,nzd0447-0011,nzd0447-0012,nzd0447-0013,nzd0447-0014,nzd0447-0015,nzd0447-0016,nzd0447-0017,nzd0447-0018,nzd0447-0019,nzd0447-0020,nzd0447-0021,nzd0447-0022,nzd0447-0023,nzd0447-0024,nzd0447-0025,nzd0447-0026,nzd0447-0027,nzd0447-0028,nzd0447-0029,nzd0447-0030,nzd0447-0031,nzd0447-0032,nzd0447-0033,nzd0447-0034,nzd0447-0035,nzd0447-0036,nzd0447-0037,nzd0447-0038,nzd0447-0039,nzd0447-0040,nzd0447-0041,nzd0447-0042,nzd0447-0043,nzd0447-0044,nzd0447-0045,nzd0447-0046,nzd0447-0047,nzd0447-0048,nzd0447-0049,nzd0447-0050,nzd0447-0051,nzd0447-0052,nzd0447-0053,nzd0447-0054,nzd0447-0055,nzd0447-0056,nzd0447-0057,nzd0447-0058,nzd0447-0059,nzd0447-0060,nzd0447-0061,nzd0447-0062,nzd0447-0063,nzd0447-0064,nzd0447-0065,nzd0447-0066,nzd0447-0067,nzd0447-0068,nzd0447-0069,nzd0447-0070,nzd0447-0071,nzd0447-0072,nzd0447-0073,nzd0447-0074,nzd0447-0075,nzd0447-0076,nzd0447-0077,nzd0447-0078,nzd0447-0079,nzd0447-0080,nzd0447-0091,nzd0447-0092,nzd0447-0093,nzd0447-0094,nzd0447-0095,nzd0447-0096,nzd0447-0097,nzd0447-0098,nzd0447-0099,nzd0447-0100,nzd0447-0101,nzd0447-0102,nzd0447-0103,nzd0447-0104,nzd0447-0140,nzd0447-0141,nzd0447-0142,nzd0447-0143,nzd0447-0144,nzd0447-0145,nzd0447-0163,nzd0447-0164,nzd0447-0165,nzd0447-0166,nzd0447-0167,nzd0447-0168,nzd0447-0169,nzd0447-0170,nzd0447-0174,nzd0447-0175,nzd0447-0176,nzd0447-0177,nzd0447-0178,nzd0447-0179,nzd0447-0180,nzd0447-0181,nzd0447-0182,nzd0447-0183,nzd0447-0184,nzd0447-0185,nzd0447-0186,nzd0447-0187,nzd0447-0188,nzd0447-0189,nzd0447-0190,nzd0447-0191,nzd0447-0192,nzd0447-0193,nzd0447-0194,nzd0447-0195,nzd0447-0196,nzd0447-0197,nzd0447-0198,nzd0447-0199,nzd0447-0200,nzd0447-0201,nzd0447-0202,nzd0447-0203,nzd0447-0204,nzd0447-0205,nzd0447-0206,nzd0447-0207,nzd0447-0208,nzd0447-0209,nzd0447-0210,nzd0447-0211,nzd0447-0212,nzd0447-0215,nzd0447-0216,nzd0447-0217,nzd0447-0218,nzd0447-0219,nzd0447-0220,nzd0447-0221,nzd0447-0222,nzd0447-0223,nzd0447-0224,nzd0447-0225,nzd0447-0226,nzd0447-0227,nzd0447-0228,nzd0447-0229,nzd0447-0230,nzd0447-0231,nzd0447-0232,nzd0447-0233,nzd0447-0234,nzd0447-0235,nzd0447-0236,nzd0447-0237,nzd0447-0238,nzd0447-0239,nzd0447-0240,nzd0447-0241,nzd0447-0242,nzd0447-0243,nzd0447-0244,nzd0447-0245,nzd0447-0246,nzd0447-0252,nzd0447-0253,nzd0447-0254,nzd0447-0255,nzd0447-0256,nzd0447-0257,nzd0447-0258,nzd0447-0259,nzd0447-0260,nzd0447-0261,nzd0447-0262,nzd0447-0263,nzd0447-0264,nzd0447-0265,nzd0447-0266,nzd0447-0267,nzd0447-0273,nzd0447-0274,nzd0447-0275,nzd0447-0276,nzd0447-0277,nzd0447-0278,nzd0447-0279,nzd0447-0280,nzd0447-0281,nzd0447-0282,nzd0447-0081,nzd0447-0082,nzd0447-0083,nzd0447-0084,nzd0447-0085,nzd0447-0086,nzd0447-0087,nzd0447-0088,nzd0447-0089,nzd0447-0090,nzd0447-0105,nzd0447-0106,nzd0447-0107,nzd0447-0108,nzd0447-0109,nzd0447-0110,nzd0447-0111,nzd0447-0112,nzd0447-0113,nzd0447-0114,nzd0447-0115,nzd0447-0116,nzd0447-0117,nzd0447-0118,nzd0447-0119,nzd0447-0120,nzd0447-0121,nzd0447-0122,nzd0447-0123,nzd0447-0124,nzd0447-0125,nzd0447-0126,nzd0447-0127,nzd0447-0128,nzd0447-0129,nzd0447-0130,nzd0447-0131,nzd0447-0132,nzd0447-0133,nzd0447-0134,nzd0447-0135,nzd0447-0136,nzd0447-0137,nzd0447-0138,nzd0447-0139,nzd0447-0146,nzd0447-0147,nzd0447-0148,nzd0447-0149,nzd0447-0150,nzd0447-0151,nzd0447-0152,nzd0447-0153,nzd0447-0154,nzd0447-0155,nzd0447-0156,nzd0447-0157,nzd0447-0158,nzd0447-0159,nzd0447-0160,nzd0447-0161,nzd0447-0162,nzd0447-0171,nzd0447-0172,nzd0447-0173,nzd0447-0213,nzd0447-0214,nzd0447-0247,nzd0447-0248,nzd0447-0249,nzd0447-0250,nzd0447-0251,nzd0447-0268,nzd0447-0269,nzd0447-0270,nzd0447-0271,nzd0447-0272,nzd0447-0283
1999-09-04 22:00:33.926000,L7,367.51,383.91,381.71,355.04,347.31,349.61,353.12,357.10,360.12,348.26,346.74,349.57,347.31,350.07,347.41,349.31,351.72,357.85,360.47,361.47,363.42,369.23,260.80,264.67,271.44,280.29,288.08,301.73,297.32,298.55,295.43,297.08,287.91,298.76,300.36,294.41,273.57,290.20,275.82,267.86,268.92,257.59,269.34,268.29,270.91,275.40,276.64,273.56,292.10,288.63,281.01,273.06,276.04,281.35,282.37,285.60,282.38,293.02,280.73,276.81,289.23,279.29,296.70,288.30,295.67,284.39,283.85,279.67,285.83,283.20,273.19,285.86,276.30,283.70,273.39,284.81,259.45,261.51,260.91,277.42,261.78,291.38,293.86,289.62,286.78,288.14,298.23,307.90,306.45,300.36,304.63,294.29,292.96,285.75,287.39,311.79,315.06,302.08,321.39,312.57,306.16,316.51,313.46,317.10,318.04,324.60,319.66,306.22,306.87,320.93,317.43,319.96,324.20,327.40,329.69,326.41,321.88,324.82,331.76,324.12,319.99,325.58,322.24,320.46,321.87,321.38,321.00,323.31,317.78,313.36,303.19,323.41,323.10,322.92,319.14,320.20,320.90,305.20,300.28,301.51,309.17,310.72,319.61,305.45,319.11,314.14,308.88,311.56,288.95,319.64,303.65,310.57,310.28,307.53,320.75,315.32,309.93,321.16,310.80,311.85,304.76,305.57,309.99,308.70,319.07,315.15,317.16,299.74,316.98,321.27,318.91,323.82,317.14,314.36,304.93,316.23,324.02,329.68,289.16,323.38,293.06,327.35,317.97,317.03,320.89,314.85,308.31,315.19,317.22,310.94,292.44,307.48,295.80,295.72,304.77,294.26,296.48,293.76,304.09,300.89,294.81,304.41,306.47,307.09,289.69,303.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-09 22:00:33.510000,L7,387.07,386.31,374.65,314.57,311.60,303.64,312.53,313.58,312.51,295.08,305.47,306.75,300.01,308.74,304.35,310.91,308.99,316.98,305.35,319.01,308.72,311.03,315.95,326.57,331.68,332.82,339.70,343.24,338.76,354.78,340.87,346.84,337.72,342.89,336.82,347.08,336.10,333.70,330.74,329.78,330.61,334.80,330.01,328.67,324.92,329.64,330.67,331.41,332.44,336.08,330.39,331.38,335.12,334.46,337.62,339.46,342.13,339.16,345.85,341.67,345.43,341.52,343.98,339.60,343.94,340.12,339.85,335.77,342.51,330.87,326.78,329.62,322.44,327.84,319.15,329.65,324.12,310.73,323.29,318.67,323.01,341.84,343.56,343.00,348.35,343.57,349.84,343.00,351.47,353.31,354.86,355.06,347.18,348.42,346.43,365.13,364.38,367.72,359.27,360.99,355.46,372.51,368.74,371.26,365.95,367.98,368.93,362.39,361.49,365.91,368.49,369.82,363.95,361.61,364.52,361.06,359.39,363.35,366.17,369.91,365.14,367.38,368.79,364.31,366.25,364.41,365.84,363.56,361.94,358.69,363.60,361.04,353.82,360.19,355.76,352.32,357.27,355.03,352.39,348.68,350.13,351.32,353.34,350.85,352.36,352.07,351.86,354.01,353.78,356.27,356.91,353.47,350.37,350.83,349.22,362.66,352.09,354.20,357.37,353.38,361.22,358.45,354.49,354.38,357.09,357.80,363.96,352.88,366.13,362.61,361.63,359.40,363.48,366.86,361.42,364.66,368.04,373.34,367.59,369.12,362.44,364.45,365.76,357.48,363.71,364.06,355.71,356.34,352.90,358.61,360.09,354.31,356.41,354.46,349.52,350.82,348.65,390.36,347.94,352.94,350.87,349.10,358.06,350.20,354.16,354.31,330.22,330.01,328.96,332.22,324.37,326.78,322.33,333.27,333.65,345.86,352.44,349.60,351.93,349.90,347.74,344.32,352.76,346.42,349.16,350.75,347.17,339.07,350.06,352.72,342.79,336.11,333.46,339.95,340.15,337.38,342.74,341.54,344.08,344.78,348.15,345.13,344.38,352.30,351.37,354.43,354.61,357.09,357.13,364.93,361.19,360.10,354.87,357.74,358.63,355.32,355.89,358.59,361.31,365.25,363.43,365.01,365.96,365.99,368.56,369.54,365.72,370.27,365.73,365.16,365.50,353.13,352.86,370.93,363.95,368.45,376.63,363.76,348.64,348.85,349.11,349.72,344.77,353.38
1999-12-16 22:06:45.781000,L7,371.52,367.45,373.89,366.69,363.79,360.97,354.80,352.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.82,409.67,399.20,399.47,400.15,399.49,,,,,,,,,,,,,,,423.70,389.97,400.75,393.80,319.53,319.04,322.58,310.54,316.82,318.02,323.65,322.24,319.86,321.80,317.06,325.14,316.24,313.52,318.17,315.70,306.34,,313.12,313.03,313.95,310.30,312.68,313.70,297.08,,278.42,301.92,307.18,312.47,300.69,308.60,307.41,301.01,305.83,,,,308.00,304.21,306.64,309.78,307.85,308.92,310.35,306.65,305.53,,,,,,,,284.50,309.37,311.15,300.62,312.32,305.92,309.76,391.66,388.95,396.24,393.18,402.84,401.11,,,,301.07,305.25,307.40,297.04,309.73,305.19,291.97,285.99,304.37,283.88,253.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.87,,,423.61,,,,,,,,,,
2000-01-26 22:00:50.154000,L7,,,,288.80,268.74,308.11,378.06,348.72,340.01,344.30,338.17,336.42,257.95,305.14,297.89,300.03,314.59,303.39,303.18,306.21,302.83,307.83,305.99,300.93,327.41,315.29,342.54,345.34,339.35,342.86,325.69,315.66,320.59,317.45,344.52,313.20,311.78,311.60,304.65,330.52,306.11,310.54,324.31,306.94,282.32,294.28,290.42,309.75,310.08,307.12,306.91,307.51,301.71,304.73,309.71,312.54,310.93,325.02,321.15,323.99,320.19,329.31,319.02,321.09,314.13,316.29,312.37,311.44,314.67,314.32,318.08,296.81,309.18,309.64,308.41,306.57,309.17,302.69,304.10,295.16,305.80,310.13,325.99,330.05,321.78,323.69,322.38,319.21,320.37,323.00,328.99,331.88,331.59,334.27,331.60,347.01,345.28,349.19,339.46,349.63,342.95,361.49,355.93,367.40,355.00,352.48,356.38,353.42,343.27,342.17,351.43,352.18,356.85,374.41,351.16,352.18,346.89,350.43,349.97,350.62,354.70,350.86,345.07,344.36,343.05,346.52,353.71,370.07,338.93,340.13,322.62,353.23,348.35,346.55,346.19,339.81,334.77,336.51,335.03,367.76,350.81,330.58,326.63,327.96,336.86,330.31,324.20,329.45,337.79,341.98,346.39,342.10,330.96,330.90,335.29,339.78,371.29,381.37,328.29,340.66,324.56,336.71,341.48,328.61,325.67,350.70,343.75,352.43,334.61,350.48,343.65,351.26,336.19,345.10,353.40,339.63,352.06,351.49,356.67,361.35,345.62,353.66,348.61,348.46,342.37,346.11,310.81,338.59,333.51,368.03,320.84,368.93,374.50,327.23,322.47,328.90,321.93,332.26,321.85,332.02,369.10,340.71,341.50,345.27,340.74,322.93,309.74,310.36,291.29,297.41,300.70,303.85,311.16,309.57,313.29,316.81,357.27,324.71,329.14,313.59,308.87,316.12,305.99,,,,,,,402.16,396.69,391.40,392.94,395.63,398.89,397.54,394.67,388.40,316.02,328.92,341.41,320.36,323.61,328.64,325.42,337.96,335.73,332.47,341.42,326.50,334.36,338.37,334.48,346.74,326.69,345.11,335.56,338.50,343.59,346.69,348.14,346.63,343.38,348.19,354.49,366.01,352.88,348.94,347.44,350.94,335.91,325.96,341.05,363.04,353.94,358.00,337.34,322.73,357.17,372.98,331.00,333.02,326.86,319.37
2000-02-11 22:00:45.838000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.38,296.06,299.15,304.94,300.89,259.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.41,318.31,313.48,321.93,320.16,317.67,286.31,,,,,,,,,,,301.77,309.76,314.17,305.24,300.28,290.12,305.97,297.16,276.84,,,,311.62,305.93,302.19,291.71,306.29,304.78,313.18,303.91,,,,312.65,310.14,297.54,311.15,318.39,308.93,321.04,324.70,293.58,312.31,,,,,,,,,,,,297.28,312.20,318.51,304.83,300.91,304.02,295.22,295.56,313.42,318.50,313.96,315.06,316.06,,,262.87,305.29,325.22,331.16,342.67,326.97,327.49,343.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.85,298.67,308.22,328.78,296.94,377.69
2000-02-27 22:00:40.315000,L7,,,364.08,387.93,348.89,335.55,350.48,349.69,354.20,355.16,343.31,349.22,343.45,,365.95,351.90,349.72,351.39,353.71,360.85,357.42,358.79,368.08,372.07,373.06,379.88,311.12,320.71,318.33,255.16,257.37,250.97,256.30,262.77,253.21,233.97,270.76,,,,,,,305.44,303.07,271.31,254.01,306.95,312.87,307.61,307.86,291.44,,,,,,323.79,317.96,,,,293.20,318.22,311.71,280.94,273.72,,,,306.97,306.64,293.56,305.81,302.35,290.12,,295.41,281.14,294.08,282.29,290.38,287.77,314.28,319.62,300.70,299.91,316.58,,,327.43,321.27,329.93,317.56,318.76,,,,,,419.22,,,,,,,,336.98,318.88,317.11,334.73,338.65,327.25,340.61,336.18,333.58,343.11,331.90,321.70,340.09,328.91,341.39,337.13,338.17,332.99,337.69,337.04,332.24,328.24,,327.59,334.62,326.18,327.34,327.00,324.70,315.62,320.70,319.74,322.31,322.08,321.21,313.64,327.96,318.62,312.97,321.71,,,,328.89,314.05,314.95,323.52,323.75,325.40,330.55,322.41,320.42,321.83,324.83,322.48,322.16,307.17,326.95,332.03,340.48,336.23,343.90,328.43,317.30,322.08,305.67,,,350.91,348.09,311.56,344.32,295.92,320.43,342.23,312.47,329.64,320.61,324.94,339.12,310.64,295.66,303.44,312.50,337.67,337.87,331.28,331.61,332.86,298.33,335.94,314.99,345.55,339.56,336.21,336.53,368.22,338.30,301.24,302.55,298.66,273.40,299.26,285.70,272.14,303.25,303.23,287.23,315.97,,,,,,,,,,,,396.70,386.32,388.95,395.88,398.88,391.72,393.62,400.73,405.29,395.67,326.48,324.77,309.94,332.22,321.68,344.96,322.00,338.44,328.68,,,,,415.48,414.58,419.46,413.47,405.19,403.18,410.05,414.68,417.13,348.92,338.00,347.50,341.34,,,,,339.07,352.55,339.95,306.10,,378.96,380.16,,,,295.49,,335.75,333.27,329.56,309.99
2000-03-30 22:00:09.363000,L7,,,,,363.00,372.85,370.45,347.16,348.07,345.83,335.89,278.78,275.54,278.05,280.70,229.31,279.16,282.22,288.68,233.76,279.59,243.88,291.55,289.28,306.14,267.98,298.63,303.67,311.95,316.63,313.64,312.26,317.99,315.63,310.03,302.57,278.62,301.12,299.63,303.17,300.35,299.80,266.81,,,,288.76,297.56,305.34,301.79,297.36,292.13,295.70,283.50,299.03,304.19,295.93,308.98,294.29,293.08,300.90,300.27,311.48,299.18,306.96,308.43,300.66,299.26,301.15,299.54,293.36,298.14,292.59,292.55,293.62,296.70,292.92,284.50,277.19,284.57,283.45,301.80,309.94,301.54,304.71,303.96,289.50,305.21,315.47,313.27,318.05,307.94,308.16,281.96,,326.71,327.95,328.95,325.80,324.13,310.25,333.30,336.58,333.04,333.00,335.35,311.27,323.53,,332.54,330.52,329.58,326.88,331.96,327.51,333.63,327.55,330.43,330.84,308.05,323.83,326.31,328.79,325.15,331.70,330.53,325.44,329.30,326.72,315.98,314.83,321.90,316.44,318.02,315.80,321.34,318.59,306.86,311.00,306.14,312.20,312.23,311.18,304.37,312.88,310.75,304.73,308.28,317.73,320.49,316.57,321.12,316.14,321.42,312.13,,,,,,,314.49,312.70,309.89,314.55,309.15,319.43,302.20,320.49,323.36,320.95,322.78,320.13,319.70,,,,,,,291.09,317.96,305.15,308.65,314.54,314.65,300.98,323.69,305.34,291.68,297.62,308.68,295.91,310.08,314.39,301.47,302.43,312.44,312.95,306.30,312.26,318.85,315.18,315.10,,,281.44,275.20,287.32,281.11,279.80,274.68,284.26,291.41,294.64,292.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.86,,,,317.87,312.65,324.90,322.01,321.17,,,314.32,331.96,333.32,328.16,326.73,338.66,327.79,,,332.04,,313.46,,,,,,293.66,312.47,312.48,307.74,305.95,
2000-04-15 21:59:55.745000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.57,305.69,307.10,317.40,303.59,317.84,307.76,297.82,312.82,,,,,,,,,,,,,,,,,,,,,,,293.47,284.66,282.15,292.63,305.07,303.64,302.91,295.28,,,,300.57,303.73,300.59,310.51,310.53,305.60,307.78,293.57,305.83,281.08,306.63,306.72,303.04,294.27,303.21,305.18,301.64,313.52,308.05,,,,,,,,,,,285.57,322.50,320.04,303.60,307.03,314.01,294.58,315.39,316.68,291.28,301.78,316.84,303.25,300.70,317.15,318.56,,347.63,335.35,331.87,,,,357.21,378.10,374.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-01 21:59:54.563000,L7,,,,,,,,,,,,,,268.09,266.43,268.86,277.18,273.71,277.22,268.40,279.02,262.43,274.57,278.50,285.16,296.70,298.27,310.28,310.70,306.75,308.60,302.75,308.48,307.61,305.00,306.11,295.47,296.53,292.71,288.52,278.92,276.07,280.95,287.21,289.81,287.99,276.11,286.62,288.12,283.54,293.22,292.52,284.16,286.35,287.15,281.51,291.99,301.26,295.93,299.90,297.78,303.19,296.18,294.58,294.95,283.26,284.72,291.81,294.78,292.56,293.13,290.03,289.19,287.79,282.89,282.75,273.06,271.91,275.99,279.91,272.58,294.56,301.43,293.82,300.88,300.10,301.38,308.72,308.33,308.12,304.03,301.85,299.63,288.51,295.91,323.49,323.12,308.66,320.17,318.44,315.90,324.56,330.18,329.60,328.83,329.94,325.73,317.84,320.79,328.49,322.70,324.78,327.62,315.68,325.77,320.96,323.65,323.74,320.54,319.41,316.31,315.46,327.06,321.69,326.80,325.99,324.02,320.94,319.34,313.46,312.50,320.23,313.16,318.73,317.53,313.76,324.32,309.17,308.65,306.25,304.42,301.38,308.78,307.04,315.45,306.91,308.11,300.85,316.56,315.80,308.52,312.72,308.64,310.70,311.01,312.28,306.42,312.15,308.02,303.60,299.32,311.02,310.15,304.70,307.14,305.29,306.87,301.41,316.72,314.75,317.08,317.26,309.86,297.76,,,,,,,287.35,321.39,311.29,299.23,309.01,303.18,290.72,307.77,295.34,295.60,289.07,294.83,279.55,283.99,304.47,298.73,300.45,299.63,308.81,300.78,303.47,310.52,315.23,314.76,294.61,308.85,270.51,269.93,274.68,270.54,276.76,282.69,285.55,288.36,281.37,275.24,293.83,282.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.53,318.11,,,,,312.38,319.12,311.51,320.49,309.90,321.79,318.60,323.73,323.69,331.04,323.23,327.50,312.62,327.05,323.25,330.15,,296.91,,,,,,288.73,264.64,305.02,302.64,291.43,300.78
2000-05-08 22:05:56.985000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.24,283.24,261.96,289.55,291.17,291.38,290.42,295.88,253.88,,,,,,,,,,,264.27,269.65,272.37,291.24,271.13,291.95,267.23,,265.33,285.69,297.11,302.56,286.07,,,275.88,293.72,273.06,278.25,282.87,294.65,257.03,295.24,292.24,282.15,280.16,270.83,,,,,,,,,,,303.20,304.24,294.01,300.42,280.85,,,,,,,,,,,,,,,,,,,,,,324.54,318.82,326.49,327.53,326.09,322.44,329.50,321.84,322.92,331.39,333.07,322.52,338.87,337.62,329.85,328.07,334.49,334.57,332.57,329.46,323.66,325.40,332.71,318.18,324.57,321.43,323.82,328.32,324.51,319.48,320.29,316.17,319.55,322.61,313.28,323.72,322.35,317.43,322.62,,,,296.94,316.75,314.10,321.41,322.30,320.97,326.77,320.86,320.84,314.10,315.57,312.62,311.17,312.81,321.08,322.13,311.81,325.70,332.69,301.44,319.08,324.02,316.79,,,,,,,,,,296.06,324.10,328.96,300.81,291.38,304.77,284.58,297.19,312.71,293.14,314.43,316.56,298.08,,,,,,,,,,,,,,,,270.65,256.73,283.82,287.82,294.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.16,332.06,326.08,313.97,,,,,,,,,,,,,,,,,,,,,,,
