dates,nzd0449-0000,nzd0449-0001,nzd0449-0002,nzd0449-0003,nzd0449-0004,nzd0449-0005,nzd0449-0007,nzd0449-0008,nzd0449-0010,nzd0449-0011,nzd0449-0012,nzd0449-0013,nzd0449-0014,nzd0449-0015,nzd0449-0016,nzd0449-0017,nzd0449-0064,nzd0449-0065,nzd0449-0066,nzd0449-0067,nzd0449-0006,nzd0449-0009,nzd0449-0018,nzd0449-0019,nzd0449-0020,nzd0449-0021,nzd0449-0022,nzd0449-0023,nzd0449-0082,nzd0449-0083,nzd0449-0084,nzd0449-0085,nzd0449-0086,nzd0449-0087,nzd0449-0088,nzd0449-0089,nzd0449-0090,nzd0449-0091,nzd0449-0092,nzd0449-0093,nzd0449-0094,nzd0449-0095,nzd0449-0096,nzd0449-0097,nzd0449-0098,nzd0449-0099,nzd0449-0100,nzd0449-0101,nzd0449-0102,nzd0449-0103,nzd0449-0104,nzd0449-0105,nzd0449-0106,nzd0449-0107,nzd0449-0108,nzd0449-0109,nzd0449-0110,nzd0449-0111,nzd0449-0112,nzd0449-0113,nzd0449-0114,nzd0449-0115,nzd0449-0116,nzd0449-0117,nzd0449-0118,nzd0449-0119,nzd0449-0120,nzd0449-0121,nzd0449-0122,nzd0449-0123,nzd0449-0124,nzd0449-0125,nzd0449-0126,nzd0449-0127,nzd0449-0128,nzd0449-0129,nzd0449-0130,nzd0449-0131,nzd0449-0132,nzd0449-0133,nzd0449-0134,nzd0449-0135,nzd0449-0136,nzd0449-0137,nzd0449-0138,nzd0449-0139,nzd0449-0140,nzd0449-0141,nzd0449-0142,nzd0449-0143,nzd0449-0144,nzd0449-0145,nzd0449-0146,nzd0449-0147,nzd0449-0148,nzd0449-0153,nzd0449-0154,nzd0449-0155,nzd0449-0156,nzd0449-0157,nzd0449-0158,nzd0449-0159,nzd0449-0160,nzd0449-0024,nzd0449-0025,nzd0449-0078,nzd0449-0079,nzd0449-0080,nzd0449-0081,nzd0449-0149,nzd0449-0026,nzd0449-0027,nzd0449-0028,nzd0449-0029,nzd0449-0030,nzd0449-0031,nzd0449-0032,nzd0449-0033,nzd0449-0034,nzd0449-0035,nzd0449-0036,nzd0449-0075,nzd0449-0076,nzd0449-0077,nzd0449-0150,nzd0449-0151,nzd0449-0152,nzd0449-0161,nzd0449-0037,nzd0449-0038,nzd0449-0039,nzd0449-0040,nzd0449-0041,nzd0449-0042,nzd0449-0043,nzd0449-0044,nzd0449-0045,nzd0449-0046,nzd0449-0047,nzd0449-0048,nzd0449-0049,nzd0449-0050,nzd0449-0051,nzd0449-0052,nzd0449-0053,nzd0449-0054,nzd0449-0055,nzd0449-0056,nzd0449-0057,nzd0449-0058,nzd0449-0059,nzd0449-0060,nzd0449-0061,nzd0449-0062,nzd0449-0063,nzd0449-0069,nzd0449-0070,nzd0449-0071,nzd0449-0072,nzd0449-0073,nzd0449-0162,nzd0449-0163,nzd0449-0164,nzd0449-0068,nzd0449-0074
1999-11-21 22:13:11+00:00,173.76,188.61,191.5,204.71,222.32,222.33,,,245.37,,,,,,,,,,,,233.15,,,181.41,186.47,185.16,208.22,169.63,,182.29,181.52,193.96,194.65,181.4,191.87,194.71,187.18,193.6,201.05,212.11,202.24,217.7,,242.98,,,221.37,220.7,232.1,237.52,,,,,,,,,,,,,341.94,348.38,,,,,,,,,,,,,,,,,,360.87,352.94,358.09,,,,,,,,,,,,,,,,,,,170.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-28 22:18:56+00:00,173.76,188.61,191.5,204.71,222.32,213.705,,,243.945,,,,,,,,,,,,214.47500000000002,,,181.41,186.47,185.16,208.22,169.63,,182.29,195.89,211.9,186.635,182.89499999999998,183.34,194.71,187.18,193.6,201.05,212.11,202.24,217.7,,242.98,,,221.37,220.7,232.1,237.52,,,,,,,,,,,,,328.375,330.375,,,,,,,,,,,,,,,,373.04,336.63,342.49,338.435,341.23,260.3,275.84,265.92,,,,,,,,,,,,,,,,170.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-07 22:13:17+00:00,173.345,187.29500000000002,192.81,207.925,224.39999999999998,218.16333333333333,,,252.50666666666666,271.06,286.61,323.61,247.23,293.36,371.21,332.47,,,,,214.47500000000002,,296.81,186.14,188.70999999999998,177.445,191.81,169.22,209.49,198.905,202.42333333333332,216.17999999999998,199.8166666666667,194.9333333333333,192.45666666666668,196.56,192.84,204.625,206.005,207.69,217.595,225.89499999999998,202.76,230.56,283.43,270.31,225.035,222.81,240.51,251.57,266.77,,,,,,,,,,,,328.375,330.375,,,,,,,,,,,,,,,,374.77,355.66999999999996,322.44666666666666,318.97333333333336,318.5733333333333,267.815,274.75,271.3,,,,,,,,,,,,,,,,170.54,167.99,163.92,,,,183.54,217.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-14 22:19:07+00:00,173.345,187.29500000000002,192.81,207.925,224.39999999999998,218.16333333333333,,200.71,249.4175,263.3,278.615,323.61,247.23,293.36,371.21,332.47,,,,,205.23333333333335,,296.81,186.14,188.70999999999998,177.445,191.81,169.22,209.49,198.905,202.42333333333332,216.17999999999998,199.8166666666667,194.9333333333333,192.45666666666668,196.56,192.84,204.625,206.005,207.69,217.595,225.89499999999998,202.76,230.56,283.43,270.31,225.035,222.81,240.51,251.57,266.77,,,,,,,,,,,,328.375,330.375,265.52,266.46,,,225.54,237.69,255.07,294.66,308.09,,,,317.69,,,374.77,355.66999999999996,312.285,307.505,303.6,267.58666666666664,271.5133333333333,269.36333333333334,276.84,,,,,,,,,,,,,,,170.54,167.99,163.92,,,,183.54,217.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-19 22:11:25+00:00,,,,,240.25,264.56,250.52,236.52,265.87,273.12,278.47,340.38,283.76,302.6,344.24,326.69,,,,,,,316.27,,,,194.53,180.72,180.71,184.27,217.32,251.07,202.92,193.46,199.55,215.18,207.91,,244.35,215.1,196.29,222.17,193.34,237.96,248.63,244.53,223.54,234.89,248.43,265.1,260.51,227.1,235.96,286.23,294.72,253.16,247.74,248.32,256.01,295.61,269.37,300.46,298.56,304.68,256.84,267.43,266.27,265.62,265.01,271.35,257.95,292.65,280.26,,,,278.15,,,,,290.1,289.26,292.87,,,276.96,302.82,341.86,329.08,324.58,335.72,,,,,,277.98,259.3,249.92,245.2,,,179.59,186.81,,,,198.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-20 22:10:50+00:00,,,,,240.25,264.56,250.52,236.52,265.87,273.12,278.47,340.38,283.76,302.6,344.24,326.69,,,,,,,316.27,,,,194.53,180.72,180.71,184.27,217.32,251.07,202.92,193.46,199.55,215.18,207.91,,262.795,215.1,196.29,222.17,193.34,251.885,265.945,244.53,223.54,234.89,268.38,275.305,260.51,227.1,235.96,286.23,294.72,253.16,247.74,248.32,256.01,295.61,269.37,300.46,298.56,304.68,251.875,256.385,257.71999999999997,256.58500000000004,252.70499999999998,249.60000000000002,257.95,292.65,280.26,,,,273.895,,,,,307.295,302.515,304.95500000000004,,,276.96,302.82,341.86,329.08,324.58,335.72,,,,,,277.98,259.3,249.92,245.2,,,179.59,186.81,,,,198.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.61,285.89,282.58,,,,,,,,,,,,,,,,,,,,,,
2000-09-27 22:16:36+00:00,,,,,247.89,259.06,266.945,236.52,272.11,273.825,277.345,340.38,284.485,292.345,344.24,326.69,,,,,,271.59,316.27,230.87,226.4,,194.53,180.72,180.71,184.27,217.32,251.07,202.92,193.46,199.55,215.18,207.91,,262.795,215.1,196.29,222.17,193.34,265.5266666666667,265.33,237.79500000000002,233.995,234.89,251.91,282.29,246.28,231.1,241.66500000000002,267.07,286.06500000000005,253.77499999999998,258.22,246.26,255.035,290.115,273.555,290.5,283.095,293.87,256.54333333333335,256.385,266.4533333333333,257.6933333333333,255.29,254.20666666666668,261.725,282.645,276.91999999999996,,,,273.895,,,305.19,,307.5,302.515,309.9433333333333,,,276.96,315.385,336.15999999999997,326.71,339.42999999999995,344.70000000000005,325.53,,,,,286.18,270.83500000000004,257.5,242.28,,188.18,182.025,186.81,,274.31,,198.45,,,,,,,,,,,,,,,,256.91,,,,,,,,,,,,,,,,285.61,285.89,282.58,,,,,,,,,,,,,,,,,,,,,,
2000-11-14 22:16:30+00:00,,,,,247.89,259.06,266.945,236.52,272.11,273.825,277.345,340.885,284.485,292.345,354.775,327.99,,,,,,282.05999999999995,321.96,230.87,226.4,,194.53,180.72,180.71,184.27,197.48,251.07,202.92,193.46,199.55,215.18,207.91,,262.795,215.1,196.29,222.17,193.34,265.5266666666667,262.7575,237.79500000000002,233.995,234.89,251.91,282.29,246.28,231.1,241.66500000000002,267.07,286.06500000000005,253.77499999999998,258.22,246.26,255.035,290.115,273.555,290.5,283.095,301.86333333333334,256.54333333333335,256.385,278.4475,257.6933333333333,262.5025,263.5525,261.725,282.645,276.91999999999996,,,,273.895,,,305.19,,307.5,302.515,309.9433333333333,,,276.96,315.385,336.15999999999997,326.71,339.42999999999995,344.70000000000005,325.53,,,,,286.18,270.83500000000004,257.5,242.28,,188.18,182.025,186.81,267.39,265.34000000000003,,198.45,,,,,,,,,165.96,174.84,,,,,226.45,256.91,,,,176.31,181.01,182.91,168.9,188.01,198.0,193.98,198.81,196.01,190.23,197.07,218.58,296.225,296.905,296.755,,,,267.41,261.11,275.1,,,170.42,,179.96,174.41,,,244.54,244.32,213.56,,,,,
2000-12-16 22:16:35+00:00,196.64,205.63,199.91,,247.89,259.06,266.945,236.52,272.11,259.29333333333335,277.345,340.885,284.485,292.345,309.92,289.76666666666665,,,,,,282.05999999999995,280.53999999999996,211.10000000000002,209.735,189.29,185.51999999999998,174.98000000000002,180.71,184.27,197.48,251.07,202.92,193.46,199.55,215.18,207.91,,262.795,215.1,196.29,222.17,193.34,265.5266666666667,262.7575,237.79500000000002,233.995,234.89,231.6725,282.29,222.85333333333332,217.46333333333334,227.98000000000002,247.75,248.4666666666667,253.77499999999998,258.22,246.26,255.035,266.7266666666667,257.4266666666667,266.4066666666667,271.1766666666667,301.86333333333334,256.54333333333335,255.32333333333335,278.4475,259.8125,263.534,264.222,263.30333333333334,279.55,278.59666666666664,,,,273.895,255.85,253.8,313.405,379.11,304.03000000000003,302.515,309.9433333333333,297.24,,276.96,315.385,332.27666666666664,324.89666666666665,331.16333333333336,331.36333333333334,310.35,,,,,286.18,270.83500000000004,257.5,242.28,,188.18,176.71,174.6,267.39,265.34000000000003,,198.45,,,,,,,,,165.96,174.84,,,,,226.45,256.91,,,,176.31,181.01,182.91,168.9,188.01,198.0,193.98,198.81,196.01,190.23,197.07,218.58,296.225,296.905,296.755,,,,267.41,261.11,275.1,,,170.42,,179.96,174.41,199.96,219.33,236.32,232.925,213.56,,,,,
2001-01-01 22:16:33+00:00,196.64,205.63,199.91,,247.89,259.06,266.945,227.28500000000003,249.32333333333335,248.165,277.345,340.885,284.485,292.345,279.6675,289.76666666666665,,,,,,282.05999999999995,280.53999999999996,211.10000000000002,209.735,189.29,185.51999999999998,174.98000000000002,180.71,184.27,197.48,251.07,202.92,193.46,199.55,215.18,207.91,,262.795,215.1,196.29,222.17,193.34,265.5266666666667,262.7575,237.79500000000002,233.995,234.89,222.97799999999998,266.77,218.3975,216.7525,227.94,232.48250000000002,230.235,253.77499999999998,258.22,246.26,255.035,251.98000000000002,245.51749999999998,248.5475,271.1766666666667,301.86333333333334,256.54333333333335,255.32333333333335,278.4475,259.8125,253.09666666666666,264.222,263.30333333333334,260.7625,260.78499999999997,,,,273.895,263.7,240.28,290.20666666666665,313.685,293.204,284.2333333333333,296.62,283.25,270.65,283.155,306.4166666666667,332.27666666666664,315.075,314.87,315.2925,291.9633333333333,246.97,,,,271.7866666666667,254.97333333333336,257.5,242.28,,188.18,176.71,174.6,267.39,265.34000000000003,,198.45,,,,,,,,,165.96,174.84,,,,,226.45,256.91,,,,176.31,181.01,182.91,168.9,188.01,198.0,193.98,198.81,196.01,190.23,197.07,218.58,296.225,296.905,296.755,,,,267.41,261.11,275.1,,,170.42,,179.96,174.41,199.96,219.33,236.32,232.925,213.56,,,,,
