dates,satname,nzd0452-0000,nzd0452-0001,nzd0452-0002,nzd0452-0003,nzd0452-0007,nzd0452-0008,nzd0452-0009,nzd0452-0010,nzd0452-0011,nzd0452-0012,nzd0452-0013,nzd0452-0014,nzd0452-0015,nzd0452-0016,nzd0452-0017,nzd0452-0018,nzd0452-0019,nzd0452-0020,nzd0452-0021,nzd0452-0022,nzd0452-0023,nzd0452-0024,nzd0452-0025,nzd0452-0026,nzd0452-0027,nzd0452-0028,nzd0452-0029,nzd0452-0030,nzd0452-0031,nzd0452-0032,nzd0452-0033,nzd0452-0034,nzd0452-0035,nzd0452-0036,nzd0452-0037,nzd0452-0038,nzd0452-0039,nzd0452-0040,nzd0452-0041,nzd0452-0042,nzd0452-0043,nzd0452-0044,nzd0452-0045,nzd0452-0046,nzd0452-0047,nzd0452-0048,nzd0452-0049,nzd0452-0050,nzd0452-0051,nzd0452-0052,nzd0452-0053,nzd0452-0054,nzd0452-0055,nzd0452-0056,nzd0452-0057,nzd0452-0058,nzd0452-0059,nzd0452-0060,nzd0452-0061,nzd0452-0062,nzd0452-0063,nzd0452-0064,nzd0452-0065,nzd0452-0066,nzd0452-0067,nzd0452-0068,nzd0452-0069,nzd0452-0070,nzd0452-0071,nzd0452-0072,nzd0452-0073,nzd0452-0074,nzd0452-0075,nzd0452-0076,nzd0452-0077,nzd0452-0078,nzd0452-0079,nzd0452-0080,nzd0452-0081,nzd0452-0082,nzd0452-0083,nzd0452-0084,nzd0452-0085,nzd0452-0086,nzd0452-0087,nzd0452-0088,nzd0452-0089,nzd0452-0090,nzd0452-0091,nzd0452-0092,nzd0452-0093,nzd0452-0094,nzd0452-0095,nzd0452-0096,nzd0452-0097,nzd0452-0098,nzd0452-0099,nzd0452-0100,nzd0452-0101,nzd0452-0102,nzd0452-0103,nzd0452-0104,nzd0452-0105,nzd0452-0106,nzd0452-0107,nzd0452-0109,nzd0452-0110,nzd0452-0111,nzd0452-0112,nzd0452-0113,nzd0452-0114,nzd0452-0115,nzd0452-0116,nzd0452-0117,nzd0452-0118,nzd0452-0119,nzd0452-0120,nzd0452-0121,nzd0452-0122,nzd0452-0123,nzd0452-0124,nzd0452-0125,nzd0452-0126,nzd0452-0127,nzd0452-0128,nzd0452-0129,nzd0452-0130,nzd0452-0131,nzd0452-0132,nzd0452-0133,nzd0452-0134,nzd0452-0135,nzd0452-0136,nzd0452-0137,nzd0452-0138,nzd0452-0139,nzd0452-0140,nzd0452-0141,nzd0452-0142,nzd0452-0143,nzd0452-0144,nzd0452-0145,nzd0452-0146,nzd0452-0147,nzd0452-0148,nzd0452-0149,nzd0452-0150,nzd0452-0151,nzd0452-0152,nzd0452-0153,nzd0452-0108
1999-11-28 22:18:56.993000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.33,303.96,298.95,244.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.75,233.85,
1999-11-28 22:19:20.962000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.05,306.90,301.81,247.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.48,189.15,212.09,238.44,
2000-11-14 22:16:54.735000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.48,380.37,293.01,299.35,293.58,170.64,248.16,382.46,,,,,,,,253.05,174.87,,,,,,,370.21,311.07,,,,212.00,445.24,401.46,386.69,332.97,,,,,,,,,,329.15,347.54,337.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.12
2000-12-16 22:16:59.214000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.03,283.38,303.59,,,,,,,,,,,,,,,,,,,,,,184.18,187.80,205.64,230.16,177.60,219.50,213.97,221.42,
2001-11-01 22:14:29.905000,L7,212.32,231.28,301.01,333.92,225.74,340.58,375.99,398.92,435.33,450.97,480.75,476.41,461.70,423.29,526.26,505.50,494.31,523.82,501.97,458.83,472.13,350.17,357.73,305.83,331.42,370.76,348.17,294.15,324.86,359.24,387.59,299.71,320.09,348.69,295.12,252.13,260.09,256.22,256.23,276.66,348.67,325.26,307.04,406.50,273.89,238.13,250.87,260.05,228.37,219.78,309.91,329.14,307.64,311.45,260.01,233.85,236.53,318.85,249.63,245.88,273.26,300.01,321.52,342.85,339.27,443.69,342.97,338.20,355.21,331.79,315.45,291.62,254.44,230.97,257.45,244.05,322.41,316.29,335.67,335.75,355.81,330.69,320.53,331.30,322.60,336.07,402.41,440.29,325.61,310.93,292.33,234.02,334.61,308.86,320.18,331.89,364.69,334.13,325.70,312.68,366.27,350.45,373.46,413.30,514.62,338.84,389.62,423.30,404.94,315.53,324.60,404.03,375.56,421.95,377.03,334.10,393.76,389.83,439.63,407.54,406.30,466.61,450.22,513.86,285.51,292.10,451.34,502.37,471.74,448.33,445.54,439.62,403.56,420.45,415.58,404.88,458.68,431.80,530.59,478.17,452.16,415.14,393.10,358.83,337.98,511.44,414.86,383.36,447.93,438.77,
2002-10-03 22:14:17.207000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.72,176.02,181.74,180.38,183.07,192.00,199.01,,,,,,,,,,,,,,,,,,,
2003-02-24 22:14:49.328000,L7,,,,,,,,,,,,,,,,,,189.08,192.12,173.29,233.56,198.02,173.52,221.31,208.24,191.06,194.53,186.84,172.91,184.18,248.12,190.98,214.96,220.34,231.77,229.89,225.77,243.99,206.01,187.30,185.63,,,,,,,,,,,,,,,,,,,,,,,169.05,211.78,214.84,190.56,192.44,218.20,200.57,,,,,,,,,163.35,263.53,219.71,232.17,224.51,203.01,203.13,184.68,169.74,,,174.81,177.06,204.07,176.60,219.11,,,,,,,,,,,,205.82,177.16,184.28,183.18,159.93,,,,,,185.94,182.74,205.81,212.99,216.42,192.29,206.52,161.59,209.87,222.58,224.48,193.43,189.32,,,,,,,,,,,,,,,,,,,,203.86,213.56,208.08,179.70
2003-03-12 22:15:18.779000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.11,277.60,268.15,311.89,446.17,406.08,374.69,265.40,305.43,212.07,,,,,348.64,394.27,347.89,175.26,,,,,,,,,174.98,269.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-13 22:15:19.708000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.11,303.12,460.98,515.19,532.96,496.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.03
2022-02-12 22:26:23.510000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482.42,402.85,,,342.45,368.35,359.02,469.37,537.53,448.40,512.45,,,,,,,,,,,,,,,,,,,,,,,,,,,332.92,307.47,298.94,325.34,218.38,,,,,,,495.99,467.49,334.78,301.05,452.81,433.12,436.14,365.56,183.87,440.36,419.89,318.93,203.33,,,441.15,401.22,396.89,370.36,344.42,295.71,292.47,,,,,,,,,,
