dates,nzd0453-0000,nzd0453-0001,nzd0453-0002,nzd0453-0003,nzd0453-0004,nzd0453-0005,nzd0453-0006,nzd0453-0007,nzd0453-0008,nzd0453-0009,nzd0453-0010,nzd0453-0011,nzd0453-0012,nzd0453-0013,nzd0453-0014,nzd0453-0015,nzd0453-0016,nzd0453-0017,nzd0453-0018,nzd0453-0019,nzd0453-0020,nzd0453-0021,nzd0453-0022,nzd0453-0023,nzd0453-0024,nzd0453-0025,nzd0453-0026,nzd0453-0027
2002-10-03 22:14:17+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,198.23,222.73,257.0
2002-12-06 22:14:49+00:00,,,,,,,,,,,,,,,,,,,,,,,179.03,,207.25,202.415,230.97,271.945
2003-01-07 22:14:52+00:00,,,,,,,,,,,,,,,,,,,,,,,179.03,,193.76,200.6,234.6833333333333,276.54333333333335
2003-02-24 22:15:13+00:00,,,,,,,,,,,,,,,,,,,,,,,179.03,,193.76,200.6,238.37,278.53999999999996
2003-08-27 22:03:45+00:00,,,,,,,,,212.25,263.06,,263.86,,,265.04,,288.08,264.08,272.78,,270.45,277.6,,,,,,
2003-12-01 22:05:04+00:00,,,,,,,,,212.25,263.06,238.94,247.865,185.05,178.9,265.04,,288.08,264.08,272.78,,257.105,261.505,210.75,245.93,,239.67,256.72,
2004-01-18 22:05:21+00:00,,,,,,,,,212.25,263.06,245.685,252.15,200.685,178.9,265.04,,288.08,264.08,272.78,,257.105,261.505,213.785,253.335,,252.82999999999998,256.72,
2005-09-17 22:14:42+00:00,,,,,,,,,,,249.28,255.12,262.92,206.39,257.27,212.89,272.73,263.6,259.19,,,,,,202.61,,,
2006-04-13 22:18:14+00:00,,,,,,,,,,250.07,261.69,263.35,259.02,,273.78,217.7,278.32,264.82,264.44,,270.25,270.07,,,204.56,,,
2006-12-09 22:21:12+00:00,218.02,,,,,,,198.92,193.83,,,,298.69,,298.89,,,322.87,301.47,,,,,,,,311.07,
2007-02-11 22:21:32+00:00,218.02,,,,,,,198.92,193.83,,256.47,252.29,298.69,190.17,298.89,,,322.87,301.47,,245.68,253.05,219.83,261.2,217.36,255.01,296.35,
2007-02-27 22:21:32+00:00,218.02,,,,,,,198.92,193.83,,256.47,252.29,298.69,190.17,298.89,,,322.87,301.47,,245.68,253.05,219.83,261.2,205.64,247.39,283.73,
2007-09-23 22:19:35+00:00,,,,,,,,,,,,235.33,,190.61,,,,,,,260.0,260.08,234.55,,201.79,,,
2013-08-22 22:28:36+00:00,,,,,,,,,,,,,,,,,,,,,262.39,257.96,199.78,,234.0,,,
2013-09-07 22:28:35+00:00,,,,,,,,,,,,,,,,,,,,,262.39,257.96,199.78,,222.565,,,
2013-09-23 22:28:28+00:00,,,,,,,,,,,,,,,,,,,,,263.085,258.88,205.87,217.72,224.29,,,
2013-11-10 22:28:18+00:00,,,,,,,,,225.99,,,254.53,,196.18,,216.52,,,,,265.0466666666667,259.74333333333334,211.44000000000003,237.45499999999998,231.935,274.41,,
2013-12-28 22:27:59+00:00,,,,,,,,236.94,228.16500000000002,,249.9,257.555,,199.55,,216.52,,,268.16,185.49,265.0466666666667,259.74333333333334,211.44000000000003,244.99666666666667,236.996,279.525,306.2,
2014-01-13 22:27:45+00:00,,,,,,309.73,312.22,236.94,228.16500000000002,,278.99,268.06,298.73,199.55,274.13,216.52,,306.63,267.655,187.01,265.3325,260.5,214.79000000000002,244.99666666666667,245.10833333333335,284.6366666666667,306.2,
2014-03-02 22:27:09+00:00,,,333.6,337.65,334.73,318.69500000000005,316.02,236.94,228.16500000000002,269.04,288.0,277.3075,307.19,199.55,274.13,216.52,,311.4,267.655,187.01,266.31333333333333,261.34666666666664,219.79333333333338,244.99666666666667,247.33,284.6366666666667,306.2,
2014-09-26 22:26:40+00:00,,,,,,,,237.88,234.91,,279.86,309.71,318.1,,,,317.52,340.47,261.82,184.89,301.59,301.13,214.19,227.38,250.2,,,
2015-02-17 22:26:23+00:00,,,,,,,,237.88,234.91,,279.86,279.7,277.055,199.04,168.18,218.17,317.52,340.47,261.82,184.89,283.65,280.03,214.20999999999998,232.69,252.76,271.61,288.5,
2015-12-18 22:26:42+00:00,,,,,,,,,,,259.59,259.77,247.1,202.81,177.14,218.91,276.47,257.96,259.86,185.18,271.0,263.09,223.39,260.51,259.12,278.89,,
