dates,nzd0456-0000,nzd0456-0001,nzd0456-0002,nzd0456-0003,nzd0456-0004,nzd0456-0005,nzd0456-0006,nzd0456-0007,nzd0456-0008,nzd0456-0009,nzd0456-0010,nzd0456-0011,nzd0456-0012,nzd0456-0013,nzd0456-0014,nzd0456-0015,nzd0456-0016,nzd0456-0017,nzd0456-0018,nzd0456-0019,nzd0456-0020,nzd0456-0021,nzd0456-0022,nzd0456-0023,nzd0456-0024,nzd0456-0025,satname
2000-11-14 22:16:54.735,,,,,,,,,,,,,,,,,,,412.81,416.73,,,451.26,475.98,448.42,,L7
2002-01-20 22:15:25.657,,,,,,,,,,,,,,,,,,,,,,,464.64,471.91,465.33,,L7
2002-02-05 22:15:25.531,,,,,,,,,,,,,,,,,,,391.48,401.11,,,464.64,471.91,465.33,,L7
2003-02-24 22:15:13.300,,,,,,,,,,,,,,,180.46,214.14,,,,,,,,,,,L7
2003-03-12 22:15:18.779,,,,,,,,,,,,,,,180.46,214.14,,,,370.27,,,,,,,L7
2003-12-01 22:05:04.787,229.55,231.15,217.91,207.14,202.21,207.77,221.92,219.03,215.76,230.41,197.31,184.81,179.56,185.72,209.77,237.59,241.24,224.43,,215.92,,,,,,274.7,L5
2004-09-30 22:10:46.090,,,,,,,,,,,,,,,,,,,,,,,,,,236.48,L5
2005-09-17 22:14:42.676,236.16,229.08,222.68,211.25,209.07,209.46,221.57,223.19,232.39,244.07,212.19,199.42,201.34,194.94,229.41,232.68,238.35,226.23,,212.21,223.14,231.19,246.69,256.81,268.33,269.55,L5
2006-02-08 22:16:57.956,237.72,230.125,224.22500000000002,210.675,208.31,213.54000000000002,219.035,229.58499999999998,235.035,249.655,220.04500000000002,215.83499999999998,201.34,209.06,238.92000000000002,242.65,240.54,244.45999999999998,,229.20499999999998,230.90499999999997,239.08499999999998,256.34000000000003,270.98,280.85,283.38,L5
2007-01-26 22:21:31.018,227.36,225.32,219.01,204.75,201.94,207.98,221.23,219.82,227.61,233.65,207.3,,189.7,190.72,218.93,237.38,234.6,220.83,,214.14,227.48,233.9,245.17,257.39,266.23,276.74,L5
