dates,nzd0457-0000,nzd0457-0001,nzd0457-0002,nzd0457-0003,nzd0457-0005,nzd0457-0006,nzd0457-0007,nzd0457-0008,nzd0457-0009,nzd0457-0010,nzd0457-0011,nzd0457-0012,nzd0457-0013,nzd0457-0014,nzd0457-0015,nzd0457-0018,nzd0457-0019,nzd0457-0020,nzd0457-0021,nzd0457-0022,nzd0457-0023,nzd0457-0024,nzd0457-0025,nzd0457-0026,nzd0457-0027,nzd0457-0028,nzd0457-0029,nzd0457-0030,nzd0457-0031,nzd0457-0032,nzd0457-0033,nzd0457-0034,nzd0457-0035,nzd0457-0036,nzd0457-0037,nzd0457-0038,nzd0457-0039,nzd0457-0040,nzd0457-0041,nzd0457-0042,nzd0457-0043,nzd0457-0044,nzd0457-0045,nzd0457-0046,nzd0457-0047,nzd0457-0048,nzd0457-0049,nzd0457-0050,nzd0457-0051,nzd0457-0052,nzd0457-0053,nzd0457-0064,nzd0457-0065,nzd0457-0066,nzd0457-0067,nzd0457-0068,nzd0457-0069,nzd0457-0070,nzd0457-0071,nzd0457-0072,nzd0457-0073,nzd0457-0074,nzd0457-0075,nzd0457-0076,nzd0457-0077,nzd0457-0078,nzd0457-0079,nzd0457-0080,nzd0457-0081,nzd0457-0082,nzd0457-0083,nzd0457-0084,nzd0457-0085,nzd0457-0086,nzd0457-0087,nzd0457-0088,nzd0457-0089,nzd0457-0090,nzd0457-0091,nzd0457-0092,nzd0457-0093,nzd0457-0094,nzd0457-0095,nzd0457-0096,nzd0457-0097,nzd0457-0098,nzd0457-0099,nzd0457-0100,nzd0457-0101,nzd0457-0111,nzd0457-0112,nzd0457-0113,nzd0457-0114,nzd0457-0115,nzd0457-0120,nzd0457-0121,nzd0457-0122,nzd0457-0123,nzd0457-0124,nzd0457-0125,nzd0457-0126,nzd0457-0127,nzd0457-0128,nzd0457-0129,nzd0457-0130,nzd0457-0131,nzd0457-0132,nzd0457-0133,nzd0457-0134,nzd0457-0135,nzd0457-0136,nzd0457-0137,nzd0457-0138,nzd0457-0142,nzd0457-0143,nzd0457-0144,nzd0457-0145,nzd0457-0146,nzd0457-0147,nzd0457-0148,nzd0457-0149,nzd0457-0150,nzd0457-0151,nzd0457-0152,nzd0457-0156,nzd0457-0157,nzd0457-0158,nzd0457-0159,nzd0457-0160,nzd0457-0161,nzd0457-0162,nzd0457-0163,nzd0457-0164,nzd0457-0165,nzd0457-0166,nzd0457-0167,nzd0457-0168,nzd0457-0169,nzd0457-0170,nzd0457-0171,nzd0457-0172,nzd0457-0173,nzd0457-0174,nzd0457-0175,nzd0457-0176,nzd0457-0177,nzd0457-0184,nzd0457-0185,nzd0457-0186,nzd0457-0187,nzd0457-0188,nzd0457-0189,nzd0457-0190,nzd0457-0191,nzd0457-0197,nzd0457-0198,nzd0457-0199,nzd0457-0200,nzd0457-0201,nzd0457-0202,nzd0457-0203,nzd0457-0204,nzd0457-0205,nzd0457-0206,nzd0457-0207,nzd0457-0208,nzd0457-0209,nzd0457-0210,nzd0457-0211,nzd0457-0004,nzd0457-0016,nzd0457-0017,nzd0457-0054,nzd0457-0055,nzd0457-0056,nzd0457-0057,nzd0457-0058,nzd0457-0059,nzd0457-0060,nzd0457-0061,nzd0457-0062,nzd0457-0063,nzd0457-0102,nzd0457-0103,nzd0457-0104,nzd0457-0105,nzd0457-0106,nzd0457-0107,nzd0457-0108,nzd0457-0109,nzd0457-0110,nzd0457-0116,nzd0457-0117,nzd0457-0118,nzd0457-0119,nzd0457-0139,nzd0457-0140,nzd0457-0141,nzd0457-0153,nzd0457-0154,nzd0457-0155,nzd0457-0178,nzd0457-0179,nzd0457-0180,nzd0457-0181,nzd0457-0182,nzd0457-0183,nzd0457-0192,nzd0457-0193,nzd0457-0194,nzd0457-0195,nzd0457-0196,nzd0457-0212,nzd0457-0213,nzd0457-0214,nzd0457-0215,nzd0457-0216,nzd0457-0217,nzd0457-0218,nzd0457-0219,nzd0457-0220,nzd0457-0221,nzd0457-0222,nzd0457-0223,nzd0457-0224,nzd0457-0225,satname
1999-08-26 22:07:08+00:00,,,,,,,,,,,,,,,,,,,,,,333.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.59,,,,,,,,,,,,309.65,272.78,250.55,243.0,,180.79,,,,,,,,,,330.47,321.88,327.14,,,,,342.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.51,248.48,195.97,,,238.68,314.1,305.26,317.58,317.21,328.5,,,,300.13,183.5,,,,,,,,,,,,,,,297.54,302.16,,,,,,,,,,,,,,,,,339.7,,,,,,311.93,,,,,,,317.73,330.83,331.26,,,,,,,,,,,,285.69,277.4,,,,,,,,,,,236.31,,,,,,,,,,,,,,,L7
1999-10-13 22:07:12+00:00,,,,,,,,,,,,,,,,,,,,,,333.59,,,327.07,327.11,320.57,330.74,328.95,319.15,268.19,,,,,,,,,,,,,,,,,,,,,,329.59,,,,,,,,244.33,,,,309.65,272.78,250.55,243.0,,180.79,,,,,,304.41,303.79,,303.64,329.07500000000005,318.975,308.44,321.78,,,,342.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.51,248.48,195.97,,,238.68,314.1,305.26,310.145,298.125,324.09000000000003,,,,300.13,183.5,,,,,,,,,,,,,,,297.54,302.16,,,,,,,,,,,,,,,,,341.26,,,,,328.91,328.25,346.44,,,,,,317.73,330.83,331.26,,,,,,,,,,,,285.69,277.4,,,,,,,,,,,236.31,,,,,,,,,,,,,,,L7
1999-11-30 22:06:59+00:00,,,,,,,,,,,,,,,,,,,,,,331.205,328.44,327.98,328.11,327.445,316.88,326.525,325.875,315.865,256.75,337.08,335.91,,336.49,329.95,,,,,,,,,,267.66,274.74,329.32,,,,,330.07,,276.55,,,,,,261.845,,,,309.65,272.78,250.55,243.0,,180.79,,,,318.17,328.72,319.14,321.155,343.71,323.315,331.42,319.9166666666667,312.93666666666667,335.765,350.67,350.38,352.59,345.845,341.43,330.88,151.36,,169.78,269.42,292.24,,174.4,228.32,249.49,258.38,285.97,297.23,293.16,,,,,219.31,236.36,305.71,309.13,320.24,312.33,313.54,,,,,,260.84,,262.52,264.65,,,274.06,246.88,186.63,172.07,153.8,241.70499999999998,315.41,300.78499999999997,303.46666666666664,303.59666666666664,322.8866666666667,,278.22,282.46,301.53,192.4,,,,,,,,,,283.54,290.7,298.78,,305.73,297.54,302.16,,,,,,,,,,,,,,,,,341.26,,,,326.65,328.91,328.25,346.44,,328.51,326.35,338.48,338.18,327.49,332.84000000000003,332.705,328.44,287.36,194.43,293.31,,,,298.0,,,270.81,279.395,283.715,,,,,,,,297.56,296.5,,236.31,,,,,,,,,,,,,,,L7
1999-12-16 22:07:09+00:00,,,,,,,,,,,,,,,,,,,,,,330.8433333333333,329.57,328.07000000000005,328.74,326.50666666666666,316.88,319.37666666666667,314.69666666666666,305.68,256.75,337.08,335.91,293.24,332.695,329.905,,,,,,,,,,261.555,289.03499999999997,322.985,,,,,330.07,,266.255,,257.14,,,,261.845,,,,305.895,287.09,250.55,253.99,192.91,180.79,,,,318.17,328.72,319.14,321.155,343.71,323.315,331.42,319.9166666666667,312.93666666666667,335.765,350.67,350.38,352.59,344.3233333333333,341.605,330.03499999999997,158.78500000000003,,174.29000000000002,266.23,290.015,,192.04000000000002,230.685,248.775,252.1,282.12,295.71000000000004,289.255,,,,,219.19,216.71,288.67999999999995,290.775,315.755,310.485,311.635,,,,,,247.58999999999997,,245.87,248.03499999999997,210.77,,274.06,246.88,186.63,172.07,153.8,241.70499999999998,315.41,300.78499999999997,300.4,305.6875,317.14,,278.22,282.46,301.53,192.4,,,,,,,252.44,265.01,295.55,286.75,287.13,298.78,,305.73,296.845,301.99,,273.27,,,,,,,,,,,,,,,341.26,,,,326.65,333.055,332.23333333333335,342.78499999999997,,328.51,324.08000000000004,337.67,339.96000000000004,331.30333333333334,333.2966666666667,332.8566666666666,326.58000000000004,289.525,199.49,291.7,288.29,266.37,,289.675,,,270.81,279.395,283.715,,,,,,,,290.755,296.5,,230.905,,,,,,,,,,,,,,,L7
2000-03-21 22:06:49+00:00,,,,,,,,172.98,,,,,,,,,,,,,,329.47,329.57,328.07000000000005,328.74,326.50666666666666,316.88,319.37666666666667,314.69666666666666,305.68,256.75,337.08,335.91,293.24,332.695,329.905,,,305.69,309.16,319.17,321.24,,,,261.555,289.03499999999997,322.985,,,,,330.55,,266.255,,257.14,,,,261.845,,,,302.14,301.4,,264.98,192.91,,,,,318.17,328.72,319.14,321.155,343.71,323.315,331.895,318.935,305.835,335.765,350.67,350.38,352.59,345.39,341.605,330.03499999999997,158.78500000000003,,174.29000000000002,266.23,290.015,,238.82333333333335,230.685,248.775,252.1,282.12,295.71000000000004,289.255,,345.26,,,219.19,216.71,288.67999999999995,290.775,315.755,310.485,311.635,170.08,,,,,247.58999999999997,,245.87,248.03499999999997,210.77,,268.61,245.28,177.29,172.07,153.8,244.73,316.72,296.31,294.67333333333335,301.84666666666664,313.3533333333333,,278.22,282.46,302.93,201.3,,,,,,,252.44,265.01,295.55,286.75,287.13,298.78,,305.73,296.15,301.82,,273.27,,,,327.45,300.23,,,,337.01,,,,,,342.82,,,,326.65,333.055,342.385,342.78499999999997,,328.51,324.08000000000004,337.67,339.96000000000004,338.09000000000003,334.53,333.655,326.58000000000004,289.525,199.49,291.7,288.29,266.37,,289.675,,218.89,270.81,273.1,290.03,,,,,332.22,,,290.755,296.5,,225.5,,,,315.2,,,369.48,,364.1,,,306.95,267.45,,L7
2000-05-08 22:06:20+00:00,,,,,,,,172.98,,,,,,,,,,,,,,329.47,329.57,328.07000000000005,329.57500000000005,326.205,313.19,319.12333333333333,314.9533333333333,304.09666666666664,259.86,337.08,335.91,293.24,332.695,329.905,,302.59,311.05,313.435,323.105,324.64,,,,270.93666666666667,302.9066666666667,320.94666666666666,,,,,330.55,,266.255,,257.14,,,,279.36,,,,302.14,301.4,,264.98,192.91,,,,,318.17,315.71000000000004,325.14,329.46500000000003,343.71,342.99,336.11,321.8,321.93,349.75,350.67,350.38,352.59,345.39,341.605,330.03499999999997,158.78500000000003,,174.29000000000002,266.23,290.015,,238.82333333333335,230.685,248.775,252.1,282.12,295.71000000000004,289.255,,345.26,,,219.19,216.71,288.67999999999995,290.775,315.755,310.485,311.635,170.08,,,,,247.58999999999997,,245.87,248.03499999999997,210.77,,268.61,245.28,177.29,172.07,153.8,244.73,316.72,296.31,290.655,313.25,310.18999999999994,,278.22,282.46,302.93,201.3,,,,,,,252.44,265.01,295.55,286.75,287.13,298.78,,305.73,296.15,301.82,,273.27,,,,327.45,300.23,,,,337.01,,,,,,,,,,326.65,337.2,340.2,339.13,,328.51,324.08000000000004,337.67,339.96000000000004,338.09000000000003,334.53,333.655,326.58000000000004,289.525,199.49,291.7,288.29,266.37,,289.675,,218.89,270.81,273.1,290.03,,,,,332.22,,,290.755,296.5,,225.5,,,,315.2,,,369.48,,364.1,,,306.95,267.45,,L7
2000-05-24 22:06:10+00:00,,,,,,,,172.98,,,,,,,,,,,,,,329.47,329.57,328.07000000000005,329.57500000000005,326.205,321.615,322.9925,318.7,308.7475,266.3533333333333,337.08,330.52,291.15999999999997,327.7233333333333,329.56333333333333,223.18,309.84,316.19666666666666,318.01,326.9866666666667,327.91333333333336,313.59,339.05,336.47,288.49,311.4075,326.18,,,,,330.55,,266.255,,259.03499999999997,,,,279.36,,,,302.14,301.4,,264.98,192.91,,,,281.54,315.26,313.75,324.5466666666667,328.11333333333334,339.575,335.41499999999996,336.11,321.8,321.93,341.78499999999997,349.03,347.985,348.715,345.39,341.605,330.03499999999997,158.78500000000003,,174.29000000000002,266.23,290.015,,238.82333333333335,230.685,248.775,252.1,282.12,295.71000000000004,289.255,,345.26,,,219.19,216.71,288.67999999999995,290.775,315.755,310.485,311.635,170.08,,,,,247.58999999999997,,245.87,248.03499999999997,210.77,,268.61,245.28,177.29,172.07,153.8,244.73,316.72,296.31,290.655,313.25,310.18999999999994,,278.22,282.46,302.93,201.3,,,,,,,239.565,259.985,285.45500000000004,286.75,287.13,298.78,,286.895,296.15,301.82,,273.27,,,,327.45,300.23,,,,337.01,,,,,,,,,,326.65,337.2,340.2,339.13,,328.51,324.08000000000004,337.67,339.96000000000004,338.09000000000003,334.53,327.6666666666667,326.58000000000004,289.525,199.49,291.7,288.29,266.37,,289.675,,218.89,270.81,273.1,290.03,,,,,332.22,,281.13,290.755,296.5,,225.5,,,,315.2,,,369.48,,364.1,,,306.95,267.45,,L7
2000-07-11 22:05:41+00:00,,,,,,,,172.98,,,,,,,,,,,,,,,,,,,330.04,332.29,329.83000000000004,318.55,276.875,336.07,325.13,289.08,317.78,331.93,223.18,309.84,319.19,321.325,328.3525,329.4525,312.30499999999995,338.78499999999997,335.12,323.07,333.31,329.52666666666664,,,,,,,,,260.93,,,,,,,,,,251.71,,204.15,,,,298.07000000000005,312.89,308.18666666666667,320.1666666666667,322.91,335.44,330.03999999999996,340.43,332.61,332.82,330.62,343.835,345.59,344.84,,332.41,307.27,,,,,,,332.39,,,,,,,,345.26,,,,,,,,,,170.08,,,,,281.59,278.3,263.27,267.86,237.0,251.86,,,,,,234.7,309.83,309.78,316.58,296.77,,247.69,291.67,317.76,300.25,200.55,,,,,,,250.535,269.275,284.86,,,295.44,298.46,283.32,300.71,302.42,287.07,270.04,,,,327.45,300.23,,,,337.01,,,,,,,,,,,,,,,,,,325.28,319.34,,315.69,,,,,,,,,,218.89,271.07,254.04,,,311.02,302.67,,332.22,198.61,291.56,302.85,285.99,,231.95,,,,315.2,,,369.48,,364.1,,,306.95,267.45,,L7
2000-07-27 22:05:24+00:00,,,,,,,,172.98,,,,,,,,,,,,,,338.42,339.68,342.16,331.48,322.33,330.04,332.29,329.83000000000004,318.55,276.875,340.54499999999996,333.3,288.78,329.715,335.8066666666667,239.865,315.42,322.642,324.466,330.968,332.332,317.78,339.7266666666667,338.99666666666667,328.585,336.815,333.5075,,,,,,,,,260.93,,,,,,,,,,260.96,262.54,204.15,,,,293.41,312.89,308.18666666666667,320.1666666666667,322.91,335.44,333.3966666666667,342.07,334.635,335.755,333.53333333333336,345.16,345.59,344.84,,331.92,318.245,,,,,,,332.39,,,239.51,271.47,264.49,,,345.26,,,,,,,,,,170.08,,,,,282.20500000000004,281.99,265.78499999999997,268.48,255.585,263.645,,,167.58,,,235.95999999999998,304.275,298.92499999999995,312.315,299.65,310.53,230.215,291.67,316.78,300.25,200.55,,,,,,,252.88333333333333,271.92333333333335,284.86,,,287.89,293.41499999999996,287.43666666666667,286.21,302.47,294.67499999999995,268.94,,,,327.45,300.23,,,,337.01,,,,,,,,,,,,,331.4,,,,297.74,325.28,317.91499999999996,318.95,313.26,,,,,,,,,,218.89,271.07,263.405,,,311.02,302.67,,332.22,198.61,292.96,297.76,286.47,,224.78,,,,315.2,,,369.48,,364.1,,,306.95,267.45,,L7
2000-08-12 22:05:17+00:00,,,,,,,,172.98,,,,,,,,,,,,,,342.36,339.68,315.34000000000003,313.70500000000004,312.86,330.04,332.29,329.83000000000004,308.3833333333333,278.61333333333334,340.54499999999996,333.3,288.78,329.715,335.8066666666667,245.2266666666667,319.08,325.1016666666667,327.195,333.3533333333333,334.6616666666667,325.3725,339.7266666666667,338.99666666666667,328.585,336.815,333.5075,,316.99,356.97,,362.76,,,,260.93,359.64,,,,,,,306.28,312.49,269.7,278.26,211.16,,,339.0,293.41,318.12,313.6525,323.005,325.44666666666666,334.09000000000003,338.1175,348.37999999999994,340.42333333333335,339.45666666666665,337.9175,347.4,350.825,348.09,350.3,338.4166666666667,326.68,,,,,,,332.39,226.81,252.94,254.37,283.87,286.905,306.81,,345.26,,,,,,,,,,170.08,,,,,286.5266666666667,288.32,273.7866666666667,276.76666666666665,268.6166666666667,274.27,284.73,260.38,190.015,187.28,170.91,243.26999999999998,310.6466666666667,305.74666666666667,315.67333333333335,309.72666666666663,324.58,230.215,291.67,321.9066666666667,312.725,201.33,,,,,,,262.97249999999997,279.3,293.6666666666667,285.91,,296.59666666666664,293.41499999999996,294.6925,286.21,306.43666666666667,300.5333333333333,275.3066666666667,,,,327.45,300.23,,,,337.01,,,,,,352.39,,,,333.48,356.38,359.68,342.935,352.87,355.74,337.48,297.74,335.88,327.77,331.42499999999995,323.14,306.22,253.56,,291.83,289.43,251.88,,,,218.89,283.325,272.4,289.89,,311.92999999999995,309.74,,312.265,214.875,299.1675,303.03000000000003,296.07666666666665,,246.86666666666667,,,,315.2,,,369.48,,364.1,,,306.95,267.45,,L7
