dates,nzd0460-0000,nzd0460-0001,nzd0460-0031,nzd0460-0032,nzd0460-0033,nzd0460-0034,nzd0460-0050,nzd0460-0051,nzd0460-0052,nzd0460-0053,nzd0460-0054,nzd0460-0065,nzd0460-0066,nzd0460-0005,nzd0460-0006,nzd0460-0009,nzd0460-0010,nzd0460-0011,nzd0460-0013,nzd0460-0014,nzd0460-0015,nzd0460-0016,nzd0460-0017,nzd0460-0018,nzd0460-0019,nzd0460-0020,nzd0460-0021,nzd0460-0022,nzd0460-0023,nzd0460-0024,nzd0460-0025,nzd0460-0026,nzd0460-0036,nzd0460-0037,nzd0460-0038,nzd0460-0039,nzd0460-0041,nzd0460-0042,nzd0460-0043,nzd0460-0044,nzd0460-0045,nzd0460-0047,nzd0460-0048,nzd0460-0049,nzd0460-0055,nzd0460-0056,nzd0460-0057,nzd0460-0058,nzd0460-0059,nzd0460-0060,nzd0460-0061,nzd0460-0062,nzd0460-0063,nzd0460-0064,nzd0460-0067,nzd0460-0068,nzd0460-0069,nzd0460-0070,nzd0460-0071,nzd0460-0072,nzd0460-0073,nzd0460-0074,nzd0460-0002,nzd0460-0003,nzd0460-0004,nzd0460-0007,nzd0460-0008,nzd0460-0075,nzd0460-0076,nzd0460-0077,nzd0460-0078,nzd0460-0079,nzd0460-0080,nzd0460-0081,nzd0460-0082,nzd0460-0083,nzd0460-0084,nzd0460-0085,nzd0460-0046,nzd0460-0012,nzd0460-0027,nzd0460-0028,nzd0460-0029,nzd0460-0040,nzd0460-0035,nzd0460-0030,satname
2000-01-31 22:19:21.915,,,,,,,,,,379.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-02-16 22:19:16.215,,,,,,,,,448.22,390.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.69,350.86,,,,,,,,516.7,409.1,371.55,,,,,,,,,,381.68,414.92,401.38,427.71,,475.6,472.03,514.55,,,,,,,,,,,,L7
2000-04-20 22:18:51.435,,,,,,,,,441.06500000000005,390.52,382.25,,,,,,311.74,,261.64,236.92,,229.66,273.16,217.19,,190.61,245.59,261.34,,,,,,,331.6,,,,,,,,439.84,,355.52,,325.53999999999996,352.28,,,,,,500.69,,527.3050000000001,396.09000000000003,371.55,,,525.03,,,,,,,371.845,396.20500000000004,400.11,425.58,477.59,474.17,489.955,519.89,,,,487.86,,,264.84,262.14,354.76,,225.58,L7
2000-12-16 22:16:59.214,,,,,,,,,,386.23,343.58,440.33,428.07,,,,,,,,,,,,,,,,,,,,285.37,283.2,314.5,318.06,347.42,,,,,433.47,440.49,,319.71,,321.6,326.7,,,355.13,,,463.06,,489.66,,332.26,,,504.31,,,,,,,,,,,,,,,,,,475.46,,,,227.81,326.24,,196.01,L7
2001-08-29 22:15:16.816,,,324.0,,313.86,,412.34,,407.2,375.09,,445.54,413.08,,,,300.89,,285.63,253.87,,250.98,315.19,311.06,,230.61,262.0,283.86,,,,,250.66,287.36,339.8,330.43,387.19,,,,,456.1,,,,,,,384.61,,394.13,460.67,,431.71,,468.95,,,402.95,,,447.96,,,,463.2,,,,,,513.66,479.73,492.93,464.95,,,,432.54,,,297.78,,349.21,,,L7
2001-10-23 22:21:01.749,,,324.0,,313.86,189.24,412.34,,407.2,375.09,,445.54,413.08,,,,300.89,,285.63,253.87,,250.98,315.19,311.06,,230.61,262.0,283.86,,,,,242.48000000000002,287.36,339.8,330.43,387.19,291.59,282.02,,,456.1,,,,,,,384.61,,394.13,460.67,,431.71,,468.95,,,384.735,,,447.96,,,,463.2,,,,,,513.66,479.73,492.93,464.95,,,,432.54,,,297.78,,349.21,211.03,,L7
2001-11-01 22:14:53.871,404.67,,324.0,,313.86,189.24,412.34,,407.2,375.09,,445.54,413.08,,,,300.89,388.78,285.63,253.87,,250.98,315.19,311.06,,230.61,262.0,283.86,,,,,242.48000000000002,287.36,339.8,330.43,387.19,291.59,282.02,,,456.1,,,,,,,384.61,,394.13,460.67,,431.71,,468.95,,,384.735,,,447.96,,,,463.2,,,,,,513.66,479.73,492.93,464.95,,,,432.54,,,297.78,,349.21,211.03,,L7
2002-01-20 22:15:25.657,404.67,,324.0,,313.86,189.24,412.34,,407.2,375.09,,445.54,417.92999999999995,,,,300.89,388.78,285.63,253.87,,250.98,315.19,311.06,,230.61,262.0,283.86,,,,,242.48000000000002,287.36,339.8,330.43,387.19,291.59,282.02,,,456.1,,,,,,,384.61,,394.13,460.67,,412.98,,468.95,,,384.735,,,457.82,,,,463.2,,,,,,513.66,479.73,492.93,464.95,,,,432.54,,,297.78,,349.21,211.03,,L7
2002-01-27 22:21:34.098,415.15,,324.0,,313.86,189.24,412.34,,407.2,375.09,,445.54,417.92999999999995,,,,300.89,388.78,285.63,253.87,,250.98,315.19,311.06,,230.61,262.0,283.86,,,,,242.48000000000002,287.36,339.8,330.43,387.19,291.59,282.02,,,456.1,,,,,,,384.61,,394.13,460.67,,412.98,,468.95,,,384.735,,,457.82,,,,463.2,,,,,,513.66,479.73,492.93,464.95,,,,432.54,,,297.78,,349.21,211.03,,L7
2002-02-05 22:15:25.531,415.15,,324.0,,313.86,189.24,412.34,330.69,421.56,375.09,329.25,456.255,428.03666666666663,,,,300.89,388.78,285.63,253.87,,250.98,315.19,311.06,,230.61,262.0,283.86,,,,,242.48000000000002,287.36,339.8,330.43,387.19,291.59,282.02,,,456.1,,,,,,,403.86,,394.13,453.045,,412.98,,468.95,,,384.735,,,457.82,,,,463.2,,,,,,513.66,479.73,492.93,464.95,,,,432.54,,,297.78,,349.21,211.03,,L7
