dates,nzd0462-0000,nzd0462-0001,nzd0462-0002,nzd0462-0003,nzd0462-0004,nzd0462-0005,nzd0462-0006,nzd0462-0007,nzd0462-0008,nzd0462-0009,nzd0462-0010,nzd0462-0035,nzd0462-0036,nzd0462-0037,nzd0462-0038,nzd0462-0039,nzd0462-0040,nzd0462-0041,nzd0462-0042,nzd0462-0043,nzd0462-0044,nzd0462-0045,nzd0462-0046,nzd0462-0047,nzd0462-0048,nzd0462-0049,nzd0462-0050,nzd0462-0051,nzd0462-0052,nzd0462-0028,nzd0462-0029,nzd0462-0030,nzd0462-0031,nzd0462-0032,nzd0462-0033,nzd0462-0034,nzd0462-0053,nzd0462-0054,nzd0462-0055,nzd0462-0056,nzd0462-0057,nzd0462-0058,nzd0462-0059,nzd0462-0060,nzd0462-0061,nzd0462-0062,nzd0462-0063,nzd0462-0064,nzd0462-0065,nzd0462-0066,nzd0462-0067,nzd0462-0068,nzd0462-0069,nzd0462-0070,nzd0462-0071,nzd0462-0072,nzd0462-0073,nzd0462-0074,nzd0462-0075,nzd0462-0076,nzd0462-0077,nzd0462-0078,nzd0462-0079,nzd0462-0080,nzd0462-0081,nzd0462-0082,nzd0462-0083,nzd0462-0084,nzd0462-0085,nzd0462-0086,nzd0462-0087,nzd0462-0088,nzd0462-0089,nzd0462-0090,nzd0462-0091,nzd0462-0092,nzd0462-0093,nzd0462-0094,nzd0462-0095,nzd0462-0096,nzd0462-0011,nzd0462-0012,nzd0462-0019,nzd0462-0020,nzd0462-0021,nzd0462-0022,nzd0462-0023,nzd0462-0024,nzd0462-0025,nzd0462-0026,nzd0462-0027,nzd0462-0013,nzd0462-0014,nzd0462-0015,nzd0462-0016,nzd0462-0017,nzd0462-0018,satname
1999-09-27 22:07:12+00:00,,,,,,,,,,290.83,,337.74,347.96,341.67,325.04,337.06,344.25,317.34,348.7,341.59,333.07,,308.68,,334.52,287.21,,311.05,328.22,323.74,321.58,319.19,324.61,326.89,322.28,327.82,340.17,336.16,339.39,345.13,,,348.54,352.31,,,,,,345.78,347.46,344.94,341.0,,330.5,,,,369.53,,322.14,,,346.1,346.26,,,,,,,,,,343.53,,,,346.38,346.57,322.33,322.47,296.54,283.76,301.7,314.05,309.76,,,306.71,312.21,323.64,281.79,294.42,292.0,282.26,294.51,L7
1999-10-13 22:07:12+00:00,,,,,,,,,,290.83,,337.74,347.96,341.67,325.04,337.06,344.25,317.34,348.7,341.59,333.07,,308.68,,334.52,287.21,,311.05,328.22,323.74,321.58,319.19,324.61,326.89,322.28,327.82,340.17,336.16,339.39,345.13,,,348.54,352.31,,,,,,345.78,347.46,344.94,341.0,,330.5,,,,369.53,,322.14,,,346.1,346.26,323.15,308.15,323.32,323.28,321.5,331.96,328.87,315.56,310.22,343.53,,,,346.38,346.57,322.33,322.47,296.54,283.76,301.7,314.05,309.76,,,306.71,312.21,323.64,281.79,294.42,292.0,282.26,294.51,L7
1999-11-30 22:06:59+00:00,,,,,,,,,,290.83,,337.74,347.96,341.67,325.04,337.06,344.25,317.34,348.7,341.59,333.07,,308.68,,334.52,287.21,,311.05,328.22,323.74,321.58,319.19,324.61,326.89,322.28,327.82,340.17,336.16,339.39,345.13,,,348.54,352.31,,,,,,345.78,347.46,344.94,341.0,,330.5,,,,369.53,,313.305,313.75,311.52,332.865,349.53999999999996,323.15,312.755,317.88,316.32,328.735,336.91499999999996,334.185,310.445,319.71500000000003,324.44,320.86,320.14,,327.85,346.57,322.33,322.47,296.54,283.76,301.7,314.05,309.76,,,306.71,312.21,323.64,281.79,294.42,292.0,282.26,294.51,L7
1999-12-16 22:07:09+00:00,,,,,,,,,,290.83,,336.78499999999997,347.96,342.33000000000004,325.09000000000003,342.515,346.765,330.71,348.7,341.59,333.07,,318.365,,333.51,287.22,,311.05,328.22,323.74,321.58,319.19,324.61,326.89,327.17999999999995,332.83,340.17,336.16,339.39,345.13,,,348.54,352.31,,,,,,345.78,347.46,344.94,341.0,,330.5,,,,369.53,,327.96,313.75,311.52,332.865,349.53999999999996,323.15,312.755,317.88,316.32,328.735,336.91499999999996,334.185,310.445,319.71500000000003,324.44,331.945,333.275,,335.62666666666667,358.615,313.655,322.47,296.54,283.76,301.7,314.05,309.76,,301.27,306.77,312.21,323.64,281.79,294.42,292.0,294.15999999999997,294.51,L7
2000-03-21 22:06:49+00:00,,,,,,,,,,290.83,,336.78499999999997,347.96,342.33000000000004,325.09000000000003,342.515,346.765,330.71,348.7,341.59,333.07,,318.365,,333.51,287.22,,311.05,328.22,323.74,321.58,319.19,324.61,326.89,327.17999999999995,332.83,340.17,317.31,325.835,326.85,301.71,,331.45000000000005,335.19,306.82,308.14,301.73,305.55,,345.78,331.325,330.33000000000004,329.40999999999997,,322.66999999999996,303.75,,,356.18499999999995,323.03,325.6675,316.62,315.635,333.26,347.19,329.365,318.8,317.06333333333333,315.2133333333333,326.22,334.08666666666664,330.06666666666666,309.74666666666667,315.97,317.81333333333333,331.945,333.275,,335.62666666666667,358.615,313.655,322.47,296.54,283.76,301.7,314.05,309.76,,301.27,306.77,312.21,323.64,281.79,294.42,292.0,294.15999999999997,294.51,L7
2000-07-27 22:05:24+00:00,,,,,,,,,,,,353.39,359.18,342.4,336.71,339.4,,335.48,,,,,,,,,,331.28,,,324.32,332.56,335.35,,332.91,345.01,338.61,298.46,312.28,308.57,301.71,358.92,335.17,338.35,306.82,308.14,301.73,305.55,353.22,,315.19,315.72,317.82,,314.84,303.75,,,342.84,328.27,336.595,319.49,319.75,334.05,342.49,335.58,330.89,315.43,309.86,321.19,328.43,321.83,308.35,325.565,304.56,,,,,346.11,,,,,,317.42,327.54,,302.69,326.26,325.62,,,,,,,L7
2000-08-12 22:05:17+00:00,,,,,,,,,,,,337.335,342.08000000000004,326.07,310.815,328.13,327.54,327.395,327.15,303.44,303.41,309.05,293.03,303.69,317.76,,,331.28,328.35,287.45,306.47,317.365,316.515,291.42,314.365,328.08,334.71500000000003,310.07,312.825,326.355,306.475,339.67,334.03000000000003,342.21999999999997,309.77,325.24,312.385,322.01,333.77,334.94,322.06,322.03,327.015,362.47,321.695,297.21500000000003,360.06,,347.42499999999995,326.56333333333333,330.66333333333336,319.595,320.43,336.28499999999997,348.525,338.315,325.155,319.88,302.9666666666667,321.19,328.43,321.83,308.35,312.6033333333333,319.515,352.3,357.81,363.07,,346.11,,,,304.06,294.98,306.925,327.54,,302.69,326.26,308.90999999999997,,,,,,308.95,L7
2000-12-18 22:04:37+00:00,,,,,,,,,,,,337.335,344.48333333333335,326.07,310.815,328.13,327.54,327.395,327.15,303.44,303.41,309.05,293.03,303.69,317.76,,,331.28,332.29,291.83500000000004,311.5933333333333,317.95666666666665,316.515,291.42,311.82666666666665,331.6933333333333,334.71500000000003,331.595,313.37,344.14,311.24,346.4866666666667,348.38000000000005,352.76,312.72,342.34,323.04,338.47,333.77,334.94,328.93,328.34,336.21,362.47,328.55,290.68,360.06,,345.905,324.96,328.9066666666667,316.21500000000003,321.11,338.52,354.56,341.05,315.24,318.455,297.95000000000005,,330.74,340.41,,314.66499999999996,340.02,353.135,357.81,363.07,,331.21000000000004,,,,304.06,294.98,307.93333333333334,323.875,320.89,310.84000000000003,319.69,308.90999999999997,,,,,,308.95,L7
2001-02-20 22:04:36+00:00,,,,,,,,,,294.88,,338.29,341.82500000000005,318.26,,,,,,330.15,295.24,301.15,286.13,291.98,304.99,272.88,,,336.23,298.96000000000004,315.115,319.14,,,306.75,338.92,343.12,344.645,342.22,350.05,356.09,360.12,357.08000000000004,349.69,,,,,,,,,,,,329.46,,,353.185,316.33000000000004,310.97,312.73,,346.29,,,311.06,312.58,,,330.74,340.41,,,345.57,353.97,,,,316.31,,318.35,,311.87,,309.95,320.21,320.89,298.1,302.435,294.73,305.6,,,307.9,316.93,,L7
2002-04-12 22:03:01+00:00,,,,,,,,,,,,308.42,327.06,325.53,293.82,321.78,318.06,316.69,334.5,307.61,305.26,,296.69,,,,,,309.07,295.98,298.83,283.52,298.31,309.09,304.85,312.06,329.47,331.72,,336.22,,346.4,348.13,346.75,343.15,335.52,342.35,323.25,308.94,315.04,328.41,332.84,344.89,,,359.15,,331.93,365.23,318.21,313.76,316.26,315.05,320.24,346.81,,,351.3,,,,,,320.01,329.42,317.65,306.95,,,,,,,,,,,,,278.57,299.74,,,,,,,L7
