dates,satname,nzd0463-0000,nzd0463-0001,nzd0463-0002,nzd0463-0003,nzd0463-0004,nzd0463-0005,nzd0463-0006,nzd0463-0007,nzd0463-0008,nzd0463-0009,nzd0463-0010,nzd0463-0011,nzd0463-0012,nzd0463-0013,nzd0463-0014,nzd0463-0015,nzd0463-0016,nzd0463-0017,nzd0463-0018,nzd0463-0019,nzd0463-0020,nzd0463-0021,nzd0463-0022,nzd0463-0023,nzd0463-0024,nzd0463-0025,nzd0463-0026,nzd0463-0027,nzd0463-0028,nzd0463-0029,nzd0463-0030,nzd0463-0031,nzd0463-0032,nzd0463-0033,nzd0463-0034,nzd0463-0035,nzd0463-0036,nzd0463-0037,nzd0463-0038,nzd0463-0039,nzd0463-0040,nzd0463-0041,nzd0463-0042,nzd0463-0043,nzd0463-0044,nzd0463-0045,nzd0463-0046,nzd0463-0047,nzd0463-0048,nzd0463-0049,nzd0463-0050,nzd0463-0051,nzd0463-0052,nzd0463-0053,nzd0463-0054,nzd0463-0055,nzd0463-0056,nzd0463-0057,nzd0463-0058,nzd0463-0059,nzd0463-0060,nzd0463-0061,nzd0463-0062,nzd0463-0063,nzd0463-0064,nzd0463-0065,nzd0463-0066,nzd0463-0067,nzd0463-0068,nzd0463-0069,nzd0463-0070,nzd0463-0071,nzd0463-0072,nzd0463-0073,nzd0463-0074,nzd0463-0075,nzd0463-0076,nzd0463-0077,nzd0463-0078,nzd0463-0079,nzd0463-0080,nzd0463-0081,nzd0463-0082,nzd0463-0083,nzd0463-0084,nzd0463-0085,nzd0463-0086,nzd0463-0087,nzd0463-0088,nzd0463-0092,nzd0463-0093,nzd0463-0094,nzd0463-0095,nzd0463-0096,nzd0463-0097,nzd0463-0098,nzd0463-0099,nzd0463-0100,nzd0463-0101,nzd0463-0102,nzd0463-0103,nzd0463-0104,nzd0463-0105,nzd0463-0106,nzd0463-0107,nzd0463-0108,nzd0463-0109,nzd0463-0110,nzd0463-0111,nzd0463-0112,nzd0463-0113,nzd0463-0114,nzd0463-0115,nzd0463-0116,nzd0463-0117,nzd0463-0118,nzd0463-0119,nzd0463-0120,nzd0463-0121,nzd0463-0122,nzd0463-0123,nzd0463-0124,nzd0463-0125,nzd0463-0126,nzd0463-0127,nzd0463-0128,nzd0463-0129,nzd0463-0130,nzd0463-0131,nzd0463-0132,nzd0463-0133,nzd0463-0089,nzd0463-0090,nzd0463-0091
1999-08-26 22:07:08.722000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,263.97,267.97,242.28,,,,,,,,,,212.97,253.85,,246.09,240.28,243.36,229.70,233.19,245.40,,,,,,153.91,227.04,259.82,248.16,246.96,242.31,,,,,,,,268.28,263.15,259.58,242.93,224.54,279.17,285.48,276.62,236.25,,,,,,,,,,,,,,,,,,,,208.47,243.31,201.22,169.01,189.57,163.33,,,,,,,,,212.68,279.49,272.94,224.13,272.12,260.75,,,,,,,,,,,,,,,,,,,,,,
1999-09-27 22:07:12.757000,L7,340.04,332.42,342.45,343.98,341.36,336.87,332.23,326.20,332.91,316.21,359.55,367.76,369.04,364.13,353.26,321.38,317.31,314.97,318.87,319.87,318.87,315.68,319.44,321.58,347.25,359.27,367.63,362.81,345.40,339.91,339.75,340.18,330.10,327.46,295.65,208.96,304.10,366.88,373.27,375.13,362.99,355.20,359.60,350.26,359.71,363.16,367.58,373.72,372.09,377.14,371.43,374.22,374.01,377.29,376.85,368.10,373.00,366.20,365.10,359.78,356.64,345.74,343.40,343.40,351.24,361.24,369.94,366.94,372.86,374.09,377.33,370.62,381.87,377.74,352.86,340.56,320.69,337.13,333.77,344.67,338.16,339.54,342.82,356.17,336.00,355.48,357.74,334.02,338.76,325.28,346.92,351.07,322.83,352.71,357.15,351.45,346.50,343.48,325.79,319.76,327.51,329.61,319.00,250.35,192.07,170.45,299.88,310.61,307.80,309.01,311.96,325.55,342.00,350.18,353.24,351.74,342.38,339.26,316.88,305.74,317.55,320.41,279.73,320.15,340.17,347.13,350.13,355.89,351.61,355.19,353.37,,,
1999-10-13 22:07:12.582000,L7,343.09,327.71,344.40,351.08,346.96,340.53,338.52,329.82,332.36,297.22,356.91,504.94,346.49,517.24,,,139.49,181.51,369.04,383.91,318.76,420.56,,510.87,328.74,333.94,341.15,342.14,451.56,492.41,502.15,474.02,393.95,,336.44,380.22,472.61,330.76,363.44,354.80,328.28,345.01,324.29,351.98,364.94,361.93,359.95,366.80,365.50,367.16,362.98,361.75,353.25,364.83,360.82,360.95,361.80,357.63,358.51,351.40,358.19,339.31,328.20,329.17,339.92,350.55,355.94,357.54,357.91,359.25,368.24,367.45,362.87,373.43,341.88,322.18,307.17,323.84,322.16,324.77,326.94,322.22,331.75,329.14,276.63,343.34,339.81,161.03,,,,,,468.86,245.14,291.75,225.83,269.11,296.18,,,,367.66,256.31,171.10,166.57,288.30,310.22,300.85,297.95,304.92,318.09,329.31,351.61,346.05,347.92,340.97,342.01,315.57,300.30,311.65,317.49,249.85,156.06,,239.67,312.18,325.94,319.49,346.90,355.51,,,
1999-11-30 22:06:59.059000,L7,398.59,401.80,431.15,417.16,424.48,408.66,415.39,419.65,427.01,429.05,430.09,461.99,462.30,444.00,426.44,421.98,421.11,421.40,403.24,393.87,405.17,401.00,399.34,411.47,408.06,426.94,424.34,431.96,436.63,421.81,420.64,427.54,417.41,415.92,416.84,422.13,411.89,411.45,419.60,419.67,410.57,414.19,427.51,419.47,411.57,413.80,417.97,419.09,411.92,404.71,416.61,417.73,423.22,423.67,425.26,434.91,439.27,437.25,460.21,424.23,416.14,424.50,420.99,422.01,409.00,410.04,408.68,429.01,438.58,442.54,433.27,439.76,430.26,420.96,412.55,423.72,405.06,408.56,397.92,399.82,397.77,399.02,407.48,398.19,397.08,394.68,389.25,387.04,388.95,401.66,401.24,422.34,428.73,420.38,423.27,429.64,432.18,441.13,440.35,426.81,425.68,412.81,303.01,312.72,317.79,312.68,413.66,410.47,412.03,416.12,411.16,421.28,440.06,425.28,427.81,450.45,414.13,415.50,409.14,413.57,411.65,420.34,411.31,436.60,424.88,452.80,453.50,475.03,436.78,479.11,420.85,402.95,406.60,406.32
1999-12-16 22:07:09.748000,L7,375.46,389.89,404.50,411.12,417.40,413.54,416.39,417.46,409.16,399.11,418.48,410.69,407.14,415.72,425.02,417.98,408.15,408.01,394.55,393.15,385.24,393.14,382.87,375.30,377.83,405.40,405.02,422.29,421.34,417.19,419.71,415.04,407.93,410.52,402.26,408.94,411.01,399.76,410.02,414.55,407.60,399.21,407.63,400.83,392.01,399.76,407.52,415.65,417.37,379.82,382.06,382.93,380.63,419.92,416.82,403.84,406.51,398.16,401.33,405.68,417.96,401.63,385.00,384.41,415.62,423.38,423.98,409.93,399.45,421.49,423.47,429.89,430.39,421.70,399.50,410.61,402.37,389.66,394.94,377.28,371.62,369.34,369.60,376.64,386.39,405.96,391.89,393.65,405.39,422.67,424.42,424.34,436.65,430.69,419.84,408.40,427.10,431.51,435.03,440.29,430.93,433.07,418.73,388.65,387.86,411.63,416.43,410.01,397.19,394.56,403.05,419.86,433.24,425.93,419.13,416.74,410.72,401.94,426.47,434.41,428.55,417.26,417.05,420.45,413.42,422.49,415.98,408.89,400.89,415.91,398.77,425.41,433.94,430.41
2000-03-21 22:06:49.022000,L7,325.56,324.54,328.48,331.94,336.93,333.05,327.16,328.29,332.10,323.38,341.85,348.66,208.59,,,231.89,307.61,299.48,308.26,303.86,296.93,298.80,300.99,303.34,325.25,328.05,331.07,333.53,330.73,329.22,328.75,328.94,330.11,322.83,248.22,233.81,287.37,346.43,357.26,355.25,350.53,357.19,358.54,354.60,349.72,353.27,348.51,351.98,353.78,348.72,347.80,349.31,347.00,353.90,350.49,350.88,353.65,351.38,346.40,346.89,341.87,332.62,325.25,319.60,332.97,224.63,221.63,221.00,213.97,347.74,359.79,363.22,357.24,360.68,341.20,337.38,334.11,335.80,333.82,326.68,319.26,320.08,325.95,325.48,302.60,330.56,337.54,,,,199.75,339.17,321.35,336.16,334.42,329.49,328.20,319.79,314.46,303.75,315.77,312.81,178.57,219.98,,139.56,151.44,176.80,291.67,290.90,306.40,310.15,327.04,335.08,332.12,334.11,330.37,321.98,307.05,300.99,311.18,306.69,259.91,302.06,321.61,330.64,330.60,337.77,336.37,343.28,342.30,,,
2000-05-08 22:06:20.956000,L7,336.19,336.83,344.08,345.27,349.27,345.30,335.37,332.45,336.48,336.36,358.49,369.90,150.49,178.09,192.21,190.75,210.86,256.33,191.74,314.25,307.43,307.91,311.58,310.80,339.63,337.38,339.29,337.45,335.08,335.24,336.08,333.99,329.72,329.55,249.39,222.63,295.40,359.37,367.30,358.17,352.07,359.90,366.06,354.08,349.23,356.64,357.61,360.16,361.50,355.07,355.57,354.57,357.92,358.16,355.31,354.07,355.77,355.96,350.49,351.63,349.47,343.20,335.44,333.76,339.66,346.13,355.26,356.59,357.32,357.49,368.47,374.15,368.79,370.75,356.64,353.13,343.66,347.70,347.00,334.35,317.58,325.28,330.43,332.78,328.95,350.12,348.84,145.31,,215.18,340.90,351.96,329.10,350.11,346.30,342.36,339.94,331.02,322.92,314.43,319.95,322.92,285.40,228.19,,190.60,308.32,312.70,305.11,302.35,310.70,321.81,336.32,346.13,347.07,349.02,341.83,332.48,321.05,312.47,326.13,318.34,281.87,318.37,333.84,342.35,346.88,353.81,352.57,354.86,352.27,,,
2000-05-24 22:06:10.472000,L7,,298.06,301.84,294.82,203.29,294.82,213.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.84,320.40,333.55,333.96,327.43,307.82,329.99,,,,,,,,,,,,,,,,,,,232.20,233.17,234.95,236.81,235.23,217.54,216.63,228.92,,,,,,,,,,,,,,,,,,,,,192.35,261.44,217.71,,,,,,,,,,,,233.41,279.43,263.20,251.89,271.58,281.90,,,,,,,,,,,,,,,256.72,259.16,304.69,300.38,307.98,,,
2000-07-11 22:05:41.532000,L7,,,,,192.20,225.10,211.10,,,,,,,,,,,,,,,,,253.52,279.70,288.81,286.50,289.44,,,,,,,,,,268.62,350.91,343.79,338.76,341.06,345.47,340.49,328.40,336.02,338.36,303.48,332.58,341.81,312.65,341.84,299.45,294.43,287.20,313.30,276.60,306.94,270.33,,223.71,226.89,200.02,187.54,321.49,282.81,285.33,300.45,299.20,320.64,287.77,273.32,292.03,277.59,261.85,250.54,232.89,249.60,243.47,214.87,,,,289.44,259.64,234.35,208.56,,,,,,238.05,269.38,261.76,192.80,207.17,237.94,,,,,,,,,256.27,294.17,279.43,282.22,289.76,296.30,304.77,300.64,309.40,295.99,292.22,,,,299.30,290.36,207.98,273.97,294.82,289.65,312.82,317.64,321.20,326.64,328.94,,,
2000-07-27 22:05:24.302000,L7,328.47,149.89,,,345.58,336.35,335.64,330.90,326.46,336.93,356.86,377.74,198.94,,,,,303.59,313.30,313.87,339.98,312.11,315.23,320.85,337.79,355.82,357.63,346.90,328.87,335.57,333.51,331.36,325.78,330.63,220.50,195.37,293.07,370.30,390.75,398.87,362.77,368.85,379.79,363.93,356.25,364.88,367.29,380.99,356.31,358.95,366.50,364.77,363.78,372.41,368.75,366.58,365.81,363.54,362.28,360.50,359.24,357.44,353.01,335.42,355.88,365.80,370.78,371.32,370.10,370.67,372.29,379.12,367.86,371.01,337.54,345.83,319.01,333.62,335.77,344.04,330.26,343.24,338.79,352.09,351.89,347.73,346.67,201.30,,240.84,340.54,353.74,309.00,348.64,354.30,352.49,231.52,328.71,318.48,310.74,310.74,321.50,319.13,236.66,148.14,183.44,313.85,318.04,312.72,310.95,296.46,317.83,338.69,356.91,349.95,348.80,355.21,332.33,316.51,317.57,334.64,321.35,285.47,321.56,337.46,355.13,352.21,350.94,350.85,354.99,355.30,,,312.00
