dates,nzd0466-0000,nzd0466-0001,nzd0466-0002,nzd0466-0003,nzd0466-0004,nzd0466-0005,nzd0466-0006,nzd0466-0007,nzd0466-0008,nzd0466-0009,nzd0466-0010,nzd0466-0011,nzd0466-0012,nzd0466-0013,nzd0466-0014,nzd0466-0015,nzd0466-0016,nzd0466-0017,nzd0466-0018,nzd0466-0019,nzd0466-0020,nzd0466-0021,nzd0466-0022,nzd0466-0023,nzd0466-0024,nzd0466-0025,nzd0466-0026,nzd0466-0027,nzd0466-0028,nzd0466-0029,nzd0466-0030,nzd0466-0031,nzd0466-0032,nzd0466-0033,nzd0466-0034,nzd0466-0035,nzd0466-0036,nzd0466-0037,nzd0466-0038,nzd0466-0039,nzd0466-0040,nzd0466-0041,nzd0466-0042,nzd0466-0043,nzd0466-0044,nzd0466-0045,nzd0466-0046,nzd0466-0047,nzd0466-0048,nzd0466-0049,nzd0466-0050,nzd0466-0051,nzd0466-0052,nzd0466-0053,nzd0466-0054,nzd0466-0055,nzd0466-0056,nzd0466-0057,nzd0466-0058,nzd0466-0059,nzd0466-0060,nzd0466-0061,nzd0466-0062,nzd0466-0063,nzd0466-0064,nzd0466-0065,nzd0466-0066,nzd0466-0067,nzd0466-0068,nzd0466-0069,nzd0466-0070,nzd0466-0071,nzd0466-0072,nzd0466-0073,nzd0466-0074,nzd0466-0075,nzd0466-0076,nzd0466-0077,nzd0466-0078,nzd0466-0079,nzd0466-0080,nzd0466-0081,nzd0466-0082,nzd0466-0083,nzd0466-0084,nzd0466-0085,nzd0466-0086,nzd0466-0087,nzd0466-0088,nzd0466-0089,nzd0466-0090,nzd0466-0091,nzd0466-0092,nzd0466-0093,nzd0466-0094,nzd0466-0095,nzd0466-0096,nzd0466-0097,nzd0466-0098,nzd0466-0099,nzd0466-0100,nzd0466-0101,nzd0466-0102,nzd0466-0103,nzd0466-0104,nzd0466-0105,nzd0466-0106,nzd0466-0107,nzd0466-0108,nzd0466-0109,nzd0466-0110,nzd0466-0111,nzd0466-0112,nzd0466-0113,nzd0466-0114,nzd0466-0115,nzd0466-0116,nzd0466-0117,nzd0466-0118,nzd0466-0119,nzd0466-0120,nzd0466-0121,nzd0466-0122,nzd0466-0123,nzd0466-0124,nzd0466-0125,nzd0466-0126,nzd0466-0127,nzd0466-0128,nzd0466-0129,nzd0466-0133,nzd0466-0130,nzd0466-0131,nzd0466-0132
1999-08-26 22:07:08+00:00,253.19,233.84,216.72,221.07,214.78,213.61,211.35,,217.05,234.25,237.39,240.55,244.46,256.41,,,,,,,,,,,,306.97,,,,,,,301.24,309.52,,,,,,,273.05,271.2,291.37,262.03,291.07,293.37,222.33,,,,,,,,,,,313.79,314.28,305.6,312.23,,311.28,312.6,319.86,320.34,317.87,319.82,316.66,309.99,310.96,306.77,309.94,311.95,307.07,313.18,313.02,300.9,304.27,301.87,290.07,291.94,293.62,291.83,289.24,,,,,,,,,,,307.94,306.14,,303.97,300.09,308.16,301.34,315.36,302.68,296.54,291.15,283.97,283.11,,,,,,,,,291.5,283.8,258.24,286.3,270.19,292.12,270.15,275.87,248.59,,,,,,,,,
1999-09-27 22:07:12+00:00,253.19,233.84,216.72,221.07,214.78,213.61,211.35,,217.05,234.25,237.39,240.55,244.46,256.41,,,,,,,,,,,,292.925,,,,302.07,303.21,,284.895,293.445,,,,,,,273.05,271.2,291.37,262.03,291.07,293.37,241.425,288.23,288.57,,,,,,,,,306.71500000000003,306.28499999999997,292.45500000000004,292.75,270.29,294.245,295.76,300.19,302.68499999999995,305.505,309.565,304.805,299.02,296.355,296.91499999999996,298.97,294.7,292.985,297.895,300.42999999999995,285.375,289.13,290.065,281.015,291.94,293.62,291.83,289.24,,,,,,,271.0,,,,307.94,306.14,,303.97,300.09,308.16,301.34,315.36,302.68,296.54,291.15,283.97,283.11,,,,,,,,,291.5,283.8,258.24,286.3,270.19,292.12,270.15,275.87,248.59,,,,,,,,,
1999-11-30 22:06:59+00:00,272.58000000000004,249.135,220.225,235.64,221.35,204.76,208.83499999999998,,207.615,229.59,236.815,235.22,247.73000000000002,269.9,296.67,289.44,293.47,304.24,323.83,313.44,315.77,319.21,312.21,325.67,330.71,303.84999999999997,321.82,,,302.07,322.78,,284.895,293.445,,,338.0,336.47,325.75,304.68,287.8,277.77,298.68,277.975,293.125,297.98,241.425,307.31,306.73,,,153.68,246.02,,,,,316.61333333333334,314.37,292.45500000000004,292.75,289.21500000000003,299.7033333333333,298.77333333333337,304.92333333333335,308.96666666666664,306.3666666666666,313.81333333333333,308.09,303.21,299.17,305.03666666666663,304.0833333333333,300.24333333333334,301.6133333333333,304.19666666666666,305.86999999999995,295.1166666666667,289.13,297.05,281.015,301.28999999999996,303.975,300.525,301.42,,,,,,,290.775,308.53,306.73,303.93,307.87,306.03999999999996,308.88,300.61,299.53,308.95500000000004,302.02,312.46500000000003,308.11,291.745,289.575,285.255,286.33000000000004,,,,,295.02,279.96,277.65,278.61,290.275,281.135,268.945,288.405,276.195,296.735,282.485,285.105,246.675,290.03,,,296.07,293.43,278.03,,,
2000-03-21 22:06:49+00:00,291.97,264.43,223.73,250.21,227.92,195.91,206.32,,198.18,224.93,236.24,229.89,251.0,283.39,296.67,289.44,293.47,304.24,323.83,313.44,315.77,319.21,312.21,325.67,330.71,302.28999999999996,321.82,246.93,278.05,287.77,322.78,,268.55,277.37,,,338.0,336.47,325.75,304.68,302.55,284.34,305.99,293.92,295.18,302.59,260.52,294.96666666666664,306.73,265.51,283.02,152.535,265.365,286.78,,277.12,286.83,306.18,301.87,273.03,267.075,289.21500000000003,293.91499999999996,291.86,297.455,303.28,300.61499999999995,310.81000000000006,303.80499999999995,299.82,293.275,304.16999999999996,301.155,294.39,298.885,299.70500000000004,302.29499999999996,292.225,273.99,294.64,271.96,310.64,314.33,309.22,313.6,,,,,,,290.775,308.53,306.73,303.93,307.8,305.94,308.88,297.25,298.97,309.75,302.7,309.57,313.54,286.95,288.0,286.54,289.55,,,,,295.02,279.96,277.65,278.61,289.05,278.47,279.65,290.51,282.2,301.35,294.82,294.34,244.76,290.03,,,296.07,293.43,278.03,,,
2000-07-27 22:05:24+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.96500000000003,272.58000000000004,269.71500000000003,,,,,,,,,,,,,,,,,268.98,277.29999999999995,,276.745,287.815,151.39,291.08,288.08,,285.135,289.88,278.97,272.99,264.05,262.72,,,265.42,,,268.64,,266.88,,,,,,,,,,245.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-12 22:05:17+00:00,294.48,273.19,,280.32,,,,,,,,,,298.1,303.22,307.48,312.69,308.76,318.33,319.98,318.93,326.98,327.55,352.15,329.01,328.63,322.94,257.96500000000003,272.58000000000004,269.71500000000003,,,,,,,342.54,,329.8,318.05,319.31,323.6,309.72,301.24,302.47,311.92,268.98,292.93,332.57,276.745,287.815,151.39,307.38666666666666,288.08,,285.135,289.88,278.97,272.99,264.05,262.72,325.89,338.07,265.42,336.88,341.52,268.64,329.56,266.88,331.93,326.79,329.52,320.89,314.41,330.52,,338.58,340.0,245.5,315.26,,317.35,312.24,304.76,312.73,309.82,309.66,,314.23,333.49,321.89,329.69,320.52,329.99,338.86,315.9,322.1,317.55,327.06,320.72,314.69,,332.7,338.22,309.23,304.93,294.87,300.61,294.42,296.86,295.96,,298.86,301.95,289.97,301.16,294.72,293.33,294.23,306.7,300.58,306.42,310.64,317.81,,311.23,306.22,,297.82,320.05,302.31,,,
2000-12-18 22:04:37+00:00,294.17,282.69000000000005,,283.07000000000005,,174.77,181.87,,183.75,191.03,,201.73,284.63,299.09000000000003,299.855,299.9,314.40999999999997,308.76,322.775,315.475,317.53999999999996,324.345,330.41499999999996,337.065,327.24,324.69,322.645,269.0,267.11,265.96,337.02,,,,,,342.54,,325.90999999999997,308.695,309.235,323.6,309.72,300.99,304.21500000000003,309.67,268.98,304.255,330.825,287.98,292.61,,318.72499999999997,289.38,,293.15,292.93,275.45,269.2,261.35,264.56,325.89,340.54999999999995,265.42,339.66499999999996,343.71,268.64,329.56,266.88,331.93,331.565,329.52,320.89,314.41,330.52,,338.63,337.995,245.5,324.58500000000004,,323.755,312.24,304.76,318.87,320.595,317.345,,314.23,325.265,323.935,324.925,318.995,320.845,330.68,316.215,310.125,312.615,320.13,315.56500000000005,324.88,342.28,332.7,333.905,305.32500000000005,301.865,300.12,294.1,293.1,292.275,293.08,,265.69,301.95,260.555,301.16,294.72,293.33,296.27,303.995,297.685,304.96000000000004,305.59000000000003,310.81,,309.87,302.92,,297.82,320.05,302.31,230.11,246.91,247.57
2001-01-03 22:04:36+00:00,294.17,282.69000000000005,212.0,283.07000000000005,,174.77,181.87,,183.75,191.03,,201.73,284.63,299.09000000000003,299.855,277.97,314.40999999999997,277.03499999999997,295.64000000000004,289.10333333333335,317.53999999999996,324.345,330.41499999999996,337.065,315.5266666666667,313.76,313.18666666666667,269.0,267.11,265.96,337.02,,,256.6,287.35,,342.54,,325.90999999999997,308.695,309.235,323.6,309.72,300.99,304.21500000000003,309.67,269.47,300.6666666666667,316.4166666666667,286.79,296.20500000000004,296.98,313.42,292.475,,289.66499999999996,272.15,260.03499999999997,277.09000000000003,267.295,265.265,325.89,340.54999999999995,271.42,323.50666666666666,343.71,271.12,329.56,264.955,331.93,308.78,329.52,320.89,314.41,330.52,,338.63,337.995,262.19,306.63000000000005,260.32,306.3733333333334,287.765,304.76,294.68333333333334,299.87,299.21666666666664,260.04,297.675,309.94666666666666,305.8666666666667,308.09999999999997,302.1066666666666,302.92333333333335,308.83,297.14,292.26666666666665,294.19,299.33666666666664,315.56500000000005,307.1466666666667,306.39,298.95,333.905,305.32500000000005,301.865,283.3666666666667,278.70666666666665,280.0733333333333,281.12333333333333,281.8,258.83,264.75333333333333,301.95,260.555,301.16,294.72,293.33,296.27,303.995,297.685,304.96000000000004,305.59000000000003,310.81,,309.87,302.92,,297.82,320.05,302.31,230.11,246.91,247.57
2001-02-20 22:04:36+00:00,293.86,292.19,212.0,285.82,,174.77,181.87,,183.75,191.03,,201.73,284.63,300.08,296.49,263.21500000000003,316.13,245.31,284.2950000000001,273.665,316.15,321.71,333.28,321.98,308.785,289.33,308.30999999999995,265.48,285.31,284.04,337.02,,,256.6,287.35,,,,322.02,299.34,299.16,,,300.74,305.96,307.42,264.26,293.49,292.27333333333337,282.525,299.8,296.98,302.81,284.135,291.42,287.48,271.095,260.65999999999997,279.08500000000004,273.53999999999996,263.05,,343.03,277.42,316.82,345.9,271.70500000000004,,260.03999999999996,,299.775,,,,,,338.68,335.99,278.88,302.31500000000005,250.28,289.6066666666667,263.6,257.88,266.71666666666664,294.895,293.995,260.04,281.12,298.175,297.855,297.30499999999995,292.9,289.39,293.815,287.76,277.34999999999997,282.51,285.475,310.41,286.3533333333333,287.27666666666664,265.2,329.59,301.42,298.8,263.9166666666667,257.1566666666667,262.7333333333333,264.92,265.74333333333334,252.945,247.7,,231.14,,,,298.31,301.29,294.79,303.5,300.54,303.81,,308.51,299.62,,,,,230.11,246.91,247.57
2001-04-09 22:04:17+00:00,293.86,292.19,212.0,285.82,227.92,174.77,181.87,,183.75,191.03,,201.73,284.63,300.08,296.49,262.2033333333333,316.13,245.31,279.3933333333334,273.665,316.15,321.71,333.28,321.98,308.785,289.33,308.30999999999995,265.48,285.31,283.69500000000005,337.02,,,256.6,287.35,,,,322.02,299.34,299.16,,,300.74,305.96,307.42,264.26,293.49,292.27333333333337,282.525,299.8,296.98,302.81,292.95,291.42,287.48,271.095,260.65999999999997,279.08500000000004,273.53999999999996,263.05,,343.03,277.42,316.82,345.9,279.17,,272.81666666666666,,295.7633333333333,290.29,,,,,288.39,335.99,278.88,302.31500000000005,258.90333333333336,289.6066666666667,263.6,240.69,260.7875,294.895,293.995,260.04,280.295,298.175,297.855,297.30499999999995,282.06333333333333,279.02,293.815,287.76,277.34999999999997,275.03333333333336,285.475,310.41,282.34499999999997,282.69,265.2,329.59,301.42,264.345,259.83500000000004,257.1566666666667,262.7333333333333,263.1725,265.74333333333334,252.945,254.5533333333333,,245.76,267.14,,,298.31,274.595,294.79,303.5,300.54,303.81,,308.51,299.62,,,,,230.11,246.91,247.57
