dates,satname,nzd0467-0000,nzd0467-0001,nzd0467-0002,nzd0467-0003,nzd0467-0004,nzd0467-0005,nzd0467-0006,nzd0467-0007,nzd0467-0008,nzd0467-0009,nzd0467-0010,nzd0467-0011,nzd0467-0012,nzd0467-0013,nzd0467-0014,nzd0467-0016,nzd0467-0017,nzd0467-0018,nzd0467-0019,nzd0467-0020,nzd0467-0021,nzd0467-0022,nzd0467-0023,nzd0467-0024,nzd0467-0025,nzd0467-0057,nzd0467-0058,nzd0467-0059,nzd0467-0060,nzd0467-0061,nzd0467-0062,nzd0467-0063,nzd0467-0064,nzd0467-0065,nzd0467-0066,nzd0467-0067,nzd0467-0068,nzd0467-0069,nzd0467-0070,nzd0467-0073,nzd0467-0074,nzd0467-0075,nzd0467-0076,nzd0467-0077,nzd0467-0078,nzd0467-0079,nzd0467-0080,nzd0467-0081,nzd0467-0082,nzd0467-0083,nzd0467-0084,nzd0467-0085,nzd0467-0086,nzd0467-0087,nzd0467-0088,nzd0467-0089,nzd0467-0090,nzd0467-0091,nzd0467-0092,nzd0467-0093,nzd0467-0094,nzd0467-0095,nzd0467-0096,nzd0467-0097,nzd0467-0098,nzd0467-0099,nzd0467-0100,nzd0467-0101,nzd0467-0102,nzd0467-0103,nzd0467-0104,nzd0467-0105,nzd0467-0106,nzd0467-0107,nzd0467-0108,nzd0467-0109,nzd0467-0110,nzd0467-0111,nzd0467-0112,nzd0467-0113,nzd0467-0114,nzd0467-0115,nzd0467-0116,nzd0467-0117,nzd0467-0118,nzd0467-0119,nzd0467-0120,nzd0467-0121,nzd0467-0122,nzd0467-0128,nzd0467-0129,nzd0467-0130,nzd0467-0131,nzd0467-0132,nzd0467-0026,nzd0467-0027,nzd0467-0028,nzd0467-0051,nzd0467-0052,nzd0467-0053,nzd0467-0054,nzd0467-0055,nzd0467-0056,nzd0467-0123,nzd0467-0124,nzd0467-0125,nzd0467-0126,nzd0467-0049,nzd0467-0050,nzd0467-0127,nzd0467-0015,nzd0467-0029,nzd0467-0030,nzd0467-0031,nzd0467-0032,nzd0467-0033,nzd0467-0036,nzd0467-0037,nzd0467-0038,nzd0467-0039,nzd0467-0042,nzd0467-0043,nzd0467-0044,nzd0467-0045,nzd0467-0046,nzd0467-0047,nzd0467-0048,nzd0467-0071,nzd0467-0072,nzd0467-0133,nzd0467-0035,nzd0467-0134,nzd0467-0034,nzd0467-0040,nzd0467-0041
1999-09-27 22:07:12.757000,L7,324.82,311.41,309.31,311.58,315.19,315.41,333.68,328.29,271.99,270.21,279.13,275.80,286.57,286.28,267.06,323.24,330.89,292.93,331.23,331.88,335.63,329.67,336.19,330.10,335.24,319.74,320.33,321.23,325.28,325.55,323.85,320.52,350.91,312.07,344.84,314.46,314.08,312.10,308.41,318.81,359.57,359.16,364.27,371.69,335.38,374.82,367.26,380.40,350.64,337.93,339.75,334.08,323.17,316.07,323.31,317.90,308.97,320.59,319.92,303.89,303.99,302.97,288.09,358.71,351.44,355.19,298.79,275.28,292.82,321.04,297.87,310.73,310.52,310.82,312.06,303.56,297.40,299.05,300.85,293.31,281.31,287.00,291.76,287.63,289.13,284.32,277.59,270.45,265.85,324.61,326.01,326.93,324.45,330.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-13 22:07:12.582000,L7,324.74,319.19,316.77,312.98,317.13,316.36,329.99,322.77,326.04,325.81,333.81,333.29,333.25,331.57,334.26,325.49,333.57,332.31,293.48,332.85,333.54,333.54,336.86,331.24,333.19,324.61,323.58,328.00,327.63,326.79,321.46,318.54,316.73,310.80,315.54,308.18,309.79,312.21,311.96,317.67,324.47,325.45,333.45,331.39,332.39,344.26,353.16,350.34,343.89,344.53,341.79,335.86,327.58,317.90,321.61,325.34,317.94,314.07,322.16,309.70,315.93,317.60,321.37,347.47,343.24,337.11,335.85,295.07,321.34,323.27,318.99,306.68,306.44,311.82,308.45,303.30,302.30,292.57,293.63,289.73,294.87,294.93,288.14,280.35,289.18,293.88,286.81,285.43,286.70,,,,,,344.74,336.64,338.76,322.02,331.16,297.35,330.71,277.46,309.39,285.87,294.49,299.72,290.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-30 22:06:59.059000,L7,326.27,324.97,315.29,312.46,313.45,316.83,324.75,322.26,321.47,329.33,331.72,333.17,330.44,331.36,330.92,,325.02,326.74,322.78,336.26,325.51,329.43,327.13,328.84,,,370.44,342.29,366.49,,,,,,,360.79,316.53,312.08,310.17,,320.79,324.55,331.50,332.52,333.61,336.90,335.12,345.18,343.19,337.74,335.55,331.97,315.62,291.31,315.60,310.41,309.67,308.39,323.93,312.50,295.53,300.09,322.50,333.70,336.75,346.48,329.73,292.62,327.74,327.88,286.33,288.61,298.27,306.37,301.64,296.68,278.46,276.19,277.73,272.47,269.03,280.73,282.87,285.22,290.06,286.74,282.66,281.32,283.14,338.47,381.23,381.19,379.70,,,,,356.05,,,,,,283.26,385.87,381.50,365.79,352.37,382.50,359.71,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-16 22:07:09.748000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.15,298.30,292.67,292.88,297.76,293.05,287.93,264.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-12 22:05:17.927000,L7,314.98,317.53,307.81,312.23,320.82,322.81,326.30,321.53,334.03,334.49,285.86,338.90,337.23,278.16,337.70,324.31,333.04,331.82,335.03,293.52,338.21,336.89,340.28,322.08,,320.77,323.66,325.78,327.20,330.08,320.69,319.99,324.28,309.96,311.48,307.49,304.36,313.36,,,325.54,324.92,333.95,325.80,330.10,334.25,353.11,343.40,356.21,332.91,342.83,335.83,322.50,284.49,323.57,312.44,307.20,318.03,309.52,303.86,300.77,291.56,276.36,344.72,350.35,335.32,300.71,277.20,264.91,277.01,291.82,277.32,,,301.50,295.73,297.65,288.18,293.42,279.81,282.16,291.06,291.46,282.08,287.58,291.09,274.63,274.22,279.72,331.59,328.22,327.67,335.34,330.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-18 22:04:37.758000,L7,335.44,335.44,332.19,329.81,330.54,333.86,334.00,337.01,339.05,340.73,336.64,341.43,340.56,344.23,348.41,344.22,351.32,351.87,351.69,279.85,347.60,349.00,348.97,347.64,350.15,343.44,341.85,337.78,339.23,335.25,336.13,331.17,332.59,330.98,328.20,327.47,326.00,325.27,322.41,329.38,338.05,336.73,344.78,342.77,344.00,354.68,350.94,359.85,356.22,367.40,354.41,350.64,351.17,340.23,333.74,331.13,329.68,333.72,335.74,337.16,341.68,347.52,346.42,353.94,350.45,354.86,349.15,347.17,346.44,346.20,340.46,335.50,317.97,317.41,315.51,308.95,300.45,343.03,348.45,350.96,283.94,287.75,288.28,290.80,289.04,287.71,283.37,282.13,279.72,349.46,348.57,348.67,348.79,346.83,354.67,357.43,343.99,358.47,351.54,355.41,346.07,347.15,340.11,280.16,,,,355.91,358.47,312.94,349.61,358.47,344.57,352.92,354.74,353.95,347.15,355.71,358.44,319.34,333.42,350.00,356.29,356.68,351.59,355.00,350.49,325.08,322.68,338.49,,,,,
2001-01-03 22:04:36.218000,L7,331.22,335.25,330.41,326.62,330.77,332.53,329.44,334.51,336.30,334.91,338.17,340.62,340.12,342.28,347.67,339.63,296.48,291.36,343.93,293.53,337.48,343.48,342.13,342.52,352.73,336.97,337.72,337.91,337.74,334.50,328.48,323.55,331.24,323.40,323.50,321.83,324.78,318.16,322.73,327.11,335.40,335.09,339.60,336.98,350.47,355.30,351.59,353.46,355.96,361.70,351.12,347.62,343.02,347.28,329.69,324.29,325.00,332.44,339.29,337.39,340.55,348.24,351.49,353.74,355.01,356.83,351.96,346.04,345.09,339.61,343.91,338.48,318.63,321.59,311.42,306.42,297.32,339.36,355.69,350.71,341.09,286.26,286.85,285.98,285.04,283.62,278.28,279.50,279.65,352.03,349.63,354.98,350.95,349.92,314.55,349.00,340.00,349.51,340.95,351.07,344.84,324.36,344.49,280.39,,,,352.88,352.17,337.65,324.75,,,,,,,,,,,323.21,350.72,351.63,342.76,335.89,345.05,320.02,328.16,338.17,,,,,
2001-02-20 22:04:36.568000,L7,315.26,316.90,307.26,306.02,306.61,308.04,309.42,313.72,313.12,321.30,323.21,329.80,323.87,320.70,330.12,,,,,,,,,,,325.11,322.52,318.76,322.18,316.92,323.21,320.44,312.00,311.25,304.39,304.92,310.45,305.82,,,320.54,322.45,331.02,332.22,331.20,343.78,364.59,359.99,363.43,371.00,335.65,329.68,306.71,285.67,315.55,309.67,312.76,307.36,317.12,305.05,325.41,299.51,330.60,354.02,339.31,338.53,358.64,322.07,329.31,325.98,335.88,279.91,288.49,302.05,298.08,278.09,,,,,,,,,,,,,,336.02,344.06,333.95,329.60,325.06,,,,331.11,340.06,395.47,333.38,292.00,293.63,,,,,335.61,335.35,,312.10,,,,,,,,,,,,,,,,,,,314.18,,,,,
2001-04-09 22:04:17.927000,L7,305.51,310.01,301.35,298.09,297.13,299.42,290.23,,,,,,,,,,,,,,,,,,,312.74,310.06,309.52,304.37,302.23,305.02,303.86,301.61,295.73,289.59,293.28,293.86,276.81,,,295.34,307.76,311.04,310.59,312.65,318.50,323.00,321.78,320.07,326.60,318.66,323.06,309.74,289.60,293.40,297.76,298.57,305.91,310.13,304.86,302.61,304.17,312.35,319.94,320.34,320.40,317.45,299.61,318.88,314.62,316.44,300.50,303.89,303.90,301.32,301.50,298.95,286.68,297.56,289.43,282.86,282.49,284.28,273.13,282.87,280.36,270.17,273.58,276.07,,,,,,,,,325.47,329.25,327.36,317.12,298.51,295.57,,,,,313.38,334.84,,,,,,,,,,,,,,,,282.45,326.19,317.63,,,,,,,,
2001-10-18 22:02:30.135000,L7,325.66,323.58,314.19,325.56,343.23,320.72,352.01,336.42,324.46,327.90,327.50,326.86,320.63,325.41,327.96,,327.36,326.05,340.07,293.85,333.49,341.80,344.44,335.24,,340.96,357.52,346.38,326.69,332.81,323.78,319.96,326.67,311.98,319.98,309.49,309.59,304.26,,,310.67,307.13,342.35,328.16,352.17,377.68,346.40,366.03,355.24,372.52,346.54,336.64,332.52,353.06,338.96,342.56,358.19,382.04,,,,,392.23,374.34,367.37,360.95,351.94,351.35,346.95,346.82,353.12,362.22,355.02,354.82,359.39,357.53,355.73,383.70,329.77,343.16,333.81,,346.15,297.38,295.46,290.99,289.96,284.83,286.57,,,,,,,,,,,344.48,357.93,369.75,366.61,285.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
