dates,nzd0467-0000,nzd0467-0001,nzd0467-0002,nzd0467-0003,nzd0467-0004,nzd0467-0005,nzd0467-0006,nzd0467-0007,nzd0467-0008,nzd0467-0009,nzd0467-0010,nzd0467-0011,nzd0467-0012,nzd0467-0013,nzd0467-0014,nzd0467-0016,nzd0467-0017,nzd0467-0018,nzd0467-0019,nzd0467-0020,nzd0467-0021,nzd0467-0022,nzd0467-0023,nzd0467-0024,nzd0467-0025,nzd0467-0026,nzd0467-0027,nzd0467-0028,nzd0467-0043,nzd0467-0044,nzd0467-0045,nzd0467-0053,nzd0467-0054,nzd0467-0055,nzd0467-0056,nzd0467-0057,nzd0467-0058,nzd0467-0059,nzd0467-0060,nzd0467-0061,nzd0467-0062,nzd0467-0063,nzd0467-0064,nzd0467-0065,nzd0467-0066,nzd0467-0067,nzd0467-0068,nzd0467-0069,nzd0467-0070,nzd0467-0072,nzd0467-0073,nzd0467-0074,nzd0467-0075,nzd0467-0076,nzd0467-0077,nzd0467-0078,nzd0467-0079,nzd0467-0080,nzd0467-0081,nzd0467-0082,nzd0467-0083,nzd0467-0084,nzd0467-0085,nzd0467-0086,nzd0467-0087,nzd0467-0088,nzd0467-0089,nzd0467-0090,nzd0467-0091,nzd0467-0092,nzd0467-0093,nzd0467-0094,nzd0467-0095,nzd0467-0096,nzd0467-0097,nzd0467-0098,nzd0467-0099,nzd0467-0100,nzd0467-0101,nzd0467-0102,nzd0467-0103,nzd0467-0104,nzd0467-0105,nzd0467-0106,nzd0467-0107,nzd0467-0108,nzd0467-0109,nzd0467-0110,nzd0467-0111,nzd0467-0112,nzd0467-0113,nzd0467-0114,nzd0467-0115,nzd0467-0116,nzd0467-0117,nzd0467-0118,nzd0467-0119,nzd0467-0120,nzd0467-0121,nzd0467-0122,nzd0467-0128,nzd0467-0129,nzd0467-0130,nzd0467-0131,nzd0467-0132,nzd0467-0133,nzd0467-0134,nzd0467-0046,nzd0467-0047,nzd0467-0048,nzd0467-0049,nzd0467-0050,nzd0467-0051,nzd0467-0052,nzd0467-0123,nzd0467-0124,nzd0467-0125,nzd0467-0126,nzd0467-0127,nzd0467-0015,nzd0467-0042,nzd0467-0071,nzd0467-0029,nzd0467-0039,nzd0467-0040,nzd0467-0041,nzd0467-0038,nzd0467-0030,nzd0467-0031,nzd0467-0032,nzd0467-0033,nzd0467-0034,nzd0467-0035,nzd0467-0036,nzd0467-0037
1999-09-27 22:07:12+00:00,,,,,,,,,,,,327.94,322.65,322.13,331.86,321.61,,,,,,,328.35,311.74,328.65,321.51,322.57,326.18,318.76,326.74,331.83,319.43,296.48,244.7,246.9,314.09,313.25,,,,,,,305.12,313.09,305.53,267.21,303.57,297.67,178.37,,,,,,,,,337.43,335.2,330.46,328.16,322.94,,311.39,,,,310.31,,,,,,,,,,,,,289.13,,,303.12,303.22,288.74,286.13,,,,,,281.77,,,,260.47,,213.42,313.03,317.0,319.69,314.93,314.04,,203.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-13 22:07:12+00:00,,,,,,,,,,,,327.94,322.65,322.13,331.86,321.61,,,,,,,328.35,311.74,328.65,321.51,322.57,326.18,318.76,326.74,331.83,319.43,296.48,244.7,246.9,314.09,313.25,,,,,,,305.12,313.09,305.53,267.21,303.57,297.67,178.37,,,,,,,,287.37,337.43,335.2,330.46,308.91,303.825,,311.39,,,,310.31,,,,,,,,,,,,,289.13,,,303.12,303.22,288.74,286.13,,,,,226.81,281.77,,,,260.47,,213.42,313.03,317.0,319.69,314.93,314.04,,203.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-12 22:05:17+00:00,313.63,317.76,308.43,306.22,320.93,319.82,,317.97,,273.62,330.41,333.89,331.09,335.9,333.61,324.53,341.67,329.87,335.71,333.9,334.65,,291.12,321.34,,,,,338.66,344.11,332.55,334.7,276.25,242.66,242.42,321.07,324.52,320.39,320.67,325.04,316.85,315.51,320.17,306.66,306.79,304.11,302.22,304.13,308.92,172.37,297.23,319.25,322.39,,,327.85,,,337.96,352.64,333.88,333.33,325.79,316.62,274.29,,307.83,304.08,311.39,,,,,322.45,340.53,,,,,,296.31,278.54,,,,291.42,287.74,287.91,282.46,287.09,,273.61,,,,,282.42,264.28,264.88,251.51,321.97,319.81,323.34,330.56,322.69,,232.71,,,,,335.35,311.53,329.1,277.93,273.02,283.52,253.49,,,,,,,,,,,,,,,,,
2001-02-20 22:04:36+00:00,316.96,318.44,306.94,307.03,312.12,,313.0,314.95,,,,,,,,,,321.14,320.81,325.97,320.86,287.7,,321.85,,,,,,,,,333.14,,,,,,,,,,,310.2,,,,305.32,,,303.8,,,,,,,,,,,,323.75,318.21,,,,310.5,,,313.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-04-09 22:04:17+00:00,305.04499999999996,308.185,297.95,296.17999999999995,297.755,283.25,313.0,314.95,,,,,,,,,,321.14,320.81,325.97,320.86,287.7,,321.85,,,,,,,301.93,311.31,317.5,291.42,,298.99,293.61,290.84,287.74,288.53,289.53,286.41,286.32,291.93,272.49,278.11,,305.32,,,303.8,,,,,294.12,290.2,305.02,302.07,302.45,308.28,306.84,316.65,308.65,276.78,272.94,280.5,295.37,291.92,291.11,300.725,287.02,285.34,288.63,303.28,302.02,297.62,297.21,280.84,298.91,296.2,,,259.37,272.65,290.21,288.83,287.54,280.22,287.09,280.67,273.94,237.73,,,,,,,,313.02,308.06,304.12,299.14,297.29,,,,,248.1,267.88,319.73,308.0,318.89,,,,,,,,,,,,,,,,,,,,,
2002-02-23 22:03:07+00:00,302.56,298.82,289.37,295.0,297.28,303.09,303.36,309.3,,309.94,319.18,317.99,312.84,315.97,313.6,,,,,,,,,,,,,,,,,,,,,,307.16,309.98,303.54,296.2,295.17,300.44,303.32,296.09,290.03,243.43,,,,169.59,222.51,296.52,305.01,313.2,312.31,313.68,313.53,319.08,327.98,326.68,329.75,320.14,314.29,306.43,300.41,302.45,300.16,292.69,295.17,303.24,305.87,300.62,311.01,313.72,322.94,316.1,319.03,311.55,302.81,309.53,311.26,307.66,278.22,,271.85,280.66,287.56,281.6,277.77,277.41,276.21,274.63,274.35,272.95,271.08,273.96,274.06,267.09,266.38,265.2,313.71,313.07,310.14,311.42,308.55,,227.97,,,,,,,,272.07,269.34,274.1,234.02,,,,,,,,,,,,,,,,,
2003-11-17 21:52:33+00:00,330.86,327.39,318.74,296.88,302.33,303.93,308.73,306.62,311.07,310.8,335.74,337.35,328.08,334.74,335.26,,313.02,309.84,318.37,,315.28,278.78,312.94,331.04,,,,,,,288.49,330.36,328.52,305.97,,326.19,330.72,322.49,307.21,310.87,306.91,304.3,306.24,299.68,301.95,315.3,317.76,311.0,285.8,201.86,259.16,291.46,290.15,306.74,313.8,317.26,320.82,323.39,348.7,348.47,351.14,342.45,338.23,338.5,331.93,311.22,306.84,303.2,305.51,312.45,,,,,,,,,,,314.09,314.74,303.02,297.65,301.8,296.76,308.14,304.81,293.38,297.33,293.54,286.89,290.27,276.11,280.61,274.33,279.07,265.2,262.6,259.7,339.26,338.57,319.51,319.65,321.43,310.81,227.95,204.17,,268.82,293.61,,287.57,326.08,275.21,289.39,246.58,,253.98,,,,,,,,,,,,,,,,
2003-12-03 21:52:43+00:00,330.86,327.39,318.74,296.88,302.33,303.93,317.36,315.64,311.26,311.115,327.345,328.895,318.79499999999996,326.17,327.63,,316.01,316.09,324.355,329.26,320.80999999999995,299.33,312.79499999999996,317.9,,,,,,,288.49,325.46000000000004,322.995,301.34000000000003,,324.03999999999996,330.01,325.985,317.5,319.16499999999996,315.92,313.1,311.645,300.99,301.02,308.12,309.64,298.15999999999997,285.8,201.86,277.94000000000005,301.255,299.53999999999996,316.895,323.485,324.755,323.34000000000003,324.49,340.65,340.32000000000005,344.24,335.205,334.155,338.015,331.07,311.22,306.84,313.625,315.03,321.58,311.95,317.42,312.53,321.24,329.27,328.6,325.98,338.0,331.8,331.46,314.09,314.74,303.02,309.53499999999997,305.515,300.105,302.235,296.445,285.905,289.725,291.73,292.385,292.77,287.57500000000005,262.47,256.78999999999996,279.07,265.2,271.865,268.44,339.57,338.35,329.86,319.65,321.43,320.48,240.07999999999998,204.17,,288.815,306.21000000000004,313.08,297.9,321.99,278.21,288.525,268.19,284.8,259.525,,,,,,,,,,,,,,,,
2004-07-30 21:56:51+00:00,,,,,,,309.52,314.76,277.79,326.0,326.84,285.45,,,,,,,,,,,,,,,,,,,,309.06,305.83,293.98,,318.56,309.26,302.48,297.73,305.36,301.36,306.14,,,,,,,,,,,,,,316.61,310.38,337.23,331.95,317.68,317.35,316.14,326.63,311.08,,305.7,303.01,303.72,308.87,,,,,,,,,,,,305.59,305.34,,,,,,,,,,,,,,,,,,,,,,322.26,319.67,,229.1,,,,,320.98,319.89,331.22,,,,,,,,,,,,,,,,,,,,,
2004-08-15 21:57:13+00:00,,,,290.22,298.71,308.04,298.55499999999995,310.87,277.79,326.0,326.84,285.45,,,,,,,,,,,,,,,,,,,,309.06,305.83,293.98,210.59,318.56,304.985,302.885,299.375,300.21500000000003,300.70500000000004,301.84000000000003,298.23,291.17,292.18,278.5,,,,173.44,219.88,281.06,287.75,306.27,314.78,317.11,306.395,334.95500000000004,332.08,324.655,319.44,324.22,326.3,312.34000000000003,,308.01,302.23,303.83000000000004,308.0,,300.3,302.32,294.36,275.27,318.73,296.69,302.25,287.3,,,297.445,301.04999999999995,,,,,,,,,,,,,,,,,,,,,,322.26,319.67,,223.13,,,,,320.98,319.89,331.22,,,,,,,,,,,,,,,,,,,,,
