dates,satname,nzd0468-0000,nzd0468-0001,nzd0468-0002,nzd0468-0006,nzd0468-0007,nzd0468-0008,nzd0468-0009,nzd0468-0026,nzd0468-0027,nzd0468-0028,nzd0468-0029,nzd0468-0030,nzd0468-0031,nzd0468-0032,nzd0468-0033,nzd0468-0034,nzd0468-0035,nzd0468-0036,nzd0468-0037,nzd0468-0038,nzd0468-0039,nzd0468-0040,nzd0468-0041,nzd0468-0042,nzd0468-0043,nzd0468-0044,nzd0468-0045,nzd0468-0046,nzd0468-0047,nzd0468-0048,nzd0468-0049,nzd0468-0050,nzd0468-0051,nzd0468-0052,nzd0468-0053,nzd0468-0054,nzd0468-0055,nzd0468-0056,nzd0468-0057,nzd0468-0058,nzd0468-0059,nzd0468-0060,nzd0468-0061,nzd0468-0062,nzd0468-0063,nzd0468-0064,nzd0468-0065,nzd0468-0066,nzd0468-0067,nzd0468-0068,nzd0468-0069,nzd0468-0070,nzd0468-0077,nzd0468-0080,nzd0468-0081,nzd0468-0082,nzd0468-0083,nzd0468-0084,nzd0468-0085,nzd0468-0086,nzd0468-0087,nzd0468-0088,nzd0468-0089,nzd0468-0093,nzd0468-0094,nzd0468-0095,nzd0468-0096,nzd0468-0097,nzd0468-0098,nzd0468-0099,nzd0468-0100,nzd0468-0101,nzd0468-0102,nzd0468-0103,nzd0468-0104,nzd0468-0105,nzd0468-0106,nzd0468-0107,nzd0468-0108,nzd0468-0109,nzd0468-0110,nzd0468-0111,nzd0468-0112,nzd0468-0113,nzd0468-0114,nzd0468-0115,nzd0468-0116,nzd0468-0117,nzd0468-0118,nzd0468-0119,nzd0468-0120,nzd0468-0121,nzd0468-0122,nzd0468-0123,nzd0468-0124,nzd0468-0125,nzd0468-0126,nzd0468-0127,nzd0468-0128,nzd0468-0129,nzd0468-0130,nzd0468-0131,nzd0468-0132,nzd0468-0003,nzd0468-0004,nzd0468-0010,nzd0468-0011,nzd0468-0012,nzd0468-0014,nzd0468-0015,nzd0468-0016,nzd0468-0017,nzd0468-0018,nzd0468-0023,nzd0468-0024,nzd0468-0025,nzd0468-0071,nzd0468-0072,nzd0468-0073,nzd0468-0074,nzd0468-0075,nzd0468-0076,nzd0468-0078,nzd0468-0079,nzd0468-0090,nzd0468-0091,nzd0468-0092,nzd0468-0019,nzd0468-0020,nzd0468-0021,nzd0468-0022,nzd0468-0005,nzd0468-0013
1999-09-27 22:07:12.757000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.01,277.67,234.85,,,,,,,,,288.89,277.75,279.96,270.18,278.43,228.77,155.76,,,,,,,,296.77,227.37,266.96,252.65,222.65,205.52,215.64,206.59,225.11,217.19,230.62,,,,,,,,,,,,,,,,,,177.32,210.84,186.65,195.62,283.45,291.71,305.00,304.46,300.69,307.80,311.24,310.07,315.20,315.48,305.28,,,,,,,,,,,,,,,,,,,,,,,,,,,259.67,293.49,197.54,,,,,,,,,
1999-10-13 22:07:12.582000,L7,,,231.86,,,242.72,254.28,,,,,,,,,,,,,,,,185.93,248.14,,,,,,,,,,,,,,,279.18,279.90,278.03,274.35,291.55,254.92,253.29,232.08,203.13,288.92,290.81,294.28,298.36,299.72,272.50,,,,295.46,297.36,293.03,280.06,296.26,262.71,184.57,271.55,262.94,250.59,275.56,271.31,242.22,270.30,267.56,288.21,275.03,258.76,284.54,289.35,277.81,264.38,288.99,267.04,248.43,226.56,,,,264.11,306.53,,,,,,,,,,,,,,,,,266.95,253.19,249.09,173.21,239.42,,,,,,,,,300.05,233.98,302.29,298.94,240.41,273.64,,,239.57,,260.37,,,,,,
1999-12-16 22:07:09.748000,L7,,273.27,289.70,,,,,,,,,194.06,296.85,304.52,288.14,200.76,175.39,,,,,,,,,,,,,,,,,,,,,,284.18,304.83,294.55,157.78,177.17,172.26,214.85,159.21,210.75,,,,,,,295.69,291.78,220.66,,,,,293.35,281.72,300.63,,259.84,258.13,253.68,236.40,234.88,233.80,260.62,276.22,259.28,189.12,,,275.95,287.68,264.48,245.03,277.60,239.88,,,,,,,,,,,,,,,,,,,,,,288.97,256.41,,,,,180.01,226.73,254.37,267.20,,,,,,,,,,,293.01,243.91,,,268.25,272.85,258.58,,,
2000-03-21 22:06:49.022000,L7,343.25,488.23,524.03,273.48,347.49,380.27,316.27,320.92,331.01,341.29,357.98,355.15,349.65,351.77,362.39,360.38,358.00,314.27,345.52,359.88,332.36,340.08,347.08,350.68,353.00,359.31,364.84,369.07,362.22,369.36,357.64,343.39,321.88,323.15,332.21,322.32,358.34,365.74,366.61,364.20,371.20,365.51,361.51,362.39,329.22,313.54,312.13,301.50,308.82,357.43,420.68,496.13,179.30,411.31,353.98,352.19,349.91,343.41,352.83,357.55,345.75,335.07,406.47,474.26,461.93,338.62,338.89,341.38,344.19,342.34,337.11,340.85,338.27,341.32,335.68,335.21,336.92,342.00,348.12,339.71,344.53,351.70,340.10,352.70,342.04,343.12,348.21,348.19,349.98,340.44,348.77,339.02,346.78,340.66,341.36,338.10,349.20,328.45,331.64,340.21,339.07,328.58,344.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-25 22:05:55.844000,L7,,,,,,,,,,,,,,,,,,,,,,,252.06,246.09,,,,,,,,,,,,,,,268.29,269.88,273.83,278.64,274.24,271.53,277.11,282.25,275.58,275.05,277.90,227.56,,,297.64,290.63,291.48,264.03,290.21,283.02,277.83,269.97,284.94,272.42,287.04,200.41,287.42,278.73,264.16,276.36,260.51,220.01,273.83,274.56,271.53,245.77,261.88,276.97,255.45,237.48,229.83,262.55,272.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.35,220.23,252.37,269.43,281.96,293.98,300.03,,,,,,,,,
2000-08-12 22:05:17.927000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.50,270.46,277.72,280.19,288.97,283.79,284.02,278.54,283.44,282.92,282.00,277.15,155.67,167.08,,294.64,288.60,281.40,284.62,283.83,287.28,273.26,287.22,286.00,293.13,288.97,275.33,277.30,274.83,255.99,,,,,,,,,,,,,,,,,,259.66,275.51,303.50,298.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.00,,,286.39,,,,,,
2000-12-18 22:04:37.758000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.35,261.87,154.26,,,,235.04,239.10,235.81,247.03,218.25,195.67,,,,253.27,224.11,,,,,,,,,,,,,,,,,,,,245.94,255.79,231.56,223.13,249.88,172.37,187.42,176.88,258.27,156.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.91,263.16,,,,,,,,,
2001-01-03 22:04:36.218000,L7,,,,,,,,253.41,273.72,287.58,282.89,,,,,,,,227.89,235.51,221.28,198.50,214.44,263.53,261.21,250.59,279.23,284.91,224.24,171.53,,,,,,,,,,309.27,299.41,308.02,293.82,166.47,,283.09,236.83,222.61,236.70,224.11,156.57,,306.14,277.75,229.86,246.39,284.30,291.90,286.58,280.11,299.22,298.25,300.88,250.36,251.13,264.35,274.40,278.55,279.73,271.40,197.35,201.82,278.31,282.67,270.08,269.65,276.29,281.23,284.41,224.14,179.74,275.82,218.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.69,299.00,,152.16,192.10,231.30,294.17,308.93,284.76,256.95,269.36,,214.31,,,,,,
2001-02-20 22:04:36.568000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.60,294.30,241.00,299.28,294.01,272.25,282.70,285.48,256.70,213.79,253.21,,,,300.48,221.34,219.65,222.54,245.49,268.26,288.34,271.44,293.80,288.36,183.16,248.09,244.68,247.30,256.60,249.62,268.18,267.73,269.00,273.55,214.30,257.48,272.26,249.23,235.26,227.99,218.24,183.06,146.40,256.01,266.67,268.45,,190.59,203.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.78,229.10,204.31,201.55,286.04,212.00,245.49,,219.23,,,,,,
2001-04-09 22:04:17.927000,L7,,,,,,,,,,,,,,,261.33,257.41,,,,,,,,,,,,,,,,,,,,,,,,228.64,251.02,263.66,258.44,215.83,,194.08,230.36,245.09,221.49,216.19,,,272.98,219.85,217.73,190.93,271.67,288.01,278.87,255.02,,,,249.34,246.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.01,234.96,266.23,257.28,227.80,,,177.29,,,,,,
2001-07-14 22:03:33.580000,L7,,,,,,,,,,,,295.37,306.38,306.27,308.69,301.78,,,,,,,,,,,,,,,,,,,,,,,283.78,270.36,280.63,284.66,287.58,288.24,286.64,285.77,286.36,289.03,284.63,265.80,164.74,,307.67,303.56,306.89,295.62,282.15,284.69,295.91,272.99,298.05,289.16,295.99,,,,,,,,,,,281.03,285.23,291.33,278.03,222.32,,,,,,,267.10,307.07,310.56,315.53,303.83,151.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.99,195.60,237.72,275.95,298.72,272.68,290.21,257.21,,,,,,,,
2001-10-02 22:02:28.410000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.18,258.89,263.13,261.25,256.97,214.87,,,,,,,,,,244.70,234.76,274.03,273.42,274.96,271.94,266.76,250.96,230.26,,,,255.17,248.57,262.04,253.37,241.25,251.83,257.28,262.60,,252.44,235.51,253.56,241.57,269.84,246.85,259.84,242.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.44,,,,,,,,,
2001-11-03 22:02:34.745000,L7,379.28,272.74,298.56,227.83,317.52,,180.40,352.43,347.04,336.44,,468.19,486.48,459.59,229.94,349.28,357.00,396.14,399.39,392.98,397.65,429.88,335.56,428.53,487.17,497.28,508.13,,,453.06,338.87,499.47,365.24,330.64,365.74,329.37,315.10,322.80,411.83,,,523.84,481.95,302.50,323.29,365.90,398.11,493.88,492.10,492.09,510.30,397.54,399.53,354.24,397.87,380.21,380.22,378.29,380.31,416.07,406.19,436.51,426.83,378.89,391.07,375.97,411.31,430.75,380.94,379.37,368.26,362.37,,412.56,408.37,371.64,374.80,417.14,395.50,377.55,387.36,368.92,,347.42,519.71,173.79,253.51,375.07,349.47,378.95,377.34,374.86,375.82,374.18,384.73,389.51,374.52,376.77,371.82,368.73,369.29,371.79,373.52,323.80,333.83,258.06,357.24,395.42,410.17,397.88,436.09,326.09,406.87,495.35,410.59,427.46,400.83,363.98,358.81,357.72,361.76,400.17,402.40,389.82,414.09,430.53,386.40,,,,,,
2002-03-11 22:03:07.402000,L7,,,292.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.46,180.24,210.49,238.93,252.93,263.90,177.38,176.17,284.07,285.95,287.79,287.20,253.59,175.99,267.37,,,,,,,310.49,158.74,224.01,204.13,,,,,,,,,,232.15,246.96,,,,,,,,269.55,218.39,280.06,276.83,277.64,273.95,232.71,278.82,256.03,240.17,,,,,,,,,,,,,,,,,,,,281.58,248.92,,,,,,,,,,,,,,176.03,220.50,270.17,306.61,293.44,271.35,,,,,,,,,
