dates,nzd0474-0000,nzd0474-0001,nzd0474-0002,nzd0474-0003,nzd0474-0004,nzd0474-0005,nzd0474-0006,nzd0474-0007,nzd0474-0008,nzd0474-0009,nzd0474-0010,nzd0474-0011,nzd0474-0012,nzd0474-0013,nzd0474-0014,nzd0474-0020,nzd0474-0021,nzd0474-0022,nzd0474-0023,nzd0474-0024,nzd0474-0025,nzd0474-0026,nzd0474-0027,nzd0474-0028,nzd0474-0029,nzd0474-0030,nzd0474-0043,nzd0474-0044,nzd0474-0045,nzd0474-0046,nzd0474-0047,nzd0474-0048,nzd0474-0054,nzd0474-0055,nzd0474-0015,nzd0474-0016,nzd0474-0017,nzd0474-0018,nzd0474-0019,nzd0474-0031,nzd0474-0032,nzd0474-0033,nzd0474-0034,nzd0474-0035,nzd0474-0036,nzd0474-0037,nzd0474-0038,nzd0474-0039,nzd0474-0040,nzd0474-0041,nzd0474-0042,nzd0474-0049,nzd0474-0050,nzd0474-0051,nzd0474-0052,nzd0474-0053,nzd0474-0056,nzd0474-0057,nzd0474-0058,nzd0474-0059,nzd0474-0060,nzd0474-0061,nzd0474-0062,nzd0474-0063,nzd0474-0064,nzd0474-0065,nzd0474-0066,nzd0474-0067,nzd0474-0068,nzd0474-0069,nzd0474-0070,nzd0474-0071,nzd0474-0072,satname
1999-08-26 22:07:08+00:00,,265.83,,273.64,,,274.75,279.43,280.08,258.14,280.27,271.58,257.55,282.39,,274.16,273.82,276.42,287.1,269.83,267.24,268.44,248.3,260.6,,,,,,,288.68,280.81,286.92,292.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-11-30 22:06:59+00:00,,284.08,273.11,279.255,285.81,274.22,272.015,278.17,278.155,265.125,287.46500000000003,277.99,270.33500000000004,286.755,,270.44500000000005,269.345,268.65,278.44500000000005,268.95,266.32500000000005,266.76,255.54,259.895,,,,,,,300.305,299.735,295.975,307.82,,268.47,,272.3,,,,,,,,,,,,,,292.1,279.54,277.5,287.41,299.69,,296.26,,303.42,306.56,316.92,310.54,332.48,,,,,,325.71,320.93,317.69,,L7
2000-05-08 22:06:20+00:00,,302.33,273.11,284.87,285.81,274.22,269.28,288.985,306.31,307.985,294.66,284.4,283.12,291.12,,262.72,261.12,260.95,263.75,268.07,284.73,284.53999999999996,282.725,276.39,,292.56,312.13,317.65,323.88,325.02,320.675,325.34000000000003,309.54499999999996,319.995,,268.47,,272.3,,301.53,298.48,295.88,303.44,,298.97,,306.21,302.73,310.22,308.38,314.76,288.285,270.405,272.66499999999996,299.005,306.1,,282.615,,303.42,306.56,316.92,310.54,332.48,,,,258.12,260.56,333.39,330.495,317.69,,L7
2000-06-25 22:05:55+00:00,,,,324.13,305.21,300.88,,301.06,336.39,343.86,342.09,333.94,325.04,,,272.095,268.895,270.47,257.71,308.71,300.90999999999997,304.3,302.67,297.39,304.47,292.56,316.015,317.65,330.87,325.02,333.055,332.02,319.90999999999997,322.75,,290.76,314.04,271.95,317.89,292.405,297.78,301.57,303.44,302.85,296.675,284.19,300.67499999999995,299.45000000000005,300.555,303.96500000000003,314.76,284.47,261.27,267.83,312.84000000000003,315.945,316.93,268.97,,315.38,,346.09,336.26,339.94,343.07,343.91,344.55,277.985,260.56,341.07,339.075,329.95,337.39,L7
2000-07-27 22:05:24+00:00,235.73,271.87,265.63,318.625,307.355,298.90999999999997,295.36,300.885,320.92499999999995,324.255,327.53499999999997,318.73,315.17,315.69,,264.0133333333333,264.4266666666667,264.12666666666667,254.79,301.07,298.99666666666667,300.3566666666667,296.4,295.01666666666665,302.79,291.97,313.01666666666665,314.98,324.15000000000003,322.53499999999997,331.2366666666667,333.15999999999997,320.0,322.75,,290.76,304.295,276.275,306.515,290.04999999999995,293.3833333333333,296.9533333333333,299.03499999999997,298.885,296.72333333333336,294.635,300.0933333333333,300.92,303.47333333333336,301.4166666666667,311.97,289.74,265.9,270.57,301.0733333333333,316.62666666666667,312.82,268.97,,315.38,,346.09,336.26,342.11,342.525,342.49,347.765,297.22,260.56,341.07,339.075,331.0,340.67499999999995,L7
2000-08-12 22:05:17+00:00,240.305,283.72,254.69,314.87333333333333,305.5,295.00333333333333,291.84000000000003,298.1133333333333,311.46666666666664,313.0833333333333,320.60999999999996,313.03666666666663,308.26,315.69,,269.2975,268.0425,268.3875,268.9266666666667,298.51,299.3025,299.45500000000004,294.5133333333333,294.89,303.3566666666667,292.56666666666666,311.2975,308.3433333333333,320.07,321.65333333333336,329.16,330.5133333333333,320.0,322.32,,290.76,304.295,276.275,306.515,288.41999999999996,288.8675,295.3025,297.47333333333336,298.02333333333337,296.97,294.5733333333333,298.5,301.17,305.4875,304.4675,309.54333333333335,289.74,265.9,270.57,303.0525,314.775,313.8333333333333,268.97,,315.38,,346.09,336.26,342.11,342.525,342.49,347.765,297.22,260.56,341.07,302.32666666666665,331.0,338.49666666666667,L7
2001-01-03 22:04:36+00:00,258.81,287.30333333333334,262.50333333333333,300.7033333333333,299.3566666666666,283.9766666666667,283.43,289.7966666666667,291.42333333333335,290.1466666666667,305.34333333333336,298.6233333333333,294.20000000000005,303.15,282.64,266.5,267.19000000000005,266.30499999999995,274.53499999999997,282.60999999999996,286.4166666666667,283.44,279.97666666666663,280.51666666666665,302.8,279.15333333333336,295.7966666666667,301.53,307.21999999999997,316.1066666666666,319.07666666666665,330.65000000000003,320.18,321.46,272.39,268.7,294.55,280.6,295.14,277.31666666666666,273.64000000000004,280.74666666666667,285.26,296.9866666666667,288.8233333333333,290.9433333333333,287.79333333333335,291.03666666666663,300.90333333333336,300.98999999999995,298.90333333333336,295.01,270.53,273.31,299.50333333333333,313.60499999999996,309.8233333333333,,,,,,,344.28,341.98,341.07,350.98,335.69,,,222.67000000000002,332.05,339.05,L7
2001-02-20 22:04:36+00:00,295.01,296.33500000000004,280.935,282.315,288.015,272.15,268.165,277.95000000000005,278.235,276.06,297.46000000000004,292.21500000000003,284.20500000000004,291.665,281.835,278.81,274.47,274.37,281.42,265.08,265.605,264.21500000000003,262.275,257.525,,255.745,274.665,292.80499999999995,300.31,308.38,306.7,332.43,304.33,321.78,276.815,273.89,272.05,275.36,269.48,263.365,262.935,264.98,267.805,299.495,274.65,276.57500000000005,256.665,267.33,281.87,301.74,293.655,,,285.43,295.815,299.99,305.92999999999995,,,,,,,306.48,285.4,,,,253.82,330.56,217.07999999999998,325.97,,L7
2001-04-09 22:04:17+00:00,295.01,297.8433333333333,280.935,282.315,293.5833333333333,272.15,285.27000000000004,294.75,280.56,278.0,300.9166666666667,295.31333333333333,284.20500000000004,291.665,281.835,278.81,274.47,282.96500000000003,281.42,265.08,270.07666666666665,273.07666666666665,274.6333333333334,272.3433333333333,306.55,263.04,274.665,292.80499999999995,300.31,308.38,313.065,328.78999999999996,310.92499999999995,321.78,276.815,283.04333333333335,272.05,275.36,269.48,266.53,267.34,272.09,274.49,300.90333333333336,274.65,276.57500000000005,256.665,267.33,297.06,301.74,295.8633333333333,322.04,,298.195,295.815,302.845,305.92999999999995,,,,,,,306.48,266.95,,,339.12,253.82,330.56,222.47,325.97,,L7
2001-06-28 22:03:32+00:00,295.01,297.8433333333333,280.935,282.315,293.5833333333333,272.15,285.27000000000004,294.75,280.56,278.0,300.9166666666667,295.31333333333333,284.20500000000004,291.665,281.835,274.74,275.56500000000005,285.7366666666667,291.11,270.8933333333333,275.41,278.035,275.1275,275.12,298.815,271.4175,274.665,268.92,287.52,292.12,316.02,314.33,308.9166666666667,321.78,276.815,283.04333333333335,272.05,275.36,268.38,273.2025,265.5175,276.27750000000003,279.06,299.315,280.42333333333335,279.55333333333334,266.06,268.13,282.5466666666667,301.74,295.8633333333333,260.365,,289.30333333333334,299.33,299.15333333333336,307.34999999999997,296.47,,,,,,306.48,266.95,,,339.12,253.82,330.56,222.47,323.345,316.61,L7
2001-07-14 22:03:33+00:00,294.2,299.53,283.74,281.16999999999996,291.78000000000003,278.41499999999996,294.6,304.07,282.71,279.475,297.3,289.16,274.99,292.72,281.03,271.8833333333334,272.77000000000004,279.8,287.43,269.71999999999997,271.4375,283.68,280.48333333333335,273.7875,291.81,277.78333333333336,275.1,256.07,273.6366666666667,274.83000000000004,318.4866666666667,308.25666666666666,306.6325,314.80499999999995,276.36,281.56333333333333,272.05,275.36,265.42333333333335,276.57666666666665,267.02,280.31333333333333,283.1466666666667,293.345,283.3633333333333,280.06666666666666,261.6266666666667,258.93,275.94,310.45,302.375,238.37333333333333,,289.30333333333334,293.005,297.365,308.575,296.47,,,,,,306.48,266.95,,,339.12,253.82,330.56,225.45,323.345,316.61,L7
