dates,nzd0477-0000,nzd0477-0001,nzd0477-0002,nzd0477-0003,nzd0477-0004,nzd0477-0005,nzd0477-0006,nzd0477-0007,nzd0477-0008,nzd0477-0009,nzd0477-0010,nzd0477-0011,nzd0477-0012,nzd0477-0013,nzd0477-0014,nzd0477-0015,nzd0477-0016,nzd0477-0017,nzd0477-0018,nzd0477-0019,nzd0477-0020,nzd0477-0021,nzd0477-0022,nzd0477-0023,nzd0477-0024,nzd0477-0025,nzd0477-0026,nzd0477-0027,nzd0477-0028,nzd0477-0029,nzd0477-0030,nzd0477-0031,nzd0477-0032,nzd0477-0033,nzd0477-0034
1999-08-26 22:07:08+00:00,,,302.38,298.8,294.52,309.47,312.66,,273.26,,,,305.81,311.66,313.14,,,,,,,311.22,313.16,316.68,311.88,311.59,322.45,317.24,307.11,,308.24,301.77,,,
1999-11-30 22:06:59+00:00,333.23,,297.455,300.425,294.945,308.25,307.22,,289.14,301.5,296.29,,305.81,311.66,313.14,,,,,,,302.57500000000005,304.745,310.155,301.40999999999997,302.48,308.405,309.725,297.685,,308.24,301.77,282.14,,
1999-12-16 22:07:33+00:00,333.23,,297.455,292.08,284.71666666666664,308.25,292.45,,288.59,301.5,296.29,,305.81,311.66,313.14,,,,,,,302.57500000000005,304.745,310.155,301.40999999999997,302.48,308.405,309.725,297.685,,308.24,301.77,282.14,,
2000-05-08 22:06:44+00:00,333.23,315.64,298.975,294.60333333333335,288.20666666666665,307.03,282.345,,296.255,306.685,300.94,320.04,341.01,313.28,317.93,331.02,335.4,334.26,319.46,320.69,,293.93,310.39,311.135,290.94,293.37,309.275,311.06,301.095,,317.82,306.68,298.41499999999996,345.57,358.71
2000-06-25 22:06:19+00:00,,313.33,305.42,307.115,304.99,,,,,312.01,316.66499999999996,327.385,334.91999999999996,319.315,310.425,321.5,329.83,335.225,321.57,321.99,307.62,309.31,312.525,314.78,313.36,305.33,318.04499999999996,315.545,308.345,288.2,310.26,306.68,323.64,350.125,369.63
2000-07-27 22:05:48+00:00,,313.2833333333333,303.265,307.115,304.99,,,315.32,318.91,312.5566666666667,318.87333333333333,323.8566666666667,327.84,316.4766666666667,310.78000000000003,318.59666666666664,328.0133333333333,331.34,319.5933333333333,319.8666666666667,300.19,307.945,309.05,312.93666666666667,311.21500000000003,306.015,313.46999999999997,313.4433333333333,307.67,295.46000000000004,309.73,302.385,313.78666666666663,350.125,365.4533333333334
2000-08-03 22:11:31+00:00,,313.2833333333333,307.64000000000004,307.115,304.99,311.74,317.25,328.14,320.07000000000005,315.92499999999995,316.22249999999997,323.8566666666667,327.84,317.545,313.595,319.52250000000004,326.8075,330.635,319.5933333333333,319.8666666666667,300.19,307.945,309.05,312.93666666666667,311.21500000000003,306.015,313.46999999999997,313.4433333333333,307.67,295.46000000000004,309.73,302.385,313.78666666666663,353.8,369.64750000000004
2000-08-12 22:05:41+00:00,,313.2833333333333,312.87,307.115,304.99,311.74,317.25,328.14,320.07000000000005,319.08,319.466,323.8566666666667,327.84,317.545,313.595,319.52250000000004,326.8075,334.20799999999997,325.815,325.3025,300.19,314.8433333333333,312.3,316.15999999999997,318.6666666666667,306.015,313.46999999999997,313.4433333333333,307.67,295.46000000000004,310.8275,306.2,311.815,353.8,368.178
2000-09-20 22:10:50+00:00,,313.2833333333333,312.87,307.115,304.99,311.74,317.25,328.14,320.07000000000005,319.08,319.466,323.8566666666667,315.6925,317.545,307.236,312.204,323.354,330.71999999999997,322.184,321.97400000000005,300.19,310.865,309.412,313.094,310.5025,296.0933333333333,307.8375,310.3375,307.67,295.46000000000004,310.8275,306.2,311.815,353.8,368.178
2000-12-18 22:05:01+00:00,294.22,312.10499999999996,315.3533333333333,298.795,285.98,302.07500000000005,307.735,318.19,311.31,315.95199999999994,318.648,316.73,305.7975,312.995,302.88800000000003,304.212,317.828,324.66833333333335,311.98,322.295,284.88666666666666,310.865,305.6525,304.00199999999995,309.986,297.72249999999997,302.8125,307.2925,303.04999999999995,287.92,308.49666666666667,305.9599999999999,310.8566666666666,357.9150000000001,370.392
2001-01-03 22:04:36+00:00,294.22,313.19,315.3533333333333,277.86,270.47,292.90333333333336,297.2366666666667,316.62,311.92,314.976,314.048,307.29333333333335,299.87,307.4675,303.392,303.584,316.50200000000007,322.0333333333333,311.02200000000005,322.41,288.17,311.665,305.88750000000005,303.32800000000003,308.97400000000005,297.615,304.1375,305.9966666666667,313.46666666666664,287.78,318.3433333333333,315.7033333333333,312.2933333333333,355.5,368.588
2001-02-20 22:04:36+00:00,294.22,298.06,295.32,285.8833333333334,270.47,291.50333333333333,295.25333333333333,305.77000000000004,305.24,303.16333333333336,302.83,302.5266666666667,296.3725,299.85,295.435,297.09,312.6225,311.95,301.69,313.8533333333333,290.49333333333334,303.55333333333334,299.12,295.0575,300.3425,294.78,302.8275,304.6366666666667,310.2733333333333,262.315,311.96000000000004,310.81,336.9,341.935,368.67333333333335
2001-04-09 22:04:41+00:00,294.22,298.06,294.63,280.635,270.47,295.845,299.315,305.77000000000004,305.24,303.16333333333336,302.83,302.5266666666667,302.08,299.85,299.98,301.80999999999995,313.65000000000003,311.50666666666666,299.7,316.44999999999993,290.49333333333334,305.865,299.75,293.1333333333334,305.11999999999995,300.95666666666665,306.78999999999996,306.44500000000005,310.2733333333333,262.315,311.96000000000004,310.81,336.9,341.935,368.67333333333335
2001-06-28 22:03:32+00:00,,306.9,301.00666666666666,277.6033333333333,254.96,303.1425,305.5425,315.95666666666665,315.47333333333336,308.3666666666667,303.25666666666666,309.50333333333333,305.84666666666664,302.235,297.09999999999997,294.75,320.74333333333334,322.04999999999995,317.63666666666666,318.5733333333333,310.8833333333334,307.5133333333333,301.94666666666666,304.87,305.78,301.2633333333333,304.41,312.67,300.38000000000005,251.79,311.48333333333335,308.0733333333333,336.9,329.3066666666667,357.1266666666666
2001-07-14 22:03:33+00:00,,306.9,301.00666666666666,283.40999999999997,,313.0575,314.7325,317.93,314.74333333333334,307.02,301.9666666666667,311.9633333333333,306.1766666666667,289.305,292.93,287.70500000000004,322.3,322.65333333333336,316.7033333333333,317.54333333333335,306.1466666666667,304.1333333333333,302.02,304.76,306.25,301.01666666666665,294.6933333333333,310.41,274.96000000000004,251.79,301.105,294.515,,315.70666666666665,349.92499999999995
