dates,nzd0482-0000,nzd0482-0001,nzd0482-0002,nzd0482-0003,nzd0482-0004,nzd0482-0005,nzd0482-0006,nzd0482-0007,nzd0482-0008,nzd0482-0009,nzd0482-0010,nzd0482-0011,nzd0482-0012,nzd0482-0013,nzd0482-0014,nzd0482-0015,nzd0482-0016,nzd0482-0017,nzd0482-0018,nzd0482-0019,nzd0482-0020,nzd0482-0021,nzd0482-0022,nzd0482-0023,nzd0482-0024,nzd0482-0025,nzd0482-0028,nzd0482-0029,nzd0482-0030,nzd0482-0031,nzd0482-0032,nzd0482-0033,nzd0482-0034,nzd0482-0035,nzd0482-0036,nzd0482-0037,nzd0482-0038,nzd0482-0039,nzd0482-0040,nzd0482-0041,nzd0482-0042,nzd0482-0043,nzd0482-0044,nzd0482-0045,nzd0482-0046,nzd0482-0047,nzd0482-0048,nzd0482-0049,nzd0482-0050,nzd0482-0051,nzd0482-0052,nzd0482-0053,nzd0482-0054,nzd0482-0055,nzd0482-0056,nzd0482-0057,nzd0482-0062,nzd0482-0063,nzd0482-0064,nzd0482-0065,nzd0482-0066,nzd0482-0067,nzd0482-0068,nzd0482-0069,nzd0482-0070,nzd0482-0071,nzd0482-0072,nzd0482-0073,nzd0482-0074,nzd0482-0075,nzd0482-0076,nzd0482-0077,nzd0482-0078,nzd0482-0079,nzd0482-0080,nzd0482-0081,nzd0482-0082,nzd0482-0083,nzd0482-0084,nzd0482-0085,nzd0482-0086,nzd0482-0087,nzd0482-0088,nzd0482-0089,nzd0482-0090,nzd0482-0091,nzd0482-0092,nzd0482-0093,nzd0482-0094,nzd0482-0095,nzd0482-0096,nzd0482-0097,nzd0482-0098,nzd0482-0099,nzd0482-0100,nzd0482-0101,nzd0482-0102,nzd0482-0103,nzd0482-0104,nzd0482-0105,nzd0482-0106,nzd0482-0107,nzd0482-0108,nzd0482-0109,nzd0482-0110,nzd0482-0111,nzd0482-0112,nzd0482-0113,nzd0482-0114,nzd0482-0115,nzd0482-0116,nzd0482-0117,nzd0482-0118,nzd0482-0119,nzd0482-0120,nzd0482-0121,nzd0482-0122,nzd0482-0123,nzd0482-0124,nzd0482-0125,nzd0482-0126,nzd0482-0127,nzd0482-0128,nzd0482-0129,nzd0482-0130,nzd0482-0131,nzd0482-0132,nzd0482-0133,nzd0482-0134,nzd0482-0135,nzd0482-0136,nzd0482-0137,nzd0482-0138,nzd0482-0139,nzd0482-0140,nzd0482-0141,nzd0482-0142,nzd0482-0143,nzd0482-0144,nzd0482-0145,nzd0482-0146,nzd0482-0147,nzd0482-0148,nzd0482-0149,nzd0482-0150,nzd0482-0058,nzd0482-0059,nzd0482-0060,nzd0482-0061,nzd0482-0026,nzd0482-0027,satname
1999-08-26 22:07:08+00:00,,,316.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.05,,,,,,,,,,,,306.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.15,328.64,325.28,325.56,301.55,303.01,,,,,,,,,,322.27,330.82,312.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384.69,,376.97,,,,,,,L7
1999-12-16 22:07:33+00:00,,,316.8,,307.54,306.0,304.07,311.49,,,,,,,,311.98,300.85,310.02,,299.17,291.18,,,297.36,311.25,,,,,,,,,,,304.05,,,,,,,,,,,,306.47,,,,,,,,,,,,,,,,,299.13,292.05,,,,,,,,,,,,,,,,,298.89,,,,,,,,,324.15,328.64,325.28,325.56,301.55,303.01,345.38,,,348.23,,305.44,,359.15,353.46,339.17999999999995,330.82,312.54,355.39,,323.24,345.53,352.44,350.83,327.43,313.66,358.78,355.04,362.28,361.32,372.17,373.33,366.37,360.66,354.91,356.04,356.38,359.58,354.57,335.74,305.7,350.64,355.19,358.19,357.85,357.22,359.14,354.07,360.14,352.77,346.14,370.46000000000004,349.41,359.525,,,,,,,L7
2000-05-08 22:06:44+00:00,,,,,308.73,309.805,304.07,311.49,,,,,,,,311.98,300.85,310.02,,299.17,291.18,,,297.36,311.25,,,,,,,,,,,,,,,,,,,280.49,,,,,,,,,,,,,,,,,,,,326.68,299.13,292.05,,,,,,,,,,,,,,,,,298.89,285.9,343.07,,,,,,,,,,,,339.15,345.38,,,353.48,331.61,323.94,,356.81,349.1,352.48,358.49,,357.1,,339.74,345.53,352.44,350.83,342.895,313.66,358.78,355.04,362.225,361.32,373.125,375.385,369.675,360.66,354.91,364.545,356.38,370.22,368.96000000000004,335.74,305.7,358.47,360.595,363.855,357.85,363.54,359.14,360.96000000000004,368.03,352.77,346.14,369.32000000000005,349.41,356.935,,,,,,,L7
2000-05-31 22:12:18+00:00,,,,,304.62,307.1033333333333,305.225,311.49,,,,312.24,318.74,331.05,325.68,311.98,308.31,313.02,316.69,302.36,302.515,304.79,310.73,298.57500000000005,309.31,293.86,295.71,,,,,,,,,,,,,,,,,280.49,305.87,310.17,301.49,285.51,287.99,311.32,312.14,305.62,307.86,,,,297.19,305.81,289.07,304.04,304.93,311.2,296.48,317.19,299.13,292.05,,,,,,,,298.95,296.96,,309.2,309.62,,,297.98,,294.525,278.38,331.86,304.91,311.57,318.11,333.6,,,328.73,,,,,320.79999999999995,339.685,339.05,337.27,348.59999999999997,316.105,323.94,,356.81,349.1,352.48,358.49,,357.1,,339.74,342.005,352.44,346.91499999999996,342.895,313.66,352.66499999999996,355.04,362.225,361.32,373.125,355.02666666666664,357.0133333333333,352.83500000000004,353.185,361.6666666666667,359.355,367.06666666666666,368.96000000000004,335.74,305.7,358.47,360.595,363.855,357.85,363.54,359.14,360.96000000000004,368.03,352.77,346.14,369.32000000000005,349.41,356.935,,,317.42,304.85,293.4,294.02,L7
2000-06-25 22:06:19+00:00,,,,,301.44,304.99,306.38,,,,305.28,307.445,312.855,328.72,326.89,,315.77,316.02,316.69,305.55,313.85,304.79,310.73,303.19500000000005,307.37,293.86,295.71,,300.24,302.92,,284.53,,,,,,,,,,,,293.745,305.87,310.17,301.49,285.51,287.99,311.32,312.14,305.62,311.21500000000003,,,,297.19,305.81,289.07,304.04,304.93,311.2,296.48,317.19,,,,,,,,,,298.95,296.96,325.5,309.2,309.62,,,297.98,,290.16,271.94,331.86,304.91,311.57,318.11,333.6,,,328.73,,,319.52,,320.79999999999995,333.99,339.05,337.27,343.87999999999994,316.105,342.44,,331.935,320.65,325.03999999999996,358.49,303.27,331.08500000000004,311.07,325.3,337.63,,343.0,358.36,,346.55,,355.105,347.09,374.08,335.8566666666667,343.8733333333333,349.34000000000003,351.46,364.48,362.33,370.81000000000006,383.35,,305.11,355.96500000000003,366.0,359.39,,369.86,,367.85,375.92,,,384.21500000000003,377.87,372.3,,,320.96000000000004,311.95500000000004,293.4,294.02,L7
2000-08-03 22:11:31+00:00,,,,,301.44,304.99,306.38,,,,305.28,307.445,312.855,328.72,326.89,,315.77,316.02,316.69,305.55,313.85,304.79,310.73,303.19500000000005,307.37,293.86,295.71,,300.24,302.92,,284.53,,,,,,,,,,,,293.745,305.87,310.17,301.49,285.51,287.99,311.32,312.14,305.62,311.21500000000003,,,,297.19,305.81,289.07,304.04,304.93,311.2,296.48,317.19,,,,,,,,,,298.95,296.96,325.5,309.2,309.62,,,297.98,,290.16,271.94,331.86,304.91,311.57,318.11,333.6,,,328.73,,,319.52,,320.79999999999995,333.99,339.05,337.27,343.87999999999994,316.105,342.44,,331.935,320.65,325.03999999999996,358.49,303.27,331.08500000000004,311.07,325.3,337.63,,343.0,358.36,,346.55,,355.105,347.09,374.08,335.8566666666667,343.8733333333333,349.34000000000003,351.46,364.48,362.33,370.81000000000006,383.35,,305.11,355.96500000000003,366.0,359.39,,369.86,,367.85,375.92,,,383.46000000000004,377.87,372.3,,,320.96000000000004,311.95500000000004,293.4,294.02,L7
2000-08-12 22:05:17+00:00,,,282.08,,301.44,304.99,306.38,,,,305.28,307.445,312.855,328.72,326.89,,315.77,316.02,320.40999999999997,305.55,313.85,304.79,310.73,309.72,307.37,293.86,295.71,,300.24,302.92,,284.53,,,,,,,,,,,,293.745,305.87,310.17,301.49,285.51,287.99,311.32,312.14,308.175,313.37333333333333,321.01,,,297.19,305.81,289.07,304.04,304.93,311.2,296.48,317.19,,315.32,,304.68,,,,,,298.95,296.96,325.5,309.2,309.62,,,297.98,,290.16,271.94,331.86,304.91,311.57,318.11,333.6,,,328.73,,,319.52,,320.79999999999995,333.99,339.05,337.27,343.87999999999994,320.18,342.44,,331.935,320.65,325.03999999999996,358.49,303.27,331.08500000000004,311.07,325.3,337.63,,343.0,358.36,,346.55,,355.105,347.09,374.08,335.8566666666667,343.8733333333333,349.34000000000003,351.46,364.48,362.33,370.81000000000006,383.35,,305.11,355.96500000000003,366.0,359.39,,369.86,,367.85,375.92,,,381.765,372.015,370.5566666666667,,,320.96000000000004,311.95500000000004,297.775,294.02,L7
2000-09-20 22:10:50+00:00,,,297.21500000000003,,301.44,304.99,306.38,,,,305.28,307.445,312.855,328.72,326.89,,315.77,316.02,315.0933333333333,310.41499999999996,313.85,304.79,310.73,309.72,307.37,299.645,298.78,,294.96000000000004,306.655,330.07,297.855,,,307.21,290.97,,,308.7,,,,,293.745,305.87,310.17,301.49,285.51,287.99,311.32,312.14,308.175,313.37333333333333,321.01,308.91,266.85,300.345,313.805,294.375,304.515,305.20500000000004,310.78,301.78,311.84,,315.32,,304.68,297.27,290.08,,283.53,,298.95,296.96,325.5,309.2,309.62,,,309.49,,299.23,271.94,331.60999999999996,304.91,311.57,317.905,333.6,,,328.73,,318.18,329.17999999999995,334.42,324.57666666666665,340.155,339.05,337.27,343.2975,309.7225,342.44,,330.98333333333335,321.18666666666667,326.16,358.49,303.27,334.09999999999997,319.79999999999995,318.11333333333334,335.8666666666666,328.72,334.56,344.565,331.21,346.15999999999997,346.87,352.06333333333333,347.195,374.08,334.64,344.7475,349.34000000000003,351.37,364.48,362.33,366.66,371.58500000000004,343.42,318.685,350.91333333333336,353.005,351.65000000000003,342.69,357.115,337.22,367.85,360.71500000000003,349.29,343.44,375.452,362.5733333333333,364.42,298.58,329.23,322.87333333333333,309.9866666666667,301.5733333333333,294.02,L7
2001-01-03 22:04:36+00:00,296.93,308.89,303.90333333333336,312.62,,,,,,,,,,,,,,,312.65666666666664,306.58,,315.75,301.62,312.13,310.27,298.61,302.135,287.66,289.68,310.39,328.25,311.18,,,307.21,290.97,,,308.7,,,299.2,,,,,,,,,,310.73,317.69,321.01,301.93,266.85,303.5,321.8,299.68,304.99,305.48,310.36,307.08,301.14,,315.32,,304.68,297.27,290.08,,283.53,,,,,,,,,321.0,,308.3,,331.11,,,317.7,,,,,,318.18,338.84,334.42,332.13,346.32,,,341.55,307.61333333333334,,,329.08,322.26,328.4,,,340.13,328.53,303.74,332.34,328.72,326.12,330.77,331.21,345.77,346.87,345.98,347.3,370.09,349.41499999999996,347.37,362.12,351.28,361.03,363.84,360.985,362.265,350.64,342.34000000000003,349.305,347.735,348.725,342.69,344.37,337.22,367.34,355.33,357.82000000000005,349.93,368.4,354.24666666666667,354.4433333333333,298.58,329.23,326.7,306.05,301.0233333333333,292.76,L7
2001-02-20 22:05:00+00:00,296.93,308.89,314.81500000000005,312.62,,,,,,,,,,,,,,,306.91999999999996,306.58,,315.75,301.62,301.49,310.27,298.61,302.135,287.66,289.68,310.39,328.25,311.18,,,307.21,290.97,,,308.7,,,299.2,,,,,,,,,,,,,301.93,266.85,303.5,321.8,299.68,304.99,305.48,310.36,307.08,301.14,,,,,297.27,290.08,,283.53,,,,,,,,,321.0,,308.3,,331.11,,,317.7,,,,,,318.18,338.84,334.42,332.13,346.32,,,341.55,297.255,,,329.08,322.26,328.4,,,340.13,329.88,314.70000000000005,326.495,328.72,326.12,330.77,331.21,345.77,346.87,345.98,347.3,370.09,349.41499999999996,347.37,362.12,351.28,361.03,363.84,360.985,362.265,350.64,342.34000000000003,349.305,347.735,348.725,342.69,344.37,337.22,367.34,355.33,357.82000000000005,349.93,357.485,348.28999999999996,354.73333333333335,298.58,329.23,326.7,306.05,300.46,292.76,L7
