dates,nzd0498-0000,nzd0498-0001,nzd0498-0002,nzd0498-0003,nzd0498-0004,nzd0498-0005,nzd0498-0006,nzd0498-0007,nzd0498-0008,nzd0498-0009,nzd0498-0010,nzd0498-0011,nzd0498-0012,nzd0498-0013,nzd0498-0014,satname
2001-04-09 22:04:41+00:00,307.54,,,,,,,,,,,327.06,,320.45,317.31,L7
2001-04-16 22:10:54+00:00,308.645,,,,,,,,,,,327.06,,320.45,332.945,L7
2001-07-14 22:03:57+00:00,310.5,341.55,320.47,,347.09,342.53,,,,,353.04,316.625,335.56,327.45,337.7233333333333,L7
2001-12-12 22:09:26+00:00,305.16999999999996,321.555,315.51,311.63,327.245,324.17499999999995,310.06,314.94,313.55,315.54,335.21500000000003,308.95,326.28,319.99,347.28,L7
2002-04-12 22:03:25+00:00,303.955,312.025,299.055,320.725,316.33,318.725,319.645,323.815,322.13,322.83500000000004,319.9,316.2,318.16999999999996,314.315,319.08,L7
2003-10-07 21:58:35+00:00,281.36,,,,,,,,,,,,,,,L5
2003-12-26 21:59:30+00:00,293.885,284.22,295.15,295.17,288.75,282.58,,,,,,,,,,L5
2005-08-09 22:08:46+00:00,278.33,,,,,,,,,,,,,,,L5
2005-10-05 22:02:41+00:00,280.38,,,,,,,,,,,,,,,L5
2006-08-21 22:08:07+00:00,,272.26,291.44,289.2,,,,,290.97,289.74,296.9,294.27,289.38,285.09,278.08,L5
2006-10-08 22:08:40+00:00,,271.76,289.96000000000004,289.2,,,,293.02,293.69000000000005,293.065,299.56,295.39,292.475,284.695,277.835,L5
2013-05-11 22:22:42+00:00,278.76,298.48,308.71,310.15,304.45,309.12,310.8,313.98,314.14,318.81,316.92,313.79,309.61,305.46,298.26,L8
2013-07-07 22:16:35+00:00,278.76,298.48,308.71,310.15,304.45,309.12,310.8,313.98,297.935,313.725,313.79,309.4,306.38,298.84000000000003,291.86,L8
2013-10-11 22:16:29+00:00,276.03499999999997,295.58000000000004,303.595,306.28499999999997,300.995,304.28499999999997,306.08500000000004,309.525,301.16,312.76666666666665,313.06333333333333,308.30333333333334,305.4066666666667,297.54333333333335,289.1066666666666,L8
2013-10-18 22:22:37+00:00,272.95,295.58000000000004,303.595,306.28499999999997,300.995,304.28499999999997,306.08500000000004,309.525,301.16,312.76666666666665,313.06333333333333,308.30333333333334,305.4066666666667,297.54333333333335,289.1066666666666,L8
2013-11-19 22:22:25+00:00,276.07,297.01,304.6,307.865,302.485,305.07,307.015,311.04499999999996,302.4866666666667,314.06666666666666,315.03666666666663,309.73333333333335,307.1066666666666,297.57666666666665,287.77,L8
2014-08-18 22:20:51+00:00,263.28,,,,,,,,,,,,,,,L8
2015-02-10 22:20:38+00:00,272.89,297.65,,,,,,,,,,,,,,L8
2015-05-01 22:20:00+00:00,277.56,292.215,298.79,303.65,299.99,300.96,301.39,300.41,300.69,305.79,309.71,311.82,310.88,301.73,288.84,L8
2015-07-29 22:14:13+00:00,273.77,286.39,294.125,299.195,293.495,300.96,301.39,300.41,300.69,305.79,309.71,311.82,310.88,301.73,288.84,L8
2015-10-08 22:20:48+00:00,268.32,280.76,294.125,299.195,293.495,300.96,301.39,300.41,300.69,305.79,309.71,311.82,310.88,301.73,288.84,L8
2015-10-24 22:20:52+00:00,272.6325,285.16,298.1933333333333,302.8333333333333,297.50333333333333,303.78499999999997,304.605,303.33500000000004,303.79499999999996,309.155,313.525,314.615,312.26,303.225,294.855,L8
2016-07-31 22:14:37+00:00,279.24,288.13,301.76,305.52,300.74,302.87,303.52,302.9,304.25,307.8,312.68,313.09,310.95,302.2,290.13,L8
2017-01-30 22:20:50+00:00,279.35,286.84,301.18,305.67,302.81,306.21,304.97,304.72,305.14,309.1,313.3,315.95,310.58,303.5,293.56,L8
2017-04-20 22:20:11+00:00,273.51,286.84,301.18,305.67,302.81,306.21,304.97,304.72,305.14,309.1,313.3,315.95,310.58,303.5,293.56,L8
2017-12-25 22:14:47+00:00,289.11,302.66,312.67,312.95,311.26,310.31,313.33,310.54,312.7,315.74,317.8,318.0,308.46,302.86,297.4,L8
2018-03-06 22:20:26+00:00,276.69,302.66,312.67,312.95,311.26,310.31,313.33,310.54,312.7,315.74,317.8,318.0,308.46,302.86,297.4,L8
2018-05-18 22:13:34+00:00,276.46666666666664,294.165,306.25,306.995,305.305,305.08000000000004,307.245,303.845,306.41499999999996,308.68,310.755,311.025,302.445,296.195,291.52,L8
2019-02-21 22:20:30+00:00,278.73,295.18,304.24,307.94,304.48,307.84,306.04,303.51,307.17,309.4,307.91,307.73,297.54,,277.68,L8
2019-11-13 22:14:57+00:00,291.0,304.02,315.31,315.77,312.74,312.71,313.49,315.97,314.62,318.15,317.72,317.47,310.58,300.52,289.16,L8
2019-12-22 22:21:03+00:00,291.365,305.04999999999995,315.1,315.815,312.905,312.775,314.08500000000004,315.46000000000004,315.435,318.745,319.26,317.95000000000005,309.74,298.525,288.895,L8
2020-01-23 22:20:55+00:00,289.57,304.58666666666664,313.68,315.54,312.4533333333333,312.59666666666664,313.74,314.86,314.96666666666664,318.05333333333334,318.24333333333334,317.1266666666667,307.8933333333333,296.53999999999996,287.31666666666666,L8
2020-03-11 22:20:40+00:00,284.275,298.7575,308.8675,311.05,308.075,308.0075,308.5475,309.65,310.0125,312.94,313.23,317.1266666666667,307.8933333333333,296.53999999999996,287.31666666666666,L8
2020-05-30 22:20:16+00:00,277.7175,292.72,303.8,306.355,303.25,302.5425,302.525,307.5433333333333,308.47666666666663,311.2033333333333,311.73333333333335,316.95500000000004,306.54999999999995,294.54999999999995,286.395,L8
2020-07-10 22:14:27+00:00,273.365,288.14,300.09749999999997,302.815,299.33750000000003,299.115,298.48249999999996,301.93,303.2033333333333,305.75666666666666,304.9666666666667,308.015,297.65,286.115,277.775,L8
2021-05-01 22:20:19+00:00,273.37,288.81,299.14,300.23,278.09,,,,,,,,,,,L8
2021-05-17 22:20:24+00:00,279.22,298.315,308.91499999999996,309.29,296.575,314.49,316.67,317.98,320.07,318.37,315.72,312.14,305.72,303.17,,L8
2021-08-14 22:14:45+00:00,277.5933333333333,295.8966666666667,305.29,306.2666666666667,296.4066666666667,307.41499999999996,308.925,309.94,313.1,312.44,311.0,307.51,297.995,292.17,273.66,L8
2021-08-30 22:14:49+00:00,276.1625,294.7525,303.7575,304.8275,296.64,303.4766666666667,304.8833333333334,306.02666666666664,310.0366666666667,309.0133333333333,307.71666666666664,304.43333333333334,293.38,286.4766666666667,271.87,L8
2022-02-06 22:14:44+00:00,278.1533333333333,296.62,304.57,305.49666666666667,302.43666666666667,303.1033333333333,304.2633333333333,305.17333333333335,308.6666666666667,308.97,308.01,305.0566666666667,291.9433333333333,284.7033333333333,278.37333333333333,L8
2022-02-13 22:20:52+00:00,275.18,299.4,307.835,308.135,305.62,304.485,305.805,306.81,309.93500000000006,310.20000000000005,308.875,306.145,292.78,286.46999999999997,280.73,L8
2022-04-10 22:20:41+00:00,277.37,304.005,313.775,313.845,310.79999999999995,310.595,312.28,312.805,313.825,315.045,312.82000000000005,309.95,298.875,294.175,291.38,L9
2023-04-06 22:14:33+00:00,268.8,288.81,297.78,299.1,296.26,300.07,297.4,295.45,297.81,,,,,,,L9
2023-04-14 22:14:09+00:00,271.37,290.82,300.565,300.975,297.53999999999996,301.155,298.225,298.395,300.34000000000003,297.74,293.12,289.17,285.79,277.03,273.32,L8
2024-03-06 22:20:39+00:00,291.5,311.72,320.7,321.32,317.06,317.88,320.08,322.38,320.28,317.18,308.34,302.81,301.9,302.0,294.75,L8
2024-04-24 22:14:13+00:00,287.46000000000004,308.82000000000005,317.255,317.755,314.645,315.31,317.005,317.31,316.2,313.71000000000004,304.9,299.97,299.01,296.735,290.66999999999996,L9
2024-07-12 22:20:12+00:00,287.46000000000004,303.47333333333336,312.4533333333333,312.46,308.74666666666667,308.40000000000003,310.41333333333336,310.50666666666666,311.27666666666664,307.99,300.15333333333336,295.8433333333333,294.49333333333334,290.0133333333333,284.3533333333333,L8
2024-07-13 22:14:02+00:00,286.2366666666667,303.56,312.7075,312.61,309.5,308.71,310.7975,310.1975,309.78999999999996,305.275,297.28999999999996,293.9225,291.25,287.9875,284.3533333333333,L9
2024-08-05 22:20:18+00:00,283.505,301.63,311.206,311.166,307.77799999999996,307.434,308.878,308.77599999999995,308.12,303.672,296.192,293.03000000000003,290.25,286.58000000000004,281.5225,L9
2024-08-29 22:20:33+00:00,283.505,300.51666666666665,310.14166666666665,310.195,306.675,306.62833333333333,307.7916666666667,307.7683333333333,307.215,302.705,295.53833333333336,292.015,289.79833333333335,285.86,280.378,L8
2024-09-07 22:14:30+00:00,279.7925,297.9683333333333,307.1166666666667,307.5083333333333,304.2816666666667,304.0883333333333,305.07666666666665,304.78000000000003,304.51666666666665,299.4816666666666,292.95666666666665,289.8833333333333,287.68666666666667,282.705,276.214,L8
2024-09-22 22:20:32+00:00,279.7925,297.1657142857143,306.5014285714286,307.21857142857147,303.56857142857143,303.88571428571424,304.29714285714283,304.57142857142856,304.0657142857143,299.0842857142857,292.69428571428574,289.6542857142857,287.59714285714284,282.2471428571429,275.23499999999996,L9
2024-10-16 22:20:51+00:00,282.106,298.69625,307.92125,308.8825,305.26875,305.78499999999997,306.2925,306.6175,305.82125,300.925,294.74,291.47125,289.68,284.535,278.00857142857143,L8
