dates,satname,nzd0499-0000,nzd0499-0001,nzd0499-0002,nzd0499-0003,nzd0499-0004,nzd0499-0005,nzd0499-0006,nzd0499-0007,nzd0499-0008,nzd0499-0009,nzd0499-0010,nzd0499-0011,nzd0499-0012,nzd0499-0013,nzd0499-0014,nzd0499-0015,nzd0499-0016,nzd0499-0017,nzd0499-0018,nzd0499-0019,nzd0499-0020,nzd0499-0021,nzd0499-0022,nzd0499-0023,nzd0499-0024,nzd0499-0025,nzd0499-0026,nzd0499-0027,nzd0499-0028,nzd0499-0029,nzd0499-0030,nzd0499-0031,nzd0499-0032,nzd0499-0033
1999-08-26 22:07:32.686000,L7,326.59,300.98,305.79,306.92,303.24,370.06,343.85,350.37,342.54,370.86,358.40,349.46,357.11,371.48,369.78,372.65,381.17,332.36,339.49,332.57,335.27,328.24,325.01,323.53,330.59,340.67,343.40,379.53,379.11,369.01,368.98,356.76,339.90,343.97
1999-12-07 22:13:41.663000,L7,313.12,312.98,307.65,307.05,310.47,310.20,281.66,308.70,308.91,310.36,314.50,319.06,325.09,330.65,332.42,322.27,,,,,,,,,,,,,,,,,,
1999-12-16 22:07:33.708000,L7,319.00,316.66,313.92,311.56,318.65,312.91,308.89,310.65,309.51,311.89,315.65,323.61,331.95,330.56,339.03,345.40,266.33,370.14,368.20,365.67,360.47,358.20,367.63,360.37,361.03,368.59,364.42,361.25,363.08,356.51,352.61,354.06,342.15,335.24
2000-05-08 22:06:44.900000,L7,393.61,350.76,353.62,322.71,315.74,315.21,322.99,350.42,350.50,355.07,348.51,358.32,361.99,363.27,366.02,380.19,375.39,381.29,381.91,371.38,337.05,379.55,378.01,316.75,346.90,347.09,353.07,342.22,342.58,335.47,344.19,363.58,356.26,354.40
2000-05-15 22:12:54.183000,L7,,,,,,,,,,,,,268.75,270.12,311.38,292.87,251.34,162.88,,,,,,,,,,,,,,,,
2000-06-25 22:06:19.852000,L7,410.84,299.44,322.28,347.74,345.79,,,,,326.32,324.21,350.29,370.95,382.52,370.33,368.53,326.95,306.47,317.74,391.78,367.31,366.82,355.44,357.85,327.01,371.75,328.25,329.16,314.56,314.12,330.63,288.85,307.30,357.55
2000-07-11 22:06:05.496000,L7,,332.59,336.05,366.90,,,,,,,390.15,313.88,344.16,287.40,302.58,309.68,306.42,186.94,,300.37,299.28,339.51,304.86,315.10,339.06,316.94,285.21,,,,,288.70,311.44,322.81
2000-07-27 22:05:48.258000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.61,359.71
2000-09-20 22:11:14.930000,L7,394.08,314.27,265.10,266.98,314.05,310.34,322.61,308.83,314.01,311.42,265.68,266.35,273.52,277.18,287.38,286.84,278.62,298.55,302.00,305.74,300.33,301.28,296.13,300.34,305.23,312.29,317.66,310.80,303.79,291.72,324.01,273.74,271.85,316.06
2001-01-03 22:05:00.181000,L7,,354.52,350.05,364.88,363.54,350.92,361.65,357.98,353.21,366.69,359.65,357.88,374.13,376.92,369.87,371.09,382.91,385.66,398.46,381.48,380.08,385.22,372.31,375.41,376.11,380.25,377.21,374.58,370.86,375.81,371.28,362.66,351.46,365.48
2001-02-20 22:05:00.525000,L7,389.02,337.43,335.11,336.42,339.24,337.18,336.01,336.18,332.06,333.41,342.31,341.31,347.36,351.76,357.33,362.46,370.48,375.88,369.69,367.87,360.97,357.07,356.58,358.23,365.83,339.68,370.20,363.41,362.69,364.84,354.39,354.59,326.64,348.88
2001-02-27 22:11:06.137000,L7,,,,,,,,,259.20,266.69,265.52,273.05,280.34,283.65,292.53,290.25,247.14,295.77,301.12,300.37,300.89,303.46,302.83,298.60,307.88,311.04,313.39,300.03,311.74,306.99,,,271.59,334.76
2001-04-09 22:04:41.882000,L7,325.78,307.90,303.38,302.59,305.41,303.64,293.24,303.44,306.07,269.54,308.78,312.88,315.70,321.28,328.76,335.41,335.60,342.79,344.36,337.93,336.10,330.48,328.20,328.42,333.36,309.48,336.18,338.59,334.97,337.87,335.13,332.38,327.81,363.68
2001-04-16 22:10:54.636000,L7,,,,,,,,,260.60,266.68,264.37,260.76,265.70,271.99,280.14,283.52,232.30,289.24,288.83,289.43,282.96,294.34,288.66,292.34,297.02,296.59,300.17,,,,,,,
2001-06-28 22:03:56.771000,L7,429.93,291.62,301.56,299.63,297.79,300.63,349.33,326.66,324.49,324.06,280.76,320.73,339.32,350.99,359.30,383.89,382.41,378.33,376.95,372.71,347.81,328.75,340.08,310.74,331.26,311.33,,,,,,328.86,333.56,348.87
2001-07-05 22:10:09.496000,L7,404.41,363.80,307.54,296.68,275.77,299.00,,,,,,,,,,,395.76,400.00,396.71,381.95,372.84,388.54,374.39,394.51,386.93,382.82,386.52,383.74,384.05,394.01,,374.74,378.75,378.73
2001-07-14 22:03:57.537000,L7,412.73,345.32,354.38,347.56,336.67,339.73,339.54,299.31,295.27,303.00,300.37,303.29,388.31,,368.47,375.23,378.51,377.02,378.16,376.12,380.36,359.57,358.78,356.62,374.37,373.82,373.12,363.13,358.59,363.43,356.45,356.76,352.91,373.34
2001-08-15 22:03:26.328000,L7,293.67,295.57,298.29,299.21,301.32,291.34,,290.61,279.18,278.52,296.29,297.29,305.18,311.45,311.84,316.22,,,,,,,,,,,,,,,,,,
2001-10-02 22:02:52.358000,L7,293.78,294.29,293.57,298.83,295.73,294.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-03 22:02:58.699000,L7,337.31,,,,,,,,,,,,,,,,,,365.94,299.22,320.75,317.76,,372.05,377.67,316.60,327.19,326.57,325.57,319.32,303.64,304.49,293.04,370.13
2002-01-29 22:09:33.112000,L7,304.25,363.66,366.31,351.97,342.59,356.54,342.90,352.49,341.72,347.78,343.37,355.03,344.05,350.61,359.69,371.00,357.45,364.34,367.41,364.44,345.10,350.08,349.14,348.69,348.06,349.94,354.89,363.43,371.79,365.23,336.76,343.47,341.19,349.33
2002-02-23 22:03:31.354000,L7,396.02,322.57,271.14,275.96,275.70,268.55,273.71,266.22,270.73,277.40,277.59,277.87,284.31,290.59,297.06,296.87,289.90,297.77,304.29,297.47,292.79,294.32,294.93,293.99,304.90,304.49,313.52,332.68,332.91,336.02,276.41,277.95,275.58,306.12
2002-03-11 22:03:31.366000,L7,319.33,260.12,268.70,271.64,276.36,270.89,275.91,266.29,271.01,277.58,277.21,278.28,282.85,284.87,296.26,295.78,268.49,296.32,304.90,302.10,297.55,294.43,294.31,294.56,299.15,303.83,308.77,310.52,302.30,294.93,309.15,300.69,296.80,324.66
2002-04-12 22:03:25.302000,L7,338.65,326.81,319.25,314.58,315.91,314.35,311.96,310.43,313.06,314.29,313.04,320.69,280.12,326.28,333.75,331.83,301.29,339.24,332.80,327.98,323.78,326.41,320.83,322.78,332.47,333.32,335.63,334.74,329.68,329.37,313.95,308.88,297.66,344.26
2002-05-14 22:03:19.418000,L7,435.10,294.90,309.22,363.45,353.50,360.15,349.02,303.92,274.45,295.12,376.17,307.34,317.66,315.93,322.91,332.04,,,,323.92,320.80,313.30,309.51,388.08,361.73,376.32,365.49,376.29,380.64,384.52,378.54,391.68,368.92,392.41
2002-05-30 22:03:13.672000,L7,410.97,347.34,346.97,344.13,349.01,340.27,336.97,331.45,341.22,350.66,353.90,352.88,344.29,348.28,353.09,358.89,343.67,332.02,354.17,352.64,367.00,368.85,359.03,350.80,366.11,368.25,360.93,350.82,354.70,347.41,380.15,,,
2002-06-06 22:09:22.654000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.45,281.72,326.11
2002-06-15 22:03:07.576000,L7,412.93,350.81,354.62,348.09,348.64,348.43,339.97,341.03,342.89,344.24,351.39,351.06,352.28,352.99,363.04,368.91,360.99,368.02,366.67,361.72,351.27,365.02,357.13,369.47,377.67,371.74,387.66,366.13,383.00,390.33,356.23,348.14,348.19,358.79
2002-06-22 22:09:15.051000,L7,,355.29,366.14,342.66,,,,,,268.08,265.99,267.41,280.15,287.61,287.52,287.24,290.14,281.99,295.29,290.76,290.44,291.25,284.98,295.45,299.68,314.08,296.59,,,,273.16,280.33,283.56,317.48
2002-09-10 22:08:43.416000,L7,322.23,295.94,303.79,305.57,302.65,301.42,288.80,299.42,296.34,330.76,330.14,331.59,340.15,343.28,352.08,359.96,354.99,323.10,324.06,323.65,317.02,312.96,400.17,286.77,289.08,346.03,370.38,318.15,317.88,320.14,330.21,328.49,316.81,329.42
2002-12-08 22:02:51.522000,L7,407.10,289.34,266.91,271.53,272.80,270.57,280.35,259.35,267.11,268.99,268.10,274.19,285.82,291.42,303.95,,,,,,,,,,,,,,,,,,,
2002-12-24 22:02:57.022000,L7,301.82,329.59,353.59,330.52,329.59,351.29,,,,,,,262.24,332.41,348.23,392.41,350.29,380.00,374.88,343.13,338.52,341.34,342.49,343.74,347.92,344.37,346.41,343.64,316.37,312.96,304.62,302.51,298.44,326.26
2003-02-01 22:09:21.746000,L7,307.48,305.35,303.02,303.54,301.04,299.65,,293.98,276.58,277.46,300.75,305.51,305.61,312.34,319.90,322.73,327.45,297.41,320.47,315.26,314.79,,,,,,,,,,,,,
